"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"08-01-2007","10177",1,"None","None","None","Liminus","276010","(I wasn't sure where to put this, philosophy or politics might have been better but here it is.) I ask this question mainly for the americans on this forum, mainly because in the UK patriotism isn't really the flashpoint issue that it seems to be in the states. This could be because people overreact to the idea of patriotism because they associate it with Nazi Germany, and also because Britain has already had its decline and fall (to an extent) so we are not so wrapped up in notions of being a 'great' country. I also ask with reference to the oft-repeated accusations of someone being 'un-american' or 'anti-american'. This is definitely not something you ever see in the UK; never in my life have I heard or read someone using the phrase 'anti-British'. I am hard pressed, in fact, to recall a single instance of any culture outside the US using this turn of phrase, with the exception of supranational religion ('un-christian', 'anti-muslim' etc). It seems to me to be a meaningless label, particularly (and ironically) so for the 'land of the free' where evryone is supposed to be able to pursue their own crazy lifestyle and espouse their own crazy views without this sort of vilification. An extension of this is people being told that they obviously 'hate their own country' etc, with the tacet implication that they are supposed to absolutely love it, a form of flag-worship in my opinion. This makes no sense to me, because as a UK citizen I neither love nor hate my 'country' as a whole. How can I? There are aspects of British life that I love, such as our cynical attitude and irreverent sense of humour, and there are aspects that I hate, such as our readiness to follow the US into wars, and our woefully one-dimensional politics. So what do think patriotism is? How do you define a patriot? What (if anything) does it mean to be 'anti-american'?","what-patriotism","05:32 PM","government-debates","1"
"08-02-2007","10177",1,"Liminus","276010","I ask this question mainly for the americans on this forum, mainly because in the UK patriotism isn't really the flashpoint issue that it seems to be in the states. This could be because people overreact to the idea of patriotism because they associate it with Nazi Germany, and also because Britain has already had its decline and fall (to an extent) so we are not so wrapped up in notions of being a 'great' country. It seems to me to be a meaningless label, particularly (and ironically) so for the 'land of the free' where everyone is supposed to be able to pursue their own crazy lifestyle and espouse their own crazy views without this sort of vilification. An extension of this is people being told that they obviously 'hate their own country' etc, with the tacet implication that they are supposed to absolutely love it, a form of flag-worship in my opinion. This makes no sense to me, because as a UK citizen I neither love nor hate my 'country' as a whole. How can I?","James","276099","There is a distinction between patriotism and nationalism - which I think you've tended to obscure in your reference to Nazi Germany by comparison with Britain. Patriotism is a sentiment of attachment - i.e. love of one's country; while nationalism is associated with an ideology of national superiority. Another contrast is between a respect for political institutions and laws (patriotism), and a belligerent devotion to race, language, and custom (nationalism). Doesn't any vilification arise from confusing the difference between between patriot and nationalist? To answer this question, you might need to ask another: would you be prepared to fight and even die in defence of your country? An affirmative answer might go some way towards defining what patriotism is. James.","what-patriotism","11:31 AM","government-debates","2"
"08-06-2007","10177",1,"None","None","None","Jo Bennett","276731","Very few invaders have the intention of killing the population, surely it depends who was invading? Attachment to a particular state is absurd as they are artificial constructs, look at the spread of celts across the western end of europe, celtic cultures survive in 6 countries, only one of which is an independent state. In any case, even if all states were nation states, it would still ignore the fundamental commonality of experience between people of the same class in different countries. The concerns of factory workers in Britain and Germany are likely to be closer to each other than they are to the concerns of, say, lawyers in either country.","what-patriotism","05:51 PM","government-debates","4"
"08-07-2007","10177",1,"Liminus","276730","This is partly because I think we are very aware that the concept of 'British values' is meaningless, because people from different subcultures, different class, different regions have conflicting values, at least those that go beyond basic human ones. Absolutely not. I would fight and die in defence of my family, but if (a big if, in the UK) we were invaded I would try to get my family together and bugger off to Canada, or wherever. If that proved impossible, then I would fight the invasion, but only for the sake of my family.","James","276839","I agree that the economic and cultural concerns of the ""average"" working man are hardly identical to the director in the boardroom. But there is a core of values that I believe most British people would say is meaningful to them. In the event of a foreign invasion, defence of one's family can hardly be separated from defence of the nation. If the country goes under, what will become of the individual's family? You might justify your willingness to fight an enemy on the grounds that you're only interested in the welfare of your family. This is what, I imagine, many soldiers have said (to themselves) when they've been called up. But personal motives hardly matter in the ""big picture"" which materialises when the country is at war. James.","what-patriotism","09:15 AM","government-debates","5"
"08-07-2007","10177",1,"None","None","None","Jo Bennett","276842","If fighting for one's family and one's country were equivalent, why would governments spend so much energy promoting patriotism in wartime. The fact remains that throughout most of history until the 20th century, the lives of individuals were only minimally affected by invasion. Do you really think the life of the average serf changed drastically when William invaded England?","what-patriotism","09:25 AM","government-debates","6"
"08-07-2007","10177",1,"Jo Bennett","276842","The fact remains that throughout most of history until the 20th century, the lives of individuals were only minimally affected by invasion.","James","276851","Have you never studied the history of the Thirty Years War (1618-1648) when almost the whole of central Europe was ruined by invasion and counter invasion in the struggle for mastery? The suffering and destruction was immense - even with the limited weapons available at that time. On the general idea of patriotism - which predictably you wish to discredit - it ought to be remembered (to paraphrase Orwell) that as you sleep safely in your bed dreaming your liberal dreams, rough men must stand ready to do violence on your behalf. James.","what-patriotism","10:05 AM","government-debates","7"
"08-07-2007","10177",1,"None","None","None","Phunting","276897","Heh. I notice despite the thread being aimed at Yanks, everyone who has answered is British! Personally I consider myself a patriot. I love my country, I want it to do well, and I generally support it. The same can be said of my Rugby team, and I think the two equate. I know that my team is not inherently superior to any other (far from it with our current position ) but I still enjoy belonging to them, and having them belong to me. I think this is a natural human response, and patriotism in such a form is harmless and probably healthy. The problem is when patriots, and sports fans, actually begin to believe their own words and hate other countries/ clubs because of their blind adherence. Fortunately most aren't stupid enough to go down this road.","what-patriotism","01:03 PM","government-debates","8"
"08-07-2007","10177",1,"James","276099","There is a distinction between patriotism and nationalism...","sinjin","276939","Not much of one unless patriotism is simply a more PC term. Sort of like the difference between ""White Pride"" and ""White Supremecy"" IMO.","what-patriotism","04:30 PM","government-debates","9"
"08-08-2007","10177",1,"sinjin","276939","Not much of one unless patriotism is simply a more PC term. Sort of like the difference between ""White Pride"" and ""White Supremecy"" IMO.","James","277026","I don't agree. This is a tendentious sophistry. James.","what-patriotism","02:37 AM","government-debates","10"
"08-08-2007","10177",1,"Jo Bennett","276731","Very few invaders have the intention of killing the population, surely it depends who was invading? Attachment to a particular state is absurd as they are artificial constructs, look at the spread of celts across the western end of europe, celtic cultures survive in 6 countries, only one of which is an independent state. In any case, even if all states were nation states, it would still ignore the fundamental commonality of experience between people of the same class in different countries. The concerns of factory workers in Britain and Germany are likely to be closer to each other than they are to the concerns of, say, lawyers in either country.","Liminus","277030","Absolutlely! I completely agree, and this is what leads me to question the idea of 'patriotism' because my 'country' consists of a huge variety of people who I will never know, whose goals and purposes (as opposed to values) I do not share.","what-patriotism","03:08 AM","government-debates","11"
"08-08-2007","10177",1,"James","277026","I don't agree. This is a tendentious sophistry. James.","sinjin","277087","""Tendentious sophistry""? I had to look that up. Thanks. A ""patriot"" is what your nationalist countrymen call you when you volunteer.","what-patriotism","11:41 AM","government-debates","13"
"08-08-2007","10177",1,"None","None","None","Symbiote","277090","A patriot is someone who wants the best for their country. A nationalist is someone who wants the best for their country, and believes that to achieve this requires doing harm to other peoples' countries. If you do not see a distinction between the two, then it would seem you agree with the nationalists, that the way for one nation to prosper is to harm others, eg by going to war for resources, by blocking their exports from entering your country. The classical liberals were certainly patriots, but they believed that the road to prosperity was built on peace and trade with other nations. Their opponents were the nationalists. Nationalism prospers precisely because of this false belief, that to prosper you must do harm, and though you may consider yourself anti-nationalist, if you propagate this falsity, you will fuel nationalism. There is nothing wrong with patriotism, there is plenty wrong with nationalism, because it is built on a false premise.","what-patriotism","11:48 AM","government-debates","14"
"08-08-2007","10177",1,"Symbiote","277090","A patriot is someone who wants the best for their country. A nationalist is someone who wants the best for their country, and believes that to achieve this requires doing harm to other peoples' countries. If you do not see a distinction between the two, then it would seem you agree with the nationalists, that the way for one nation to prosper is to harm others, eg by going to war for resources, by blocking their exports from entering your country. The classical liberals were certainly patriots, but they believed that the road to prosperity was built on peace and trade with other nations. Their opponents were the nationalists. Nationalism prospers precisely because of this false belief, that to prosper you must do harm, and though you may consider yourself anti-nationalist, if you propagate this falsity, you will fuel nationalism. There is nothing wrong with patriotism, there is plenty wrong with nationalism, because it is built on a false premise.","sinjin","277108","Of course this presumes that a country can prosper without it being at the expense of some other country(s). nationalist - 1. one who loves and defends his or her country [syn: patriot] WordNet&#174; 3.0 &#169; 2006 Princeton University Published by Princeton University. All rights reserved. patriot - * one who loves, supports, and defends one's country. American Heritage Dictionary","what-patriotism","01:02 PM","government-debates","15"
"08-08-2007","10177",2,"None","None","None","sinjin","277112","What is patriotism? Patriotism is the last refuge of a scoundrel. -Samuel Johnson.","what-patriotism","01:13 PM","government-debates","16"
"10-20-2007","10177",2,"None","None","None","RudyRocker","288455","I don't think you are correct in saying that terms equivalent to anti-americanism have not been used elsewhere. Accuse elderly germans of ""anti-germanism"", ditto for italians, or start chatting about ""anti-sovietism"" in an eastern european old peoples home. See what kinds of reactions you get. If you are interested in a scholarly analysis of nationalism and patriotism as cultural phenomenon, and in particular how they developed, Benedict Anderson's Imagined Communities is brilliant.","what-patriotism","10:39 PM","government-debates","17"
"10-21-2007","10177",2,"None","None","None","Mucusaur","288464","Patriotism is obeying all the rules - the antithesis of Hiccadoola","what-patriotism","06:21 AM","government-debates","18"
"10-21-2007","10177",2,"Phunting","276897","The problem is when patriots, and sports fans, actually begin to believe their own words and hate other countries/ clubs because of their blind adherence. Fortunately most aren't stupid enough to go down this road.","unkerpaulie","288493","actually reality suggests that a significant number of people do go down this road. thats exactly what liminus is pointing out. if the country is at war with another country, you would be immediately and unanimously labelled unpatriotic if you had ANY feelings other than hatred for that country. the label also extends to anybody who doesnt fully worship all american leaders, policies, historical figures and inanimate objects that represent abstract aspects of america","what-patriotism","02:27 PM","government-debates","19"
"10-23-2007","10177",2,"None","None","None","Winston Smith","288740","this is because Bush and Co. have convinced the majority of the people that he is the embodiment of America. So to criticise him is to be a traitor. It is unbelievable that he managed to link Hussein with 9/11 and to have gone to war on the strength of lies. But he did. He perverted and misused patriotic sentiment.","what-patriotism","06:18 PM","government-debates","20"
"10-29-2007","10177",2,"None","None","None","Winston Smith","289244","there is patriotism and then there is misguided patriotism","what-patriotism","01:01 AM","government-debates","22"
"10-30-2007","10177",2,"Winston Smith","288740","this is because Bush and Co. have convinced the majority of the people that he is the embodiment of America. So to criticise him is to be a traitor. It is unbelievable that he managed to link Hussein with 9/11 and to have gone to war on the strength of lies. But he did. He perverted and misused patriotic sentiment.","Phunting","289373","Utterly. What is seen in the states is not patriotism, it is being blinded and manipulated.","what-patriotism","08:42 PM","government-debates","23"
