"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"01-08-2008","10781",1,"None","None","None","ibelieveyou","296398","From the chief anglocentric shaman of the ""invisible (white) hand"" Smith, who projected the notorious stinginess / cruelty of his fellow scots onto the world population, to that genius lunatic Friedman, the narcotic of the freemarket has been pushed onto the witless addicted masses for generations. The Blinding Fraud of Pure Economics or Freemarkets According to narcissistic economists solitarily beating their logarithms and algorithms in their lab corners (Chicago School of Economics, Carnegie Institute), the whole world can be 'structurally adjusted' by a calculator: if only the market was free of DISTORTIONS, they feverishly ejaculate! This is the Golden Mean of scientific economics. The cardinal ingredient of the freemarket and the junk science of economics is of course the holy variable of self-interest. This mostly anglo (Smithian) principle is worshiped by all rightwing / pure economists, (all of whom are naturally fat and wanting for nothing except a social consciousness) who fantasize of a world where self-interest is freed from the inhibiting forces of market distortions, e.g. social security, minimum wage, incubators for newborns, subsidized medicines etc. Remove such distortions they claim, and after a little compulsory bloodletting the market will find its equilibrium with the quirky white plump invisible hand revealing itself. The problem / fraud with this doctrine is of course, any psychotic economist ala Friedman will insist the hated State must retain the appendages of police and army to keep the freemarket free by stomping on the victims of the 'freemarket'! Can you see the hypocrisy, the fraud, the distortion! If free market forces are to be truly free in the libertarian nirvana, then the freemarket force of resistance by the masses struggling for their own SELF-INTEREST must not be distorted by the boot and baton of the very distorted and manufactured variable of military and police violence. Can you now see the astronomical lie of Friedmans freemarket forces: stand down your military / police stooges and cast them back among the poor masses, and then introduce the freemarket. It is guaranteed you Chicago School of psychotics, the market will truly be free, and the most left leaning loopy poor panhandler will embrace this freemarket. And as for Keynes, that bleeding heart bourgeoisie, as with all who squat quivering in between the lines, he was part of the problem.","fraud-freemarket","07:06 AM","government-debates","1"
"03-30-2008","10781",1,"None","None","None","scarletdaisies","306999","The market will never be free. The Elitists are the only ones allowed to own anything. It's been born into them from their fathers and forefathers, some even by occults like the Illuminati. There will never be a free market with limited owners and limited businesses allowed to compete against them. Government creates false markets supposedly keeping things fair, but they are just bankrupiting farmers making them grow cheap crops and allowing other rich farmers to grow the richer crops. The freemarket can only exist if you can remove the limits set by the government. That's not a likely thing to happen.","fraud-freemarket","03:26 AM","government-debates","2"
"03-31-2008","10781",1,"None","None","None","Symbiote","307085","The only flaw you point out in this post (which you may have spammed before) is hypocrisy, which is specific to middle of the road compromises between state and market like the Chicago school and Keynesianism... Austrian economists on the other hand do argue for the total abolition of the state. The only other ""critique"" you provide of the market is that Adam Smith was Scottish (an evil race?). I don't really see the relevance of this, or have any conception of the Scottish as particularly stingy or cruel.","fraud-freemarket","07:27 AM","government-debates","3"
"04-04-2008","10781",1,"None","None","None","bhbcu64","307528","http://www.nytimes.com/2008/04/04/us...us&oref=slogin Look as though Grisham had it right in The Verdict after all. Nothing like buying a Justice. This is simply one more reason why American capitalistic robber barons need to be kept on a VERY short leash.","fraud-freemarket","06:29 AM","government-debates","4"
"04-04-2008","10781",1,"None","None","None","Symbiote","307529","The more control government has over markets, the more incentive businesses have to buy politicians... giving the government more control over business only increases corruption, which is why the nations with notorious corruption are also those where politicians decide which companies die and which prosper. Witness the antitrust lawsuits against Microsoft for example, the lesson learned by Microsoft was that they should buy more political clout, because it was their competitors driving political power against them. A ""robber baron"" is a capitalist who steals from the public via government privilege, if you want to prevent robber barons, stop the government deciding who profits. The robber barons of today are the military support and oil corporations profiting from the Iraq debacle because of government connections. The thing to remember is that the market is pretty much impersonal. You jail one drug dealer, three more take their place. You fine one robber baron, three more take theirs. And they adapt. The next generation are more sophisticated and more harmful than the last, and an institution as bloated and inefficient as the government cannot possibly keep pace with the dynamism of the market. The only practical solution is to destroy the corruption at its source. If you want to abolish drug dealers and their associated violent crime, repeal prohibition. If you want to abolish robber barons, repeal the ability of judges and politicians to decree profit. Anything else is at best naive, more commonly a cynical exploitation of the population facilitated by useful XXXXXX, to benefit an elite politically connected few.","fraud-freemarket","07:03 AM","government-debates","5"
"04-04-2008","10781",1,"None","None","None","bhbcu64","307534","sym, A ""robber baron"" is a capitalist who steals from the public via government privilege, if you want to prevent robber barons, stop the government deciding who profits. PIFFLE!! Are you really that ignorant of American history? Robber Barons flourish in the absence of governmental control. Have you ever read The Jungle or Ida Tarbell's expose of Standard Oil. In the Bush Era, we have returned to a form of capitalism that is red in tooth and claw.","fraud-freemarket","10:34 AM","government-debates","6"
"04-04-2008","10781",1,"None","None","None","obvious_child","307575","Neither Symbiote or bhbcu64 are wholly correct. Too little government competence in producing a proper capitalistic framework is the problem. The size of the government is rather irrelevant. It is how the government sets up its framework for regulation that matters. bhbcu64, the form of capitalism under Bush is hardly natural selection. The Bush administration has favored massive subsidies for agriculture and fossil fuel. That is anti-natural selection. Furthermore, the no-bidding contracts that have flown of the pentagon are again, not natural selection. Here Symbiote is right, government ties have allowed companies to profit in excess of what the natural state of the market would allow. Government ties have effectively created a client-patron system, which is detrimental to whoever is paying the bill. I will agree with you that in the past, lack of proper regulation to ensure a honest level playing field resulted in robber barons, but that is not the case today.","fraud-freemarket","05:09 PM","government-debates","7"
"04-04-2008","10781",1,"Symbiote","307579","I don't see the problem with Standard Oil, or how they in any way robbed the public. Standard Oil grew by producing oil cheaply and efficiently, I wish they were still around today. This isn't ""robbing"" the public, it's providing them with something they want at a more than reasonable price.","obvious_child","307584","Not quite. SO grew organically that way initially and then switched over to buying every firm that it could both horizontally and vertically. By achieving monopoly status, it could charge whatever it wanted similar to how MS could with its office products. Office Ultimate right now is over $650. Seriously. But the key difference is that no one has to buy MS office for their every day needs. Oil is a very different commodity.","fraud-freemarket","05:22 PM","government-debates","9"
"04-04-2008","10781",1,"None","None","None","Symbiote","307596","That's what textbook economics would predict, but the mainstream definition of monopoly is so incoherent it's no surprise the reality is a far different ballgame. I'm not aware of Standard Oil ever charging obscene prices for its oil, it grew by consistently and rapidly producing oil at much cheaper rates than its competitors. It never gained total control of the market, it gained a huge proportion of it until its competitors adopted its methods, and then its market share declined - it did not have further innovation to offer that would allow it to cut prices below its modernised efficient competitors. Companies like Shell and Texaco saw the profit opportunity, revealed by Standard Oil's rapid growth, and jumped at it. It was prosecuted because its politically connected competitors were envious of its profitability, and could not compete on market terms. Ida Tarbell who bhbcu64 cites is the daughter of a man who did charge high prices for oil, and was ultimately unable to compete with the more efficient operations of Standard Oil. Yes, there were ""robber barons"" in this same era, the politically connected railroad owners for example who built shoddy tracks to nowhere in order to collect government subsidy. To act as if these are legitimate businessmen, and those who produce a product for consumers at a lower price than anyone else at the time are robbers is a completely upside down picture of reality. Let's suppose I'm living in the era of Standard Oil's near monopoly, they've ""dumped"" a whole tonne of oil on the market at low low prices to gain market share, and I suspect in two years, once they've gained control, they will jack up the price. And let's suppose I have a lot of money, for whatever reason. Why don't I seize this opportunity to buy as much of Standard Oil's cheap oil as I can, then sell it back to the public 2 years later? If my ideas about Monopoly are correct, not only will I make extraodinary profits from my insights, but also force Standard Oil to lower their prices to compete with me, thus ruining their own anticipated profits. As a strategy, trying to monopolise a resource to jack up the price is at best misguided. The only case I can recall it happening was with copper, and the company in question made good profits for a short while before people switched to other metals and they went broke. If monopoly theorists are sincere, and not merely trying to hurt an organisation they dislike, they can put their money where their mouths are.","fraud-freemarket","07:17 PM","government-debates","10"
"04-04-2008","10781",1,"None","None","None","bhbcu64","307617","sym,, Why don't I seize this opportunity to buy as much of Standard Oil's cheap oil as I can, then sell it back to the public 2 years later? If my ideas about Monopoly are correct, not only will I make extraordinary profits from my insights, but also force Standard Oil to lower their prices to compete with me, thus ruining their own anticipated profits. The fly in your ointment is simply this. In your hypo, Standard Oil controls such a vast supply that it can undercut your price for so long as it takes to drive you out of business. Were it not for the controls placed on it by the US and other governments, that's just what Microsoft would do today as well. Rockefeller succeeded simply because there were laws and/or regulations that could stop him.","fraud-freemarket","09:42 PM","government-debates","11"
"04-05-2008","10781",1,"None","None","None","bhbcu64","307659","Sym, How long can it maintain its discount rates, 10 years, 100, 1000? The only response I can give is the one that a rep. for general Motors gave me in a deposition when I asked him if the company had enough insurance to cover our claim on behalf of our client, ""General Motors not only has enough insurance to cover this claim, not only does General Motors have enough insurance to cover all currently outstanding claims, but General Motors has enough insurance to cover all POTENTIAL claims from now until the end of the world."" The idea that your little oil company would not have its dreams crushed by Standard Oil is as ludicrous as the mouse crawling up an elephant's tail with rape on its little mind. Nice in theory, but ludicrous in reality. No, the Standard Oils of America and the world need to be kept on VERY short leashes.","fraud-freemarket","05:23 AM","government-debates","13"
"04-05-2008","10781",1,"None","None","None","Symbiote","307666","If an oil company maintain extraodinarily low prices from now until the end of the world, how does that in any way benefit that company or harm consumers? If a company has to make losses for thousands of years in the hopes of one day, far in the future, which will never come extorting consumers, what kind of time transcending retard would have to be running it to pursue such a strategy?","fraud-freemarket","10:12 AM","government-debates","14"
"04-06-2008","10781",1,"None","None","None","bhbcu64","307742","sym, If a company has to make losses for thousands of years in the hopes of one day, far in the future, which will never come extorting consumers, what kind of time transcending retard would have to be running it to pursue such a strategy? Except, my dear sym, even though they COULD, they won't HAVE TO. All they need to do is wait until your meager supply runs out or until you go bankrupt or until you cry uncle and cut your losses by begging them to take you over, which will be done on their terms, of course. If you really believe this is Fantasy Island stuff, look at what Microsoft is attempting to do to Yahoo even as I write this. No, dear sym, capitalism and capitalists need to be kept on very short leashes, ending with choke collars around their collective hairy necks. Won't it be nice when the directors of corporations are responsible for paying their corporations' taxes instead of them being passed on to consumers?!!","fraud-freemarket","09:50 AM","government-debates","15"
"04-06-2008","10781",2,"None","None","None","Symbiote","307759","All you have demonstrated in this thread is that you will never be successful in business.","fraud-freemarket","04:12 PM","government-debates","16"
"04-06-2008","10781",2,"None","None","None","bhbcu64","307780","sym, All you have demonstrated in this thread is that you will never be successful in business. For which much thanks. It would turn my stomach to get rich on the labor of others. On the other hand, too bad that you equate success with business and riches. You channel Gordon Gecko and, along the way, exemplify much that is wrong with America.","fraud-freemarket","07:43 PM","government-debates","17"
"05-08-2008","10781",2,"None","None","None","Peeling","310641","Now try applying the same 'stockpile and cash in' arguments to companies which provide services or supply perishables - the latter category including pretty much any technology. Your scenario also presumes equal access to the market for all. A monopoly can spend more on advertising, offer lucrative exclusivity deals, cross-subsidize its monopolistic efforts via other market sectors. Does political regulation of the market lead to corruption? Yep. Does removing it solve the problem? Nope. The only difference is which l33t h4x large companies need to use to exploit the system. However, at least with a system of political regulation corruption is, in fact, corruption: those involved are doing something wrong and can in principle be caught and held accountable. A scenario where big business could literally do no wrong doesn't bear thinking about.","fraud-freemarket","11:45 AM","government-debates","18"
"05-09-2008","10781",2,"None","None","None","Symbiote","310682","A free market isn't a system where big business ""can do no wrong"", it's a system where violence is prohibited. Regulation of markets allows business to take violent action by political means, it is where big business can do no wrong as long as they can convince a politician to allow them to do it.","fraud-freemarket","04:51 AM","government-debates","19"
