"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"02-04-2008","10892",1,"None","None","None","CUNxTime","300267","OK, I've got one that I think everyone can hate for one reason or another. However, in addition to being universally hated, I also happen to think that this plan for fixing the Illegal Immigration problem could actually work. First, to prevent the issue from having to be addressed again in the future, a border fence both physical and technological with patrols and monitors to prevent ingress from both above and below. After the fence is in place, an offer is made to those that are here in the country illegally. They can chose two options. 1. Volunteer to go back to their country of origin and they will receive a one time payment of $6000.00 per adult and $1500.00 for child. Many of them come here to save up this kind of money and it is their goal to leave after saving this anyway. 2. If they don't want to leave, they can register to stay provided they a. pay back taxes. b. pay a fine c. learn English and serve a probationary period to show they can support themselves and commit no crimes. I believe this will help address the problem of integration, prevent the US from spending scads of money in future entitlements and chain migration, bring people into the system and make them part of the economy and tax base. What do you think?","my-immigration-plan-what-do-you-think","07:44 PM","government-debates","1"
"02-04-2008","10892",1,"None","None","None","CUNxTime","300268","Love it? Hate it? Why it won't work or why it will?","my-immigration-plan-what-do-you-think","07:45 PM","government-debates","2"
"02-04-2008","10892",1,"None","None","None","flygirl","300270","I STILL say we annex the whole country of Mexico, turn it over to the washington bureaucracy,line our pockets with the proceeds on the arable land, shipping, tourism, desireable climate, oil and other natural resources, and turn the biggest number of potential illegal immigrants into educated, productive, taxpaying, CITIZENS. All it would take to turn that country around is getting rid of their thoroughly corrupt, totally entrenched, government and this is the only way I see to accomplish that. If you pay them to leave, what's stopping them from taking the cash home, and then coming back for another payoff, or just coming back?","my-immigration-plan-what-do-you-think","08:09 PM","government-debates","3"
"02-04-2008","10892",1,"None","None","None","CUNxTime","300274","They would be fingerprinted and put into a DNA database and sign agreements that if somehow they got through the fence they'd go to jail for a set time with no trial and forfeit all US and Mexician Property","my-immigration-plan-what-do-you-think","09:36 PM","government-debates","4"
"02-05-2008","10892",1,"None","None","None","flygirl","300296","OK, but they'd have to be apprehended for fingerprints and DNA to do any good, AND you'd have a really hard time forcing them to forfeit property in another country .","my-immigration-plan-what-do-you-think","07:12 AM","government-debates","5"
"02-05-2008","10892",1,"None","None","None","CUNxTime","300301","Actually, we already have something worked out with Mexico that enables Mex. Citizens to put up their property in order to get a vista to come here. If they don't go back when they are supposed to or they commit a crime the Mex. Govt. seizes the land or what ever and auction it off and give the proceeds to the US Gov. IF Caught Again, Also, the fence should help keep them out. Also, remember that there are going to be lots of people on the 'status probation'. If caught enabling illegals or harboring them or whatever they'll risk being sent back. Also, there will be 'status' rewards for turning people in non-compliers and BIG fines etc for businesses...","my-immigration-plan-what-do-you-think","08:36 AM","government-debates","6"
"02-05-2008","10892",1,"flygirl","300270","I STILL say we annex the whole country of Mexico, turn it over to the washington bureaucracy,line our pockets with the proceeds on the arable land, shipping, tourism, desireable climate, oil and other natural resources, and turn the biggest number of potential illegal immigrants into educated, productive, taxpaying, CITIZENS. All it would take to turn that country around is getting rid of their thoroughly corrupt, totally entrenched, government and this is the only way I see to accomplish that. If you pay them to leave, what's stopping them from taking the cash home, and then coming back for another payoff, or just coming back?","jitobear","300315","I would only support this if we became a dual-language nation. Mexico should not have to, and probably does not wish to give up its hereitage, culture, language, and identity.","my-immigration-plan-what-do-you-think","10:34 AM","government-debates","7"
"02-05-2008","10892",1,"None","None","None","CUNxTime","300316","Jit, You Support Annexing Mexico? (which they'd never do anyway, Puerto Rico won't even become a state...lol)","my-immigration-plan-what-do-you-think","10:49 AM","government-debates","8"
"02-05-2008","10892",1,"None","None","None","sinjin","300341","A plan that'll work? No plan involving a fence will work. And guess who'd be building that fence anyway? Let them in. Let them work. Let them file tax returns. Let them come out of the shadows. We need them. They need us.","my-immigration-plan-what-do-you-think","01:37 PM","government-debates","9"
"02-05-2008","10892",1,"None","None","None","CUNxTime","300344","Come on Sinjin, how is it that 'no plan involving a fence' will work? Such a huge % of the population is DEMANDING a fence, no immigration plan will be accepted that doesn't involve one. Furthermore, just ""letting them come and work"" is not acceptable, that is what we have today, and since we are in fact considered to have an 'Immigration Problem' this is obviously not the solution. I don't think that post addresses the proposal","my-immigration-plan-what-do-you-think","01:48 PM","government-debates","10"
"02-05-2008","10892",1,"None","None","None","Ghost Rider","300345","Well if building a fence is too much work, then dig a trench. Widen the river, deepen it, put mines in it. Expand on the concept of a tiger trap, with a 50 foot wide, 20 foot deep trench filled with spikes that'll catch anybody that dares to cross it.","my-immigration-plan-what-do-you-think","01:54 PM","government-debates","11"
"02-05-2008","10892",1,"CUNxTime","300344","Come on Sinjin, how is it that 'no plan involving a fence' will work? Such a huge % of the population is DEMANDING a fence, no immigration plan will be accepted that doesn't involve one. Furthermore, just ""letting them come and work"" is not acceptable, that is what we have today, and since we are in fact considered to have an 'Immigration Problem' this is obviously not the solution. I don't think that post addresses the proposal","sinjin","300347","A huge % of the population are bigots and XXXXXX. Make it legal. No more problem.","my-immigration-plan-what-do-you-think","02:12 PM","government-debates","12"
"02-05-2008","10892",1,"Ghost Rider","300345","Well if building a fence is too much work, then dig a trench. Widen the river, deepen it, put mines in it. Expand on the concept of a tiger trap, with a 50 foot wide, 20 foot deep trench filled with spikes that'll catch anybody that dares to cross it.","sinjin","300348","I don't know. Because they're human beings whose only crime is to be fleeing poverty? You could fortify your own place as you suggest. Then you could put your magnum down for a spell. Well, maybe.","my-immigration-plan-what-do-you-think","02:15 PM","government-debates","13"
"02-05-2008","10892",1,"jitobear","300315","I would only support this if we became a dual-language nation. Mexico should not have to, and probably does not wish to give up its hereitage, culture, language, and identity.","flygirl","300349","J-bear, There are many, many different ethnic groups in this country, comprised of U S citizens, who have given up neither pride in their heritage, their language, or their culture, and the only part of their identity they've relinquished, is their identity as citizens of those other countries. I don't see why Mexico couldn't be the same. CUNx's example of Puerto Rico is excellent, BTW. A rich and unique hispanic culture thrives there as part of the United States, the people, US citizens all.","my-immigration-plan-what-do-you-think","02:16 PM","government-debates","14"
"02-05-2008","10892",1,"flygirl","300349","J-bear, There are many, many different ethnic groups in this country, comprised of U S citizens, who have given up neither pride in their heritage, their language, or their culture, and the only part of their identity they've relinquished, is their identity as citizens of those other countries. I don't see why Mexico couldn't be the same. CUNx's example of Puerto Rico is excellent, BTW. A rich and unique hispanic culture thrives there as part of the United States, the people, US citizens all.","sinjin","300350","It's an island. Few Anglos have moved there. A fairly homogeneous group. Btw many immigrant group have indeed given up their language and culture. It takes only a few generations.","my-immigration-plan-what-do-you-think","02:19 PM","government-debates","15"
"02-05-2008","10892",2,"None","None","None","CUNxTime","300351","Answer for me this, how is turning OUR country into MEXICO going to help US or THEM? And you can't honestly say someone is a bigot because they want to demarcate the borders of THEIR country. Mexico controls the movement of people into ITS country, you should see what they do to the Guatemalans they catch coming thought their country, rape, murder, forced slavery... But that's not what we do. Protecting a border is the fundamental responsibility of a country and to say differently is both naive and dangerous. But still you have not talked about the actual proposal...","my-immigration-plan-what-do-you-think","02:28 PM","government-debates","16"
"02-05-2008","10892",2,"None","None","None","CUNxTime","300352","BTW it is good to integrate into the place you live...When in Rome...again turning the US in to a Third world piece of junk won't help anyone!!!","my-immigration-plan-what-do-you-think","02:30 PM","government-debates","17"
"02-05-2008","10892",2,"CUNxTime","300352","BTW it is good to integrate into the place you live...When in Rome...again turning the US in to a Third world piece of junk won't help anyone!!!","sinjin","300353","Have you been to Rome? How about Mexico City?","my-immigration-plan-what-do-you-think","02:40 PM","government-debates","18"
