"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"10-19-2003","1146",1,"None","None","None","montalban","19969","A number of right-wing Americans, all proudly boasting of their national greatness, never-the-less feel that unless they are personally heavily armed, their politicians will steal from them. This seems to me a paradox, loving and loathing one's own government. Why is this so?","why-do-right-wing-americans-fear-their-government","06:32 AM","government-debates","1"
"10-19-2003","1146",1,"montalban","None","A number of right-wing Americans, all proudly boasting of their national greatness, never-the-less feel that unless they are personally heavily armed, their politicians will steal from them. This seems to me a paradox, loving and loathing one's own government. Why is this so?","Hank","19984","America was the first modern democracy and a lot of the founders were people that had been repressed by governments in other countries before they came to America. We have always highly prized individual freedoms and feel that government, although necessary for the protection of society in general, in theory must be kept to a minimum. That may sometimes come across as loathing our country but very few Americans loathe their government. And yes Americans are proud of their country, and thats not just right-wing Americans, and sometimes we express that feeling so that it offends others. But my experience has been that for most Americans, it is unintentional when that happens. Very few Americans are heavily armed. Because we are a two party political system, the politicians tend to want to emphasize the differences so they can get re-elected. Most Americans have views that fall on both sides of our political spectrum. And probably most Americans feel that although their government is not the best it can be, it is the best at this time compared to other countries because we have so much personal freedoms. That of course can be debated because citizens in a lot of countries now have a lot of personal freedoms. But I was trying to answer your question.","why-do-right-wing-americans-fear-their-government","09:51 AM","government-debates","2"
"10-19-2003","1146",1,"montalban","None","A number of right-wing Americans, all proudly boasting of their national greatness, never-the-less feel that unless they are personally heavily armed, their politicians will steal from them. This seems to me a paradox, loving and loathing one's own government. Why is this so?","kelvin90701","20021","America is not unique. Other parts of the world also have these issues: bad government self-serving political parties and politicians lies and deceit of the mass media sellout of assets unemployment economic decline rundown of defences foreign control by greedy banks and big business These issues is why Americans hate government. I took those above reasons from an Australian website: http://dkd.net/freedom/ I do not believe all those reasons to hate government. The spirit is there. Do you like computers? You can thank Americans for the first home personal computer. Also for the first transisitor.","why-do-right-wing-americans-fear-their-government","03:49 PM","government-debates","3"
"10-20-2003","1146",1,"kelvin90701","None","America is not unique. Other parts of the world also have these issues: bad government self-serving political parties and politicians lies and deceit of the mass media sellout of assets unemployment economic decline rundown of defences foreign control by greedy banks and big business These issues is why Americans hate government. I took those above reasons from an Australian website: http://dkd.net/freedom/ I do not believe all those reasons to hate government. The spirit is there. Do you like computers? You can thank Americans for the first home personal computer. Also for the first transisitor.","montalban","20035","So, the first digital wrist-watch was invented by a Pom (a Brit). I don't hate America. I see heaps wrong, but then there's heaps wrong with Australia, too. The only difference is you go all over the world forcing people to be like you.","why-do-right-wing-americans-fear-their-government","03:21 AM","government-debates","4"
"10-20-2003","1146",1,"None","None","None","gilligan8503","20068","people are the same no matter what form of government blinds over the truth: people are greedy.","why-do-right-wing-americans-fear-their-government","12:31 PM","government-debates","5"
"11-20-2003","1146",1,"None","None","None","bud095","23306","I Dont Hate The Government,i Fear And Distrust The Government!","why-do-right-wing-americans-fear-their-government","01:36 PM","government-debates","6"
"11-21-2003","1146",1,"montalban","None","So, the first digital wrist-watch was invented by a Pom (a Brit). I don't hate America. I see heaps wrong, but then there's heaps wrong with Australia, too. The only difference is you go all over the world forcing people to be like you.","kelvin90701","23392","That is not quite true. Australians do not go around the world to force people what to do simply because they can't.","why-do-right-wing-americans-fear-their-government","12:50 AM","government-debates","7"
"11-21-2003","1146",1,"bud095","None","I Dont Hate The Government,i Fear And Distrust The Government!","kelvin90701","23393","You should fear the government. Smart men from the past have laid down warnings for future generations to pay attention to: http://federalistpapers.com/ Check out #46. James Madison felt the same way you did.","why-do-right-wing-americans-fear-their-government","12:52 AM","government-debates","8"
"11-21-2003","1146",1,"kelvin90701","None","That is not quite true. Australians do not go around the world to force people what to do simply because they can't.","montalban","23478","Your sentence makes no sense.","why-do-right-wing-americans-fear-their-government","05:46 PM","government-debates","9"
"11-29-2003","1146",1,"None","None","None","Morfos","24659","Don't let the fact that Right-Wingers don't want taxes and government ran economic/medicare/education/environmental programs confuse you. Those same Right-Wingers also believe in... 1. Preventing Gays from being married 2. Allowing the Government to stop Abortions 3. Allowing the Government to read emails 4. Allowing the Government to arrest immagrants w/out a trial 5. Allowing the Government to spy on people 6. Strongly supporting the CIA 7. Supporting the Patriot Act 8. Supporting the arrests of Anti-War protesters 9. Planning a Patriot ActII 10. Wanting a Christian State 11. Supporting a heavy police state 12. Believe in banning books/shows for their content About the Patriot Acts..... http://www.rotten.com/library/bio/usa/john-ashcroft/ PATRIOT ACTI -The right to freely monitor the activities political and religious groups without a criminal pretext. -New restrictions on open hearings and the public's right to receive information through the Freedom of Information Act. -The ability to stamp down on the dangerous menace of librarians who tip off the media to federal subpoenas of borrowing records. -Permission to monitor conversations between lawyers and suspects, on those increasingly rare occasions that suspects are allowed to have lawyers. -The ability to detain Americans in prison indefinitely without trial or criminal charge. PATRIOT ACTII -Dramatically loosening restrictions on secret government surveillance of citizens, including on phones, e-mail and bank accounts. -Adding a ""deport at will"" option allowing the Justice Department to circumvent inconvenient immigration laws. -Expanding terrorism investigations to allow the Department to revoke the rights of anyone within about six degrees of separation of an actual terrorist act. -Criminalizing the use of encrypted e-mail. -Increasing the list of federal death-penalty crimes. -Allowing the government to desecrate the graves of deceased victims of terrorism without permission from families. -Restricting access to information about corporate pollution and environmental crimes. This would, incidentally, not only prevent private citizens from researching toxins in their backyards but would even restrict the ability of local governments to get information about environmental crimes in their own neighborhoods. Conclusion: Right-Wingers don't truely fear the government, that is a hoax. Right-Wingers just believe in a different government.","why-do-right-wing-americans-fear-their-government","07:42 PM","government-debates","10"
