"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"12-11-2008","12088",1,"None","None","None","resist arrest","336324","Bush's Greatest Hits: 1. Stolen Election of 2000 2. Played Golf While Al Qaeda Plotted 9/11 3. Read My Pet Goat To Children While Twin Towers Were Incinerated and People Burned And Jumped To Their Deaths 4. Dopped Bombs On Afghanistan, A Former Ally Of America, Killing Thousands Of Innocents 5. Lied About Iraqi WMDs, Al Qaeda Links & Uranium From Niger In Order To Provide Cover For Ruling Class's Imperial Ambition In Iraq 6. Dropped Bombs On Innocent Iraqis, Destroying Water, Sewage & Electrical Supplies Causing Over 1 Million Iraqi Deaths & 5 Million Refugees. Abused Prisoners At Abu Grahi & Kidnapped Innocent Arab Under ""Extraordinary Rendition"" 7. Slept During Hurricane Katrina And Watched In Detachment While Grandmothers Drowned & African-Americans Starved & Wasted Away. 8. Played Golf & Made Silly Jokes About ""Maalox Moment"" For 8 Years While Economy Went Into a Tail Spin 9. Took The Collective Wealth Of the Nation To Bailout Wall Street Pirates, Who With Bush, Destroyed An Economic System That Is Over 200 Years Old. 10. General Incompetence (Choking On A Pretzel Anyone?), Stupidity, Fecklessness, And Reactionary Fanaticism Will Leave A Legacy Of Debt, Loss Of Credibility, Deaths, Refugees, Maimed And Injured, Unemployed, Underemployed And Loss Of American Credibility For Generations To Come Dishonorable Mention: Worsening Global Warming & Healthcare, Deteriorating Domestic Infrastructure and Lax Gun-control Laws.","bush-i-will-leave-office-my-head-held-high","06:01 PM","government-debates","1"
"12-11-2008","12088",1,"None","None","None","chester","336335","We have only ourselves to blame. We sat back and let it happen.","bush-i-will-leave-office-my-head-held-high","08:44 PM","government-debates","2"
"01-14-2009","12088",1,"None","None","None","Ethmi","340228","Forgetful?","bush-i-will-leave-office-my-head-held-high","01:29 PM","government-debates","3"
"01-14-2009","12088",1,"resist arrest","336324","Bush's Greatest Hits: 1. Stolen Election of 2000 2. Played Golf While Al Qaeda Plotted 9/11 3. Read My Pet Goat To Children While Twin Towers Were Incinerated and People Burned And Jumped To Their Deaths 4. Dopped Bombs On Afghanistan, A Former Ally Of America, Killing Thousands Of Innocents 5. Lied About Iraqi WMDs, Al Qaeda Links & Uranium From Niger In Order To Provide Cover For Ruling Class's Imperial Ambition In Iraq 6. Dropped Bombs On Innocent Iraqis, Destroying Water, Sewage & Electrical Supplies Causing Over 1 Million Iraqi Deaths & 5 Million Refugees. Abused Prisoners At Abu Grahi & Kidnapped Innocent Arab Under ""Extraordinary Rendition"" 7. Slept During Hurricane Katrina And Watched In Detachment While Grandmothers Drowned & African-Americans Starved & Wasted Away. 8. Played Golf & Made Silly Jokes About ""Maalox Moment"" For 8 Years While Economy Went Into a Tail Spin 9. Took The Collective Wealth Of the Nation To Bailout Wall Street Pirates, Who With Bush, Destroyed An Economic System That Is Over 200 Years Old. 10. General Incompetence (Choking On A Pretzel Anyone?), Stupidity, Fecklessness, And Reactionary Fanaticism Will Leave A Legacy Of Debt, Loss Of Credibility, Deaths, Refugees, Maimed And Injured, Unemployed, Underemployed And Loss Of American Credibility For Generations To Come Dishonorable Mention: Worsening Global Warming & Healthcare, Deteriorating Domestic Infrastructure and Lax Gun-control Laws.","Ethmi","340230","How so? And yet you depict these organizations as victims. You expect people to know things halfway across the US the very second they happen? Did he betray them or did they betray us? Liar or mistaken? Remember what the Army Corps of Engineers has done for them though. A mandatory evacuation isn't sufficient warning for you? Alot of people ignored the warnings. They said "" you, the levves will hold."" Lots of people died who didn't need to. The president doesn't have absoulte power (though in your dreamworld, they would, commie). Lax gun control laws are opinion based, as are environmental and healthcare policies.","bush-i-will-leave-office-my-head-held-high","01:37 PM","government-debates","4"
"01-19-2009","12088",1,"None","None","None","FreedomForever!","340870","Resist arrest, I am in agreement with you on alot of the things you listed, I am shure that alot of people feel something in themselves that they can not explain......as do I, that there is something terribly wrong with this country, and they dont know where it is comming from. Although I have felt this way myself for years, even growing up as a young boy I felt that we are all being conditioned for things conciously and unconsiously, that are out of our controll sometimes, I call it Conditioned slavery (but that is another can of worms...) and that their are Evils at work in this world.....in this country..... in this very Government of ours that are out for themselves and their ""agenda"" for power, money, and controll. I like your ideas on things, resis arrest, some people would say its an opinion of a radical, but I say it is an opinion of a true free thinker that has done his homework, thinks for himself, and not what the mass media tells him to think. I wish you luck in waking people up to the real truths in this world, as I am on the same mission. Peace be with you-","bush-i-will-leave-office-my-head-held-high","07:04 PM","government-debates","5"
"03-08-2009","12088",1,"None","None","None","simone","346470","Recently a Professor Yoo late of the Bush administration, notable also for his authorship of the torture memos under the tutelage of Jay Bybee, George W. Bush appointed Bybee to the United States Court of Appeals for the Ninth Circuit, at any rate, Professor Yoo opined that had Bush still been in office his administration would have planned to defend the U.S. from attacks of the sort that occurred in Mumbai. One wonders why the Bush administration failed to protect us from the attack on September 11, 2001, were they so wondrously prepared to protect America? The attack occurred on GWB's watch. The attack occurred despite countless warnings from the administration of President Clinton that such an attack could occur, that a constant watch should prevail. Bush and his people ignored all these warnings and went their merry way, vacationing and buying shoes most of the time instead of tending to the business of our nation.","bush-i-will-leave-office-my-head-held-high","02:09 PM","government-debates","6"
"03-08-2009","12088",1,"chester","336335","We have only ourselves to blame. We sat back and let it happen.","isly ilwott","346504","Just wait 'til Obama gets through with yo young XXX.","bush-i-will-leave-office-my-head-held-high","07:27 PM","government-debates","7"
"03-08-2009","12088",1,"Ethmi","340230","You expect people to know things halfway across the US the very second they happen? You're at a photo op, reading a book with schoolchildren and an aide suddenly whispers that a second plane has hit the World Trade Center. ""America is under attack."" You're the president of the United States. What do you do? There have been other moments like this in American history, when the chief executive was suddenly plunged into a crisis, but they weren't caught on videotape. George W. Bush was on camera in an elementary school in Sarasota, Fla. He could see the pagers of reporters and photographers going off, one by one. He was on the spot like few people have ever been. From two different angles, Americans have new glimpses of that historic moment. One comes from rabble-rousing Michael Moore, whose Bush-eviscerating film ""Fahrenheit 9/11"" premieres next week, and includes an uninterrupted seven-minute segment showing Bush's reaction after hearing the news of the attack. He doesn't move. Instead he continues to sit in the classroom, listening to children read aloud. Moore lets the tape roll as the minutes pass painfully by.","foundit66","346519","Do you seriously not know about what he's talking about? Bush WAS TOLD that America was under attack, and he SAT THERE FOR SEVEN MINUTES DOING NOTHING. It's not an issue of him not ""knowing things halfway across the US"". It's that WHEN he was told, he did NOTHING for seven minutes. washingtonpost.com: On 9/11, a Telling Seven-Minute Silence YouTube - Seven Minutes - The Bush 9/11 Split Screen Video","bush-i-will-leave-office-my-head-held-high","10:09 PM","government-debates","9"
"03-09-2009","12088",1,"None","None","None","snakespit","346553","Just what exactly could he have done in those 7 minutes that would have made any difference (other than not giving the liberals something to bitch about for the rest of their lives)? Would his running out of the room have made any difference in the outcome that day? Did those 7 minutes cost any lives, or delay our retaliation against the enemy? I don't really care for the job the man did as president, but for crying out loud...let it go. Was he supposed to jump up like he saw the bat symbol and run for the batmobile?","bush-i-will-leave-office-my-head-held-high","11:51 AM","government-debates","10"
"03-09-2009","12088",1,"isly ilwott","346505","Come now, simone. You can't really blame Bush for the attack. That's like saying you blame the police for every murder that occurs in the street because they weren't standing right there to prevent it. Quite so...as young Obama is learning in his on-the-job training program. However, the liberal to socialist to communist push is on.","simone","346579","Yes I can and I will. Bush and his people were totally asleep at the wheel. All Bush did was to take endless vacations until September 11, 2001 smacked him right in the face with some reality.","bush-i-will-leave-office-my-head-held-high","03:19 PM","government-debates","11"
