"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"12-30-2003","1502",1,"None","None","None","George Orwell","29525","Have anyone realized that America is very quickly becoming the ""negative utopia"" as depicted in 1984? The average American is videocorded 7 times a day without knowing it.. how long before we all have a telescreen facing us monitoring us daily. It seems presidents these days all have more power than they did in the pass how long before we have a semidivine ""big brother"" ruling every aspect of our lives. The way they try to crack down on outlaws and supposed terrorist in this country just makes me think of when the ""thought police"" will be born and all privacy will be lost. Ignorance Is Strength: Anyone ever realize that the media and airwaves are all bias to support whatever the government dishes out? Anyone ever wondered why? The Republican administration haven't changed much since the days of Ronald Reagan i.e. famous names such as Rumsfield(current secreatary of defense who I swear I saw a picture of shaking hands with Saddam in Reagan's day), Colin Powell and the Bushes.(THE INNER PARTY) Through the years ignorant Americans never realized how much power these people really had. Whose to say we are brainwashed into patriotism of America like how the people of Oceania were brainwashed. They used statistics and telescreen we used the media. The FCC is the government agency that controls the air waves and the head of the FCC is Michael Powell(son of Colin Powell). Now do u think the media is really going to be totally bias? The government wants the people to be unawared and ignorant so they can do some of the evil stuff they do overseas and not be noticed. If u read some of the material on the internet that is not filtered by the fcc you would see the hypocracy of America because they use tatics similiar to what Hitler done in WWII, and yet the people never learn about due to American properganda. As far as the average citizen knows the US are the ""good guys"" so they never question their government. Freedom Is Slavery: Does free speak really exist in the United States? Maybe it did in the pass but that freedom is really going away. Nowadays citizen are expected by their government to work til retirement and alway pay taxes. General Tom Franks recently made the surprising statement that if weapons of mass destruction were used on the western world the people will probably question the constitution and they might abandon there lifestyle for a more miltiary style life. Anyone realize that Orwell predicted the same thing in 1984 he says the Great Purges of the fifties caused massive deaths and therefore led to the revolution in which the party took over. We today i believe are heading into the great purge it seems all over the world people are just looking for more violence. The violence will eventually led to revolution and revolution will lead to factors striving for power and factors will lead to an immortal oligarical collective government and a ""big brother."" War Is Peace: Today the war is being looked on by Americans as a ""liberation"" but i believe it more resembles a conquest. The Iraqis never asked for help and throughout history bad governing always led to revolution so the Americans really didn't need to go into Iraq at all. The only reason I can see in this war is revenge for 9/11 and Bush showing the world that America won't be pushed around, therefore, insuring peace in our homeland at the expense of hundreds of thousands of foreign people. Despite what i have said i am living in America and i am not trying to flame any society i am just scared that this country might lose its way and become George Orwell's greatest nightmare. America is today the easiest country to succeed in and live happily but things might change and i want to inform people if i can enlighten just 1 person with this message it will totally be worth it. Please post with commments do u agree or do u think i am paranoid.","2003-compared-1984-a","03:37 PM","government-debates","1"
"12-30-2003","1502",1,"George Orwell","None","Have anyone realized that America is very quickly becoming the ""negative utopia"" as depicted in 1984? The average American is videocorded 7 times a day without knowing it.. how long before we all have a telescreen facing us monitoring us daily. It seems presidents these days all have more power than they did in the pass how long before we have a semidivine ""big brother"" ruling every aspect of our lives. The way they try to crack down on outlaws and supposed terrorist in this country just makes me think of when the ""thought police"" will be born and all privacy will be lost. Ignorance Is Strength: Anyone ever realize that the media and airwaves are all bias to support whatever the government dishes out? Anyone ever wondered why? The Republican administration haven't changed much since the days of Ronald Reagan i.e. famous names such as Rumsfield(current secreatary of defense who I swear I saw a picture of shaking hands with Saddam in Reagan's day), Colin Powell and the Bushes.(THE INNER PARTY) Through the years ignorant Americans never realized how much power these people really had. Whose to say we are brainwashed into patriotism of America like how the people of Oceania were brainwashed. They used statistics and telescreen we used the media. The FCC is the government agency that controls the air waves and the head of the FCC is Michael Powell(son of Colin Powell). Now do u think the media is really going to be totally bias? The government wants the people to be unawared and ignorant so they can do some of the evil stuff they do overseas and not be noticed. If u read some of the material on the internet that is not filtered by the fcc you would see the hypocracy of America because they use tatics similiar to what Hitler done in WWII, and yet the people never learn about due to American properganda. As far as the average citizen knows the US are the ""good guys"" so they never question their government. Freedom Is Slavery: Does free speak really exist in the United States? Maybe it did in the pass but that freedom is really going away. Nowadays citizen are expected by their government to work til retirement and alway pay taxes. General Tom Franks recently made the surprising statement that if weapons of mass destruction were used on the western world the people will probably question the constitution and they might abandon there lifestyle for a more miltiary style life. Anyone realize that Orwell predicted the same thing in 1984 he says the Great Purges of the fifties caused massive deaths and therefore led to the revolution in which the party took over. We today i believe are heading into the great purge it seems all over the world people are just looking for more violence. The violence will eventually led to revolution and revolution will lead to factors striving for power and factors will lead to an immortal oligarical collective government and a ""big brother."" War Is Peace: Today the war is being looked on by Americans as a ""liberation"" but i believe it more resembles a conquest. The Iraqis never asked for help and throughout history bad governing always led to revolution so the Americans really didn't need to go into Iraq at all. The only reason I can see in this war is revenge for 9/11 and Bush showing the world that America won't be pushed around, therefore, insuring peace in our homeland at the expense of hundreds of thousands of foreign people. Despite what i have said i am living in America and i am not trying to flame any society i am just scared that this country might lose its way and become George Orwell's greatest nightmare. America is today the easiest country to succeed in and live happily but things might change and i want to inform people if i can enlighten just 1 person with this message it will totally be worth it. Please post with commments do u agree or do u think i am paranoid.","epaphras_faith","29534","First off, The media (generally speaking) is hardly biased in favor of this administration. Conservative news stations are only beginning to make inroads into broadcast media. Your statements are highly indicative of a person diagnosed with paranoid personality disorder (from any country). Not that the US is above God per se, but it is easily the best country on the planet in my opinion. As far as I know, we haven't put up fences to keep people in. Additionally, correct me if I am wrong, but wasn't Orwell british, and wasn't he specifically attacking political powers of England at the time he wrote 1984?","2003-compared-1984-a","04:13 PM","government-debates","2"
"12-30-2003","1502",1,"None","None","None","George Orwell","29536","Yes i know the United States probably is the best place to live but don't you see how ignorant the people have become? Nowadays everyone believes what they hear in the media which is totally not bais at all. I went to do research you wouldn't believe some of the things the United States does to the Afganis and Iraqis because the FCC filters all this stuff but the internet is still unregulated so you can get the truth out of the situation and not believe everything uttered by the news. If you dig deep enough through the majority of channel i.e. fox, nbc, abc, and most of the radio stations they all lead back to one company.. General Electric which is the company that produces most of the military divices i.e. guns, ammonition, planes, etc. (they also probably built ur refigerator there stocks rised at the start of the war and they profit big from it and since they control a lot of the air waves do you think the media will be pro-war or anti-war? Another thing i am in no way blasting America I am simply concerned we are heading in the wrong direction fast. take a look at this image its been stuck in my head for days do you ever see these images on t.v?","2003-compared-1984-a","04:32 PM","government-debates","3"
"12-30-2003","1502",1,"George Orwell","None","Yes i know the United States probably is the best place to live but don't you see how ignorant the people have become? Nowadays everyone believes what they hear in the media which is totally not bais at all. I went to do research you wouldn't believe some of the things the United States does to the Afganis and Iraqis because the FCC filters all this stuff but the internet is still unregulated so you can get the truth out of the situation and not believe everything uttered by the news. If you dig deep enough through the majority of channel i.e. fox, nbc, abc, and most of the radio stations they all lead back to one company.. General Electric which is the company that produces most of the military divices i.e. guns, ammonition, planes, etc. (they also probably built ur refigerator there stocks rised at the start of the war and they profit big from it and since they control a lot of the air waves do you think the media will be pro-war or anti-war? Another thing i am in no way blasting America I am simply concerned we are heading in the wrong direction fast. take a look at this image its been stuck in my head for days do you ever see these images on t.v?","epaphras_faith","29538","1) because the internet is unregulated you get a lot of lies with the truth. So much noise in fact that you cannot see the signal. 2) I don't know what your beef is with GE but unless you have a credible source to prove yourself, you have just loaded us up with hogwash. 3) NBC and Fox report in diametrically opposed biases. One cannot say they report the same thing. 4) you allude to what we are doing to the afghanis and iraqis but provide no actual information as to what is being done, or what your source is. It is innappropriate to make statements that are merely conjecture and not provide sources or information. The internet is a highly unreliable source of information. There is a lot of garbage out there. You should stick to reliable sources for your info. For instance, cliams made by someone named Hal on Halswebsite.com are not likely to be as reliable as some of the major world news outlets. Remember reuters is not a US company, neither is the BBC or the Jewish Voice or the hindustan times. You can find links to reputable news sources. You can compare and contrast. Basically your arguments hold no water.","2003-compared-1984-a","04:54 PM","government-debates","4"
"12-30-2003","1502",1,"epaphras_faith","None","It is innappropriate to make statements that are merely conjecture and not provide sources or information. The internet is a highly unreliable source of information. There is a lot of garbage out there. You should stick to reliable sources for your info. For instance, cliams made by someone named Hal on Halswebsite.com are not likely to be as reliable as some of the major world news outlets. Remember reuters is not a US company, neither is the BBC or the Jewish Voice or the hindustan times. You can find links to reputable news sources. You can compare and contrast. Basically your arguments hold no water.","montalban","29553","Certainly one Orwellian notion - the eternal war is true. Recall the book - one moment they're at war with East Asia, next it's Eurasia or Oceania. Same nowadays. Iraq's an ally, then an enemy. Taliban is an ally, then an enemy. The Russians are allies then enemy, then friends, now belligerent pro-Europeans. The French are allies, then the enemy And the War on Terror is the 'ideal' Orwellian war, with no way of ever winning.","2003-compared-1984-a","05:42 PM","government-debates","5"
"12-30-2003","1502",1,"montalban","None","Certainly one Orwellian notion - the eternal war is true. Recall the book - one moment they're at war with East Asia, next it's Eurasia or Oceania. Same nowadays. Iraq's an ally, then an enemy. Taliban is an ally, then an enemy. The Russians are allies then enemy, then friends, now belligerent pro-Europeans. The French are allies, then the enemy And the War on Terror is the 'ideal' Orwellian war, with no way of ever winning.","epaphras_faith","29560","Yeah, but all of that was true long before Orwell existed. Look at history, Napolean, Alexander, Cleopatra, Nebuchednezzer, etc.","2003-compared-1984-a","06:17 PM","government-debates","6"
"12-30-2003","1502",1,"None","None","None","George Orwell","29567","To epaphras_faith: You are totally unwilling to listen to what i gotta say huh? You are the symbol of the American ignorance system to me. You actually buy into all that opposing news XXXX?? At the end of the day the reporters are still simply actors and do they care about what he say she say? They all get paid. The media is a corporation too they are simply trying to make money and people like all that rivalry stuff. You are using what George Orwell called ""doublethink"" or reality control truth is deep down you know that war is never right and the U.S does kill a lot of people worldwide. The U.S admitted to using mk77 and cluster bombs which are very inaccurate and has killed tons of civilians in Iraq and Afganistan. You can argue until you're blue in the face about the validity of the above information. Some of it may have been compiled with a political slant on it but let's not kid ourselves here, almost ALL of it is based in fact from eye-witness accounts of western journalists. Once again i repeat Despite what i have said i am living in America and i am not trying to flame any society i am just scared that this country might lose its way and become George Orwell's greatest nightmare. America is today the easiest country to succeed in and live happily but things might change and i want to inform people if i can enlighten just 1 person with this message it will totally be worth it.","2003-compared-1984-a","06:53 PM","government-debates","7"
"12-30-2003","1502",1,"George Orwell","None","To epaphras_faith: You are totally unwilling to listen to what i gotta say huh? You are the symbol of the American ignorance system to me. You actually buy into all that opposing news XXXX?? At the end of the day the reporters are still simply actors and do they care about what he say she say? They all get paid. The media is a corporation too they are simply trying to make money and people like all that rivalry stuff. You are using what George Orwell called ""doublethink"" or reality control truth is deep down you know that war is never right and the U.S does kill a lot of people worldwide. The U.S admitted to using mk77 and cluster bombs which are very inaccurate and has killed tons of civilians in Iraq and Afganistan. You can argue until you're blue in the face about the validity of the above information. Some of it may have been compiled with a political slant on it but let's not kid ourselves here, almost ALL of it is based in fact from eye-witness accounts of western journalists. Once again i repeat Despite what i have said i am living in America and i am not trying to flame any society i am just scared that this country might lose its way and become George Orwell's greatest nightmare. America is today the easiest country to succeed in and live happily but things might change and i want to inform people if i can enlighten just 1 person with this message it will totally be worth it.","epaphras_faith","29569","Again, I am willing to listen, yet you still provide no evidence, no source. As for your attacks on me and statements such as ""you can argue until your blue in the face"" they are ad hominem arguments, logical fallacies and carry no weight. Unless you provide evidence to support your position and logic to link it there is nothing more to debate. In case you haven't figured it out you are kind of new here. This is a debate forum. To debate one presents evidence and logic. I can say the pope buys handgrenades all I want, but until I provide evidence it has no weight in the argument and I lose the debate. I am trying to help you understand that you need to supply support for your statements. The everyone knows this is true argument is an appeal to a generality and is a logical fallacy. People on this board will call you on fallacies and without evidence so fast it will make your ehead spin. NOw, please provide an argument with evidence, and logical support.","2003-compared-1984-a","07:03 PM","government-debates","8"
"12-30-2003","1502",1,"None","None","None","George Orwell","29571","fine i don't care if i lose a debate whatever i'm not even in college yet this is one of those things i know is true but i can't provide sources for its something you learn bit by bit year after year. Another thing this is a prediction and in no way is it a blast at society much like 1984 was.","2003-compared-1984-a","07:14 PM","government-debates","9"
"12-30-2003","1502",1,"epaphras_faith","None","Yeah, but all of that was true long before Orwell existed. Look at history, Napolean, Alexander, Cleopatra, Nebuchednezzer, etc.","montalban","29573","I don't doubt that we've changed allies/enemies. You miss the essential here. The War on Terror is a perpetual war, the first trial was the War on Communism, but this is even better - no number of conqueored nations would end it. It will go on for as long as the powers that be need to use it to subvert your rights. Recall your own nation. If someone talked up about rights in the 50's the first reply would be ""What are you, a Commie?""","2003-compared-1984-a","07:18 PM","government-debates","10"
