"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"01-12-2004","1563",1,"None","None","None","debategirl88","30983","I am curious on what yall think about having limitations on free speech...ill put my opinion down later.","limitations-free-speech","10:22 PM","government-debates","1"
"01-13-2004","1563",1,"None","None","None","George Orwell","31060","free speech is very 1-sided everyone listens to the conservatives but when a liberal says something its like preaching to group of atheist.","limitations-free-speech","11:34 AM","government-debates","2"
"01-13-2004","1563",1,"George Orwell","None","free speech is very 1-sided everyone listens to the conservatives but when a liberal says something its like preaching to group of atheist.","epaphras_faith","31075","could you be a little more clear?","limitations-free-speech","02:11 PM","government-debates","3"
"01-13-2004","1563",1,"None","None","None","debategirl88","31086","Well, i guess ill put my opinion down now. I believe in free speech to a point. There needs to be limitations on it because it can hurt this nation like talking bad about our president in another nation. If you wanna cut down the best president in US history go ahead but dont go to another country and do it do it here. It degrades Americans I dont care if ur conservative or liberal. George explain what ur talkin about.","limitations-free-speech","04:53 PM","government-debates","4"
"01-13-2004","1563",1,"debategirl88","None","Well, i guess ill put my opinion down now. I believe in free speech to a point. There needs to be limitations on it because it can hurt this nation like talking bad about our president in another nation. If you wanna cut down the best president in US history go ahead but dont go to another country and do it do it here. It degrades Americans I dont care if ur conservative or liberal. George explain what ur talkin about.","mamboni","31089","Are you insuating that only Americans should be in possession of freedom of speech? That no other nation's leader or their constituents should be permitted to articulate anything potentially detrimental to Georgie? That's outlandish, and to denude another country of their God-given freedom is preposterous simply because the opinion they hold doesn't fancy you. Would you like to duplicate the state capital of the disguised ""communist"" Russia and prohibit freedom of speech to those who disagree with you in other nations? At the same time, Americans should be allowed to condemn and show great contempt for leaders of nations that opposed action on Iraq? Perhaps my sleep deprivation is an issue, or you're extremely incoherent.","limitations-free-speech","05:20 PM","government-debates","5"
"01-13-2004","1563",1,"mamboni","None","Are you insuating that only Americans should be in possession of freedom of speech? That no other nation's leader or their constituents should be permitted to articulate anything potentially detrimental to Georgie? That's outlandish, and to denude another country of their God-given freedom is preposterous simply because the opinion they hold doesn't fancy you. Would you like to duplicate the state capital of the disguised ""communist"" Russia and prohibit freedom of speech to those who disagree with you in other nations? At the same time, Americans should be allowed to condemn and show great contempt for leaders of nations that opposed action on Iraq? Perhaps my sleep deprivation is an issue, or you're extremely incoherent.","debategirl88","31091","Im not even talking about other countries, and ur assumption that I believe they dont deserve their rights is incredibly false. What i am talking about is Americans going over to other countries and cutting down American leaders just to get attention or make the president look stupid, i believe that that is quite immature. I am not saying that just because i love our president but also it is dangerous for our nation to be doing stuff like that. When our soldiers are over there fighting for the very thing they are taking advantage of, the enemy sees that and that encouragous them. They see our nation turning on itself...what do u think they will think. I believe they will think America will collide on its own, all we need to do is keep fighting and America will die. That my friend, will get more soldiers killed and ruin our nation all from the immaturity and the desire of attention from hollywood folks and others. Get some sleep, you seem to need it.","limitations-free-speech","05:34 PM","government-debates","6"
"01-13-2004","1563",1,"debategirl88","None","Im not even talking about other countries, and ur assumption that I believe they dont deserve their rights is incredibly (sp?) false. What i am talking about is Americans going over to other countries and cutting down American leaders just to get attention or make the president look stupid is quite immature. I am not saying that just because i love our president but also it is dangerous for our nation to be doing stuff like that. When our soldiers are over there fighting for the very thing they are taking advantage on, the enemy sees that and that encouragous them. They see our nation turning on itself...what do u think they will think. I believe they will think America will collide on its own, all we need to do is keep fighting and America will die. That my friend, will get more soldiers killed and ruin our nation all from the immaturity and the desire of attention from hollywood folks and others. Get some sleep, you seem to need it.","mamboni","31093","Oh, I understand now. However, it's difficult to enforce such a thing, as well as prohibit it. I'm pretty sure once they've left U.S. soil it's beyond our jurisdiction, unless we choose to vindicate means of apprehending him/her by declaring them a ""traitor"". I still think this would be a great infringement of personal rights. Regardless of how abrasive it is to the government or Dubya's image, it's not something that can be prohibited, or should be, without great controversy. I agree it's asinine to relocate one's self simply to show dissent and propagate hatred for the government. But he's breaking no real laws, therefore it would be unreasonable to shut up him up with duress. Also, I don't believe his/her words would have a profound dictation on the thoughts of the average arab. The root of their hatred for America goes way, way, way back.","limitations-free-speech","05:49 PM","government-debates","7"
"01-13-2004","1563",1,"mamboni","None","Oh, I understand now. However, it's difficult to enforce such a thing, as well as prohibit it. I'm pretty sure once they've left U.S. soil it's beyond our jurisdiction, unless we choose to vindicate means of apprehending him/her by declaring them a ""traitor"". I still think this would be a great infringement of personal rights. Regardless of how abrasive it is to the government or Dubya's image, it's not something that can be prohibited, or should be, without great controversy. I agree it's asinine to relocate one's self simply to show dissent and propagate hatred for the government. But he's breaking no real laws, therefore it would be unreasonable to shut up him up with duress. Also, I don't believe his/her words would have a profound dictation on the thoughts of the average arab. The root of their hatred for America goes way, way, way back.","debategirl88","31097","Im glad we sort of agree. I think we should charge them for treason though. I know it wont stir much hatred up from the arabs and all tose people fighting against us, but it will encourage those who already do and are currently fighting against us. i do agree there is little we can do, but we should do that little bit that we can.","limitations-free-speech","06:00 PM","government-debates","8"
"01-13-2004","1563",1,"debategirl88","None","Im glad we sort of agree. I think we should charge them for treason though. I know it wont stir much hatred up from the arabs and all tose people fighting against us, but it will encourage those who already do and are currently fighting against us. i do agree there is little we can do, but we should do that little bit that we can.","mamboni","31098","I think they should be prohibited from going to a country that is about to be enveloped in war, simply for their safety as Americans. The only Americans that should be there are soldiers and the Red Cross. Of course that would most certainly have a more subliminal purpose, it would still keep some radicals from killing the morale necessary for a soldier to keep his purpose. I understand their sentiments, as it is difficult to minimize civilian casualties in a war that is waged in an urban environment, but these are the ramifications of war. :/","limitations-free-speech","06:06 PM","government-debates","9"
"04-03-2004","1563",1,"debategirl88","None","Im not even talking about other countries, and ur assumption that I believe they dont deserve their rights is incredibly false. What i am talking about is Americans going over to other countries and cutting down American leaders just to get attention or make the president look stupid, i believe that that is quite immature. I am not saying that just because i love our president but also it is dangerous for our nation to be doing stuff like that. When our soldiers are over there fighting for the very thing they are taking advantage of, the enemy sees that and that encouragous them. They see our nation turning on itself...what do u think they will think. I believe they will think America will collide on its own, all we need to do is keep fighting and America will die. That my friend, will get more soldiers killed and ruin our nation all from the immaturity and the desire of attention from hollywood folks and others. Get some sleep, you seem to need it.","Toukalos","42163","lol right! our soldiers get such censored information, they think everyone back home supports this war through and through. jaysus!","limitations-free-speech","01:33 AM","government-debates","10"
