"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"01-26-2004","1649",1,"None","None","None","splinter99","32748","do you think a left wing party, such as Labour or the Democrats, are more aware of their countries needs, or vice versa? I personally think a right wing govt. because they are more nationalistic than left wingers and tend to spend more on the countries needs.","political-stance-helps-country-more","11:46 AM","government-debates","1"
"02-03-2004","1649",1,"splinter99","None","do you think a left wing party, such as Labour or the Democrats, are more aware of their countries needs, or vice versa? I personally think a right wing govt. because they are more nationalistic than left wingers and tend to spend more on the countries needs.","hvozdany","33776","What do you mean by nationalistic?","political-stance-helps-country-more","08:02 PM","government-debates","2"
"02-03-2004","1649",1,"splinter99","None","do you think a left wing party, such as Labour or the Democrats, are more aware of their countries needs, or vice versa? I personally think a right wing govt. because they are more nationalistic than left wingers and tend to spend more on the countries needs.","AMD4EVER","33781","If I had to choose one it would be the right wing because they seem to be more realistic. The goal of the left wing is to build a utopia. The goal of the right wing is to build a functioning society.","political-stance-helps-country-more","08:19 PM","government-debates","3"
"02-03-2004","1649",1,"AMD4EVER","None","If I had to choose one it would be the right wing because they seem to be more realistic. The goal of the left wing is to build a utopia. The goal of the right wing is to build a functioning society.","hvozdany","33782","Could you explain what you mean by this? (utopia vs. functioning society)","political-stance-helps-country-more","08:24 PM","government-debates","4"
"02-03-2004","1649",1,"hvozdany","None","Could you explain what you mean by this? (utopia vs. functioning society)","AMD4EVER","33784","I hate trying to explain things without getting some idea of why someone is asking the question to me. Basically I do mean that republicans are focused on making a functioning society and letting things fall as they may while democrats when to use the government to create a utopia. If you don't agree with this let me know why. I don't know what exactly you are looking for.","political-stance-helps-country-more","08:49 PM","government-debates","5"
"02-04-2004","1649",1,"None","None","None","Pendergast","33860","Hi, am new here and am happy to be here. Anyway I feel that the right wants what is best for the country, because they want to lower taxs and I think that is a good thing. The left however wants from what I have heard anyway wants to rise mainly the rich peoples taxs(I am not rich by the way), and that is just redickulas what I think the left is missing is that they EARN that money, now some make the arugument that some people inharite that money and thats true but if they don't save that or invest it right, that money will be gone in a couple of months same goes for people who inharit companys if the don't run it properly it will ethier go bankurpt or they will lose control of that company. I will end by saying in my opioion atleast rich people shouldn't pay any more taxs then middle classed people or poor people.","political-stance-helps-country-more","06:28 PM","government-debates","6"
"02-04-2004","1649",1,"AMD4EVER","None","I hate trying to explain things without getting some idea of why someone is asking the question to me. Basically I do mean that republicans are focused on making a functioning society and letting things fall as they may while democrats when to use the government to create a utopia. If you don't agree with this let me know why. I don't know what exactly you are looking for.","hvozdany","33866","I apologize for not being more clear. I guess it was just a little vague for me. I am asking because since this is a debate, I thought, and not just a place to express opinions, I would like to know exactly what you mean in order for me to question or agree with your statement. So, more specifically to your statement, in what ways do Republican policies strive to create a functioning society while Democratic policies on the other hand only try to create an unachievable utopia? I guess I feel the need for some things that are kind of specific, otherwise the debate is in danger of turning into a 'democrats are good, and republicans are bad' type of debate. Such a debate, I feel, yields nothing. Again, sorry for not being clear on my question...if this did not clear up my intent, please let me know.","political-stance-helps-country-more","06:54 PM","government-debates","7"
"02-04-2004","1649",1,"Pendergast","None","Hi, am new here and am happy to be here. Anyway I feel that the right wants what is best for the country, because they want to lower taxs and I think that is a good thing. The left however wants from what I have heard anyway wants to rise mainly the rich peoples taxs(I am not rich by the way), and that is just redickulas what I think the left is missing is that they EARN that money, now some make the arugument that some people inharite that money and thats true but if they don't save that or invest it right, that money will be gone in a couple of months same goes for people who inharit companys if the don't run it properly it will ethier go bankurpt or they will lose control of that company. I will end by saying in my opioion atleast rich people shouldn't pay any more taxs then middle classed people or poor people.","hvozdany","33868","Hello, Pendergast, welcome to the forum, and thanks for your opinion. I agree that is a major difference between the right and left. The left does feel, I believe, that the rich should pay more than the poor. I do disagree, however, with your statement about how hard it is for the rich to stay rich. Capitalism is based upon the premise that wealth creates more wealth. True companies go bankrupt and lose money. But I ask how often the CEO, etc. actually become poor from this? Also, what do you mean exactly by rich people shouldn't pay more? For example, simply that we should take the budget of the US, and divide it by the population, and eveyone pay the same amount? Again, thanks, and welcome to the forum. -Dan","political-stance-helps-country-more","07:01 PM","government-debates","8"
"02-05-2004","1649",1,"None","None","None","AMD4EVER","33918","OK, well democrats favor things such as gay marriage, taxes on the rich to give to the poor, higher tax rates, open borders, larger government, smaller military, internationalism, pro environment, anti death penalty, and most of all social justice. Basically this seems to me to show that the democrats believe that large government can do better than small government, if everyone had the same amount of money it would be good, the environment is more important than business, and our country should be open to everyone. These are all very idealistic things that in theory if they all worked would create a wonderful society. If we could simply just open our borders to everyone and have it work out just dandy that would be great. If we could have a clean environment while having businesses be successful that would be great. If the poor could just take money from the rich to improve their lives which not affecting the rich people's lifestyle that would be great. If the government actually was efficient enough and successful enough to be able to spend our money better than individuals can spend their money and use this to improve all our lives that would be great. The democrats are idealistic in my view and perhaps one day they will be able to achieve their goals and make this dream of theirs come true. However their long term plan is one that I cannot see them succeeding on if they were given control of the country today. Republicans however seem to try to do what they can for society and basically allow individuals and businesses do the rest. Capitalism works in such as way that this can be successful right now. The only reason the government even needs to be in place is to uphold the laws and control the military. Other than that the society would simply run all by itself without any help. That is basically my view of what the republicans are trying to do and it seems realistic to me. It will of course hurt the environment and not solve world hunger anytime soon but it is at least a good plan based on the governments current capabilities. But don't get me wrong here, I'm not saying all republicans think this way and clearly Bush does not and clearly Clinton was not the democrat that I speak of here. I'm just talking about the goals of the average republican and average democrat and assuming they had 100% control over the country. I think the democrat government would try to control more than they had the ability to control and society would fall apart because of their vision while the republican government would allow the American society to continue on. Still, the best thing for the US may just be that a mix of democrats and republicans hold office and both sides are compeitively trying to help the society. In that way we can get the best of both sides.","political-stance-helps-country-more","08:06 AM","government-debates","9"
"02-05-2004","1649",1,"None","None","None","daewoo","33962","I think, in thoery, the republicans have got it a little closer to ""right"" than the democrats. In practice, neither side seems to be good for the country.","political-stance-helps-country-more","02:35 PM","government-debates","10"
"03-25-2004","1649",1,"splinter99","None","do you think a left wing party, such as Labour or the Democrats, are more aware of their countries needs, or vice versa? I personally think a right wing govt. because they are more nationalistic than left wingers and tend to spend more on the countries needs.","hvozdany","40951","I think that it can be kind of hard to define what is liberal and what is conservative, that there on many issues, there is nothing that makes the stance of the Democrats, for example, inheritantly 'liberal'. I also think that much of what is 'right' is a matter of opinion, but I I do believe that on most social issues, whether they are right or wrong forthe nation, and the world for that matter is moving, has been moving, and will continue to move in a direction more in line with the stances of the Democratic party. I guess I mean primarily in what I consider to be mostly civil rights issues. For example, The civil rights movement in the 60's I think most would agree was an issue championed much more by Dems than Republicans. Currently, gay rights, for example...I mean does anyone really think that in 100 years gay people aren't going to be allowed to marry?","political-stance-helps-country-more","12:45 AM","government-debates","11"
"03-25-2004","1649",1,"None","None","None","Ghost","40954","I think AMD hit the nail on the head: conservatives want a functioning government and society now, liberals want a utopia. I think that you do need a balance of both, but I do think that conservatism helps our country more. Liberals tend to go the way of appeasement, complete tolerance (which is not a good thing, despite what you hear in school), and cooperation with the UN. Conservatives seem to be much more of confronting enemies and evil head on, they're don't really believe in total tolerance (which is a good thing really, but very very dangerous), and are more independent in a national way.","political-stance-helps-country-more","03:11 AM","government-debates","12"
"03-25-2004","1649",1,"None","None","None","Eddie","40968","I`d like to point out that all of this is very country specific. Left or right, liberalalism, conservatism or socialism can all be very pragmatic or idealistic. While I would agree that conservatism as an ideology might be more inclined to be pragmatic, conservative parties can range from strong idealistic fringe party to pragmatic governing party.","political-stance-helps-country-more","09:03 AM","government-debates","14"
"03-25-2004","1649",1,"Phunting","None","I assume you mean ""correct"" here? Damn multiple meanings of words.","daewoo","41019","Yep, I mean ""correct"". It has been my experience that in general. liberals seem to be more idealistic while republicans tend to be more realistic (though there seems to be a new breed of fascist republican out there that is not as realistic). Idealism is fine, but you can only look at so many pretty pictures before you have to eat.","political-stance-helps-country-more","01:24 PM","government-debates","15"
"03-25-2004","1649",2,"None","None","None","hvozdany","41046","What is the liberal idealism that is unrealistic that people are talking about? Personally, I think that many conservatives are more idealistic and unrealistic. Generally, conservatives seem to be in favor of less federal government involvement in things. This often seems to manifests itself in the idea that corporations can regulate themselves, and be fair to their workers and the environment (something I think is unrealistic and idealistic) and that states can be trusted to do what is right for their people. (Also, I believe, this is often unrealistic and idealisitc as shown by the south's attitude to segration.) Don't get me wrong, I love the idea that corporations can be trusted, and that states should be allowed to govern themselves, but history just does not seem to indicate this is true. I like states and corporations to have freedom, but to think that there is no need for any kind of oversight is, I think, idealistic, and unrealistic.","political-stance-helps-country-more","03:59 PM","government-debates","16"
"03-25-2004","1649",2,"None","None","None","jitobear","41076","Good post. I also think conservatives seem to have less of an idea about the realities of people of color or about the very poor. Regarding big government: liberals are big government in your wallet, conservatives are big government in your bedroom. I think the only political party that is truly small government is liberterian (not one, myself). To answer the initial question though - I think we would be limping and useless without the great diversity or thought, ideas and opinions we have here. I think the lack of those things is one of the main reasons totalitarian governments fail.","political-stance-helps-country-more","08:00 PM","government-debates","17"
"03-28-2004","1649",2,"Phunting","None","Not entirely. I see the view over drugs and sexual abstinence held by many of the right to be ridiculously idealistic. But you are correct, you need both wings to fly...","Ghost","41389","Yeah, the right normally encompasses the majority of Christians in this country, and they do have some ridiculous views about sex..drugs I dunno, I have objections to them, especially serious ones. But the paranoia they hold about things like this is pretty funny. As far as sex goes, the Buddhists have it right. You do need both philosophies in a country to have it run effectively, if you have either one in total control you're going to have problems.","political-stance-helps-country-more","06:08 PM","government-debates","18"
"03-31-2004","1649",2,"None","None","None","Toukalos","41783","Its not a matter of conservative vs. liberal....its a matter of a progressive government <regardless of ideology> versus a stagnant one.","political-stance-helps-country-more","01:14 AM","government-debates","19"
"03-31-2004","1649",2,"Ghost","None","drugs I dunno, I have objections to them, especially serious ones.","Phunting","41801","Sure I agree, but the reaction of the right in this country anyway tends to be that if we suppress all information about them then nobody will take them. Instead of actually addressing the problem they prefer to stick their heads in the sand.","political-stance-helps-country-more","05:25 AM","government-debates","20"
"03-31-2004","1649",2,"Toukalos","None","Its not a matter of conservative vs. liberal....its a matter of a progressive government <regardless of ideology> versus a stagnant one.","hvozdany","41867","Just curiouis what you meant by this...isn't liberal often seen as synonomous with progressive...I think that most people that call themselves progressive would also call themselves liberal...what do you see as the difference?","political-stance-helps-country-more","01:16 PM","government-debates","21"
"03-31-2004","1649",2,"Phunting","None","Sure I agree, but the reaction of the right in this country anyway tends to be that if we suppress all information about them then nobody will take them. Instead of actually addressing the problem they prefer to stick their heads in the sand.","Ghost","41869","I agree, that is what the right has a tendency to do.","political-stance-helps-country-more","01:32 PM","government-debates","22"
"03-31-2004","1649",2,"hvozdany","None","Just curiouis what you meant by this...isn't liberal often seen as synonomous with progressive...I think that most people that call themselves progressive would also call themselves liberal...what do you see as the difference?","Toukalos","41891","That is a misnomer. The real issue should not be ""what ideology is better?"", for they are both contraining and divisive. What is necessary is a government unshackled from ideology so as to be flexible and diverse enough to handle the varying situations a State encounters. Any government bound by an ideology, be it ""conservative"" or ""liberal"" <those vague terms which mean little anyway> is doomed to incrementalism and stagnation.","political-stance-helps-country-more","03:50 PM","government-debates","23"
"04-29-2004","1649",2,"jitobear","None","I also think conservatives seem to have less of an idea about the realities of people of color or about the very poor.","pyromattiac","46804","I am a conservative, and I demand to know why you bring ""color"" into this. During the civil rights movement, Dr. King dreamed of a color-blind society. A society ""that my four children will one day live in a nation where they will not be judged by the color of their skin but by the content of their character"". The goal is to have all men equal. It is not to support a person because of the color of their skin. We now live in a nation in which schools prefer minorities over the majority, in which the best and the brightest are not chosen simply because of their skin. If we lived in a 100% right-wing country, I can guarentee you that it would truly be color blind. With no racial quotas for television networks to fill.","political-stance-helps-country-more","08:51 PM","government-debates","24"
"04-30-2004","1649",2,"pyromattiac","None","I am a conservative, and I demand to know why you bring ""color"" into this. During the civil rights movement, Dr. King dreamed of a color-blind society. A society ""that my four children will one day live in a nation where they will not be judged by the color of their skin but by the content of their character"". The goal is to have all men equal. It is not to support a person because of the color of their skin. We now live in a nation in which schools prefer minorities over the majority, in which the best and the brightest are not chosen simply because of their skin. If we lived in a 100% right-wing country, I can guarentee you that it would truly be color blind. With no racial quotas for television networks to fill.","Toukalos","46930","They tried the whole ""100%"" right-wing thing....its called fascism. You are correct though, there were no racial quotas, just a master race.","political-stance-helps-country-more","03:01 PM","government-debates","25"
"04-30-2004","1649",2,"None","None","None","pyromattiac","46996","if i recall, the master race was an issue that came from an occult hitler belonged to. I do apologize, I didn't mean a 100% right wing, what I truly was thinking of was a 100% fair and equal country. It seems to me that our country is at a turning point, the progressive aims have been over-achieved and now we need to get back to a balance. The next logical step that our country should take is trying to convince other countries to adopt our views. Things like womens rights can only be taken so far, the line was crossed a few years ago with Roe vs Wade, which made the killing of the weakest members of society legal. Somewhat similar to a cooling graph, the liquid of society supercools past the line and then stabilizes. Civil rights can be taken too far, but then again so can control. I would like to finish saying that we are near an equilibrium in our country, but a few of the civil rights issues that end up hurting people need to be corrected.","political-stance-helps-country-more","08:48 PM","government-debates","26"
"04-30-2004","1649",2,"jitobear","None","Good post. I also think conservatives seem to have less of an idea about the realities of people of color or about the very poor. Regarding big government: liberals are big government in your wallet, conservatives are big government in your bedroom. I think the only political party that is truly small government is liberterian (not one, myself). To answer the initial question though - I think we would be limping and useless without the great diversity or thought, ideas and opinions we have here. I think the lack of those things is one of the main reasons totalitarian governments fail.","sglaine","47024","I aggree here the problem is that the perverted concervatives want to be in the bedroom. yes yes yes. Next they will be in the bathroom.","political-stance-helps-country-more","09:37 PM","government-debates","27"
