"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"02-02-2004","1694",1,"None","None","None","13ullet","33572","From the looks of recent events, and the young generation in America, not long till it all fails.","final-hour-united-states","08:38 PM","government-debates","1"
"02-03-2004","1694",1,"None","None","None","daewoo","33608","People have been saying that for DECADES. The US was going to fall because of the communists, the hippies, there were going to be race wars, class warfare. It was going to be big and mean and bad and bloody.","final-hour-united-states","05:23 AM","government-debates","2"
"02-03-2004","1694",1,"None","None","None","mamboni","33625","Well, it's inevitable, really. I'm not asserting this will occur anytime soon, it may be far off. But I am sure this nation will fall, non-violently I hope, as every other giant empire has before. America seems to have an aura of invincibility emanating from it at the moment and we're still the strongest economy in the world. But one day our powers will be trite. We will subside as a superpower eventually, but as of now we're still an infant nation.","final-hour-united-states","09:40 AM","government-debates","3"
"02-03-2004","1694",1,"13ullet","None","From the looks of recent events, and the young generation in America, not long till it all fails.","hvozdany","33631","What do you mean by this, exactly? Could you be more specific?","final-hour-united-states","11:50 AM","government-debates","4"
"02-03-2004","1694",1,"None","None","None","Toxey","33648","Anyone have any ideas how this will happen,economic,political,evironmental? I am sure one day it will happen.All good things come to a end.","final-hour-united-states","01:27 PM","government-debates","5"
"02-03-2004","1694",1,"None","None","None","mamboni","33653","I don't believe America's full demise will be witnessed by this generation, though things will start to deteriorate once China grows larger. Still, we've got a lot of economical ties to Asia and they serve as a backbone to our economy to some extent so I don't foresee any sparring between America and China.. well, not anytime soon. We're both pretty dependent on one another, so it's more mutual. Rest assured, our nation will collapse - well I wouldn't be that harsh, but our superpower stature will shrink quite a bit over the next few decades, I believe. However, I don't think it will be a total end, just a slurred deterioration.","final-hour-united-states","01:47 PM","government-debates","6"
"02-03-2004","1694",1,"None","None","None","Draconis","33663","I have to agree, I mean look at britian. They went from being one of the greatest superpowers of the world to being somebody who almost got beaten by germany.","final-hour-united-states","02:41 PM","government-debates","7"
"02-03-2004","1694",1,"Draconis","None","I have to agree, I mean look at britian. They went from being one of the greatest superpowers of the world to being somebody who almost got beaten by germany.","hvozdany","33683","I guess most people here feel that the debate is on the US's status as a superpower, but is that really so important? You brought up the example of Great Britian...is our standard of living that much better than England's?","final-hour-united-states","03:54 PM","government-debates","8"
"02-03-2004","1694",1,"None","None","None","Draconis","33688","its about the same. I was having this debate with somebody else, but the point is, britian could do whatever it wanted, beat whoever it wanted, but as britian was, so soon will be the U.S., its all a matter of time. But if you were talking about the death of the U.S. the country, where the U.S. on the maps would be like ""Canada south"", then that will be years and years and years away.","final-hour-united-states","04:07 PM","government-debates","9"
"02-03-2004","1694",1,"Draconis","None","its about the same. I was having this debate with somebody else, but the point is, britian could do whatever it wanted, beat whoever it wanted, but as britian was, so soon will be the U.S., its all a matter of time. But if you were talking about the death of the U.S. the country, where the U.S. on the maps would be like ""Canada south"", then that will be years and years and years away.","hvozdany","33697","Yeah, I think that we probably all agreee that the US will not be a superpower forever...how long is interesting, as China grows more powerful. ...I guess I was only sort of saying that I think a lot of Americans fear not being the only superpower in the world, but I am not sure that it is something they need to fear. Many non superpowers around the world have a standard of living comperable to ours. And being a superpower does come with its disadvantages, which I am not even sure outweigh the positives.","final-hour-united-states","04:44 PM","government-debates","10"
"02-03-2004","1694",1,"None","None","None","AMD4EVER","33762","Personally I see the US eventually collapsing because the system of our world becomes much more complicated. I believe the US will be around 100 years from now and will probably still be a power to be dealt with. However there are many things that could cause the entire system we live under today to complete collapse. For one thing the development of extremely advanced AI put into use for political purposes eventually leading to a much more logical way to structure the way different countries deal with each other. It may even lead to dissolving borders or combining economies and governments. Lets not forget that the entire idea of countries has changed a whole lot in the last 1000 years, even the last 400 years since the colonial days, and change is moving a whole lot faster now. I also won't under estimate the idea of a 1984 or a Jennifer Government type of system coming into place if control or economics becomes vastly more influential over the world. Basically I don't think the US will fall at all. I think that it will evolve into something different than it is right now.","final-hour-united-states","07:25 PM","government-debates","11"
