"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"05-23-2004","2465",1,"None","None","None","billsco","51927","In the 1980's, I became a member of the Reagan Revolution, which sought to limit the size and scope of the federal government and return power to the individual states. This, oddly enough, is called federalism. It had at its core a very appealing message to me: States are more responsible with our tax dollars and are in a better position to determine what is best for its citizens, as opposed to sending money to the out-of-touch politicians in Washington, D.C. presiding over a bloated budget. The movement has continued to the present, where Republicans today continue to push the ""devolution revolution"", wanting more and more power devolved to the local level, such as school boards, cities and townships. Opposing them are the people who believe in a strong federal government which can best watch over the interests of all people. Even more odder, this could be called statism. This very divided country has had me examining my beliefs closely of late and I'm beginning to become very disenchanted with federalism. Here's my thinking. I don't believe we could ever have become a great nation, striving to give equal rights to all, or provide some common sense measures to protect the environment for instance, with federalism. I find pettiness creeping in at a local level, a way for small-time politicians to push their small-minded agendas. The township supervisors where I live have hardly shed their Neanderthal brows yet, let alone debate the pros and cons of the space program. There is something comforting to travel from state to state and see more uniformity than not. I could easily imagine check stops at each border, being given thick booklets containing myriads of local laws and rules, all the result of some pet project of local politicos. Questions: 1. Do I have my terminology right? 2. Am I becoming a liberal weenie? 3. Can one hold a view like this and still be called a fiscal conservative? 4. Where am I going wrong in my thinking? Thanks.","why-i-am-against-federalism","02:53 PM","government-debates","1"
"05-23-2004","2465",1,"billsco","None","Since the 1980's, I was a member of the Reagan Revolution, which sought to limit the size and scope of the federal government and return power to the individual states. This, oddly enough, is called federalism. It had at its core a very appealing message to me: States are more responsible with our tax dollars and are in a better position to determine what is best for its citizens, as opposed to sending money to the out-of-touch politicians in Washington, D.C. presiding over a bloated budget. The movement has continued to the present, where Republicans today continue to push the ""devolution revolution"", wanting more and more power devolved to the local level, such as school boards, cities and townships. I don't believe we could ever have become a great nation, striving to give equal rights to all, or provide some common sense measures to protect the environment for instance, with federalism. I find pettiness creeping in at a local level, a way for small-time politicians to push their small-minded agendas. The township supervisors where I live have hardly shed their Neanderthal brows yet, let alone debate the pros and cons of the space program. There is something comforting to travel from state to state and see more uniformity than not. I could easily imagine check stops at each border, being given thick booklets containing myriads of local laws and rules, all the result of some pet project of local politicos. I could easily imagine check stops at each border, being given thick booklets containing myriads of local laws and rules, all the result of some pet project of local politicos. Questions: 1. Do I have my terminology right? 2. Am I becoming a liberal weenie? 3. Can one hold a view like this and still be called a fiscal conservative? 4. Where am I going wrong in my thinking?","daewoo","51960","I think the concept of federalism went (and still goes) much further than simply fiscal control. It is about the sharing of power between a centralised (the federal) and decentralised (the states) government. The idea is not only that people at the state level are more adept at deciding how money should be spent, but also that the states should have more power. If citizens of a state become dissatisfied with their government, they could change it in 3 or 4 years, completely sweeping house and installing new people to all elected positions. This extends to things like law enforcement as well. Our local sheriffs department has a conviction rate that makes the FBI look downright incompetent. The thing is, MOST sheriffs departments in my state have conviction rates that make the FBI look incompetent. The exceptions are out west, in counties that only have a hundred or so people, and have no crime. THey have a conviction rate of either 0 or 100%, depending on how you look at it. They manage this because your local sheriffs department is right there on the ground, every day. They know the people, they know what is going on, and they know who to ask if something is going on that shouldn't be. THey treat the people around here like citizens with rights, because otherwise the sheriff will not be re-elected and he knows it, so he keeps his guys on a leash. At a federal level, the agents don't have the advatages that the local sheriffs department does. We try to make up for this with more and cooler toys and more power for our LE personell. IT doesn't usually work. They also do not have to play nice nearly so much, since they are buffered from the court of public opinion. In my state we have state welfar and social programs. They run without the waste that comes with the federal system. Over 80% of the money that goes into the system ends up helping poor people, with the other 20% running to administraive costs. When was the last time a federal social program ate up less than half the money on administrative costs? If I remember correctly, it was during the depression. But we did become a great nation on a more federalistic system. Right up until WWII, the US was a LOT more federalist than we are now. The government in our coutry ate up only 5% pf the GDP, as opposed to over 50% today. People didn;t recieve as much education in general, but te education they did recieve was of a much higher quality. I read a report not long ago that a member of our local school board had prepared. They took some old tests (circa 1940) and administered them to a bunch of graduating seniors from one of our local high schools. NOt a single one passed the test. This is pathetic. We are supposed to be getting SMARTER. While there can definatly be a problem with local politicians being small minded and pushing a petty agenda, it s also fairly simple to get rid of those guys through democratic processes. We also have politicians pushing small minded agendas and being petty at a national level, and they are MUCH harder to get rid of. This was the genius of the American system. We were suposed to have the best of both worlds. You have local control over many things, programs being run directly within sight of people who are able to pull the plug if it doesn't seem to be working out, and politicians who are also operating under the scrutiny of citizens who can remove them from office easily if they fail to perform. This is democracy. Our founding fathers apparently believed in the wisdom of the population at large to keep such things from happening. Perhaps they were mistaken, becasue our population at large does not seem to be exibitng a lot of wisdom lately. We also have a federal system in place, that does things like handle space programs and make sure that all the different states play nice. They also act as a check on the powers of the state and ensure our rights are recognised by those states. AS far as I know, more or less, though federalism is not at all limited to fiscal matters. It is the sharing of power between the federal government and the states. I think it was a good idea while it lasted. The other major thing that seems to be missing is that you are not talking an either or prposition. you still have a federal government, you just lift some of the burden of governing from them. Dunno I would say no. Others might disagree IMHO you are seeing too many things as black or white. There are many shades of grey. Federalism does not preclude the federal government from operating things like the space program, or the military. It simply shifts some of the power, and some of the burden of governing, to the states. Traditionally, federalists talk about things like shifting social programs to the states. From my experience, this is a good idea. Any time you run any agency, there is going to be waste. In a huge system like the federal welfare program, these are going to be HUGE wastes. In a smaller program such as a state might run, the program is likely to be run far more efficiently just for the fact that it is easier to oversee a smaller program. PErsonally I think that law enforcement should be carried out at a local or state level whenever possible. YOu still need a federal LE agency to handle crimes that take place or involve many different jurisdictions, but the majority of crimes do not fall into such a category. Somebody is going to say that ""we need a large federal LE frce becasue local departments don't have the funding or equipment to handle it on their own"". That person will be wrong. Compare conviction rates of local LE agencies to federal agencies and this becomes quickly apparent. Pick a random local LE agency if you want. I don;t think it really matter which one you pick.","why-i-am-against-federalism","09:15 PM","government-debates","2"
"05-24-2004","2465",1,"None","None","None","Phunting","52017","I know little about the states system, being British where one isn't in operation. However one problem I do feel with such a system is where a certain act is legal in one state and illegal in another. Surely something is either acceptable or not, and it should be for the government to decide which. To put this into perspective, I used to live in Melbourne, Australia. This was in a State (Victoria) where marijuana was illegal, however just next door in the state of South Australia it is legal. Now firstly this is a very strange state of affairs (no pun intended) to me, either it is harmful and unacceptable or not. Furthermore it appears to put an unfair pressure on the Victorian police, who have to combat something that is legal across not a country border, but just a state one. Making control of smuggling and the like almost impossible I should think.","why-i-am-against-federalism","12:48 PM","government-debates","3"
"05-25-2004","2465",1,"None","None","None","emclean","52090","This kind of thing happens all over the place in the states. The county where Jack Daniels is made is a dry county; you are not allowed to consume alcohol. In Chicago there is a ban on all fireworks, here in NW Indiana, I can get mortar type fireworks. There is also the difference (over there most likely) of when you go from outside the city limits to within the limits.","why-i-am-against-federalism","10:21 AM","government-debates","4"
"05-26-2004","2465",1,"daewoo","None","In my state we have state welfar and social programs. They run without the waste that comes with the federal system. Over 80% of the money that goes into the system ends up helping poor people, with the other 20% running to administraive costs. But we did become a great nation on a more federalistic system. Right up until WWII, the US was a LOT more federalist than we are now. People didn;t recieve as much education in general, but te education they did recieve was of a much higher quality. I read a report not long ago that a member of our local school board had prepared. They took some old tests (circa 1940) and administered them to a bunch of graduating seniors from one of our local high schools. NOt a single one passed the test. This is pathetic. We are supposed to be getting SMARTER.","billsco","52168","Hi daewoo, Thanks for the thoughtful response. I suppose you're right about the black and white thing. It isn't an either or thing, it's a balance. But where to put the fulcrum? I'm not comfortable placing it back too much further to the advantage of local politics. (Local law enforcement of course is an exception.) I have my eye more on school boards. If they are allowed more power or autonomy, I think it will be to the detriment of our kids. If a school district is tied to what are the community's standards, then the kids will be at a disadvantage to rise above any prejudices that may be present locally. I see harmful intrusions of small-mindedness in school boards. Kansas recently tried to marginalize evolution in its classrooms in favor of creationism, for instance. That seems pretty high for any type of governmental agency, but if they're doing it, congratulations to your state. The U.S. was also a very racist and misogynistic society previous to WWII. A strong federal government helped a great deal in reversing those trends. I don't believe a weak central government with stronger local level politics could have ever tackled those problems. I took a test from the senior class of 1902 that was found and published in a newspaper. I failed miserably too. It does seem that there was a lot more emphasis placed on history and other basics. regards","why-i-am-against-federalism","08:13 AM","government-debates","5"
"05-26-2004","2465",1,"billsco","None","I suppose you're right about the black and white thing. It isn't an either or thing, it's a balance. But where to put the fulcrum? I'm not comfortable placing it back too much further to the advantage of local politics. (Local law enforcement of course is an exception.)","georged","52173","[COLOR=Black] Local politics are the basis of both major political parties in the US due to the money, power and demographic factors. What shocks most people upon their first encounter with a local 'machine' is the sheer amount of economic and social structure power that local money does control. If one takes say a Deep South city or county dominated by conservative Democrats, the personal policies of those who hold the wealth are going to permeate the social structure, business community and belief systems. This will hold true in virtually any established city or county in the US. The major factor in control is always economic, regardless of population demographics including belief systems, educational levels and distribution of wealth below the top tier. Well always have some seemingly dumb as a post representation at all levels because they all owe somebody else for their positions, and those who bestow that political power are doing so to ensure that their personal policies are the defacto governing policies. If you want to know who controls your city, simply identify the democratic/republican committee members and discover who makes the political contributions to the various candidates and PACs. When 25% local registered voter turnout is the norm, a little money goes a long way in ensuring that city remains your personal fiefdom.","why-i-am-against-federalism","09:40 AM","government-debates","6"
"05-26-2004","2465",1,"georged","None","[COLOR=Black] Local politics are the basis of both major political parties in the US due to the money, power and demographic factors.","billsco","52175","I think the old axiom, ""All politics are local"" isn't quite as true as it used to be. I think we've expanded our horizon quite a bit and begun to look more nationally and, yikes, even globally. Even the so-called Republican revolution which of course championed the devolution revolution, was nationalistic in a number of aspects.","why-i-am-against-federalism","10:26 AM","government-debates","7"
"05-26-2004","2465",1,"billsco","None","I think the old axiom, ""All politics are local"" isn't quite as true as it used to be. I think we've expanded our horizon quite a bit and begun to look more nationally and, yikes, even globally. Even the so-called Republican revolution which of course championed the devolution revolution, was nationalistic in a number of aspects.","georged","52202","Seating at local Republican events is still determined by contributor and potential contributor status. And people at the head table other than current politicians are people youll never see in the newspapers or on TV unless it happens to be in the society, business or general interest sections because of a public endowment. Normally their reps, prominent lawyers and powerhouse ad agencies that handle political campaigns represent them. When national committee members zoom in for big buck dinners that status remains constant, usually with the big money in attendance. National meetings have the same recognition of the money people. My in-laws are substantial demo contributors and the pecking order is the same there, though the demo contributors like the limelight more than their opposite numbers. Public interest is terminology, not reality. Politics have always been a combination of money and power, nothing else. Local, national or international, its still driven by money, using the combined force with special interest participation and control determined by contribution levels. No politician really cares who runs the school board, university regents or other day-to-day issues as long as they have a rep to make sure the idealism doesnt get too expensive. The power is in city/county/state/national political administration of public services, where the money is spent.","why-i-am-against-federalism","01:57 PM","government-debates","8"
"05-26-2004","2465",1,"georged","None","Politics have always been a combination of money and power, nothing else.","billsco","52207","That's a good thing, IMO. Compare it to combination of money and no power--it sounds like a volatile combination, ripe for a bloody revolution. He who has the gold makes the rules. Despite our protests, it works.","why-i-am-against-federalism","02:36 PM","government-debates","9"
"05-26-2004","2465",1,"None","None","None","georged","52210","It works for me, but I don't know how you younger guys are going to contain the growing numbers of have-nots without being taxed to death as education concentrates on social responsibility without the bait of economic expansion. That's going to be a big voting block to pay off.","why-i-am-against-federalism","03:08 PM","government-debates","10"
