"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"08-27-2004","3046",1,"None","None","None","pnac=ww3","64506","Since it always seems to be the president who is blamed for a nation's problems and it always looks like it's the executive branch with all the power, why do we need the office of president anymore? Why does congress wrestle and wrangle to make a new law only to have one person in a more temporary position veto it? Anyway, long story short, all a president seems to do is cause a lot of problems. Why don't we just abolish the office? We might be better off.","do-we-have-have-president","04:41 PM","government-debates","1"
"08-27-2004","3046",1,"pnac=ww3","None","Since it always seems to be the president who is blamed for a nation's problems and it always looks like it's the executive branch with all the power, why do we need the office of president anymore? Why does congress wrestle and wrangle to make a new law only to have one person in a more temporary position veto it? Anyway, long story short, all a president seems to do is cause a lot of problems. Why don't we just abolish the office? We might be better off.","Ladywolf","64520","Good question. If I was a lawyer, I'd answer it. It doesn't seem we have a very good one right now (supports your statment that the president is blamed). The best answer I could come up with is that we would have to ammend the constitution...that's expensive. We also need a ""Commander in Chief of the Armed Forces"" to make decisions like sitting in a chair reading ""My Pet Goat"" after being informed that our country is under attack.","do-we-have-have-president","05:58 PM","government-debates","2"
"08-27-2004","3046",1,"None","None","None","emclean","64533","and there is a need for a figure head when dealing with other countrys. it would be unrelistic for a world leader to come to DC and have a chat with all of congress.","do-we-have-have-president","07:14 PM","government-debates","5"
"08-29-2004","3046",1,"emclean","None","and there is a need for a figure head when dealing with other countrys. it would be unrelistic for a world leader to come to DC and have a chat with all of congress.","Duo_Maxwell","64725","That would be extremely amusing to watch though. I would pay good money to watch that.","do-we-have-have-president","04:08 AM","government-debates","6"
"08-29-2004","3046",1,"emclean","None","and there is a need for a figure head when dealing with other countrys. it would be unrelistic for a world leader to come to DC and have a chat with all of congress.","georged","64755","None of the congressional members would show. It could mean taking a public position on issues.","do-we-have-have-president","12:36 PM","government-debates","7"
"08-30-2004","3046",1,"None","None","None","billsco","64891","I like the presidency. It is endlessly fascinating to read of the men who have occupied this largely figurehead position, yet wielded enormous power through their personalities alone. Teddy Roosevelt and his bully pulpit, for instance, really helped define and enlarge modern presidential parameters. I suppose if your man is not currently sitting in the Oval Office, it isn't as fascinating a story. But as for abolishing the position, I wouldn't like it. There is nothing worse than a senator on a high horse, in case you missed the spate of recent hearings on Capitol Hill, and they would be the main beneficiaries of the power adjustment. In times of need, even a mediocre figurehead is welcome, IMO.","do-we-have-have-president","10:13 AM","government-debates","8"
"09-10-2004","3046",1,"None","None","None","pnac=ww3","66470","Like I said, the responsibilities could be reassigned to people with more specific titles. There could be the National Foreign Liaison. Diplomats would vie to be elected to the highest diplomatic office in the land. There would be an office for Commander in Chief. Chiefs and Generals (principally) would vie for this elected office. There would most likely be MORE checks and balances without a high concentration of power in one man (or office). And all the people in these high up executive offices would know what they are doing. Anyway, this is all dreaming.","do-we-have-have-president","05:06 PM","government-debates","9"
"09-12-2004","3046",1,"None","None","None","pickleweaseler","66689","What is wrong with the president having veto power?","do-we-have-have-president","12:16 PM","government-debates","10"
"09-12-2004","3046",1,"None","None","None","emclean","66695","also remember the congressional members do not have term limets, so we could get the same SOB that 49 stares would have no controle over him staying in office.","do-we-have-have-president","02:00 PM","government-debates","11"
"09-12-2004","3046",1,"emclean","None","also remember the congressional members do not have term limets, so we could get the same SOB that 49 stares would have no controle over him staying in office.","pnac=ww3","66700","What would congress not having term limits have to do with reassigning the duties currently performed by the president to new and separate offices? Congressmen would still be congressmen the way they are now. A lot of snags would have to be figured out. Like who would nominate the Chief Justice.","do-we-have-have-president","02:34 PM","government-debates","12"
"09-27-2004","3046",1,"pickleweaseler","None","What is wrong with the president having veto power?","Dzeron","68745","The problem is that the President is an executive officer, not a legislator. And more so, he is elected on a nationwide winner-take-all basis, so, for example, a 51% Republican nation has 100% control of the presidency.","do-we-have-have-president","10:02 PM","government-debates","13"
"09-29-2004","3046",1,"Dzeron","None","The problem is that the President is an executive officer, not a legislator. And more so, he is elected on a nationwide winner-take-all basis, so, for example, a 51% Republican nation has 100% control of the presidency.","pickleweaseler","69121","The veto is part of the system of checks and balances. Congress can override a veto.","do-we-have-have-president","07:51 PM","government-debates","14"
"10-10-2004","3046",1,"pickleweaseler","None","The veto is part of the system of checks and balances. Congress can override a veto.","Sigma","70961","Which they probably won't do when the Congress is controlled by Republicans as well :P","do-we-have-have-president","02:34 PM","government-debates","15"
"02-05-2005","3046",2,"Dzeron","None","The problem is that the President is an executive officer, not a legislator. And more so, he is elected on a nationwide winner-take-all basis, so, for example, a 51% Republican nation has 100% control of the presidency.","gmichailovic","89896","You are incorrect. You are basing this on a direct democracy, saying that the majority choice is the winner. In the U.S., the electoral college is used. The majority runner-up can still lose if his opponent has all the right states.","do-we-have-have-president","03:37 AM","government-debates","16"
