"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"11-04-2004","3634",1,"None","None","None","pnac=ww3","75357","So, I was thinking (and it hurt). The US is a pluralistic society. There are people of many cultures and religions living here and making there lives. We all worship differently and even worship different gods if we do at all. So there are many gods that Americans as a group worship and ""trust."" In various official places, usually on a wall in a courtroom and on official seals and money, there is the phrase ""In God We Trust"" But this implies that there is only one god that we as a nation trust. This just isn't the case since there multiple religions and multiple gods that are being trusted. What would be so bad about adding a little ""s"" right in the middle? ""In Gods We Trust."" At the very least, this is a much more accurate statement. Thoughts? .","just-one-little-s","01:25 PM","government-debates","1"
"11-04-2004","3634",1,"pnac=ww3","None","What would be so bad about adding a little ""s"" right in the middle? ""In Gods We Trust."" At the very least, this is a much more accurate statement. Thoughts? .","georged","75393","Christians require a newer testament for all changes and as historical/geographical accuracy has never been a big deal, maybe they can choose a new group of oracles who can pen one using the plural version of God and GPS readings. Wait, the GPS could mean a new worship symbol requiring even more 'tithes', so maybe that part isn't such a good idea.","just-one-little-s","03:14 PM","government-debates","2"
"11-04-2004","3634",1,"None","None","None","jim's trucking","75395","This is a new slant on an old argument. An interesting point, but still appears directed at the very mention of God in governmental affairs. Our founding fathers and the writers of the Constitution did NOT intend for us to be a country without God or the mention of His name. All they say in the First Amendment is that the government shall not require or deny the right to worship. Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof ; or abridging the freedom of speech, or of the press, or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances. Having ""In God we trust"" on coins and currency does not establish a religion, though it does recognize the existence of God. Hows about we change it to ""God be da man!""","just-one-little-s","03:17 PM","government-debates","3"
"11-04-2004","3634",1,"None","None","None","jim's trucking","75412","Here's one you might worry about tonight! DID YOU KNOW? As you walk up the steps to the building which houses the U.S. Supreme Court you can see near the top of the building a row of the world's law givers and each one is facing one in the middle who is facing forward with a full frontal view .. it is Moses and he is holding the Ten Commandments! ...","just-one-little-s","03:38 PM","government-debates","4"
"11-04-2004","3634",1,"jim's trucking","None","This is a new slant on an old argument. An interesting point, but still appears directed at the very mention of God in governmental affairs. Our founding fathers and the writers of the Constitution did NOT intend for us to be a country without God or the mention of His name. All they say in the First Amendment is that the government shall not require or deny the right to worship. Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof ; or abridging the freedom of speech, or of the press, or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances. Having ""In God we trust"" on coins and currency does not establish a religion, though it does recognize the existence of God. Hows about we change it to ""God be da man!""","pnac=ww3","75542","Ok, that has nothing to do with the question. Congress would still be making no laws by putting an ""s"" in there. Actually, congress would have nothing to do with it. All it would take is someone to physically put it on the wall or change the templates at the mint. .","just-one-little-s","08:21 PM","government-debates","5"
"11-04-2004","3634",1,"jim's trucking","None","Here's one you might worry about tonight! DID YOU KNOW? As you walk up the steps to the building which houses the U.S. Supreme Court you can see near the top of the building a row of the world's law givers and each one is facing one in the middle who is facing forward with a full frontal view .. it is Moses and he is holding the Ten Commandments! ...","pnac=ww3","75543","So? I just don't care, honestly. I'm asking YOU if you would care if we put an ""s"" at the end of the word ""god"" wherever it says ""In God We Trust."" The statement would be more accurate. Ok, the 10 commandments cover the ""big three"" religions. Xians, Jews, and Muslims all look to Moses as a prohpet and revere the 10 cdmts. Would YOU care if Hammurabi's Code or Codified Roman Law were up there instead of the big 10? .","just-one-little-s","08:28 PM","government-debates","6"
"11-10-2004","3634",1,"pnac=ww3","None","So? I just don't care, honestly. I'm asking YOU if you would care if we put an ""s"" at the end of the word ""god"" wherever it says ""In God We Trust."" The statement would be more accurate.","zonkola","76817","The problem with this solution is that it ignores a key point: With freedom of religion comes the freedom to not participate in religion. If you look at it that way, the difference between ""god"" and ""gods"" is irrelevant. Additionally, there are religious beliefs that don't involve a god-like being.","just-one-little-s","02:52 PM","government-debates","7"
"11-11-2004","3634",1,"zonkola","None","The problem with this solution is that it ignores a key point: With freedom of religion comes the freedom to not participate in religion. If you look at it that way, the difference between ""god"" and ""gods"" is irrelevant. Additionally, there are religious beliefs that don't involve a god-like being.","pnac=ww3","77007","That's my point. It shouldn't matter one bit whether there is an ""s"" there or not. I'm looking for people that would care one way or another. I think we should start putting it up there and see how many complaints we get, and what those complaints are. My first thought would be that a main complaint would be ""But we trust in ONE god."" And I would say to that ""No, there are many religions represented in our nation and therefore many gods. The statement 'In Gods We Trust' is more accurate.""","just-one-little-s","07:17 PM","government-debates","8"
"11-11-2004","3634",1,"pnac=ww3","None","That's my point. It shouldn't matter one bit whether there is an ""s"" there or not. I'm looking for people that would care one way or another. I think we should start putting it up there and see how many complaints we get, and what those complaints are. My first thought would be that a main complaint would be ""But we trust in ONE god."" And I would say to that ""No, there are many religions represented in our nation and therefore many gods. The statement 'In Gods We Trust' is more accurate.""","CCR1994","77025","It may be a trivial point to some, but it seems logical to suggest that different religions acknowledge the same God in a different way. So it is not a case, as you suggest, that people of different religions necessarily worship a different God.","just-one-little-s","10:37 PM","government-debates","9"
"11-12-2004","3634",1,"CCR1994","None","It may be a trivial point to some, but it seems logical to suggest that different religions acknowledge the same God in a different way. So it is not a case, as you suggest, that people of different religions necessarily worship a different God.","pnac=ww3","77138","Ok, so all the religions represented in the US only worship one god? I don't think so. We can say that the Xian/Jew/Muslim triad all look to the ""same"" god (even though each would say the other worships a false god), but that leaves out Hindus, or Wiccans, or Pagans, or Buddhists (that don't really look to a god), or any other religion that's not one of those three. Anyway, still, I have not heard one valid complaint about the ""s.""","just-one-little-s","04:36 PM","government-debates","10"
