"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"03-12-2003","373",1,"None","None","None","Stormin Norman","4473","posted on the communist forum by a rabid socialist: GWB is being sued right now for unconstitutional actions taking to declare war on Iraq. His dad was sued for the same reason. How many Americans know this. My answer to such utter stupidity: I know some XXXXXX have decided to question the presidents ability to commit troops without a formal declaration of war. However, they are going to lose their case, because it is a weak argument. The U.S. Constitution states: ""The President shall be Commander in Chief of the Army and Navy of the United States, and of the Militia of the several States, when called into the actual Service of the United States; he may require the Opinion, in writing, of the principal Officer in each of the executive Departments, upon any Subject relating to the Duties of their respective Offices, and he shall have Power to grant Reprieves and Pardons for Offences against the United States, except in Cases of Impeachment. He shall have Power, by and with the Advice and Consent of the Senate, to make Treaties"" -U.S. Constitution; Article 2, Section 2 Where as, the Congress has the power to declare war. The problem lies in the fact that Congress passed a resolution authorizing the President to use military force to disarm Iraq , back in October of 2002. Furthermore, liberals have long made a case for the U.N. in combating the world's problems. The U.N. charter is essentially a treaty, entered into by the President of the United States and affirmed by the Senate. Therefore, the use of force under the U.N. charter is well within the power of the President under Section 2. Article 2. of the United States Constitution. The U.N. charter allows for military action granted the Security Counsel votes in favor. However, under article 51 , the U.N. nations can not impede self-defensive action by one member nation against another member nation. Therefore, the President can take all the necessary steps required by the Security Counsel, get denied, and still use the self-defense argument to persecute a war. In summation, liberals, who sought to use the U.N. to solve global conflict, and now complain about what appears to be an extension of presidential powers, essentially miss the paradox that they have created. By deferring issues to the U.N., the powers of Congress have been weakened in many respects, and the powers of the President have expanded over the years. In addition to the loopholes within the U.S. Constitution, and the U.N. Charter, a precedent has already been established regarding the type of action the President is about to take. First, Israel has engaged in preemptive attacks. Secondly, both the Vietnam and Korean wars were considered police actions under the U.N.. Because of some of the concerns raised by the Constitutionality of committing troops in protracted conflicts without a formal declaration of war the 1973 War Powers Resolution was issued by congress. This was a set of guidelines, for both Congress and the President regarding the ""introduction of United States Armed Forces into hostilities, or into situations where imminent involvement in hostilities is clearly indicated by the circumstances"", which was the case for both Korea and Vietnam. Under this act, troops have been sent to Panama, Grenada, Lebanon, Iraq, Iran, Haiti, Somalia and the Balkans. During the Bosnian conflict the debate was once again raised by congress. In 1997 the McCain-Dole Resolution was passed to further deal with the problem. It was said that Congress has ""the untrammeled authority to unappropriate, disappropriate funds. That is the key; and that makes us the king of the hill"". The debate over war powers continues to this day. However, because of precedents that have been sent, loopholes with the presidents ability to make treaties, current law, and the fact that Congress has approved of the use of force, the useful XXXXXX who are currently suing the President don't have a leg to stand on. Their case will most certainly be thrown out of court, and their lawyers should be severely reprimanded. One this is for certain, those lawyers sound pretty incompetent, and have oversimplified Congress's role in war powers. This has been a debate since the Constitutional Convention, and is the reason why the original document was worded in such a vague manner. The authors of the Constitution did not want to hinder the President's ability to defend the country, but they wanted to protect against abuses by giving Congress an important role. The War Powers Resolution in 1973 was an attempt to expand on the original intent of the framers, and clarify the respective roles of Congress and the Presidency.","stupid-idiots-sue-president-over-war-iraq","08:57 AM","government-debates","1"
"03-12-2003","373",1,"None","None","None","Debater","4520","United States Law takes precedence over treaties. So if Congress said he could well then he can.","stupid-idiots-sue-president-over-war-iraq","04:31 PM","government-debates","2"
"03-12-2003","373",1,"None","None","None","Broker","4530","I heard one of them on FOX...had nothing to say about Clinton's actions, of course.","stupid-idiots-sue-president-over-war-iraq","05:10 PM","government-debates","3"
"03-12-2003","373",1,"None","None","None","dsadevil","4553","While I fully expect the anti-war folks to lose the case, legally I feel it is at least legitimate. The flaws in stormin norman's arguments are as follows: His constitutional analysis is unpersuasive. First of all, the president's power as commander in chief means that he controls the army. Congress' power to declare war means that they decide when the army can be used on another sovereign state. All the commander in chief power means is that congress can't pass a resolution THEREFORE BE IT RESOLVED THAT: The IV Corps be moved 5 miles North and attack Mosul. It doesn't mean that the president can do an end run around congress. Congress still must, in my view, declare war in order for the president to send troops into combat. As the Washington Post tells us on March 12th 2003, it can be reasonably argued that the clause granting congress the power to declare war was meant as a check on an unbridled executive power to throw american lives and drain the american treasury on a whim. In this sense, congress must give its explicit authorization IN THE FORM MANDATED BY THE CONSTITUTION for war to be constitutional. This manner is a declaration of war. Does this mean I think the Korean war and Vietnam were unconstitutional? Yes. Furthermore, the congressional resolution itself is unconstitutional, because it delegates congressional power (declaring war) to the presidency without any guidelines or standards for the president to meet. In doing this, it violates the seperation of powers, and specifically Panama Refining Co. v. Ryan and Schecter Poultry Co. v. US. Congress cannot delegate the powers vested in it to the presidency, though presidents can ""Fill in the details"" of congressional acts. However, the court has specifically said that congress must provide some sort of guidelines and limitations to its delegation, and cannot give the sort of blanket approval that the resolution did. Norman then says in spite of this, art. 51 allows self-defense actions and thus the US can do it anyway. This is fallacious for two reasons. First, that this merely says that a defensive action is permissable under UN charters. It doesn't say that the nation can ignore its own legal standards when taking such an action. Third if pre-emption was ok under art 51, the US still has some obligation to prove that it is self-defense to attack Iraq, which it can't because a) Iraq has no weapons capable of reaching America (Al-Samoud missiles have a max range of no more than 100 miles) b) We have no connection from Iraq to al-qaeda except that a few al-qaeda folks are present in baghdad (and some are present in america too, that doesn't mean we support them) and that a pro al-qaeda group has established itself in a section of northern iraq that saddam doesnt even control. It seems highly doubtful that Iraq is supporting a group that has called its leader an infidel. c) Most defense experts agree that attacking Iraq will actually harm our national security interests, because it gives North Korea more oppurtunity to build up ITS arsenal (which currently has missiles that can reach america) but more importantly, because while the last thing Iraq, a secular state, would do is give up its weapons to radical muslim extremists (whose primary goals are to eliminate secular arab states) such as al-qaeda, the one situation where they might do such an action is if the US invades, because then they have nothing to lose by giving there weapons up. The Vietnam and N. Korea cases I have already dealt with, b/c they were in my view unconstitutional regardless of UN rules (incidentally, the UN didn't have a true court system, so no ""interpretations"" of UN statutes have been made). Israel is a false analogy because it most certainly has met the burden of proving self-defense. But it has been condemned repeatedly by the UN just the same. The War Powers Act, in essence was congress trying to regain some of the power it had lost by overbroad interpretations of executive power. Under a reasonable interpretation of the constitution it wouldn't have been necessary. I don't think the antiwar folks will win the case, but I do think that it is reasonable and perhaps even correct. Certainly, they shouldn't be ""reprimanded"" for bringing it. Incidentally, the case was thrown out, but the 1st circuit court of appeals agreed to expdite a hearing on the case, so we'll hear back in a few days. Also of note: 73 law professors signed a brief supporting the case.","stupid-idiots-sue-president-over-war-iraq","06:55 PM","government-debates","4"
"03-12-2003","373",1,"None","None","None","Debater","4554","Congress passed a resolution allowing the Pres to attack Iraq.","stupid-idiots-sue-president-over-war-iraq","07:17 PM","government-debates","5"
"03-12-2003","373",1,"None","None","None","kelvin90701","4567","""Stupid"" is allowed in this country. Treason does not cover stupid. I am thankful that stupid is not against the law. They are quite obviously stupid.","stupid-idiots-sue-president-over-war-iraq","09:16 PM","government-debates","6"
"03-12-2003","373",1,"None","None","None","Broker","4569","Religion is a cover for these groups. They just hate America, and the only to stop that is for us to all be Muslims. They will always have reasons to hurt America. Saddam claims to be a Muslim. They don't consider him an infidel.","stupid-idiots-sue-president-over-war-iraq","09:22 PM","government-debates","7"
"03-12-2003","373",1,"None","None","None","dsadevil","4571","But it didn't declare war. I know it sounds minute, but constitutionally its a huge distinction. Delegating legislative powers of declaring war to the executive branch violates seperation of powers and Panama and Schecter. Declaring war is exercising the specific constitutional device that grants the president the power to wage war.","stupid-idiots-sue-president-over-war-iraq","09:52 PM","government-debates","8"
"03-13-2003","373",1,"None","None","None","Debater","4599","I read the resolution. I says that the President may attack Iraq. It also implies that the resolution is a Declaration of War, but the president can decided whether to attack Iraq. Not in those words of course, its very technical and legal.","stupid-idiots-sue-president-over-war-iraq","12:12 PM","government-debates","9"
"03-14-2003","373",1,"None","None","None","Stormin Norman","4693","The three-judge panel of the U.S. Court of Appeals for the First Circuit denied the suit brought by 12 House Democrats, a few servicemen and family. The suit named Donald Rumsfeld and President Bush as defendants. The panel said this was a matter to be discussed in the political arena, at this time. Since congress has passed a resolution and nothing is incongruent with the War Powers Act, there is nothing to resolve between Congress and the Presidency. No real conflict has surfaced. Therefore, there is no case. source: MSNBC","stupid-idiots-sue-president-over-war-iraq","06:20 AM","government-debates","10"
