"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"12-16-2004","3922",6,"sinjin","None","Would it be fair to remove those things added since they aren't ""original""? You would probably agree that raising objections to those additions at that time would have been dangerous.","jim's trucking","83009","No. The precedence was set in the Declaration of Independence. There is nothing wrong with recognizing God on public property. It's when you demand that someone worship God (or anything else) that you are unconstitutional. There's a difference between recognition and promotion. I doubt danger at the time had much to do with it. It was more dangerous to try to break from the king than to offend the peers.","all-you-atheists","02:35 PM","government-debates","76"
"12-16-2004","3922",6,"jim's trucking","None","I doubt danger at the time had much to do with it. It was more dangerous to try to break from the king than to offend the peers.","sinjin","83010","I meant in the 1950's.","all-you-atheists","02:37 PM","government-debates","77"
"12-16-2004","3922",6,"georged","None","I didn't misss your point, merely pointed out that our constitution doesn't protect the removal of references to god from public buildings, schools and other taxpayer assets. How would you change that?","jim's trucking","83011","No, what you did was comment that I was trying for an amendment or government forces against the activist atheists. I'm doing neither. I'm just telling the activist atheists to go p i s s up a rope.","all-you-atheists","02:38 PM","government-debates","78"
"12-16-2004","3922",6,"sinjin","None","I meant in the 1950's.","jim's trucking","83013","My bad. Still the same argument applies. Precedence was set in 1776. Ornamenting in the 1950's was not improper regardless of whether objectors feared to voice their opinions. (Joe McCarthy would have been after their asses...is that your point?)","all-you-atheists","02:46 PM","government-debates","79"
"12-16-2004","3922",6,"jim's trucking","None","My bad. Still the same argument applies. Precedence was set in 1776. Ornamenting in the 1950's was not improper regardless of whether objectors feared to voice their opinions. (Joe McCarthy would have been after their asses...is that your point?)","sinjin","83015","Precisely so.","all-you-atheists","02:47 PM","government-debates","80"
"12-16-2004","3922",6,"None","None","None","pnac=ww3","83046","Since the only reference to any kind of diety in the DoI is the word ""creator"" should money and ornaments say ""In the creator we trust?"" Is the ""god"" of ""in god we trust"" and ""one nation under god"" a specific god?","all-you-atheists","07:24 PM","government-debates","81"
"12-16-2004","3922",6,"pnac=ww3","None","Since the only reference to any kind of diety in the DoI is the word ""creator"" should money and ornaments say ""In the creator we trust?"" Is the ""god"" of ""in god we trust"" and ""one nation under god"" a specific god?","Dzeron","83054","At any rate, it's still a theist term.","all-you-atheists","07:40 PM","government-debates","82"
"12-17-2004","3922",6,"jim's trucking","None","No. The precedence was set in the Declaration of Independence. There is nothing wrong with recognizing God on public property. It's when you demand that someone worship God (or anything else) that you are unconstitutional. There's a difference between recognition and promotion. I doubt danger at the time had much to do with it. It was more dangerous to try to break from the king than to offend the peers.","Mach","83143","I thought it was established already that the Declaration of Independance is not a legal document? If we consider all of Jefferon's writings to be legal precedence, you're in for some trouble. What are you basing this off of? The constitution is secular. Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof. A government funded (public or government building) ""respecting"" a specific religion or religions, is not constitutional. What are we missing here? I agree, ""god"" should never be removed from the declaration of independance, that would be dumb. However, God was ADDED to the pledge of allegiance. It ORIGINALLY did not have ""under gawd"" in it. So I agree with you, we should take the words ""under god"" out of the pledge, since it obviously was not the original intent to have those words in the pledge. Further, it respects religion, and is not constitutional. -Mach","all-you-atheists","10:36 AM","government-debates","83"
"12-17-2004","3922",6,"None","None","None","Waxy","83144","I really think Mach nailed this one. IMHO, the one true goal of the founding fathers was to ensure that power could in no way be interpreted to come from a ""human"" source. The concept of a person's rights being inalienable, ie not granted by any physical being, is the ultimate protection of those rights. At the same time, as I said previously, they were very careful not to tie the source of those rights to any specific god or religion, thus the use of the word ""Creator"". There's no doubt that the documents are Deist in nature, they directly attribute our rights to a higher power, but all this arguing about exactly who or what the founding fathers believed in is completely pointless IMHO, the fact is, there is no right answer, and that's not by accident. The addition of ""God"" in the 1950's in no way impacts what was originally written IMHO. It can be written out just as easily as it was written in. When it comes right down to it, I don't think the ""pro-God"" side really has a leg to stand on other than ""it's always been that way"". The founding fathers made sure of that, regardless of their personal beliefs. That being said, I'll never understand the fervent desire to remove all traces of ""God"" from public documents and buildings, it seems like a colossal waste of time and money to me. Waxy","all-you-atheists","10:39 AM","government-debates","84"
"12-18-2004","3922",6,"Mach","None","However, God was ADDED to the pledge of allegiance. It ORIGINALLY did not have ""under gawd"" in it. So I agree with you, we should take the words ""under god"" out of the pledge, since it obviously was not the original intent to have those words in the pledge. Further, it respects religion, and is not constitutional. -Mach","pnac=ww3","83305","The pledge it just like a song. A song that little kids are forced to sing in the morning in school. Well, maybe not so much anymore. They took some guy's song and added words to it. Like Puff Daddy covering the Police. The pledge isn't sacred or anything. Who cares what it says at all? And the Constitution ends with: Done in Convention by the Unanimous Consent of the States present the Seventeenth Day of September in the Year of our Lord one thousand seven hundred and Eighty seven and of the Independence of the United States of America the Twelfth. In Witness whereof We have hereunto subscribed our Names Which Lord is this? Is this a specific Lord? Was it a Lord born 1787 years before?","all-you-atheists","12:50 AM","government-debates","85"
