"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"12-13-2004","3932",1,"None","None","None","Valthonis","82424","Should the United States make a policy of isolationism? Just wondering what opinions are....","isolationism","01:03 PM","government-debates","1"
"12-13-2004","3932",1,"None","None","None","daewoo","82426","I think this depends on waht type of policy of isolationism you are talking. If you are talking about strict isolationists, certainly not. We can't afford it. Our industrial infrastructure is in such poor shape that we cannot break off from the rest of the world. We do not even make tool steel int he US anymore, and without tool steel you can have no industry. If, by isolationism, you mean not constantly using our military to advance idiotic idealogical viewpoints, or useing our military as a tool of trade policy, I would certianly agree this idea has its merits. I would also agree that, if by isolationism, you mean no longer supporting evil dicatators and tyrants, I am certianly behind this 100%. Maybe you could be a little more specific about what type of isolationism you are talking here.","isolationism","01:29 PM","government-debates","2"
"12-13-2004","3932",1,"Valthonis","None","Should the United States make a policy of isolationism? Just wondering what opinions are....","Dzeron","82461","I think we should work to defend existing democracies, not create new ones. That was our principle in WW1 and WW2. We should stop militaristic dictators from taking over democratic countries, but we should leave the rise of democracy to internal revolutions.","isolationism","04:42 PM","government-debates","3"
"12-14-2004","3932",1,"daewoo","None","I think this depends on waht type of policy of isolationism you are talking. If you are talking about strict isolationists, certainly not. We can't afford it. Our industrial infrastructure is in such poor shape that we cannot break off from the rest of the world. We do not even make tool steel int he US anymore, and without tool steel you can have no industry. If, by isolationism, you mean not constantly using our military to advance idiotic idealogical viewpoints, or useing our military as a tool of trade policy, I would certianly agree this idea has its merits. I would also agree that, if by isolationism, you mean no longer supporting evil dicatators and tyrants, I am certianly behind this 100%. Maybe you could be a little more specific about what type of isolationism you are talking here.","Valthonis","82573","I meant stop immigration and close all borders. Have very little trade. I just want to see opinions. I am doing a policy debate for school and my teacher recommended getting other opinions on it.","isolationism","11:17 AM","government-debates","4"
"12-14-2004","3932",1,"Valthonis","None","I meant stop immigration and close all borders. Have very little trade. I just want to see opinions. I am doing a policy debate for school and my teacher recommended getting other opinions on it.","daewoo","82577","At this point, very little trade would leave us starving to death in the cold. We do not produce enough farm machinery in this nation to quite buying it abroad, and we do not have the industrial infrastructure to ramp up production to meet current needs. The same is true of most other products we see on todays markets. If we had adopted a policy of isolationism years ago, this might be different, but we didn't and we are where we are in this regard.","isolationism","11:41 AM","government-debates","5"
"12-14-2004","3932",1,"daewoo","None","At this point, very little trade would leave us starving to death in the cold. We do not produce enough farm machinery in this nation to quite buying it abroad, and we do not have the industrial infrastructure to ramp up production to meet current needs. The same is true of most other products we see on todays markets. If we had adopted a policy of isolationism years ago, this might be different, but we didn't and we are where we are in this regard.","Valthonis","82584","Yeah, do you have any sites on importers to the united states because our plan involves bringing in Canada... which i beleive is our top importer... If that happens, I beleive that maybe we would have a chance.","isolationism","12:48 PM","government-debates","6"
"12-14-2004","3932",1,"None","None","None","lord tammerlain","82643","America would have to change quite a bit before we Canadians would accept it as part of the dominion.","isolationism","08:32 PM","government-debates","7"
"12-15-2004","3932",1,"None","None","None","lucky_me","82794","i think that we should absorb canada and be an independant nation! CANADA ROCKS!","isolationism","03:01 PM","government-debates","8"
"12-15-2004","3932",1,"lord tammerlain","None","America would have to change quite a bit before we Canadians would accept it as part of the dominion.","daewoo","82802","Unless of course we just sent our military to liberate all you poor canadians from the your oppressive socialist government. Bremer seems to be looking for something productive to do. He can lead the coalition provisional authority (since we can pay bali a billion or so dollars and count on them ot form a coalition, and Britain does what they are told, of couse).","isolationism","03:23 PM","government-debates","9"
"12-15-2004","3932",1,"lord tammerlain","None","America would have to change quite a bit before we Canadians would accept it as part of the dominion.","georged","82822","You do have all that oil as an enticement for change, but the major obstacle would be the ability of the average Canadian to drink any American under the table. When unable to cope in a normal manner of acceptance, America uses military force we put on our national credit card to bolster the fragile American ego.","isolationism","04:18 PM","government-debates","10"
