"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"05-04-2005","5063",1,"None","None","None","zachvac","116966","OK, well me and a couple friends at school are plotting to overthrow the government, it won't be that hard besides the part of me being elected president, but once we have that it won't be too hard. 1. elect me president 2. have someone assasinate at least 5 of the 9 Supreme Court justices 3. I will appoint my own 5 Here is another major problem, I don't know if Congress will approve of my nominees. The question is, if there's no one left in Congress, can they become judges? I just call a meeting in the middle of the forest and ""accidentally"" drop my cigarette on the ground and start a forest fire. The vote would be 0-0 in which case my VP would break the tie in the Senate, not sure about the house 4. they will rule that the Constitution is unconstitutional and (we haven't decided yet) either say there are no laws (but we would have all the weapons) or else say that the Constitution really means I am supreme dictator. Sound good? P.S. I am offering protection for the low price of $1,000. Get it while it lasts, when I become president it goes up.","lets-overthrow-government","09:35 PM","government-debates","1"
"05-04-2005","5063",1,"None","None","None","Duo_Maxwell","116972","What ensures that you don't renege on your ""promise"" once you have taken power?","lets-overthrow-government","09:44 PM","government-debates","2"
"05-04-2005","5063",1,"zachvac","None","OK, well me and a couple friends at school are plotting to overthrow the government, it won't be that hard besides the part of me being elected president, but once we have that it won't be too hard. 1. elect me president 2. have someone assasinate at least 5 of the 9 Supreme Court justices 3. I will appoint my own 5 Here is another major problem, I don't know if Congress will approve of my nominees. The question is, if there's no one left in Congress, can they become judges? I just call a meeting in the middle of the forest and ""accidentally"" drop my cigarette on the ground and start a forest fire. The vote would be 0-0 in which case my VP would break the tie in the Senate, not sure about the house 4. they will rule that the Constitution is unconstitutional and (we haven't decided yet) either say there are no laws (but we would have all the weapons) or else say that the Constitution really means I am supreme dictator. Sound good? P.S. I am offering protection for the low price of $1,000. Get it while it lasts, when I become president it goes up.","Dzeron","116978","That plan rots.","lets-overthrow-government","09:55 PM","government-debates","3"
"05-05-2005","5063",1,"Dzeron","None","That plan rots.","zachvac","117097","I know, that was my best idea, why don't you come up with a better one?","lets-overthrow-government","06:15 AM","government-debates","4"
"05-14-2005","5063",1,"None","None","None","Comrade Brian","122564","The only part of your coup i would support is the assasination of some judges,capitalist pigs its also a coup not a revolution.coup's usually involve a few people taking everything over, or start a revolution revolutions need usually support of most of population to succeed, so its also democratic","lets-overthrow-government","05:38 AM","government-debates","5"
"05-14-2005","5063",1,"None","None","None","lord tammerlain","122762","A much better method would be when as president, leave Washington to read a childern's book ( as you cant not read anything more complicated) to a group of school childern. Now when you are gone, you signal some Spec op agents to detonate a neutron bomb in DC. (Ensure that your top aids are off on a conference as well.) Then in the confusion blame BLANK for the bomb, declare martial law and suspend the constitution and band you become dictator for life in an never ending war vs Terrorism, Islam, Buddism or Hinduism as new ""information about the bombers is ""found""","lets-overthrow-government","03:27 PM","government-debates","6"
"06-04-2005","5063",1,"None","None","None","kermit","132970","or..........you could just play a game of hide and go **** yourself","lets-overthrow-government","11:20 PM","government-debates","7"
"06-05-2005","5063",1,"lord tammerlain","None","A much better method would be when as president, leave Washington to read a childern's book ( as you cant not read anything more complicated) to a group of school childern. Now when you are gone, you signal some Spec op agents to detonate a neutron bomb in DC. (Ensure that your top aids are off on a conference as well.) Then in the confusion blame BLANK for the bomb, declare martial law and suspend the constitution and band you become dictator for life in an never ending war vs Terrorism, Islam, Buddism or Hinduism as new ""information about the bombers is ""found""","Raastee","133072","That would work...it did for a great many. Always got to have someone to blame, because you want to shift eyes off you and onto someone else.","lets-overthrow-government","07:50 AM","government-debates","8"
"06-17-2005","5063",1,"zachvac","None","OK, well me and a couple friends at school are plotting to overthrow the government, it won't be that hard besides the part of me being elected president, but once we have that it won't be too hard. 1. elect me president 2. have someone assasinate at least 5 of the 9 Supreme Court justices 3. I will appoint my own 5 Here is another major problem, I don't know if Congress will approve of my nominees. The question is, if there's no one left in Congress, can they become judges? I just call a meeting in the middle of the forest and ""accidentally"" drop my cigarette on the ground and start a forest fire. The vote would be 0-0 in which case my VP would break the tie in the Senate, not sure about the house 4. they will rule that the Constitution is unconstitutional and (we haven't decided yet) either say there are no laws (but we would have all the weapons) or else say that the Constitution really means I am supreme dictator. Sound good? P.S. I am offering protection for the low price of $1,000. Get it while it lasts, when I become president it goes up.","Matthew S","138250","Becarefull you are violating several laws including the presidents beloved patriot act. You know they arrested a teenaged boy, here in michigan, for making the suggestion of doing a school shooting. So I would suggest, unless you want Bushes christonazi stormtroopers knocking at your door, laying off the overthrow plans.","lets-overthrow-government","09:03 AM","government-debates","9"
"06-18-2005","5063",1,"Matthew S","None","Becarefull you are violating several laws including the presidents beloved patriot act. You know they arrested a teenaged boy, here in michigan, for making the suggestion of doing a school shooting. So I would suggest, unless you want Bushes christonazi stormtroopers knocking at your door, laying off the overthrow plans.","Voice Of Reason","138702","So you believe if a kid threatens to shoot up the school it should be just ignored as children""s innocent mischief..........Tell that to the kids that died at Colombine.....","lets-overthrow-government","04:12 PM","government-debates","10"
"06-18-2005","5063",1,"Voice Of Reason","None","So you believe if a kid threatens to shoot up the school it should be just ignored as children""s innocent mischief..........Tell that to the kids that died at Colombine.....","Jo Bennett","138714","As far as I'm aware it was not a threat as such, and also what good does arresting him do? If he's already annoyed enough to consider shooting up his school, isn't it likely that getting arrested for a thought crime is likely to make things worse? I find it bizarre that you support allowing hate speech but want to police the musings of teenagers.","lets-overthrow-government","04:33 PM","government-debates","11"
"06-18-2005","5063",1,"Voice Of Reason","None","So you believe if a kid threatens to shoot up the school it should be just ignored as children""s innocent mischief..........Tell that to the kids that died at Colombine.....","Matthew S","138764","They that can give up essential liberty to obtain a little temporary safety deserve neither liberty nor safety. ---- Benjamin Franklin The freedom here is speach until he shows up with the guns at the door to the school then he shouldn't be arrested.","lets-overthrow-government","05:46 PM","government-debates","12"
"07-01-2005","5063",1,"None","None","None","GreenMtnBoy","143462","Threats aren't covered by freedom of speech.","lets-overthrow-government","03:28 AM","government-debates","13"
"07-01-2005","5063",1,"Matthew S","None","They that can give up essential liberty to obtain a little temporary safety deserve neither liberty nor safety. ---- Benjamin Franklin The freedom here is speach until he shows up with the guns at the door to the school then he shouldn't be arrested.","deathlord52","143514","I would say he should be arrested BEFORE he makes it to the school grounds. Like if he stepped off his parent's property carrying, or if he was making a direct threat (like ""I'm going to XXXX up this school"", or ""I'm going to kill these people""). As pointed out before, direct threats are not part of free speech and are an arrestable offense.","lets-overthrow-government","08:28 AM","government-debates","14"
"07-01-2005","5063",1,"None","None","None","RedMoon","143547","Free to do so or not, I wouldn't go around posting stuff like this on an internet forum, joke or not. Besides the fact that a lot of people might not be terribly amused by it, it's begging for attention from all the wrong people. And please steer clear of the neutron bombs. I suspect that the detonation would likely kill my fiancee who works downtown in DC and possibly myself, on the Virginia side of the Potomac. You don't want to kill me, do you?","lets-overthrow-government","10:44 AM","government-debates","15"
"07-01-2005","5063",2,"Voice Of Reason","None","So you believe if a kid threatens to shoot up the school it should be just ignored as children""s innocent mischief..........Tell that to the kids that died at Colombine.....","Dono","143624","VoR is suggesting a sance, a conversation with the dead? Tell Elvis Hi for me. Dono","lets-overthrow-government","01:27 PM","government-debates","16"
"07-01-2005","5063",2,"Voice Of Reason","None","So you believe if a kid threatens to shoot up the school it should be just ignored as children""s innocent mischief..........Tell that to the kids that died at Colombine.....","zachvac","143800","So why don't we just arrest all kids, that way we won't have to worry about them killing anyway. Besides that, why don't we just put telescreens in everyones' houses so we can tell if they will kill anyone. Again, ""they who would sacrifice freedom for security deserve neither"".","lets-overthrow-government","11:15 PM","government-debates","17"
"07-01-2005","5063",2,"GreenMtnBoy","None","Threats aren't covered by freedom of speech.","zachvac","143801","Please explain to me where this is a threat. A threat is usually somewhat serious. Do you really call a plan that starts with ""get elected president"" a threat?","lets-overthrow-government","11:19 PM","government-debates","18"
"07-01-2005","5063",2,"None","None","None","zachvac","143803","While my original post was more of a joke, not an intent to overthrow the government, how about this from the declaration of independance? ""to secure these rights [life, liberty, and the pursuit of happiness], Governments are instituted among Men, deriving their just Powers from the Consent of the Governed, that whenever any Form of Government becomes destructive of these Ends it is the Right of the People to alter or abolish it, and to institute new Government""","lets-overthrow-government","11:24 PM","government-debates","19"
"07-08-2005","5063",2,"None","None","None","XxAngel21xX","145765","HA, I didnt even read 1 post and I laughed...thats funny, so, lemme get this right, you think that by overthrowing the United States government, that it would be a better place? Well, let me tell ya, THIS IS THE BEST IT GETS MY FRIEND. We may be one of the most corrupt countries in the world, besides China, but we are also the most advanced, the most complete, the most secure, etc. You may think anarchy is the perfect gov., it isnt. Think about it...if we had total anarchy, that is, chaos right? Anarchy in itself is an oxymoron, because if we had anarchy, someone would think ""oh, im the strongest in the country im gonna take over"" BOOM Dictatorship, or another government, whatever kind of person he/she is, and other countrys would see us a easy pickins. Theyd go back to the old imperialism days were they just take over countries. We would be Chinas bitch in a day.","lets-overthrow-government","12:46 AM","government-debates","20"
