"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"05-05-2005","5073",1,"None","None","None","jim's trucking","117393","...in the world today if Britain and France had not ""colonized"" existing countries? Speculations welcome!","how-different-would","02:44 PM","government-debates","1"
"05-05-2005","5073",1,"None","None","None","Jo Bennett","117407","Belgium, Holland, Germany, Spain and portugal would probably have done it instead. Different in detail, the same in general.","how-different-would","03:12 PM","government-debates","2"
"05-05-2005","5073",1,"None","None","None","Alan Ryan","117445","There would be geographical differences, but I suspect you're asking whether the world today would be a ""better"" or a ""worse"" place ?","how-different-would","04:19 PM","government-debates","3"
"05-05-2005","5073",1,"Alan Ryan","None","There would be geographical differences, but I suspect you're asking whether the world today would be a ""better"" or a ""worse"" place ?","jim's trucking","117450","I have no doubt it would have been better for the countries that essentially lost their identity after being taken over by the ""civilized"" powers. The mistaken thought that the ""heathens"" needed a new religion and the fact that the conquerors wanted the trade goods drove the various empires to expand their territories. I'm wondering what it would have been like had colonization not occurred.","how-different-would","04:31 PM","government-debates","4"
"05-05-2005","5073",1,"jim's trucking","None","...in the world today if Britain and France had not ""colonized"" existing countries? Speculations welcome!","Dzeron","117457","America would truly be a free country.","how-different-would","04:41 PM","government-debates","5"
"05-05-2005","5073",1,"Dzeron","None","America would truly be a free country.","gnojek","117521","So you'd be free of the laws of your tribe? Which tribal laws gave its 'citizens' the most freedom? Navaho? Shawnee? Sioux?","how-different-would","05:38 PM","government-debates","6"
"05-05-2005","5073",1,"Dzeron","None","America would truly be a free country.","gamehuis","117529","Yeah and you'd be speaking Dutch too.","how-different-would","05:46 PM","government-debates","7"
"05-06-2005","5073",1,"jim's trucking","None","I have no doubt it would have been better for the countries that essentially lost their identity after being taken over by the ""civilized"" powers. The mistaken thought that the ""heathens"" needed a new religion and the fact that the conquerors wanted the trade goods drove the various empires to expand their territories. I'm wondering what it would have been like had colonization not occurred.","Alan Ryan","117792","There is little doubt that the British Empire was an instrument of economic and financial exploitation, and caused cultural damage to the peoples who were colonized by force (or even by fraud). However, I think the outcomes in the world of today had the Empire not existed, might be more mixed than you are suggesting. Some former colonies would probably have prospered and developed democratic institutions etc. had they never had the ""benefits"" of imperial rule. For others, it could be argued that Britain gave them independence ""too soon"" - i.e. before they were economically viable and politically stable. Perhaps left undisturbed they would be in a worse situation than is the case right now (some African countries could be cited). Take what I suppose might be called the ""classic case"" of imperialism - India. Although the East India Company monopoly followed by the British government, to put it crudely, made lots of money from the subjugation of the indigenous peoples, some investments were made which have paid dividends for India since its independence. For example, the Indian railway system, some efforts at improving sanitation, medicine, the legal system, and education, etc. And not least, the legacy of the English language. So imperial rule in India wasn't a complete catastrophe - even from the point of view of someone like Gandhi, who acknowledged the good while criticising the bad.","how-different-would","10:01 AM","government-debates","8"
"05-06-2005","5073",1,"Alan Ryan","None","There is little doubt that the British Empire was an instrument of economic and financial exploitation, and caused cultural damage to the peoples who were colonized by force (or even by fraud). However, I think the outcomes in the world of today had the Empire not existed, might be more mixed than you are suggesting. Some former colonies would probably have prospered and developed democratic institutions etc. had they never had the ""benefits"" of imperial rule. For others, it could be argued that Britain gave them independence ""too soon"" - i.e. before they were economically viable and politically stable. Perhaps left undisturbed they would be in a worse situation than is the case right now (some African countries could be cited). Take what I suppose might be called the ""classic case"" of imperialism - India. Although the East India Company monopoly followed by the British government, to put it crudely, made lots of money from the subjugation of the indigenous peoples, some investments were made which have paid dividends for India since its independence. For example, the Indian railway system, some efforts at improving sanitation, medicine, the legal system, and education, etc. And not least, the legacy of the English language. So imperial rule in India wasn't a complete catastrophe - even from the point of view of someone like Gandhi, who acknowledged the good while criticising the bad.","jim's trucking","117819","You've mentioned the one thing I thought would be a major difference between what we have and what we would have had...language. English would not be prevalent. I suspect that today's native Americans would have retained their tribal identities and languages, some would be peaceful, some would be warriors. Likely, the same would have occurred in the African/Asian countries. We'd still have warring factions and saber rattling as we do today. I believe the greatest benefit would have been the retaining of cultural identities without Britification or Frenchifying (or Dutchification). We'd have a more varied world of cultures. However, I don't believe human nature would be much different from what it is now. We'd still have the same variations from good to bad, kind to mean, meek to powercrazy, lazy to hardworking, etc. We just wouldn't be speaking English.","how-different-would","10:52 AM","government-debates","9"
"05-06-2005","5073",1,"jim's trucking","None","You've mentioned the one thing I thought would be a major difference between what we have and what we would have had...language. English would not be prevalent. I suspect that today's native Americans would have retained their tribal identities and languages, some would be peaceful, some would be warriors. Likely, the same would have occurred in the African/Asian countries. We'd still have warring factions and saber rattling as we do today. I believe the greatest benefit would have been the retaining of cultural identities without Britification or Frenchifying (or Dutchification). We'd have a more varied world of cultures. However, I don't believe human nature would be much different from what it is now. We'd still have the same variations from good to bad, kind to mean, meek to powercrazy, lazy to hardworking, etc. We just wouldn't be speaking English.","Alan Ryan","117827","We, meaning the world in general, might have some or even all of the benefits you've mentioned - but as I implied, even this more various sum of cultures may not be a perfect ""upside"" compared to the world we've actually got. I mentioned English as being a ""legacy"" left to India when the British departed : since this is now the lingua franca that ""oils"" the global economy, it confers many cultural and economic advantages on those who can speak it - just like Latin did in the days of the Roman Empire.","how-different-would","11:11 AM","government-debates","10"
