"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"06-07-2005","5570",1,"None","None","None","Hydra","134060","Post-ABC Poll: Bush Ignoring Public Concerns Majority Says President Distracted by Issues They Care Little About By Richard Morin Washington Post Staff Writer Tuesday, June 7, 2005; 7:17 AM A clear majority of Americans say President Bush is ignoring the public's concerns and instead has become distracted by issues that most people say they care little about, according to a new Washington Post-ABC News poll. The survey found that 58 percent of those interviewed said Bush is concentrating mainly in his second term on problems and partisan squabbles that these respondents said were unimportant to them. Four in 10 -- 41 percent -- said the president was focused on important problems -- a double-digit drop from three years ago. Underlying that finding is a continuing deep and bitter partisan divide that has fueled increasingly bitter fights in Congress, most recently over some of Bush's nominees to the federal courts. Relatively few Americans viewed that issue as particularly important. According to the poll, nearly eight in 10 Democrats say Bush is not concentrating on issues they personally view as vital while three out of four Republicans disagree. Ominously for Bush and the Republicans, a strong majority of self-described political independents -- 68 percent -- say they disagreed with the president's priorities. That suggests Bush's mixed record in the second term on issues the public views as critical -- particularly on Iraq and the economy -- may be as much a liability for GOP candidates in next year's mid-term election as his performance in his first term was an asset to Republican congressional hopefuls last year and in 2002. Overall, the president's job approval rating stood at 48 percent, virtually identical to where it was last month. Currently 52 percent of the public disapproves of the job Bush is doing as president, the first time in his presidency that more than half of the public has expressed negative views of the president's performance. Continuing violence in Iraq continues to fuel negative views of the White House. Four in 10 Americans currently approve of the job that Bush is doing in Iraq while 58 percent disapproved. It marked the 13th consecutive month that less than half of the country approved of Bush's handling of the situation in Iraq. A total of 1,002 randomly selected adults were interviewed June 2-5 for this survey. Margin of sampling error for the overall results is plus or minus 3 percentage points. Complete results of this Washington Post-ABC News poll will be available at washingtonpost.com at 5 p.m. today. 2005 The Washington Post Company","bu-h-has-no-use-public-concerns","08:31 AM","government-debates","1"
"06-07-2005","5570",1,"None","None","None","Hydra","134061","Now we know what a true ""Lame Duck"" is !","bu-h-has-no-use-public-concerns","08:32 AM","government-debates","2"
"06-07-2005","5570",1,"Hydra","None","Now we know what a true ""Lame Duck"" is !","lord tammerlain","134091","To which, I can only say good. I dont know if the world could have withstood another term like his first.","bu-h-has-no-use-public-concerns","10:49 AM","government-debates","3"
"06-07-2005","5570",1,"lord tammerlain","None","To which, I can only say good. I dont know if the world could have withstood another term like his first.","Hydra","134095","I can't wait to see the 5:00 P.M. poll. I have a number of GOPer friends who are truly disappointed with his actions in office, even though they voted for him a second time. Tis truly sad..........","bu-h-has-no-use-public-concerns","11:02 AM","government-debates","4"
"06-07-2005","5570",1,"None","None","None","Jaxian","134130","I'm no fan of Bush's political beliefs and ideals, but I can't say I agree with the implications here. The public's concerns are not necessarily those most important to America. Bush stated in the past that he doesn't make decisions based on polls, and that is one thing I can agree with him on. Simply because he isn't addressing the public's concerns doesn't make him a lame duck president. Masses of people are very often uninformed; it is Bush's job to determine how he can best do good for America, and that is what he should be doing.","bu-h-has-no-use-public-concerns","12:09 PM","government-debates","5"
"06-07-2005","5570",1,"Jaxian","None","I'm no fan of Bush's political beliefs and ideals, but I can't say I agree with the implications here. The public's concerns are not necessarily those most important to America. Bush stated in the past that he doesn't make decisions based on polls, and that is one thing I can agree with him on. Simply because he isn't addressing the public's concerns doesn't make him a lame duck president. Masses of people are very often uninformed; it is Bush's job to determine how he can best do good for America, and that is what he should be doing.","Hydra","134214","Any president in their second term are lame ducks. ""Simply because he usn't addressing the public's concerns""; like interstate highways, NCLB, RW Titile I and RW Title II are a few of the many programs that are un-funded mandates. The public has a right to be concerned.","bu-h-has-no-use-public-concerns","02:27 PM","government-debates","6"
"06-07-2005","5570",1,"None","None","None","Hydra","134333","Post-ABC Poll: Americans Say War in Iraq Has Not Made U.S. Safer By Dana Milbank and Claudia Deane Washington Post Staff Writers Tuesday, June 7, 2005; 5:11 PM For the first time since the war in Iraq began, over half of the American public believes the fight there has not made the United States safer, according to a new Washington Post-ABC News poll. While the focus in Washington has shifted from the Iraq conflict to Social Security and other domestic matters, the survey found that Americans rank Iraq second only to the economy in importance -- and that many are losing patience with the enterprise. Nearly three quarters of Americans say the number of casualties in Iraq is unacceptable, while two-thirds say the U.S. military there is bogged down and nearly six in 10 say the war was not worth fighting -- in all three cases matching or exceeding the highest levels of pessimism yet recorded. More than four in ten now believe the U.S. presence in Iraq is becoming analogous to the experience in Vietnam. Perhaps most ominously, 52 percent said the war in Iraq has not contributed to the long-term security of the United States, while 47 percent said it did. It was the first time a majority of Americans disagreed with the central notion President Bush has offered to build support for war: that the fight there will make Americans safer from terrorists at home. In late 2003, 62 percent thought the Iraq war aided U.S. security, and just three months ago 52 percent thought so. Overall, more than half-- 52 percent -- disapprove of how Bush is handling his job. A somewhat larger majority-56 percent-- disapproved of Republicans in Congress and an identical proportion disapproved of Democrats. However, there were signs that Bush and Republicans in Congress were receiving more of the blame for the recent standoffs over such issues as Bush's judicial nominees and Social Security. Six in ten respondents said Bush and GOP leaders are not making good progress on the nation's problems; of those, 67 percent blamed the president and Republicans while 13 percent blamed congressional Democrats. For the first time, a majority, 55 percent, also said Bush has done more to divide the country than to unite it. The surge in violence in Iraq since the new government took control -- 80 U.S. soldiers and more than 700 Iraqis died in May amid a rash of car bombings -- has been accompanied by rising gloom about the overall fight against terrorism. By 50 percent to 49 percent, Americans approved of the way Bush is handling the war on terror, down from 56 percent approval in April, equaling the lowest rating Bush has earned on the issue that has consistently been his core strength with the public.Some authorities on war and public opinion said the figures indicate that pessimism about the war in Iraq has reached a dangerous level. ""It appears that Americans are coming to the realization that the war in Iraq is not being won and may well prove unwinnable,"" said retired Army Col. Andrew Bacevich, now a professor at Boston University. ""That conclusion bleeds over into a conviction that it may not have been necessary in the first place."" That's the view of poll respondent Margaret Boudreaux, 63, a casino worker living in Oakdale, La. ""I don't think it's going well, there's too much killing,"" she said, worrying that the Iraq invasion could move more enemies to violence. ""I think that some of the people, if they could, would get revenge for what we've done."" ""You hear a lot about Saddam but nothing about Osama bin Laden. I don't think he [Bush] does enough to deal with the problems of terrorism. . . . He's done a lot of talking, but we haven't seen real changes,"" said another poll respondent, Kathy Goyette, 54, a San Diego nurse. ""People are getting through airport security with things that are unbelievable. . . . I don't think he learned from 9/11."" While Bush has shelved his routine speeches about terrorism and Congress has turned to domestic issues, fear of terrorism has receded from the public consciousness. Only 12 percent called it the nation's top priority, behind the economy, Iraq, health care and Social Security. The drop in Bush's war on terror approval ratings came disproportionately from political independents. In March, 63 percent of independents approved of Bush's job on terrorism. By April this had fallen to 54 percent. And in this weekend's survey, only 40 percent gave him good marks. The poll suggests that views on the Iraq war's impact also remain highly partisan. Three in four Republicans said the Iraq invasion has boosted domestic security, while three in four Democrats said it has not. Political independents lean negative on the issue: about six in ten said the war has not made Americans safer. Overall, Bush's 48 percent job approval rating was essentially unchanged from the 47 percent rating he received in a late April poll. And there was growth in the proportion of people who said the economy was doing well: 44 percent, up from 37 percent in April. But the public took a generally gloomy view of the White House and Congress. A plurality said Bush is doing worse in his second term than in his first, and 58 percent said he is not concentrating on the things that matter most to them -- the worst showing Bush has had in this measure in Post polls. Congress fared no better. The proportion of the public disapproving of the legislative body was at its highest since late 1998, during Bill Clinton's impeachment. More people said they would look at a candidate other than their sitting congressmen than at any point in nearly eight years. For the first time since April, 2001, Democrats (46 percent) were trusted more than Republicans (41 percent) to cope with the nation's problems. But at the same time, favorability ratings for the Democratic party, at 51 percent, tied their all time low. A total of 1,002 randomly selected adults were interviewed by telephone June 2-5 for this Post-ABC News poll. The margin of sampling error for the overall results is plus or minus three percentage points. The poll also found disapproval or division when it came to Bush's performance on several other recent, high-profile issues. Only 33 percent supported the way the president is handling federal funding of embryonic stem cell research, while 55 percent did not. The public divided on the president's handling of judicial nominations, 46 percent approving and 44 percent disapproving. And half said they were opposed to drilling in Alaska's Arctic National Wildlife Refuge, a proposal Bush has backed and which is now being debated in Congress. But the most striking trend identified by the survey was the spreading impatience over Iraq and national security matters. While six in 10 were confident that the U.S. was not violating the rights of detainees at the military base in Guantanamo Bay, Cuba, Americans were more skeptical that the government is protecting the rights of U.S. citizens at home. Only half said Americans' rights were being adequately protected, down from 69 percent in September, 2003. James Burk, a sociologist at Texas A&M, said the disillusionment about Iraq may have grown to the point that policymakers will have difficulty reversing it. ""People all across the country know people in Iraq [so] there's a direct connection to the war,"" he said. He sees a ""disjuncture"" between upbeat administration rhetoric and realities the public perceives. ""These data suggest we will soon reach the point, if we haven't yet reached the point, where that kind of language will seem too out of touch."" Director of polling Richard Morin contributed to this report. 2005 The Washington Post Company","bu-h-has-no-use-public-concerns","05:50 PM","government-debates","7"
"07-14-2005","5570",1,"None","None","None","PoohBear","147340","ok how is being in iraq not helping our safety?","bu-h-has-no-use-public-concerns","08:43 PM","government-debates","8"
"07-14-2005","5570",1,"BushAlltheWay","None","ok how is being in iraq not helping our safety?","zachvac","147385","Well if you want us to believe that being in Iraq is helping our safety, you have the burden of proof. That's like me making a claim ""how is being in Iraq not saving toilet paper?"". Present proof that being in Iraq has helped our safety. Even most Republican's don't buy that anymore, but they believe it is important to help the oppressed Iraqi people.","bu-h-has-no-use-public-concerns","10:51 PM","government-debates","9"
"07-16-2005","5570",1,"BushAlltheWay","None","ok how is being in iraq not helping our safety?","Wez","147854","You're the one who has to provide evidence that Iraq IS improving your security here. Have fun. -Wez","bu-h-has-no-use-public-concerns","03:40 PM","government-debates","10"
"07-16-2005","5570",1,"None","None","None","PoohBear","147870","lets see i havent been blown up... and havent been shot at so im good! what about you?","bu-h-has-no-use-public-concerns","04:46 PM","government-debates","11"
