"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"07-05-2005","5889",1,"None","None","None","Heads_On_Pikes","144889","I voted against a constitutional amendment banning flag burning as a form of protest in the poll section of the forum. While I am strongly against desecrating the flag in any way, for any reason, I simply do not believe it is a major problem at this point in America, and...these types of situations have an uncanny way of working themselves out. War protester sets flag on fire MURRIETA: Lee Henry Vollick, 19, is attacked by concertgoers, then arrested, his mother says. 11:14 PM PDT on Sunday, July 3, 2005 By SARAH BURGE / The Press-Enterprise MURRIETA - After a 19-year-old war protester set fire to an American flag at the Murrieta city birthday bash Saturday evening, angry bystanders attacked him before he could say a word, his mother said Sunday. Police said Lee Henry Vollick, of Murrieta, set an American flag ablaze around 7:55 p.m. in the middle of a crowded concert at the California Oaks Sports Park. The protester's mother, Barbara Vollick, said her son was trying to make a statement against the war in Iraq, not against the United States. ""He's just a college student being crazy,"" she said. Murrieta police Sgt. Dennis Vrooman said, ""He was basically a one-man demonstration."" He was trying to get others to join him, Vrooman said, ""but he wasn't getting any cooperation."" Vollick said her son was upset about President Bush's speech on Iraq last week. ""He's very angry that our young men are dying,"" Vollick said. ""He didn't even get to say anything,"" she said, alleging that about a half-dozen people attacked him and pulled the flag away. One man punched him in the face, she said. Vollick said Sunday her son wasn't in any condition to speak with the press. ""He's actually in a lot of pain right now."" She said his face was cut, his neck and back were hurt, and he had welts on his wrists from handcuffs police placed on him when he was arrested. Vollick was up all night in jail, she said, and he wasn't released until nearly 10 a.m. Sunday morning. According to a police news release, a Murrieta police officer approached Vollick because the fire posed a hazard to the crowd. The fire burned out quickly, but the officer tried to grab Vollick anyway. Vollick resisted and tried to break away from his grasp, the release said. With the help of several bystanders, including two off-duty Murrieta police officers, the officer brought Vollick to the ground. Vollick was arrested on suspicion of resisting a police officer, disturbing a public assembly and inciting a riot. Vollick's mother said he was just trying to stand up, not fight the officers. ""He was yelling, 'You're hurting me,' "" she said. ""He has a bad back."" Vrooman said, ""From my understanding, there were quite a few people in the crowd who were displeased at what he was doing."" When the police took the teen him away, Vrooman said, ""people applauded."" Vollick said her son was a student at Mt. San Jacinto College for a semester and a half, but had to take time off for health reasons. She said he had planned to go back to school in August or join the Navy. ""He loves the military,"" Vollick said, adding that he was a Young Marine for two years when they lived in San Diego. ""He wants to serve his country, but he doesn't want to kill people."" http://www.pe.com/localnews/corona/s...n04.be6e9.html ::ROFLMAO!!:: Folks, if you're going to burn an American flag, do it way, way out in the boonies at a hippie style commune, m'kay?","fate-flag-burnners","06:37 PM","government-debates","1"
"07-05-2005","5889",1,"None","None","None","Matthew S","144907","I was wondering if I have an american flag in, attatched, or painted on my house and the house catches on fire will I be arrested for burning the flag?","fate-flag-burnners","07:06 PM","government-debates","2"
"07-05-2005","5889",1,"Matthew S","None","I was wondering if I have an american flag in, attatched, or painted on my house and the house catches on fire will I be arrested for burning the flag?","Heads_On_Pikes","144918","I don't think you'll have a problem under those circumstances.","fate-flag-burnners","07:25 PM","government-debates","3"
"07-05-2005","5889",1,"None","None","None","Nurglitch","144924","Flag burners are dissenters. And dissent is treason. Traitors are a step down from terrorists. So flag burners should be executed post hast, by local police, or a lynch mob if necessary. I applaud these good people for having the common decency to beat the pulp out of a lone hippy.","fate-flag-burnners","07:35 PM","government-debates","4"
"07-05-2005","5889",1,"Nurglitch","None","Flag burners are dissenters. And dissent is treason. Traitors are a step down from terrorists. So flag burners should be executed post hast, by local police, or a lynch mob if necessary. I applaud these good people for having the common decency to beat the pulp out of a lone hippy.","Heads_On_Pikes","144938","Hahaha, you forgot the /sarcasm tag. Hey, it's the chance one takes when one ****** off a gathering of real Americans. I wonder why he was a Marine for only two years?","fate-flag-burnners","08:12 PM","government-debates","5"
"07-05-2005","5889",1,"None","None","None","Matthew S","144941","You know I think I want to burn a flag now. It is not a good thing that people idolize the flag. What would Jesus do he would burn the flag too.","fate-flag-burnners","08:23 PM","government-debates","6"
"07-05-2005","5889",1,"None","None","None","Nurglitch","144944","Much like the chance one takes when ****ing off a bunch of Iranians, eh?","fate-flag-burnners","08:25 PM","government-debates","7"
"07-05-2005","5889",1,"Nurglitch","None","Flag burners are dissenters. And dissent is treason. Traitors are a step down from terrorists. So flag burners should be executed post hast, by local police, or a lynch mob if necessary. I applaud these good people for having the common decency to beat the pulp out of a lone hippy.","Matthew S","144946","They used to draw and quarter tratiors in the past. I wonder if conservatives consider that the good old days?","fate-flag-burnners","08:28 PM","government-debates","8"
"07-05-2005","5889",1,"Matthew S","None","You know I think I want to burn a flag now. It is not a good thing that people idolize the flag. What would Jesus do he would burn the flag too.","Heads_On_Pikes","144954","Burn one if ya got one ( highly unlikely ), just beware your surroundings - LOL!!!","fate-flag-burnners","09:06 PM","government-debates","9"
"07-05-2005","5889",1,"None","None","None","Nurglitch","144955","Yeah, I think people used to say something like that about being black.","fate-flag-burnners","09:12 PM","government-debates","10"
