"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"07-08-2005","5912",1,"None","None","None","XxAngel21xX","145760","Well, im new here, havnt seen this thread yet, if there is one im sorry bbut i havnt seen one. Anyways, its clear to me, since London was bombed today(July 08 2005), that we should get OUT of Iraq and friggin find Osama. Since Bush ""claimed"" that iraq had wmd(weapons of mass destruction) we have neglected to look for and find Osama Bin Ladin. To me, if all of the UK hates the US, I personaly wouldnt blame them. If we wouldve stuck to the first damn thing Bush said then London might not have been bombed. I mean cmon, we claim that we ""know"" were Osama is, but if that was true, dont you think we wouldve done something? I mean I know I wouldve, and I know a lot of other people who would as well. It is in my opinion that we impeech Bush because he bombed London indirectly with no provocation. Well, i just want to hear you guys' thoughts on this subject because I KNOW there are a lot of people out there who either agree, disagree, or mildy agree with this statement. Also, I know many of you will get extremly mad at me for this post, considering more than half of the public are Bush's bitches(no offence). All of the above post is my opinion and if you disagree with me, let me hear your thoughts, I love to argue and will humbly accept any debate challenge anyways wants to give me. Thanks, and have a nice day.","iraqi-war","12:20 AM","government-debates","1"
"07-08-2005","5912",1,"XxAngel21xX","None","Also, I know many of you will get extremly mad at me for this post, considering more than half of the public are Bush's bitches(no offence).","zachvac","145761","lol, this is like saying ""you suck, no offense"". Also I would advise you to add in a coherent sentence now and then in your post, it would be a bit easier to read. Although I generally agree with what you say, you could write it so it's easier to understand. If you could avoid phrases such as ""I mean, cmon"", things you say when you talk, it would be a lot easier to read. You also just sort of ramble on, the periods seem to be randomly placed, you never know when your thought will end. I'm not trying to be mean, I'm just trying to help you to hopefully make a post that is a bit better to read and may encourage other people to read it. You put a few good thoughts down, but you seem to have a bit of trouble expressing them. Would I be right if I guessed that you are a kid still in school?","iraqi-war","12:27 AM","government-debates","2"
"07-08-2005","5912",1,"None","None","None","XxAngel21xX","145764","Uhh...maybe, Im not very well trained in debate. Though I do debate a LOT with my friends. Still, the fact that im only 18, and still in 11th grade, doesnt effect the way I put down my thoughts. I just say them as they come. I never think in complete sentences, the words just come to me one after another. So if I didnt put enough sentences, though i saw plenty, im sorry, and if i offended your or anyone else who viewd it....well im not sorry, these are my opinions, so dont get offended. Also, thanks for tryin to help a noob debater out, I guess i need work, but i hope not that much, anyways thanks and i hope we'll ahve some good debates, because God knows[if he exists ] that I love to debate. [Sorry if this post is akward as well...]","iraqi-war","12:39 AM","government-debates","3"
"07-11-2005","5912",1,"XxAngel21xX","None","Anyways, its clear to me, since London was bombed today(July 08 2005), that we should get OUT of Iraq and friggin find Osama.","gnojek","146468","What would that accomplish?","iraqi-war","04:06 PM","government-debates","4"
"07-11-2005","5912",1,"XxAngel21xX","None","Bush's bitches(no offence)..","plotter","146593","What a great description. I agree with your post, well most of, as for the above, theres quite a few of them here..lol.","iraqi-war","10:33 PM","government-debates","5"
"07-12-2005","5912",1,"XxAngel21xX","None","Anyways, its clear to me, since London was bombed today(July 08 2005), that we should get OUT of Iraq and friggin find Osama. Since Bush ""claimed"" that iraq had wmd(weapons of mass destruction) we have neglected to look for and find Osama Bin Ladin. It is in my opinion that we impeech Bush because he bombed London indirectly with no provocation. Well, i just want to hear you guys' thoughts on this subject...","Ghost","146617","Oh, okay, let's just tell the few hundred Seals, Green Berets, and D-Boys of TF Dagger that they can just forget the last 3 years or so. Cuz ya know, they haven't been in Afghanistan looking for Osama the whole time. Oh, and while we're at it, I wonder what the heck the thousands of soldiers and marines are doing over there. And you're right, Iraq never did have WMDs. I guess that why there's a few thousand dead Iranian and Kurdish bodies dumped in mass graves. Musta caught a bad strain of the flu and just upped an' died, huh? My opinion? That may just be the dumbest thing I've ever heard. No offense.","iraqi-war","02:01 AM","government-debates","6"
"07-12-2005","5912",1,"None","None","None","XxAngel21xX","146618","The terrorist attack on London was link with al qaeda and Osama, not to say it was them, just was influenced by them.","iraqi-war","02:02 AM","government-debates","7"
"07-13-2005","5912",1,"None","None","None","Ghost","146874","Just bumping the thread, we replied at like the same time.","iraqi-war","01:36 AM","government-debates","8"
"07-13-2005","5912",1,"gnojek","None","What would that accomplish?","unkerpaulie","146960","you are joking, right? after billions of dollars and thousands of lives consumed in a vain effort to reduce terrorism from islamic fundamtalists, the same islamic fundamentalists are still launching acts of terrorism. yet you believe we should continue our current course of harrassing the iraqis and leaving bin laden free to roam and act as he pleases? wow, no wonder angelxx describes the war supporters the way she does isnt this clear evidence of what we've all known all along, that holding siege to iraq will do absolutely zilch to reduce terrorism? and before some smartass says ""well there hasnt been a terrost attack on american soil in years"" or some other XXXX like that, think for a moment. if bin laden had been captured/killed and al qaeda disabled like they should have been years ago, do you think we'd still be worried about threats like what happened in london? an attack could happen anywhere at any time, even in america, for 2 reasons 1. our intelligence has no idea what bin laden is up to 2. our intelligence has no clue to the positions and operations of al qaeda throughout the world so, with all this bloodshed in iraq, including much of our own, and all this money going up in smoke, it is all to very little avail. we have not even barely incapacitated al qaeda. they still can and will attack on their own schedule and whats worse, the american sheeple will still dumbfoundedly gleam when bush speaks of his progress on the war on terror, as though reality mens nothing and bush's words are gospel","iraqi-war","10:17 AM","government-debates","9"
"07-13-2005","5912",1,"Ghost","None","Oh, okay, let's just tell the few hundred Seals, Green Berets, and D-Boys of TF Dagger that they can just forget the last 3 years or so. Cuz ya know, they haven't been in Afghanistan looking for Osama the whole time. Oh, and while we're at it, I wonder what the heck the thousands of soldiers and marines are doing over there. And you're right, Iraq never did have WMDs. I guess that why there's a few thousand dead Iranian and Kurdish bodies dumped in mass graves. Musta caught a bad strain of the flu and just upped an' died, huh?","unkerpaulie","146962","for once we'd be telling them the truth nobody is being fooled into thinking that bin laden might still be somewhere in afghanistan. nobody is still dumb enough to believe that one of these days we'l find that stash of hidden weapons in the sand somewhere. well, at least i hope so so why are we in iraq? what did iraq have to do with the 9/11 attacks, or the london attacks? why havent we even sent troops to the other countries that we KNOW habor terrorists, like jordan, egypt, saudi arabia and pallestine? why are we still beileving that by establishing a democracy in iraq, terrorists will soften their fundamentalism and welcome the american influence with open arms? who here can really admit to being that stupid?","iraqi-war","10:24 AM","government-debates","10"
