"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"07-08-2005","5921",1,"None","None","None","sanguinekane","145971","Hmmm, I think the government might make the claim (not that I think its right) that it isn't servitude as conscripts are still paid.","conscription-unconstitutional","06:01 PM","government-debates","2"
"07-08-2005","5921",1,"None","None","None","wilted_laughter","145985","Has this every come before the courts in the US?","conscription-unconstitutional","07:24 PM","government-debates","3"
"07-08-2005","5921",1,"sanguinekane","None","Hmmm, I think the government might make the claim (not that I think its right) that it isn't servitude as conscripts are still paid.","Dzeron","145987","Payment does not matter. If someone is forced to serve, it is involuntary servitude.","conscription-unconstitutional","08:19 PM","government-debates","4"
"07-08-2005","5921",1,"None","None","None","Dono","146002","The Constitution adopted in 1789 gave Congress the ""power to raise and support armies,"" but it neither mentioned nor prohibited conscription. The courts, however, have ruled that this power thumps the 13th Amendment. Selective Draft Law Cases, 245 U.S. 366 (1918). The Court's analysis, in full, of the Thirteenth Amendment issue raised by a compulsory military draft was the following: ''As we are unable to conceive upon what theory the exaction by government from the citizen of the performance of his supreme and noble duty of contributing to the defense of the rights and honor of the nation, as the result of a war declared by the great representative body of the people, can be said to be the imposition of involuntary servitude in violation of the prohibitions of the Thirteenth Amendment, we are constrained to the conclusion that the contention to that effect is refuted by its mere statement.'' Id. at 390. While the Supreme Court has never squarely held that conscription need not be premised on a declaration of war, indications are that the power is not constrained by the need for a formal declaration of war by ''the great representative body of the people.'' During the Vietnam War (an undeclared war) the Court, upholding a conviction for burning a draft card, declared that the power to classify and conscript manpower for military service was ''beyond question.'' United States v. O'Brien, 391 U.S. 367, 377 (1968). See also United States v. Holmes, 387 F.2d 781, 784 (7th Cir. 1968) (''the power of Congress to raise armies and to take effective measures to preserve their efficiency, is not limited by either the Thirteenth Amendment or the absence of a military emergency''), cert. denied 391 U.S. 956 Dono","conscription-unconstitutional","10:34 PM","government-debates","5"
"07-08-2005","5921",1,"None","None","None","zachvac","146004","Do you really think that's the only part of the Constitution people seem to think it's ok to ignore? But anyway I agree with you. Involuntary means not voluntary, and servitude means you are servinig. This has nothing to do with pay or anything else.","conscription-unconstitutional","10:38 PM","government-debates","6"
"10-30-2005","5921",1,"Dono","None","The Constitution adopted in 1789 gave Congress the ""power to raise and support armies,"" but it neither mentioned nor prohibited conscription. The courts, however, have ruled that this power thumps the 13th Amendment. Selective Draft Law Cases, 245 U.S. 366 (1918). The Court's analysis, in full, of the Thirteenth Amendment issue raised by a compulsory military draft was the following: ''As we are unable to conceive upon what theory the exaction by government from the citizen of the performance of his supreme and noble duty of contributing to the defense of the rights and honor of the nation, as the result of a war declared by the great representative body of the people, can be said to be the imposition of involuntary servitude in violation of the prohibitions of the Thirteenth Amendment, we are constrained to the conclusion that the contention to that effect is refuted by its mere statement.''","Obvious Child","175628","So, 'we think that America at war is noble and right, and therefore must be voluntary. Even when you force people to do it....","conscription-unconstitutional","01:23 PM","government-debates","7"
"10-30-2005","5921",1,"None","None","None","doG","175631","The intent of the 13th amendment was to abolish slavery, not to restrict the authority of Congress to raise armies. This tactic was attempted during the draft of the Vietnam War and all such cases were dismissed on this basis.","conscription-unconstitutional","01:54 PM","government-debates","8"
"10-30-2005","5921",1,"None","None","None","Steeeeve","175676","There has already been a Supreme Court Case about this. I might have to read it and see what I think.","conscription-unconstitutional","03:52 PM","government-debates","9"
"10-31-2005","5921",1,"doG","None","The intent of the 13th amendment was to abolish slavery, not to restrict the authority of Congress to raise armies. This tactic was attempted during the draft of the Vietnam War and all such cases were dismissed on this basis.","Obvious Child","175828","As a Brit, I find the role of the constitution in the US rather confusing. Is the intent taken into account, or are the words themselves considered to be sovereign?","conscription-unconstitutional","07:06 AM","government-debates","10"
"10-31-2005","5921",1,"Obvious Child","None","As a Brit, I find the role of the constitution in the US rather confusing. Is the intent taken into account, or are the words themselves considered to be sovereign?","doG","175832","Actually that's a pretty big debate/argument among some of us here. Generally constitutionalists believe the intent should always be the controlling factor of interpretation. Some believe it is more of a living document and that the intent should change with time. Constitutionalists believe that kind of negates the purpose or intent of the amendment process. I personally believe when someone sits to pen some rules or laws that it is not their intent that the interpretation of what they meant will change with time.","conscription-unconstitutional","07:55 AM","government-debates","11"
