"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"08-08-2005","6149",1,"None","None","None","emoreno2292","153667","Has anyone noticed nowadays how powerful Christian coalitions have become? Not only have they forced intelligent design to be taught in science classes, but now they impose their christian morality upon us all? What are your opinions on this?","dag-nabbit-does-seperation-church-state-mean-anything-anymore","12:44 PM","government-debates","1"
"08-08-2005","6149",1,"emoreno2292","None","Has anyone noticed nowadays how powerful Christian coalitions have become? Not only have they forced intelligent design to be taught in science classes, but now they impose their christian morality upon us all? What are your opinions on this?","georged","153670","Mental inbreeding is always a numerically powerful political tool with limited intellectual requirements.","dag-nabbit-does-seperation-church-state-mean-anything-anymore","12:59 PM","government-debates","2"
"08-08-2005","6149",1,"emoreno2292","None","Has anyone noticed nowadays how powerful Christian coalitions have become? Not only have they forced intelligent design to be taught in science classes, but now they impose their christian morality upon us all? What are your opinions on this?","sinjin","153682","It was worse in the 17th century. Cheer up.","dag-nabbit-does-seperation-church-state-mean-anything-anymore","01:28 PM","government-debates","3"
"08-08-2005","6149",1,"sinjin","None","It was worse in the 17th century. Cheer up.","Kronus","153739","Yeah, but it was better 20 years ago. If we put some effort into it now we can insure that the cycle only takes a couple of decades to swing back, and not a couple of centuries.","dag-nabbit-does-seperation-church-state-mean-anything-anymore","05:05 PM","government-debates","4"
"08-08-2005","6149",1,"emoreno2292","None","Has anyone noticed nowadays how powerful Christian coalitions have become? Not only have they forced intelligent design to be taught in science classes, but now they impose their christian morality upon us all? What are your opinions on this?","marc9000","153776","It's merely a reaction to today's unprecidented anti-Christian movements. Separation of church & state never did mean much, since it's not in the Constitution.","dag-nabbit-does-seperation-church-state-mean-anything-anymore","08:07 PM","government-debates","5"
"08-08-2005","6149",1,"sinjin","None","It was worse in the 17th century. Cheer up.","emoreno2292","153809","Well, you've got a point there...","dag-nabbit-does-seperation-church-state-mean-anything-anymore","11:48 PM","government-debates","6"
"08-09-2005","6149",1,"marc9000","None","It's merely a reaction to today's unprecidented anti-Christian movements. Separation of church & state never did mean much, since it's not in the Constitution.","Matthew S","153832","What are these groups? Why is the christians religious freedom more important then those who wish to be left alone and not wish to particpate in christian activities? Do you mean the people who want to be free of having their children forced to stand and patipate in christian prayers? It seems to me that christians want the freedom to practice their religion any where any time, in any ones face, have the government sponsor christian activities, and make laws to enforce their brand of morality. Then when someone complains that they don't want to have to watch, participate, or have the government, which they pay taxes to support, force them to live by a christian set of morals and sue. The christians feel that their religion is under attack when it wouldn't be if they kept their religion in their churches and homes and out of peoples faces in the first place.","dag-nabbit-does-seperation-church-state-mean-anything-anymore","08:26 AM","government-debates","7"
"08-09-2005","6149",1,"marc9000","None","It's merely a reaction to today's unprecidented anti-Christian movements. Separation of church & state never did mean much, since it's not in the Constitution.","Kronus","153872","There is no anti-Christian movement; that's a myth generated by the religious right to justify their efforts to force their beliefs on others. If you disagree, if you really think there is such a movement, then please show me any evidence you have that it's real, I'd love to see it. And please note that scattered incidents don't qualify as a movement. Please show evidence of a co-ordinated effort, and if you can spell out exactly what this movements goals precisely are. As for seperation of church and state not being in the Consititution, of course it is, as I'm sure you well know. Not using those exact words of course, but that's what's guaranteed in the first amendment.","dag-nabbit-does-seperation-church-state-mean-anything-anymore","01:18 PM","government-debates","8"
"08-09-2005","6149",1,"Kronus","None","As for seperation of church and state not being in the Consititution, of course it is, as I'm sure you well know. Not using those exact words of course, but that's what's guaranteed in the first amendment.","biccat","153881","Actually the first amendment has two parts regarding religion: Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof. Pretty clear that there's no guarantee of seperation between the two.","dag-nabbit-does-seperation-church-state-mean-anything-anymore","01:57 PM","government-debates","9"
"08-09-2005","6149",1,"biccat","None","Actually the first amendment has two parts regarding religion: Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof. Pretty clear that there's no guarantee of seperation between the two.","georged","153884","I'm not a member of any bar but in contract law congress being restrained from legislation of religious establishment (to condone) and prohibition of religious exercise is very effective separation between religion and state. As most of the founding fathers were dietists with a few agnostics, I can't even imagine agreement among them to combine government with mythical belief systems.","dag-nabbit-does-seperation-church-state-mean-anything-anymore","02:23 PM","government-debates","10"
