"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"10-05-2005","6556",1,"None","None","None","Matthew S","168238","Just when you thought you have heard it all the christonazis come up with something that suprises you. http://www.365gay.com/newscon05/10/100405birthBan.htm In the state of Indiana they are proposing legislation that would make it illegal for single people to have children though the use of medical technology. The bill would states that you have to married to a person of the opposite sex and beinvolved in a faith based organization. To the conservates here; Do you think that this is a good idea? Would you really support this type of government intervention into peoples lives? I can tell you that it is this type of XXXX that is giving religious people and conservates in general a bad image.","indiana-government-gone-too-far","05:32 AM","government-debates","1"
"10-05-2005","6556",1,"None","None","None","gamehuis","168239","Heh, licenses to have kids, reminds me of the movie Fortress... It's a sick, sick world we live in.","indiana-government-gone-too-far","05:36 AM","government-debates","2"
"10-05-2005","6556",1,"None","None","None","Iuris","168241","Had a similar situation round here a while ago. Got so far as a referendum, and an overwhelming majority denied acces to medical assistance to single females. Could someone explain the bit about ""Women would also have to provide proof that they have participated in faith-based or church activities."" ?","indiana-government-gone-too-far","05:44 AM","government-debates","3"
"10-05-2005","6556",1,"None","None","None","georged","168247","US Christianity desperately clinging to the past as the education of a global society erodes their majority. A major contribution to US decline as the rest of the world enters a new century. That's as retrogressive as a 27% tariff against China's products to protect our inefficient industry and fiscal mismanagement.","indiana-government-gone-too-far","08:34 AM","government-debates","4"
"10-06-2005","6556",1,"None","None","None","Matthew S","168550","Update: The bill has been dropped, not because the state senator thought is was a bad idea, but because it was too controversial http://www.365gay.com/newscon05/10/100605indiana.htm","indiana-government-gone-too-far","06:46 AM","government-debates","5"
"11-14-2005","6556",1,"None","None","None","coolcodemn3","179384","I thinks it would have been a good idea if you are looking from a moral perspective or religion. I think it should get passed, but i know it will not becuase we live in America, and im fine with it not getting passed but i would like for it to get passed.","indiana-government-gone-too-far","07:24 PM","government-debates","6"
"11-16-2005","6556",1,"coolcodemn3","None","I thinks it would have been a good idea if you are looking from a moral perspective or religion. I think it should get passed, but i know it will not becuase we live in America, and im fine with it not getting passed but i would like for it to get passed.","Matthew S","179644","So you trully believe that pastor so and so, that you don't know, down the street should have the right to tell you when to have children and have controll over your sperm/eggs?","indiana-government-gone-too-far","06:41 AM","government-debates","7"
"11-16-2005","6556",1,"None","None","None","coolcodemn3","179835","the moral aspect of it is great(coming from a Christian), It will never happen becasue its extreme.","indiana-government-gone-too-far","09:09 PM","government-debates","8"
"11-16-2005","6556",1,"coolcodemn3","None","the moral aspect of it is great(coming from a Christian), It will never happen becasue its extreme.","Matthew S","179853","Here in lies the problem, people are to ready to impose their morals on others especially when it doesnot effect their lives.","indiana-government-gone-too-far","10:15 PM","government-debates","9"
"11-17-2005","6556",1,"Matthew S","None","Here in lies the problem, people are to ready to impose their morals on others especially when it doesnot effect their lives.","coolcodemn3","179863","Now you are putting words into my mouth, I said it would be a good idea morrally, but i know it will never happen and Im fine with that. But it wouldnt be a bad idea. dont you get it?!?!?!","indiana-government-gone-too-far","12:52 AM","government-debates","10"
"11-17-2005","6556",1,"coolcodemn3","None","Now you are putting words into my mouth, I said it would be a good idea morrally, but i know it will never happen and Im fine with that. But it wouldnt be a bad idea. dont you get it?!?!?!","Matthew S","179911","So someone else having control over when you reproduce is a good idea? Remember everyone has a different moral view. This type of moralistic legislation is immoral in my view and is not a good idea. By your own admission you want to impose your moral view of the world upon people who have a different and opposite moral view of the world. You say it would be a good idea for the state of Indiana to impose a reproduction ban upon single people even if those single people feel it is morally right to reproduce while being single. We have different moral views of the world and to have someone elses moral views legislated upon me is immoral. We are talking about real people with real lives not just moral opinions. Laws like these hurt real people and effect real lives","indiana-government-gone-too-far","12:00 PM","government-debates","11"
"11-17-2005","6556",1,"Matthew S","None","So someone else having control over when you reproduce is a good idea? Remember everyone has a different moral view. This type of moralistic legislation is immoral in my view and is not a good idea. By your own admission you want to impose your moral view of the world upon people who have a different and opposite moral view of the world. You say it would be a good idea for the state of Indiana to impose a reproduction ban upon single people even if those single people feel it is morally right to reproduce while being single. We have different moral views of the world and to have someone elses moral views legislated upon me is immoral. We are talking about real people with real lives not just moral opinions. Laws like these hurt real people and effect real lives","coolcodemn3","179986","finally you kinda get what im sqaying, Im my oipinion its a good idea becuase it goes with MY CHRISTIAN views, but i know it will never happen and im fine wiht that.","indiana-government-gone-too-far","06:32 PM","government-debates","12"
"11-18-2005","6556",1,"None","None","None","GreenMtnBoy","180052","Would you be against a law that says only Jewish couples can have children? If yes, you should be against the proposed indiana law.","indiana-government-gone-too-far","03:51 AM","government-debates","13"
"11-18-2005","6556",1,"coolcodemn3","None","finally you kinda get what im sqaying, Im my oipinion its a good idea becuase it goes with MY CHRISTIAN views, but i know it will never happen and im fine wiht that.","Matthew S","180060","Point missed again. Please answer the question from a personal level and not a christian views prespective. Do you personally believe that someone else, the government, should have control over when and with whom you reproduce, is this a good idea?","indiana-government-gone-too-far","08:19 AM","government-debates","14"
"11-19-2005","6556",1,"None","None","None","coolcodemn3","180274","No i do not think it is right for a person to tell another person who they can have sex with overall. But it can help in some situations (does that help?)","indiana-government-gone-too-far","02:57 AM","government-debates","15"
"11-19-2005","6556",2,"coolcodemn3","None","No i do not think it is right for a person to tell another person who they can have sex with overall. But it can help in some situations (does that help?)","Matthew S","180276","Well this is exactly what the Indiana state government was trying to do with this law. The law would make it illegal for single people to use artificial means to have children. This was aimed directly at lesbians who use artificial insemination to have children.","indiana-government-gone-too-far","05:23 AM","government-debates","16"
"11-20-2005","6556",2,"None","None","None","coolcodemn3","180491","i think its sick and not moral but i dont get my way always, thats what makes the world go around","indiana-government-gone-too-far","02:01 AM","government-debates","17"
"11-22-2005","6556",2,"None","None","None","Phunting","180888","Do we have an inherent right to reproduce then? Are there ever any circumstances when it would be justifiable for the government to deny the right to reproduce?","indiana-government-gone-too-far","11:38 AM","government-debates","18"
"11-22-2005","6556",2,"Phunting","None","Do we have an inherent right to reproduce then? Are there ever any circumstances when it would be justifiable for the government to deny the right to reproduce?","Matthew S","180934","We do have an inherent right to our bodies and the right to reprodution. Government interference with reproduction is never justified. I can invision a time when two sperm will be brought together to create a child and carried by a male as an ectopic pregnacy.","indiana-government-gone-too-far","02:21 PM","government-debates","19"
"11-23-2005","6556",2,"None","None","None","Phunting","181034","But reproduction doesn't just involve our own bodies, through creation it involves another. Hypothetically, what of someone who was currently under sentence for violent abuse of their children, should they have equal right to the same technology?","indiana-government-gone-too-far","09:21 AM","government-debates","20"
