"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"12-08-2005","7023",1,"None","None","None","debategirl88","184178","Did you know that they are now, in some parts of America, calling Christmas trees holiday trees because some are getting offended? Post your thoughts, and I'll comment in a bit.","holiday-trees","10:34 PM","government-debates","1"
"12-08-2005","7023",1,"debategirl88","None","Did you know that they are now, in some parts of America, calling Christmas trees holiday trees because some are getting offended? Post your thoughts, and I'll comment in a bit.","zachvac","184179","I don't particularly care what they're called. But what does Christmas have to do with trees anyway? How are Christmas trees part of the religious holliday anyway? I don't care if they call them Christmas trees, but I also don't care if they want to call them holiday trees. ""A rose by any other name stinks as much"".","holiday-trees","10:36 PM","government-debates","2"
"12-09-2005","7023",1,"None","None","None","coolcodemn3","184214","They are called Chritmas trees becuase they have been for many years. Christmas is not a religious holiday like it used to be. Non Christians celebrate Christmas. Its recognized as a federal holiday so it should not be taken away. The liberals think they are getting back at the right-wing Christians, but they are not. ITs pathetic, its a Christmas tree, dradles are not holiday tops they are dradles, manorahs are not holiday candle holders, they are manorahs. And if the companies are doing it for money to please all people, they are loosing oney becuase the number of people that celebrate Chistmas in this country is 96%. So this Christmas bashing is bad for everyone, Liberals look dumb when they try to support these Christmas hating companies, Christmas celebrators dont get the joy of their holiday.","holiday-trees","01:16 AM","government-debates","3"
"12-09-2005","7023",1,"None","None","None","Matthew S","184234","I don't care what they are called. It seems that only the right wing evangelicals care that christmas trees are called holiday trees. Heck if it p.o.'s an evangelical, I will start calling them X-MAS trees.","holiday-trees","06:37 AM","government-debates","4"
"12-09-2005","7023",1,"None","None","None","emoreno2292","184240","This is ridiculous. It's always been Christmas, hasn't it? I don't understand why everyone's getting so afraid of saying Christmas anymore. But what's also annoying is how Christians have another thing to whine and gripe about. Call it Christmas, call it a holiday tree, do whatever you want, I don't care. Hell, I call the tree my family has had the solstice bush. Any problems there? I hope not.","holiday-trees","07:41 AM","government-debates","5"
"12-09-2005","7023",1,"None","None","None","Eddie","184243","As long as there is no law forbidding the use of the term ""christmas tree"", I don`t see what the fuzz is all about.","holiday-trees","07:53 AM","government-debates","6"
"12-09-2005","7023",1,"None","None","None","Steeeeve","184357","Christmas is not a religious holiday? HAHAHA, if there were no Christian faith then there is no Christmas. CHRIST mas. I guess we should be saying Holidaymas. The people that are offended by ""Christmas Tree"" need to stop being a the Grinch, grow a back bone, and move to France.","holiday-trees","10:43 PM","government-debates","7"
"12-09-2005","7023",1,"Steeeeve","None","Christmas is not a religious holiday? HAHAHA, if there were no Christian faith then there is no Christmas. CHRIST mas. I guess we should be saying Holidaymas. The people that are offended by ""Christmas Tree"" need to stop being a the Grinch, grow a back bone, and move to France.","doG","184358","Please explain why the history of christmas dates back more than 4000 years then...BTW, give ol' Chirac a kiss for us when you get settled over there.","holiday-trees","10:57 PM","government-debates","8"
"12-10-2005","7023",1,"None","None","None","Jo Bennett","184385","The history of Christmas doesn't date back 4000 years. The history of festivals around the time of winter may do, but that's not the same as Christmas. If you want to celebrate Yule or whatever then that's entirely up to you, but it ain't Christmas.","holiday-trees","05:19 AM","government-debates","9"
"12-10-2005","7023",1,"Jo Bennett","None","The history of Christmas doesn't date back 4000 years. The history of festivals around the time of winter may do, but that's not the same as Christmas. If you want to celebrate Yule or whatever then that's entirely up to you, but it ain't Christmas.","Eddie","184391","Hehe... Actually ""Jul"" (Yule) translates ""Christmas"" directly... But I agree that the pagan festival is very different from the christian festival we currently celebrate. On the other hand, I would say that christmas has changed considerably the last few decades as well. In many households around the world, the christian meaning of christmas is simply not a part of their christmas celebrations. I would also like to point out that getting smashed and beat up your wife and kids seems to be a universal christmas tradition, even among devout christians. So I guess the pagan ritual of drinking ""jul"" at the winter solstice is more prelavent than the christian meanings and rituals","holiday-trees","07:05 AM","government-debates","10"
"12-10-2005","7023",1,"Eddie","None","Hehe... Actually ""Jul"" (Yule) translates ""Christmas"" directly... But I agree that the pagan festival is very different from the christian festival we currently celebrate. On the other hand, I would say that christmas has changed considerably the last few decades as well. In many households around the world, the christian meaning of christmas is simply not a part of their christmas celebrations. I would also like to point out that getting smashed and beat up your wife and kids seems to be a universal christmas tradition, even among devout christians. So I guess the pagan ritual of drinking ""jul"" at the winter solstice is more prelavent than the christian meanings and rituals","georged","184408","I also find it interesting that in the US domestic violence reaches peak highs during the holiday season running from thanksgiving through new year. Is that an inherited European tradition or something original?","holiday-trees","09:18 AM","government-debates","11"
"12-10-2005","7023",1,"georged","None","I also find it interesting that in the US domestic violence reaches peak highs during the holiday season running from thanksgiving through new year. Is that an inherited European tradition or something original?","Eddie","184412","Most probably inherited. We experience the same phenomenon over here. I would say increased alcohol consumption is a big culprit. Even though, stress, failed expectations and the fact that people are free from their work to socialize with their families are probably significant factors as well.","holiday-trees","09:30 AM","government-debates","12"
"12-10-2005","7023",1,"None","None","None","Steeeeve","184413","The point remains though. We celebrate a Christian holiday. No Christian Holiday and no Dec 25 off of work. No matter how you slice is, it is putting ""religion"" into government. Of course, people aren't going to say we should just get rid of the holiday 100%, they would rather change it to Holiday Trees in order to still get off of work. We have a word for this....selfish.","holiday-trees","09:32 AM","government-debates","13"
"12-10-2005","7023",1,"Eddie","None","Most probably inherited. We experience the same phenomenon over here. I would say increased alcohol consumption is a big culprit. Even though, stress, failed expectations and the fact that people are free from their work to socialize with their families are probably significant factors as well.","georged","184416","Our local LE say they'd rather face criminals in a gunfight than respond to the uncertainty of domestic disturbance situations. I'd expect the failed expectations play a big part on families hammering on each other and anyone else who gets in the way.","holiday-trees","09:38 AM","government-debates","14"
"12-10-2005","7023",1,"Steeeeve","None","The point remains though. We celebrate a Christian holiday. No Christian Holiday and no Dec 25 off of work. No matter how you slice is, it is putting ""religion"" into government. Of course, people aren't going to say we should just get rid of the holiday 100%, they would rather change it to Holiday Trees in order to still get off of work. We have a word for this....selfish.","Eddie","184417","Reminds me of how the russians reacted to the Soviet Union crumbling in relation to holidays. During the communist era, many religous holidays where removed from the calender in order to further the bolsjevik propaganda. Instead, ideological holidays where introduced (like the birthday of Lenin and what-not). When the wall came tumbling down, the russians where not prepared to let go of their communist-hollidays, while they fought fiercily to get the religous hollidays back into the calender (with the payed days-off naturally, you cannot worship your god unless you get a salary for it). So now, they have two sets of holidays, and twice as many as before. And sure, it is selfish. Just like expecting that the free time you get during christians hollidays should be payed for by your employer. We are all selfish.","holiday-trees","09:38 AM","government-debates","15"
"12-10-2005","7023",2,"Steeeeve","None","The point remains though. We celebrate a Christian holiday. No Christian Holiday and no Dec 25 off of work. No matter how you slice is, it is putting ""religion"" into government. Of course, people aren't going to say we should just get rid of the holiday 100%, they would rather change it to Holiday Trees in order to still get off of work. We have a word for this....selfish.","georged","184418","Especially when that month determines annual success or failure for many retail entities.","holiday-trees","09:39 AM","government-debates","16"
"12-10-2005","7023",2,"None","None","None","GreenMtnBoy","184451","I think it's stupid to call it a holiday tree, as no other holiday at that time of the year celebrates a tree. However, I have no problem with ""Happy Holidays"". Saying ""Merry Christmas"" to people you don't know is making an ASSumption. But it's all freedom of speech, anyone can use whichever they want, and anyone trying to force others to use thier term is nothing more than an authoritarian.","holiday-trees","12:16 PM","government-debates","17"
"12-10-2005","7023",2,"Steeeeve","None","The point remains though. We celebrate a Christian holiday. No Christian Holiday and no Dec 25 off of work. No matter how you slice is, it is putting ""religion"" into government. Of course, people aren't going to say we should just get rid of the holiday 100%, they would rather change it to Holiday Trees in order to still get off of work. We have a word for this....selfish.","doG","184460","No, not we. The holiday that has been celecrated for 1000s of years for the winter solstice, called ""yule"" by some, is not a christian holiday. That christians elected to celebrate their religious holiday at the same time did not change the soltice celebration of others to a religious one.","holiday-trees","01:06 PM","government-debates","18"
