"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"01-11-2006","7305",1,"None","None","None","PoohBear","191653","Hey yal I wanted to find out who were your favorite presidents and why.. keep it friendly...","fav-president","11:14 PM","government-debates","1"
"01-12-2006","7305",1,"None","None","None","Dono","191662","Picking just one is difficult, but he would not be from modern times. I have always admired the energy of Teddy Roosevelt, a Nobel prizewinner, a physical culturalist, a naval historian, a biographer, an essayist, a paleontologist, a taxidermist, an ornithologist, a field naturalist, a conservationist, a big-game hunter, an editor, a critic, a ranchman, an orator, a country squire, a civil service reformer, a socialite, a patron of the arts, a colonel of the cavalry, a former Governor of New York, the ranking expert on big-game mammals in North America and the President of the U.S. Not a bad scorecard, especially when compared with our current leader. Dono","fav-president","12:20 AM","government-debates","2"
"01-12-2006","7305",1,"None","None","None","Truthsayer","191667","I liked Reagan and Clinton. But the 70's were pretty hard on me so don't put too much into that.","fav-president","01:27 AM","government-debates","3"
"01-13-2006","7305",1,"None","None","None","snakespit","191956","Reagan, Ronald and Nancy.","fav-president","11:26 AM","government-debates","4"
"02-08-2006","7305",1,"None","None","None","coolcodemn3","197228","W (George W.Bush for the slower people)","fav-president","01:42 AM","government-debates","5"
"06-14-2006","7305",1,"coolcodemn3","None","W (George W.Bush for the slower people)","Mickey Shane","216918","My favorite prez could beat up your favorite prez, if only Ike was still alive.","fav-president","01:50 PM","government-debates","6"
"07-24-2006","7305",1,"Truthsayer","None","I liked Reagan and Clinton. But the 70's were pretty hard on me so don't put too much into that.","Evan","224411","Reagan and Clinton? Thats a little strange combination... Anyways hows everyone doin? i don't post to much on here because i don't have the time, but every once in awhile is fun. So whats cracken? anywhoo, I'd have to go with the Gipper easy, hands down, he's practically the definition of conservatism so how can I go any other way. i just don't see how you can group Clinton with the Reagan...","fav-president","09:28 PM","government-debates","7"
"07-25-2006","7305",1,"coolcodemn3","None","W (George W.Bush for the slower people)","Dono","224621","Good one! I like a man with a sense of humor . Speaking of ""slower people"", check these examples out: ""Those who enter the country illegally violate the law."" --George W. Bush, Tucson, Ariz., Nov. 28, 2005; ""After standing on the stage, after the debates, I made it very plain, we will not have an all-volunteer army. And yet, this week -- we will have an all-volunteer army!"" --George W. Bush, Daytona Beach, Fla., Oct. 16, 2004; ""The ambassador and the general were briefing me on the the vast majority of Iraqis want to live in a peaceful, free world. And we will find these people and we will bring them to justice."" George W. Bush, Washington, D.C., Oct. 27, 2003; ""I was proud the other day when both Republicans and Democrats stood with me in the Rose Garden to announce their support for a clear statement of purpose: you disarm, or we will."" George W. Bush, speaking about Saddam Hussein, Manchester, N.H., Oct. 5, 2002; and my favorite, """"Our enemies are innovative and resourceful, and so are we. They never stop thinking about new ways to harm our country and our people, and neither do we."" - Washington, D.C., August 5, 2004. He is not too swift, but he can be funny. Dono","fav-president","05:07 PM","government-debates","8"
"07-25-2006","7305",1,"Dono","None","Good one! I like a man with a sense of humor . Speaking of ""slower people"", check these examples out: ""Those who enter the country illegally violate the law."" --George W. Bush, Tucson, Ariz., Nov. 28, 2005; ""After standing on the stage, after the debates, I made it very plain, we will not have an all-volunteer army. And yet, this week -- we will have an all-volunteer army!"" --George W. Bush, Daytona Beach, Fla., Oct. 16, 2004; ""The ambassador and the general were briefing me on the the vast majority of Iraqis want to live in a peaceful, free world. And we will find these people and we will bring them to justice."" George W. Bush, Washington, D.C., Oct. 27, 2003; ""I was proud the other day when both Republicans and Democrats stood with me in the Rose Garden to announce their support for a clear statement of purpose: you disarm, or we will."" George W. Bush, speaking about Saddam Hussein, Manchester, N.H., Oct. 5, 2002; and my favorite, """"Our enemies are innovative and resourceful, and so are we. They never stop thinking about new ways to harm our country and our people, and neither do we."" - Washington, D.C., August 5, 2004. He is not too swift, but he can be funny. Dono","PoohBear","224627","I'm sorry but I dont see how Bush is being slow here.. He's stating facts and ideas..","fav-president","05:12 PM","government-debates","9"
"07-25-2006","7305",1,"None","None","None","jitobear","224629","FDR I think he displayed a compassion for the American people unlike any other president.","fav-president","05:21 PM","government-debates","10"
"07-25-2006","7305",1,"PoohBear","None","I'm sorry but I dont see how Bush is being slow here.. He's stating facts and ideas..","Dono","224678","You're joking, right? Read the quotes again very slowly and check those ""facts and ideas"" again. If they still appear OK to you that is fine, but forget about any scholarships. Dono","fav-president","11:24 PM","government-debates","11"
"07-26-2006","7305",1,"Dono","None","You're joking, right? Read the quotes again very slowly and check those ""facts and ideas"" again. If they still appear OK to you that is fine, but forget about any scholarships. Dono","PoohBear","224820","ok so my academic scholarship to texas a&m and utsa have been given to me on account of my looks? I have read them and can see how you would get them mixed up with something stupid.. but if you read them carefully and not just out of context they make sense. try reading it with an open mind. not one decided upon already. k?","fav-president","03:40 PM","government-debates","12"
"07-26-2006","7305",1,"PoohBear","None","ok so my academic scholarship to texas a&m and utsa have been given to me on account of my looks? I have read them and can see how you would get them mixed up with something stupid.. but if you read them carefully and not just out of context they make sense. try reading it with an open mind. not one decided upon already. k?","Dono","224857","I've had 6 years of Bushisms to read and am more convinced than ever that his brain is not connected to his mouth. Since he groped the Chancellor of Germany last week, I'm not sure where a connection exists. I asked my daughter and son-in-law (both Aggie Alums) to read them and vote Stupid or out of context .... stupid won 2 to 0. I actually voted for him once and if they ever have a poll on ""worse presidents of the modern era"", I will vote for him again. Dono","fav-president","07:18 PM","government-debates","13"
"07-26-2006","7305",1,"None","None","None","Master_Shake","224876","My favorite president is Jebediah Bartlet If only......","fav-president","10:29 PM","government-debates","14"
"07-26-2006","7305",1,"Dono","None","I've had 6 years of Bushisms to read and am more convinced than ever that his brain is not connected to his mouth. Since he groped the Chancellor of Germany last week, I'm not sure where a connection exists. I asked my daughter and son-in-law (both Aggie Alums) to read them and vote Stupid or out of context .... stupid won 2 to 0. I actually voted for him once and if they ever have a poll on ""worse presidents of the modern era"", I will vote for him again. Dono","PoohBear","224877","ok so now its an opinion forum.. ill keep that in mind in the next election.. since thats obviously how we got clinton into office","fav-president","10:31 PM","government-debates","15"
"07-26-2006","7305",2,"None","None","None","Ooaman","224880","I'd say my favorite president was either Clinton or FDR. If it has to be one who was president with in my life time, I'd go with Clinton. But since I was born, we've only had 4 presidents. I don't think Any of the Bush family should have been president and I've never really been a fan of Reagan for assuming that Bruce Springsteen's ""Born In The USA"" was a Pro-American song. Confusing song lyrics into something that they are not.","fav-president","10:45 PM","government-debates","16"
"07-27-2006","7305",2,"PoohBear","None","ok so now its an opinion forum.. ill keep that in mind in the next election.. since thats obviously how we got clinton into office","Master_Shake","224891","Since when wasn't this an opinion forum?","fav-president","12:13 AM","government-debates","17"
"07-27-2006","7305",2,"PoohBear","None","ok so now its an opinion forum.. ill keep that in mind in the next election.. since thats obviously how we got clinton into office","Dono","224982","That beats having a court do it like the last time. Clinton was a Rhodes scholar. I'm not sure if Bush can spell scholar. Dono","fav-president","01:34 PM","government-debates","18"
"07-27-2006","7305",2,"Dono","None","That beats having a court do it like the last time. Clinton was a Rhodes scholar. I'm not sure if Bush can spell scholar. Dono","PoohBear","225016","why dont you call him up and ask him? im sure hell be answer to spell it out for you.. oh wait you stil cant figure out the numbers on the phone.. so sorry...","fav-president","06:43 PM","government-debates","19"
"07-27-2006","7305",2,"Dono","None","I've had 6 years of Bushisms to read and am more convinced than ever that his brain is not connected to his mouth. Since he groped the Chancellor of Germany last week, I'm not sure where a connection exists. I asked my daughter and son-in-law (both Aggie Alums) to read them and vote Stupid or out of context .... stupid won 2 to 0. I actually voted for him once and if they ever have a poll on ""worse presidents of the modern era"", I will vote for him again. Dono","Evan","225023","hahahaha, your not serious right. first off there was no groping of the chancellor, he touched her on the shoulders, sence when is that groping? thats almost as bad as when people go yell SEXUAL ASSAULT when a man says ""you look nice today"" to a girl. people touch other people on the shoulders all the time, theres nothing sexual about it, so i suggest you and the dems give it a rest. Also as stated, maybe you should actual read what he's saying, are you telling me that you and your daughter and son in law (who are both Aggie Alums) speak in perfect context all the time. I will garentee you that Bush would XXXX you away with his intellect if you ever had a conversation with him. He's not a stupid man. Actually, he's probably one of the few men that a perfect for the Job. I don't agree with everything he does, but he does what he feels is right no matter what other people say. You know what he's all about, he doesn't mess around and try to please everyone. he governs on principle and belief not what polls say. And i think thats a great thing, and thats how it should be. If you don't agree with what he does then don't vote for him, but at least you know where he stands. If i could, which i can't becasue im Canadian, i would vote him one of the best presidents ever, next to Reagan lol.","fav-president","08:19 PM","government-debates","20"
"07-27-2006","7305",2,"Dono","None","That beats having a court do it like the last time. Clinton was a Rhodes scholar. I'm not sure if Bush can spell scholar. Dono","Evan","225024","Bush attended Yale University, where he received a Bachelor of Arts degree in history... now maybe its just me, but i always thought Yale was a pretty impressive school to get into.","fav-president","08:24 PM","government-debates","21"
"07-27-2006","7305",2,"Evan","None","Bush attended Yale University, where he received a Bachelor of Arts degree in history... now maybe its just me, but i always thought Yale was a pretty impressive school to get into.","Master_Shake","225028","Don't be naiive.","fav-president","09:01 PM","government-debates","22"
"07-27-2006","7305",2,"Master_Shake","None","Don't be naiive.","Evan","225031","lol what are you saying lol, Yale isn't a good school","fav-president","09:15 PM","government-debates","23"
"07-27-2006","7305",2,"Evan","None","lol what are you saying lol, Yale isn't a good school","zachvac","225040","no, he's saying that if his last name wasn't Bush he wouldn't have gotten in. btw, didn't he get a C average?","fav-president","11:35 PM","government-debates","24"
"07-27-2006","7305",2,"Evan","None","...people touch other people on the shoulders all the time, theres nothing sexual about it... I will garentee you that Bush would XXXX you away with his intellect if you ever had a conversation with him.","Ooaman","225044","Oh shoot; now you tell me. Either that, or make him wish he had a dictionary. If he's as smart as you say he is, he doesn't really speak English very well.","fav-president","11:42 PM","government-debates","25"
"07-27-2006","7305",2,"Evan","None","I will garentee you that Bush would XXXX you away with his intellect if you ever had a conversation with him. He's not a stupid man.","zachvac","225048","Well I totally agree that he is not a stupid man, but I doubt he'd XXXX me away with his intellect either. He's not exactly the intelligent type, but that's not always necessary for the white house. You can't be stupid and get elected, but he is a far cry from intelligent.","fav-president","11:49 PM","government-debates","26"
"07-28-2006","7305",2,"None","None","None","Evan","225052","Im not saying he's steven hawking or anything, but he's an intellegent man. You know what i think most people just confuse his friendly down to earth way of acting as being unintelligent. Also alot of people say it because they see all these funny clips on the net. Well you know what, i don't think it means anything if you can't pronouce ""Nuclear"", heck i can't say ""rediculous"". And plus he's on camera constitently, he's bound to miss something. I bet every president has done it many times. This is just something the dems have chosen to prey on with this particular republican president, becasue they can't really attack anything else; the economy is great, unemployment is down ext, ext, ext. O and our buddy George had a average of 77. http://www.danzfamily.com/archives/2...grades_ker.php take alook, its pretty interesting. you have people like kerry and al gore attacking bushs intelligence but they did worse in school then he did. lol Gore got 5 F's out of 8 classes.","fav-president","12:14 AM","government-debates","27"
"07-28-2006","7305",2,"PoohBear","None","why dont you call him up and ask him? im sure hell be answer to spell it out for you.. Oh wait you stil cant figure out the numbers on the phone.. so sorry...","Dono","225053","To speak to the Prez on the phone requires a contribution that exceeds my modest means. I have no doubt that the CEO's of Merrill Lynch (over $200,000), MBNA, the credit card company ($240,675), Lehman Brothers, the large investment banking firm ($152,000), Haynes & Boone, a Texas law firm ($141,400) would not have a problem reaching him. They did not, however, donate that much to conduct a spelling bee. Sarcasm. properly used, can be an effective argument tool.... or it can make one seem foolish. Hopefully you will get better at it with practice. Dono","fav-president","12:21 AM","government-debates","28"
