"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"06-21-2003","734",1,"None","None","None","SilentPoet","10452","I live inside the US. The US is the most powerful country in the world in military. Its a filthy rich country. With our big houses, flashy cars, etc... Compared to most countries around the world America has got to be in the top three list. Like any government America does have its problems. Although I think the thing Americans don't realize is how petty there problems are compared to the rest of the world. The media mainly coversy issues inside the US. The US is occupied with its own issues that it doesn't give us nearly enough updates on world news. While a big story we might have in our news paper is an order from a judge in the Laci Peterson case or the removal of the confederate flag from the state house, this is nothing compared to real issues at hand. Other countries give constant updates on world issues in Iran, The Congo, Africa, North Korea, etc... While Americans ""BIG FIGHT"" is to be able to wear whatever shirt they want in public school, another country is battiling to have free education. We address free right of speech issues constantly, but how often do we pay attention to free speach in another countries. Ex. In Nigeria a reporter was speaking out against the government there. Nigeria is one of the richest countries in the world and around the 6th largest oil producer. The country is in absolute chaos compared with American scociety. The problem lies in corruption of the governemnt. Anyways the reporter, only trying to excercise his opinion of free speech to change the government began to receive death threats and was forced to leave the country. They had to leave their children behind. (An editor and his wife). But do Americans pay attention to this... No! They are completely swelled up with greed about some man pointing a gun at his wife over porn. (The headline : ""Man accused of pointing gun at wife over Net porn"") Now tell me which current event is more important? Thats the problem with America We shut out the rest of the world problems..... America: Let them eat cake This is why I despise most American media. We only pay attention to news that concerns us, and then eventually we forget about it. (Example : Afghanistan (sp) - The only time we pay attention there is when one of our soldiers is killed) Let me know what you think..... Thanks for reading this Always Stay Open Minded","americans","12:06 AM","government-debates","1"
"06-21-2003","734",1,"None","None","None","Burnout","10453","I agree that there is way too much coverage of events that have little impact on the average person. They do, though, at least give a little coverage of all the international events that they seem to be able to find. I think that they should go into much more detail on what matters. They do have the freedom to cover whatever they choose, so they aren't doing anything necessarily wrong.","americans","12:16 AM","government-debates","2"
"06-21-2003","734",1,"None","None","None","SilentPoet","10454","Burnout, ""I agree that there is way too much coverage of events that have little impact on the average person."" - Not only do things such as the Laci Peterson case not affect the average person. They affect little people in all of America. Not including the people who watch it endlessley as some form of a drama. ""They do have the freedom to cover whatever they choose, so they aren't doing anything necessarily wrong."" - To continue to report as American media does to to keep the majority of the America public blinded to the real situation all around the world. The media has the freedom to only cover a murder in Virginia.. doing so blinds a large majority of the American public to the rest of the world. Thanks for reading this Always Stay Open Minded","americans","12:24 AM","government-debates","3"
"06-21-2003","734",1,"None","None","None","Broker","10455","Remember, America is a big country. There's a reason why you don't see this sort of media in Europe or Africa... those are small countries. How long could you run a cable news network on internal issues in Belgium? American press can report little on international issues because we have so many just in our nation.","americans","12:52 AM","government-debates","4"
"06-21-2003","734",1,"None","None","None","grayhawk","10457","The reason our media is sensationalized is because the news is a television program, trying to get ratings and sponsors and make money, not report the news. They're looking to gather viewers and international news doesn't have the draw that the newest ""cure"" for baldness does, or the Laci Peterson or OJ Simpson dramas do. People tune in to see the dirty laundry, they crave it. They want to know about the Hollywood bunch who is divorcing who and why they care is beyond me, but they do. What is going on in Nigeria people don't care. The news isn't news, it's editorial that is flashy, with a big splash to garner ratings and make money. That's why you don't see it, because the people in the US don't even care what's gong on here short of what new hairstyle some star has, let alone any country overseas having any sort of issue. Additionally the same people who were in an uproar about the fact nothing was being done over the women in Afganistan being sent back to the Dark Ages by the Taliban were the first to scream and yell we don't belong over there when we did go in to remove the Taliban. The news plays to a fickle crowd and today's ""dolphin in the tuna net"" is tomorrows tuna.","americans","02:08 AM","government-debates","5"
"06-21-2003","734",1,"None","None","None","gilligan8503","10462","i didn't read the other posts (it's late) so i may be repeating. our media is like any other large corporate company in america. they are money hungry. they could care less on what they report on, as long as ratings are high. we americans love a good story involving celebrities and politicians. the media knows this, so they put in a little less work, and write XXXXXXXX all up and down our newpapers. not only this, but the media is very, very biased. wonder why the media covers theft and murder when ONLY blacks are involved? also, you can tell whether the journalist is republican or democratic. you can tell how they stress certain parts and erase the rest. i could go on and on; i'm tired. excuse me if my writing is terrible.","americans","03:09 AM","government-debates","6"
"06-21-2003","734",1,"None","None","None","jdoversr","10465","But just how free do you think you are ,you don't belive in the secret goverment that runs this country?","americans","03:52 AM","government-debates","7"
"06-21-2003","734",1,"None","None","None","jdoversr","10466","The media is being hand fead what news to tell or there licenes will be ternated.","americans","03:55 AM","government-debates","8"
"06-21-2003","734",1,"None","None","None","jdoversr","10467","Good night everyone .","americans","03:59 AM","government-debates","9"
"06-21-2003","734",1,"None","None","None","SilentPoet","10476","Gilligan, I would hate in any way to defend our horrible media system but I just have to take one note on what you said... ""wonder why the media covers theft and murder when ONLY blacks are involved? "" - This doesn't seem to be true at all. They covered the kidnapping of Elizabeth Smart. They covered the murder of Laci Peterson. They covered the dissaperance of Levey (sp). But Levey (sp) was only covered because a senator was involved. jdoversr, I don't want to discourage you posting your ideas. But were 3 posts really required all in a row with less than a scentence? Thanks for reading this Always Stay Open Minded","americans","12:25 PM","government-debates","10"
