"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"02-06-2006","7532",1,"None","None","None","Hotnoodles2k1","197031","I have always thought that the president was the most powerful man in world, the man that had the trigger to launch nuclear weapon, and is head of a ten-trillion dollar nation. But today i learn our Constitution makes Congress the most powerful branch of government. Is this a good thing? or a bad? i thought that the framers made the three branch of government coequal, to keep the three branch in check with each other","has-congress-become-more-stronger-then-presidency","08:11 PM","government-debates","1"
"02-07-2006","7532",1,"None","None","None","Matthew S","197072","I for one do not trust the congress or the president. It is to the courts that we should look for the protection or are civil liberties. Congress is filled with a majority party that wants to shove their outdated religious morals upon americans. The president proudly brags of spying on american citizens, torturing captives, holding people without trial and charge. Congress and the president have failed to uphold my rights and have actively sought to work against the best intrests of my family.","has-congress-become-more-stronger-then-presidency","06:20 AM","government-debates","2"
"02-07-2006","7532",1,"None","None","None","Hotnoodles2k1","197168","Hmm Intersting point, maybe we need new, younger congressmen voted in congress. But the congressmen now are always voted into office especially the senior congress and they dont even have to do anything.","has-congress-become-more-stronger-then-presidency","04:21 PM","government-debates","3"
"02-08-2006","7532",1,"None","None","None","beervolcano","197233","I think someone came up with the figure that the reelection rate in the House of Representatives is about 98%, which is higher than it ever was for Soviet Politburos.","has-congress-become-more-stronger-then-presidency","01:58 AM","government-debates","4"
"02-08-2006","7532",1,"beervolcano","None","I think someone came up with the figure that the reelection rate in the House of Representatives is about 98%, which is higher than it ever was for Soviet Politburos.","daewoo","197262","You have to do something REALLY terrible to loose your seat in the house. If you are caught on tape molestign and then sacrificng small children during a satanic ritual, MAYBE, unless you can convince the public that those small children are actually dreaded terrorists or muslims, then you could probably get away wth it.","has-congress-become-more-stronger-then-presidency","09:47 AM","government-debates","5"
"02-08-2006","7532",1,"daewoo","None","You have to do something REALLY terrible to loose your seat in the house. If you are caught on tape molestign and then sacrificng small children during a satanic ritual, MAYBE, unless you can convince the public that those small children are actually dreaded terrorists or muslims, then you could probably get away wth it.","Dono","197370","Or you could be a Kennedy in Mass. Dono","has-congress-become-more-stronger-then-presidency","05:41 PM","government-debates","6"
"02-09-2006","7532",1,"None","None","None","Hotnoodles2k1","197450","Think you can explain to me how the judiciary has more power?","has-congress-become-more-stronger-then-presidency","08:53 AM","government-debates","8"
"02-09-2006","7532",1,"Steeeeve","None","You like the Courts because you support a dictatorship....too bad for you we have a system set up as a democracy (or republic for your wise asses).","Matthew S","197504","The majority is not always right and there needs to be a check on the power of that majority. I do notice that conservatives sometimes run to the courts faster then any liberal on issues where the majority are against them. In california last year the governor vetoed a marriage bill passed by the legislature stating he believed the courts should decide on marraige. In 2000 elections Shrub turned to the courts when he didn't like how the election was going. In Oregan the voters passed assisted suicide law, the Shrubs administration turned to the courts to over turn the will of the people. The same could be said for all the laws passed by the people concerning medical marajuna once again the conservatives turn to the courts to overturn the will of the people. The difference seems to be that liberals are at least honest in their use of the courts while the conservatives rile against what they call activist jusdes while turning to these same judges to overturn laws they do not like.","has-congress-become-more-stronger-then-presidency","12:17 PM","government-debates","9"
"02-09-2006","7532",1,"None","None","None","zachvac","197585","I'm sorry but the courts are not and should not be the most powerful branch. They are supposed interpret the law as written by the legislature. You may think they are neutral now but as more and more people realize that there is power in the courts (we are letting them redefine laws and act on what the people who wrote the laws ""meant"". What happened to interpreting what they said?), more and more Presidents will nominate people with their point of view rather than pick the best person for the job. Obviously point of view is always a factor, but in the past I think people tried to pick people who would fairly interpret what is written in the Constitution, rather than serve their political agenda, which I can see happening more and more in the future, for Republicans and Democrats.","has-congress-become-more-stronger-then-presidency","07:11 PM","government-debates","10"
"02-09-2006","7532",1,"zachvac","None","I'm sorry but the courts are not and should not be the most powerful branch. They are supposed interpret the law as written by the legislature. You may think they are neutral now but as more and more people realize that there is power in the courts (we are letting them redefine laws and act on what the people who wrote the laws ""meant"". What happened to interpreting what they said?), more and more Presidents will nominate people with their point of view rather than pick the best person for the job. Obviously point of view is always a factor, but in the past I think people tried to pick people who would fairly interpret what is written in the Constitution, rather than serve their political agenda, which I can see happening more and more in the future, for Republicans and Democrats.","Matthew S","197598","So an unjust law should be able to stand if the legislature and the majority of the population want the law to stand?","has-congress-become-more-stronger-then-presidency","08:06 PM","government-debates","11"
"02-10-2006","7532",1,"Matthew S","None","So an unjust law should be able to stand if the legislature and the majority of the population want the law to stand?","georged","197640","Someone on the forum has a sig that reads 'Democracy is 51% of the people oppressing the other 49%' or something along those lines.","has-congress-become-more-stronger-then-presidency","09:19 AM","government-debates","12"
"02-10-2006","7532",1,"Matthew S","None","So an unjust law should be able to stand if the legislature and the majority of the population want the law to stand?","zachvac","197704","who defines unjust? You would rather the courts define unjust? If it goes against the Constitution then it IS the responsibility of the courts to strike it down. But if it's simply unjust in your eyes, but isn't in the majority of the citizens' or the legislatures' eyes, you're out of luck. Start spreading the word, protesting, and writing petitions. Why have laws if at any time a judge can simply rule that a law is ""unjust""? What if one judge (or 5/9 of the justices on the Supreme Court) decided that putting people in prison for murder was unjust. There's nothing we can do about it until they die. Not their job to do, it's the legislatures' job. You wanna change that? Well I suspect you know already. 2/3 of the Senate and house, and 3/4 of the states.","has-congress-become-more-stronger-then-presidency","06:38 PM","government-debates","14"
"02-10-2006","7532",1,"None","None","None","zachvac","197705","[QUOTE=Steeeeve ha, in a way its true...but its better than <1% telling what 99% of people shouold do.[/QUOTE] well, as long as that <1% is me But seriously you're pretty much right. The one thing is that the 51% has to abide by the Constitution unless they can get 68% to tell 32% of the people what to do.","has-congress-become-more-stronger-then-presidency","06:39 PM","government-debates","15"
"03-06-2006","7532",2,"zachvac","None","But seriously you're pretty much right. The one thing is that the 51% has to abide by the Constitution unless they can get 68% to tell 32% of the people what to do.","Sigma","201451","Substantive Due Process is one of the mechinisms that help prevent the majority from oppressing the minority.","has-congress-become-more-stronger-then-presidency","05:39 PM","government-debates","16"
