"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"09-13-2006","8862",1,"None","None","None","BobrBarber","230838","I would like hear pro and con on this subject. Reference material would be nice as well.","english-official-us-language","12:41 PM","government-debates","1"
"09-13-2006","8862",1,"None","None","None","Steeeeve","230847","Pro: You would eliminate arguements that we should change signs to Spanish and English thus saving money by keeping most of them in English. You keep a uniform language which creates less misunderstandings. Con: You make a lot of people mad as we have a lot of people here that speak Spanish. You disrupt federalism in a way...not that this is a big con because we killled federalism awhile ago.","english-official-us-language","01:53 PM","government-debates","2"
"09-13-2006","8862",1,"BobrBarber","230838","I would like hear pro and con on this subject. Reference material would be nice as well.","sinjin","230854","And yet you offer none of the above.","english-official-us-language","02:31 PM","government-debates","3"
"09-14-2006","8862",1,"Steeeeve","230847","Pro: You would eliminate arguements that we should change signs to Spanish and English thus saving money by keeping most of them in English. You keep a uniform language which creates less misunderstandings. Con: You make a lot of people mad as we have a lot of people here that speak Spanish. You disrupt federalism in a way...not that this is a big con because we killled federalism awhile ago.","zachvac","230941","yep, pretty much sums it up. But also note that there are individual states that have official languages, most of them English.","english-official-us-language","05:39 PM","government-debates","4"
"09-14-2006","8862",1,"None","None","None","GodIsDead","230954","Pro: if you are a white English speaking person, your race and your culture continues to dominate the general society. White supremacists get a big boost of confidence yes! America is finally officially, on paper, a white nation again. Next lets make Christianity our official religion since we cant afford to change all the stuff that says under god or in god we trust on it, and make male our official gender, since we cant afford to have all these extra bathrooms for women after all Con: All of the non-English speaking immigrants eternally have to try to get by in an English world stumbling with a second language and heavy accents that are a constant reminder to potential employers or investors that they arent somebody that they normally relate to socially. People who dont speak English for whatever reason (havent learned yet, have a hard time with languages, mentally retarded etc.) are out of luck if they have a medical emergency, or need to talk to the police. Also, these people wont be able to read legal forms or tax forms and may end up in jail. And most importantly, Cultures who speak different languages are discouraged from become a prominent part of American culture.","english-official-us-language","07:21 PM","government-debates","5"
"09-14-2006","8862",1,"None","None","None","GodIsDead","230984","i am non-white, and i speak english, what issue dose this raise steeve? i dont see it.","english-official-us-language","10:09 PM","government-debates","7"
"09-14-2006","8862",1,"GodIsDead","230984","i am non-white, and i speak english, what issue dose this raise steeve? i dont see it.","zachvac","230999","You just proved his point. He was responding to this: ""White supremacists get a big boost of confidence yes! America is finally officially, on paper, a white nation again."" Skin color and language have nothing to do with each other. Most hispanics I know can speak English. I have no problem with people based on their skin color. Religion is also irrelevant. I'm not a religious person (I would be classified as an agnostic, but again that's not important), but I speak English. You are claiming that making English the official language would make this a white or a Christian nation. There is no correlation.","english-official-us-language","11:56 PM","government-debates","8"
"09-15-2006","8862",1,"None","None","None","GodIsDead","231003","you dont think that there is any corrilation between whiteness, christianity, and speaking english in this country? i do, i think that those are the things that define the dominant american culture, white and english speaking at least. as i see it, the people who are currently fighting for assimilation, witch inculdes requiering people to learn english, are only trying to maintain the dominance of this culture because they feel as though it is thretend by mexican immigration.","english-official-us-language","01:35 AM","government-debates","9"
"09-15-2006","8862",1,"None","None","None","peteratwar","231007","Problem is that like it or not (and the French don't!) English is becoming the lingua franca of the world. Science & technology, communications etc all use English as the de facto common language","english-official-us-language","03:32 AM","government-debates","10"
"09-15-2006","8862",1,"None","None","None","Steeeeve","231028","Most French speaking countries nations have ""white people""!!! That must mean if France makes their official language French than the whites will rule the day and make everyone a Christian and probably kill small children....oh wait...France already did that. Canada is even more screwed. They have two nation languages-English and French. I suppose they are double the white? Now I still think their is racism in the world but to think it comes out of people speaking another language....that is just insane. Stick to where the real racism is -- suburb soccor moms who drive SUVs.","english-official-us-language","09:56 AM","government-debates","11"
