"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"12-14-2006",1,"9298","64","Bassman","243443","This is scary. This is exactly the same mentality which fostered Eugenics and subsequent Nazi Holocaust of the 1920s-1940s. Life worthy of life. Or more to the point: Killing because it's more convinient! Sad indeed.","jitobear","243464","I am still wondering why in the hell you or anyone thinks they get to define what is and is not mere convenience in mine or anybody's life but your/their own. And leave it to a man to trivailize pregnancy. It ain't no big deal/It's just nine months. I don't ever hear that from women - not even the lifers. Arrogant . Anyway - you only like little Christian evangelical children. You seem to have no problem contributing to hostile environment for my son (or the children of any gay people). Your loving nature is just so damned convincing.","my-magic-wand","10:59 PM","government-debates","112"
"12-15-2006",1,"9298","66","jitobear","243464","I am still wondering why in the hell you or anyone thinks they get to define what is and is not mere convenience in mine or anybody's life but your/their own. And leave it to a man to trivailize pregnancy. It ain't no big deal/It's just nine months. I don't ever hear that from women - not even the lifers. Arrogant . Anyway - you only like little Christian evangelical children. You seem to have no problem contributing to hostile environment for my son (or the children of any gay people). Your loving nature is just so damned convincing.","Bassman","243475","Who said I was trivializing pregnancy?!?! The ones who are trivializing pregnancy are the pro-abortion minions!! And what you want to see is children brought up to believe there are no absolutes, that Socialism is the right way, and other Communist drivel","my-magic-wand","07:15 AM","government-debates","46"
"12-15-2006",1,"9298","68","Bassman","243475","Who said I was trivializing pregnancy?!?! The ones who are trivializing pregnancy are the pro-abortion minions!! And what you want to see is children brought up to believe there are no absolutes, that Socialism is the right way, and other Communist drivel","jitobear","243536","Everytime you bring up the word ""convenience"" around pregnancy you are trivializing the realities of pregnancy. And its quite arrogant mister , to tell me ANYTHING AT ALL about the realities of pregnancy. Between you and I - only one of us actually has been pregnant. Do not cowardly put words in my mouth when you don't have the nuts to address the point I actually raised. I have brought it up TWICE in recent posts - either address it or concede that you concern for children is limited to only SOME children.","my-magic-wand","12:00 PM","government-debates","100"
"12-15-2006",1,"9298","69","jitobear","243536","Everytime you bring up the word ""convenience"" around pregnancy you are trivializing the realities of pregnancy. And its quite arrogant mister , to tell me ANYTHING AT ALL about the realities of pregnancy. Between you and I - only one of us actually has been pregnant. Do not cowardly put words in my mouth when you don't have the nuts to address the point I actually raised. I have brought it up TWICE in recent posts - either address it or concede that you concern for children is limited to only SOME children.","Bassman","243620","Yeah?? And being a father is what to you?? Oh that's right. You have nothing but disdain for the proper family unit!! Oh put a sock in it Jito, you have a problem with anything that doesn't fit into you ultra-leftist socialist philosophy. As a matter of fact, I work in a youth ministry with children from broken homes, so once again do not assume You just make an XXX out of U and ME!!","my-magic-wand","05:30 PM","government-debates","84"
"12-15-2006",1,"9298","70","Bassman","243620","Yeah?? And being a father is what to you?? Oh that's right. You have nothing but disdain for the proper family unit!! Oh put a sock in it Jito, you have a problem with anything that doesn't fit into you ultra-leftist socialist philosophy. As a matter of fact, I work in a youth ministry with children from broken homes, so once again do not assume","jitobear","243637","Being a father and good one is awesomeness! (Like my kid's dad) I respect them greatly. Doesn't mean you were ever pregnant tho. Betweeen a person who has done a thing and who has not - who is gonna know more about said thing??? hmmm? Really this is not rocket science. That's great (really) - but you still have not addressed what I am accusing you of which is YOU CONTRIBUTE TO A HOSTILE ENVIRONMENT FOR CHILDREN IN GAY FAMILIES. Now are you going to adress what I have actually posted or just claim I believe whatever you think the ""ultra-leftist socialist"" conspiracy is and repsond to that?","my-magic-wand","07:51 PM","government-debates","122"
"12-15-2006",1,"9298","71","jitobear","243637","Being a father and good one is awesomeness! (Like my kid's dad) I respect them greatly. Doesn't mean you were ever pregnant tho. Betweeen a person who has done a thing and who has not - who is gonna know more about said thing??? hmmm? Really this is not rocket science. That's great (really) - but you still have not addressed what I am accusing you of which is YOU CONTRIBUTE TO A HOSTILE ENVIRONMENT FOR CHILDREN IN GAY FAMILIES. Now are you going to adress what I have actually posted or just claim I believe whatever you think the ""ultra-leftist socialist"" conspiracy is and repsond to that?","Bassman","243652","Fact of the mater is homosexual ""families"" breed confusion in impressionable minds, especially in children.. How is a booy supposed to know how to be a good (and Godly) husband/father if he's raised by homosexual males?? or how is a little girl supposed to be the ""help-mate"" to her husband if she is being raised by lesbians?? No, Jito. With all due respect, it is nothing but a counterfeit. I know you feel strongly to the contrary, but this is the truth. Spiritually and practically.","my-magic-wand","09:43 PM","government-debates","104"
"12-09-2006",2,"9298","5","Bassman","242699","Matthew. Matthew, Matthew. Do you really want to kill the US economy with your preposterous isolationist ideas??","Matthew S","242701","Why would it kill the US economy? How would it by telling companies that if you take jobs overseas you will not profit? How would it by telling the oil companies you can not make obscene profits by gouging people? How would it by pulling troops out of Iraq and holding the culprets and dangers to world peace accountable for their actions? How would it by putting a gag in the mouth of the religious right so they can no longer hurt anyone?","my-magic-wand","01:52 PM","government-debates","88"
"12-09-2006",2,"9298","6","Matthew S","242701","Why would it kill the US economy? How would it by telling companies that if you take jobs overseas you will not profit? How would it by telling the oil companies you can not make obscene profits by gouging people? How would it by pulling troops out of Iraq and holding the culprets and dangers to world peace accountable for their actions? How would it by putting a gag in the mouth of the religious right so they can no longer hurt anyone?","Bassman","242703","Because we live in a global economy. It doesn't take a genius to know that business expansion adds jobs. Look at Toyota, for example. They've invested literally millions in plants here in the US and as a result, have added good paying jobs. First, it's the simple law of suppy and demand. With India and your commie buddies in China needing more and more of that black gold, then the market needs to adjust accordingly. And thus making the US completely unable to prosecute the War on Terror. Do you advocate another attack on the US, Matthew?? This is an offensive generalization. BTW, with the posts I've seen from you, you would not last one second here: whistlestopper.com","my-magic-wand","02:01 PM","government-debates","135"
"12-09-2006",2,"9298","8","Bassman","242703","Because we live in a global economy. It doesn't take a genius to know that business expansion adds jobs. Look at Toyota, for example. They've invested literally millions in plants here in the US and as a result, have added good paying jobs. First, it's the simple law of suppy and demand. With India and your commie buddies in China needing more and more of that black gold, then the market needs to adjust accordingly. And thus making the US completely unable to prosecute the War on Terror. Do you advocate another attack on the US, Matthew?? This is an offensive generalization. BTW, with the posts I've seen from you, you would not last one second here: whistlestopper.com","Matthew S","242707","Nonsense you know I am right. They move production to India or China so they can pay people less. Nonsense again the oil rich countries have to sell their oil in a market and where is that market physically located? Nonsense Iraq had nothing to do with terrorism. If you trully believe that we are waging a war on terror then why haven't we envaded palestine? Why haven't we taken out Hamas or any of these organizations? There is no war on terror there is only Bush's vendetta war on behalf of his Saudi friends. As if the religious right in itself isn't offensive. They are offensive, they make generalizations, and they and the contingent organizations are evil, anti gay, and hatefilled. Why? Speaking from experience are we?","my-magic-wand","02:47 PM","government-debates","143"
"12-09-2006",2,"9298","10","Matthew S","242707","Nonsense you know I am right. They move production to India or China so they can pay people less. Nonsense again the oil rich countries have to sell their oil in a market and where is that market physically located? Nonsense Iraq had nothing to do with terrorism. If you trully believe that we are waging a war on terror then why haven't we envaded palestine? Why haven't we taken out Hamas or any of these organizations? There is no war on terror there is only Bush's vendetta war on behalf of his Saudi friends. As if the religious right in itself isn't offensive. They are offensive, they make generalizations, and they and the contingent organizations are evil, anti gay, and hatefilled. Why? Speaking from experience are we?","Bassman","242724","So what!! America's economy is dynamic, not static. The problem arises when unions, with their outdated mentalities, make US companies either close up or move. It's called profit & loss, Matthew. But I guess since you've been spoon-fed Socialism, you have no understanding of basic economics. Bunk! Oil is also sold on the commodities markets. Wrong again! We have not had an attack on US soil in five years since 9/11 and numerous terror plots have been thwarted. I bet you won't sing the same tune when we get bitchslapped by Islamofascist scumbags who are hell-bent on the destruction of the entire West. Wrong yet again, looks like your batting averege is .000 Matty. The problem is that America got away from The Standard of right and wrong. No, I'm a long term (and supporting) member there as well and I'm saying you wouldn't last five minutes there.","my-magic-wand","06:32 PM","government-debates","171"
