"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"01-27-2003","94",1,"None","None","None","fallingupwards","120","i thought that this would be a good thread to distinguish between socialism and communism. i think most people do not really understand the differences between the two.","differences-between-socialism-communism","03:30 PM","government-debates","1"
"01-27-2003","94",1,"None","None","None","Calligirl","124","They are supposed to be different but they are not. In the end they both do the same thing: take money away from the rich and give it to the poor, and make us all like robots. (Same income, same house, same car, same job, etc.)","differences-between-socialism-communism","08:33 PM","government-debates","2"
"01-28-2003","94",1,"None","None","None","fallingupwards","160","can i get a response by someone who really knows something about this topic (not someone who has been brainwashed into thinking capitalism is God)","differences-between-socialism-communism","12:49 AM","government-debates","3"
"01-29-2003","94",1,"None","None","None","American","177","OK, you ask I answer. Before I get into a big debate with you I will ask YOU to define the two options presented. After reading those I will formulate my responce.","differences-between-socialism-communism","12:01 AM","government-debates","4"
"01-29-2003","94",1,"None","None","None","fallingupwards","179","i have been confused about the differences between the two. i have heard that communism gives money to the government and socialism gives money to the people. if this is the case, then i definitly favor socialism. i've also heard that communism favors in exact equality in the wealth of every citizen, while socialism works for a more equal distribution of wealth but not exactly equal. i do know that socialist countries have free health care and a lot of cool government programs. i also know that communist countries suppress many freedoms such as speech. socialism to me seems to be halfway between capitalism and communism. it takes the best of both worlds. it takes the idea of equal wealth from communism and the idea of freedoms such as speech from capitalism. but the main reason why i started this thread was to clear up my misunderstanding about the differences between the two. american, based on ur previous posts, i know that you probably despise socialism and love capitalism. so when you respond and tell me the differences between socialism and communism, just give me the facts not your personal opinion. i am not interested in a debate between capitalism and socialism, i am interested in a debate between socialism and communism. thank you.","differences-between-socialism-communism","12:34 AM","government-debates","5"
"01-29-2003","94",1,"None","None","None","Calligirl","218","fallingupwards: I have not been ""brainwashed"" as you say. Okay, if you want to debate with facts then here they are: Socialism: 1 : any of various economic and political theories advocating collective or governmental ownership and administration of the means of production and distribution of goods 2 a : a system of society or group living in which there is no private property b : a system or condition of society in which the means of production are owned and controlled by the state 3 : a stage of society in Marxist theory transitional between capitalism and communism and distinguished by unequal distribution of goods and pay according to work done. Communism: 1 a : a theory advocating elimination of private property b : a system in which goods are owned in common and are available to all as needed 2 capitalized a : a doctrine based on revolutionary Marxian socialism and Marxism-Leninism that was the official ideology of the U.S.S.R. b : a totalitarian system of government in which a single authoritarian party controls state-owned means of production c : a final stage of society in Marxist theory in which the state has withered away and economic goods are distributed equitably d : communist systems collectively Reference: www.m-w.com (mirriam webster dictionary) As you can see, socialism and communism are very similar. Both systems require citizens to work in state owned production plants where the products are then given to the government for ""equal distribution"". Is that a good enough explanation for you?","differences-between-socialism-communism","04:08 PM","government-debates","6"
"01-29-2003","94",1,"None","None","None","fallingupwards","220","calli, i know the dictionary definition of the two terms. i am merely trying to have a discussion of the differences between the two. the american people have been trained to think that anything other than capitalism is evil. you have obviously fallen victim to this. capitalism gives all the money to the very rich. did you know that one percent of the american population holds 80% of the wealth? that means that for every dollar, one percent gets 80% and the other 99% have to split the 20 cents. that doesnt sound very fair to me. and dont give me that XXXX that those people earned it. are you trying to imply that only one percent of the united states works hard and the other 99% are lazy??","differences-between-socialism-communism","05:03 PM","government-debates","7"
"01-29-2003","94",1,"None","None","None","Calligirl","223","Guess who gives people jobs in the first place? Business owners! (a.k.a. ""rich people"") If they have more money, then they can hire more people. Less money for them means more layoffs for us. No I am not implying that the other 99% are lazy, I am implying that they can't get jobs unless the business owners (a.k.a. ""rich people"") have money to hire them in the first place!","differences-between-socialism-communism","05:25 PM","government-debates","8"
"01-29-2003","94",1,"None","None","None","fallingupwards","228","excuse me for believing that business owners should not make billions and billions of dollars. excuse me for having compassion for the poor. excuse me for following Christ's example by believing the rich should share their wealth with the less fortunate. i apologize","differences-between-socialism-communism","05:44 PM","government-debates","9"
"01-29-2003","94",1,"None","None","None","Calligirl","229","You're excused. Just because Christ told the rich to share their money with the less fortunate doesn't mean that the government has the right to force them to. Why shouldn't business owners make billions and billions of dollars? They earned it! More jobs for us!","differences-between-socialism-communism","05:53 PM","government-debates","10"
