"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"04-01-2007","9706",1,"None","None","None","pandion","256288","It seems to me that if the founding fathers of this country were very bright, and I think that they were, then their intentions to form a ""Christian Nation,"" or at least a nation founded on ""Christian principles,"" would be clearly evident in our founding documents. I mean, aside from their private writings where no indication of such intent can be found, wouldn't such intent be clear in the very documents that declared and established this country? With that in mind, I have examined some of the early documents written by these founding fathers upon which this nation was founded searching for these ""Christian principles"" to which ""Christian Nation"" advocates wish to return. First, there is the Declaration of Independence. While the view of the founding fathers was that the Declaration did not found a new nation, but rather returned the power to govern to the source, i.e., the people, this document is often cited as evidence of a ""Christian Nation"" by advocates of a repressive theocracy. The Declaration of Independence left the 13 Colonies without a legislative body and without law. As the founding fathers expressed at the time, the people were returned to the state of nature. Second, I have examined the eleven constitutions, written concurrently with or immediately after the Declaration in 1776 and 1777, which re-established governments in ten of the newly independent states, and also established the independent Republic of Vermont from the disputed territories that were claimed by Massachusetts, New Hampshire, and New York. Three colonies (Massachusetts, Rhode Island, and Connecticut) didn't draft and adopt constitutions until later and instead reverted to a previous charter. Third, I examined the Articles of Confederation, the initial founding document of The United States of America, The Constitution itself, and the Bill of Rights. So here are some questions about these documents. Keep in mind that the intent of the founding fathers to form a ""Christian Nation"" should be quite clear in these documents, if that were their intent. Even if their intent were less than a ""Christian Nation"" but was only to found a nation on ""Christian principles,"" I think that that too should be clearly evident. These remarks are from the introduction to the test. Page down once to bypass. So follow this link to The Christian Nation Quiz and test your ideas, and maybe learn something in the process. Any discussion or comment appreciated.","christian-nation","01:01 AM","government-debates","1"
"04-01-2007","9706",1,"None","None","None","billsco","256339","This quiz demonstrates how desperate Christians are in their claims. In addition, it is no stretch to say this represents deceit and dishonesty on their part. But why resort to such measures? Why, for instance, take the square pegs of deism and attempt to squeeze them into the round holes of Christianity? On a related note, a University of Minnesota poll a year ago provided a glimpse into how mistrusted atheists are in this society. Questions such as who their son or daughter could marry, among a variety of minorities, showed atheists were the most objectionable. This mistrust is what, in my opinion, fuels the desperation we see so prevalently from those crying for a ""return to the Christian nation of our founders"". As usual, the prime motivator is fear.","christian-nation","12:47 PM","government-debates","2"
"04-01-2007","9706",1,"billsco","256339","This quiz demonstrates how desperate Christians are in their claims. In addition, it is no stretch to say this represents deceit and dishonesty on their part. But why resort to such measures? Why, for instance, take the square pegs of deism and attempt to squeeze them into the round holes of Christianity? On a related note, a University of Minnesota poll a year ago provided a glimpse into how mistrusted atheists are in this society. Questions such as who their son or daughter could marry, among a variety of minorities, showed atheists were the most objectionable. This mistrust is what, in my opinion, fuels the desperation we see so prevalently from those crying for a ""return to the Christian nation of our founders"". As usual, the prime motivator is fear.","Matthew S","256342","Did you ever notice those that cry the loudest for the ""return to the Christian nation of our founders"" also preach fear based christianity? So fear is what they preach and fear is what they know.","christian-nation","02:00 PM","government-debates","3"
"04-01-2007","9706",1,"None","None","None","Archangel","256344","The Founders intention was to create a secular Government that would never dictate or support any State Sanctioned Religion that Americans were forced to follow. And so we should be. But don't be fooled into thinking that the Founders didn't embrace biblical ethics and values and strongly believed and upheld the principles that God would bless a Righteous Nation that lived according to His principles. And God did bless such a Nation, and that Nation was the light of the World for a time. The downtrodden and oppressed fled to the sanctuary of this Land in those times hungering to become a part of the freedom and acceptance we imported from all parts of the World. But today we are hated and the only immigrants that are rushing in are here to steal our wealth but have no desire for our heritage. And that is the heritage you on the left embrace. That which leads to death and despair. But you still twist the truth and attempt to blame the Christians for simply trying to maintain the moral compass that made this Country great originally. It's so sad that you have no concept or appreciation for who we are and how we became the envy of the World before the Cancer of Secular Humanism infected the American Psyche like a cancer eats away at a healthy body.","christian-nation","02:27 PM","government-debates","4"
"04-02-2007","9706",1,"Yossarian","256396","I'm guessing you mean America? Was there a tariff on ""freedom and acceptance"" imports? Regardless, we were exporting in those days as well. In fact, we exported quite a lot of ""downtrodden and oppressed"" people; pushed them West in huge (though rapidly declining) numbers. Then we followed them, and trod down a few more for the sake of continuity. And imports weren't limited to nifty things like freedom, or the ever-popular acceptance. Remember: we were the ""light[-skinned] of the world"" (*sic). We imported lots of Africans. Unfortunately for them, they didn't come packaged w/freedom. I guess since there wasn't much freedom around in those days, as you point out, we really couldn't spare any for them. But acceptance we had in abundance. We accepted all kinds of slaves: black ones, red ones, white ones, mixed race. If God exists, we should all be on our knees thanking Him that we're not the ""light of the world"" anymore.","Archangel","256401","I readily admit that we did some terrible things in our youth as a Nation and I make no excuses for Slavery or the destruction of the Indian Culture and people. My own hometown means ""Between Two Rivers"" in the Wampanoag Language. I mourn for the suffering caused so the white man could enrich himself at their expense. And Slavery, although started by the Dutch Traders was adopted all too easily by the Americans who justified the practice with claims they were needed to remain productive and profitable as a growing Nation. But our conscience caught up with us and we fought a civil War to rid ourselves of a practice that would have eventually destroyed us had we not repented and changed our ways. I have seen Racism in my lifetime in the South and understand that pockets of ignorance still exist today. But the Government and the Laws now protect minorities, women and all people with Civil and Human rights Laws. What you fail to realize and take into account is that during that period of time the whole World was a much harder and more brutal place. And after the Civil War even blacks emigrated to the USA to escape the abuses of their homelands. And the same story applies to people from all religions and ethnicities from every Country on every Continent on Earth. My question for you America hating liberals is why, in every post do you find a way to condemn the Country that has been the land of opportunity for so many over so long a period of time ? Why can't you balance our past mistakes with the times and pressures that existed for us yet you simultaneously make excuses for our enemies who never had a righteous or honest concern for humanity from then till now. And yet you defend them as you condemn the Country that has done so much for you personally. I truly feel sorry for the young Americans who are defending this Country in uniform for people who hate this Country and the sacrifice it's making for our defense. And that includes my oldest daughter who is serving in the Air Force. To lose one so precious as she is for the likes of the average American Liberal would be the greatest of injustices to me, and a terrible waste considering you have no respect for her sacrifice or love for her Country to begin with.","christian-nation","12:02 AM","government-debates","6"
"04-02-2007","9706",1,"None","None","None","billsco","256415","Following your logic Archangel, America has morally improved in exact proportion to the distance it has moved itself away from the Christian God. It would be unconscionable therefore to attempt to reverse direction and begin backtracking. This thread isn't about America-bashing. Nor liberals. I'm a fiscal conservative who loves his country very much. It isn't in vogue to do so or say so at the moment, but I'm confident this will pass. Thank your daughter for me the next time you talk to her; I truly appreciate the sacrifices she's enduring. This thread, IMO, is about what's best for America. Is there any way you can acknowledge that?","christian-nation","07:58 AM","government-debates","7"
"04-02-2007","9706",1,"billsco","256415","Following your logic Archangel, America has morally improved in exact proportion to the distance it has moved itself away from the Christian God. It would be unconscionable therefore to attempt to reverse direction and begin backtracking. This thread isn't about America-bashing. Nor liberals. I'm a fiscal conservative who loves his country very much. It isn't in vogue to do so or say so at the moment, but I'm confident this will pass. Thank your daughter for me the next time you talk to her; I truly appreciate the sacrifices she's enduring. This thread, IMO, is about what's best for America. Is there any way you can acknowledge that?","Matthew S","256417","He has Archangel believes that this should be a christian nation fighting all battles in the name of Jesus. You can not reason with someone that fanatically convinced that the christain God should be place above the laws of the nation and that Gods laws and the nations laws should be one and the same. Ironicly Archangles fundamentalist views are little different form those of the mulims he wants us to wipe out.","christian-nation","08:08 AM","government-debates","8"
"04-02-2007","9706",1,"Archangel","256426","This thread is clearly based on the false premise that people like me want to force people like you to worship Jesus and submit to biblical Laws. Nothing could be further from the truth. It is people on your side of the issue that are removing God from the public psyche by taking Him off our money, removing the right to even pray at public events away, taking prayer out of school, disallowing Nativity scenes from public property and many other long standing traditional custom that has been long accepted and practiced in this Country. Not by Christian law but by custom and tradition which the secular humanists have taken to Court to legislate out of the American Tradition. So it is your side legislating morality, we are simply trying to keep the customs and traditions that have existed since the beginning which is proof that even though the Founders were adamant about creating a secular Government, they understood that allowing Christian Principles to guide our values and how we design laws was not imposing a religion on the people but was simply utilizing the very successful principles that are given to us by the Supreme Being and Creator.","billsco","256437","It appears to be time for another quiz: When did God's name appear on our currency? a) In the 1950's b) Right from the getgo as Archangel states Who is preventing any individual from praying at any public event? a) Those meddling atheists as Archangel alleges b) No one. Anyone can pray assiduously and as long as desired at any time anywhere. Most public schools provide time before classes begin for private prayer as well. When did many of the long standing traditions of which Archangel alludes to first appear? a) Our Founding Fathers sanctioned them b) Most are rooted in mid-19th and early 20th century society You know, words mean something. When Christians begin crying for a return to the Christian heritage evident in our Constitution, us ""liberals"" are compelled to take the words at face value. It scares me to no end to think it could happen unless vigilant citizens are barring the way.","christian-nation","10:14 AM","government-debates","11"
"04-02-2007","9706",1,"Archangel","256344","The Founders intention was to create a secular Government that would never dictate or support any State Sanctioned Religion that Americans were forced to follow.","Steeeeve","256444","Really?!?!?! Should we expand the quiz to include how many states had a state religion after the 1st amendment past. Or maybe how many states required you to belong to a church. Or how many states required you to be of a certain religion to be in the government.","christian-nation","11:00 AM","government-debates","13"
"04-02-2007","9706",1,"billsco","256437","It appears to be time for another quiz: When did God's name appear on our currency? a) In the 1950's b) Right from the getgo as Archangel states Who is preventing any individual from praying at any public event? a) Those meddling atheists as Archangel alleges b) No one. Anyone can pray assiduously and as long as desired at any time anywhere. Most public schools provide time before classes begin for private prayer as well. When did many of the long standing traditions of which Archangel alludes to first appear? a) Our Founding Fathers sanctioned them b) Most are rooted in mid-19th and early 20th century society You know, words mean something. When Christians begin crying for a return to the Christian heritage evident in our Constitution, us ""liberals"" are compelled to take the words at face value. It scares me to no end to think it could happen unless vigilant citizens are barring the way.","pandion","256446","Oh, good! This is a wild guess, but is it a)? ""In God We Trust"" first appeared on the 2 piece in 1864. It seems that we become quite religious during times when we are trying to kill lots of people. It appeared off and on again on a few other coins until 1957 when it became required on all currency. Just another wild guess here, but b). In Santa Fe, TX, after the efforts of the school board there to institutionalize prayer at school functions was declared unconstitutional, there was a movement to recite the Lord's Prayer openly just after the National Anthem. Those who did so weren't interfered with. Neither were they heard above the PA system introducing the starting line-ups. My local school district stopped prayer at all school events when the U.S. Circuit Court of Appeals for this Circuit upheld the original decision against the Santa Fe School Board. They didn't need the Supreme Court to see the writing on the wall. b) Funny how little most Christian nation advocates are of history. What worries me is that there is no Christian heritage evident in our Constitution as pointed out in the Christian Nation quiz. That must mean that the heritage is the traditions of constant religious wars of Europe before our Constitution was written.","christian-nation","11:19 AM","government-debates","14"
"04-02-2007","9706",1,"pandion","256446","""In God We Trust"" first appeared on the 2 piece in 1864. It seems that we become quite religious during times when we are trying to kill lots of people. It appeared off and on again on a few other coins until 1957 when it became required on all currency.","billsco","256490","Salmon P. Chase must have been involved with the 1864 coin. He, and no other cabinet members, always suggested that God's name be invoked in Lincoln's speeches. Do you know if my hunch is correct? Lincoln, BTW, was quite ambivalent about it. ""Couldn't hurt I guess,"" is allegedly what he would say. Not really a ringing endorsement.","christian-nation","03:29 PM","government-debates","15"
"04-02-2007","9706",2,"billsco","256490","Salmon P. Chase must have been involved with the 1864 coin. He, and no other cabinet members, always suggested that God's name be invoked in Lincoln's speeches. Do you know if my hunch is correct? Lincoln, BTW, was quite ambivalent about it. ""Couldn't hurt I guess,"" is allegedly what he would say. Not really a ringing endorsement.","pandion","256518","You are correct. I have read it several places but I guess Wikipedia is as good as any. It is said that Lincoln was an atheist. At least his wife was known to remark on more than one occasion that he was not a Christian.","christian-nation","05:03 PM","government-debates","16"
"04-02-2007","9706",2,"None","None","None","Steeeeve","256551","I'm a little confused about why any of this matters. Lets assume for a minute that our first set of government was heavily influenced by religion...a Christian one...and that our founding fathers did use God in a lot of their work....what does this matter to laws of today (unless the law still exists)? As far as I know the constitution really is there to set up a framework for government...not to answer moral questions or decide how people should think. This goes for both sides by the way. Laws can be changed. Our Christian laws of the past can and have been changed and we could go back if the society so chooses. That is why we have a democratic system set up...that is what our constitution does. Our constitution doesn't set up a system where you can only make laws based on ""logic and reason"" nor does it say you have to stick with a religious influence. ...if just says you can decide things and sets up who gets to decide them. I find it odd that both sides here are trying to look at the past and at the constitution as if it had all the answers...as if it were the Bible.....when it reality the answers to the questions are supposed to be decided by our legislatures of today. Good grief.","christian-nation","09:12 PM","government-debates","17"
"04-02-2007","9706",2,"Steeeeve","256551","I'm a little confused about why any of this matters. Lets assume for a minute that our first set of government was heavily influenced by religion...a Christian one...and that our founding fathers did use God in a lot of their work. ...what does this matter to laws of today (unless the law still exists)? As far as I know the constitution really is there to set up a framework for government...not to answer moral questions or decide how people should think. This goes for both sides by the way. Laws can be changed. Our Christian laws of the past can and have been changed and we could go back if the society so chooses. That is why we have a democratic system set up...that is what our constitution does. Our constitution doesn't set up a system where you can only make laws based on ""logic and reason"" nor does it say you have to stick with a religious influence. ...if just says you can decide things and sets up who gets to decide them. I find it odd that both sides here are trying to look at the past and at the constitution as if it had all the answers...as if it were the Bible.....when it reality the answers to the questions are supposed to be decided by our legislatures of today. Good grief.","pandion","256571","It matters because of the continued attempts by christian fundamentalists to impose their religion on everyone by law. It matters because they claim that they have the right to do so because this nation was founded as a ""christisn nation"" on ""christian principles."" If by ""first set of government"" you mean the pre-independence colonial governments, then yes, all but one were, at one time or another, religious in that they established state churches. There were in all requirements that office holders had to be members of the church. In fact, sometimes civil and ecclesiastical positions were the same. Thus, both George Washington and James Madison were vestrymen in their Anglican parish even though neither was a christian. It matters because other laws and practices exist that have been established since. The Constitutional provision in Maryland that any office holder had to profess a belief in God was enforced until it was found unconstitutional in 1961 (Torcaso v. Watkins, 367 U.S. 488). Christian prayer was practiced and passive observance by non-christian students was required at many school functions in many Texas schools until 2000. My own school district allowed prayer until the decision by the 5th Circuit Court of Appeals upheld the District Court decision. (I do not live in the Judicial District but I do live in the 5th Circuit) That decision was eventually upheld by the Supreme Court (Santa Fe Independent School District v. Doe, 99-62). And recently there was the case of Judge Roy Moore who erected a religious monument in the Alabama Supreme Court and the case of the Bible display outside the Harris County Court House in Houston, TX. What matters is that some christians are still trying to use the government and tax money to impose their religion on everyone. Arguments against each of the latter three cases were made that christians were being deprived of their 1st Amendment right to the free practice of their religion. It seems to me that these christians haven't read the Bible and are unaware of Mat 6:6: ""But thou, when thou prayest, enter into thy closet, and when thou hast shut thy door, pray to thy Father which is in secret; and thy Father which seeth in secret shall reward thee openly."" Well, we agree on that. But, of course, that was pretty much the point of the ""Christian Nation quiz."" Whizzed right past you I guess. Actually, I doubt it. Most of the ""Christian"" laws weren't actually changed. They were found to be unconstitutional. So in order to go back to the days when it was acceptable for christians to use the government to impose their religion we would have to amend the Constitution. No it doesn't. Did you flunk your high school government course? Our Constitution establishes a representative republic, i.e., a representative (or liberal) democracy. No. It doesn't do that either. The christian majority doesn't get to decide that they can use the government to impose their religion. Clearly, if you consider the actions of Congress and our President you are aware that logic and reason have nothing to do with it. And the Supreme Court is establish by the Constitution to decide questions about whether the actions of the other two branches agree with the Constitution. So you are saying that our legislatures do not take oaths (or affirmations) to support and defend the Constitution? So you are saying that they shouldn't consider whether or not a proposed law is Constitutional? So you are unaware that laws by our legislatures can be challenged in our judicial system, and if found to violate provisions of the Constitution - looking to the past or not - they are set aside? Right. My sentiments at your response, only more. I do want to congratulate you in that you misspelled fewer words that I did.","christian-nation","11:56 PM","government-debates","18"
"04-03-2007","9706",2,"None","None","None","Zardoz","256669","Because without a 'creator' to give inalienable rights magically, we'd have to look at where inalienable rights originate from. Could slippery sloap it into there is no rights that are inalienable and thus they can be taken away more easily. By majority rule, by judicial decree, by despotic use of naked power. I much prefer a 'common consent of the people' thing backed up by despotic checks and balances in the hands of a dictator...justto make things interesting.","christian-nation","03:24 PM","government-debates","19"
"04-03-2007","9706",2,"Matthew S","256342","Did you ever notice those that cry the loudest for the ""return to the Christian nation of our founders"" also preach fear based christianity? So fear is what they preach and fear is what they know.","dislexia","256740","We also know that God loves us.","christian-nation","09:04 PM","government-debates","20"
"04-03-2007","9706",2,"pandion","256571","It matters because other laws and practices exist that have been established since. The Constitutional provision in Maryland that any office holder had to profess a belief in God was enforced until it was found unconstitutional in 1961 (Torcaso v. Watkins, 367 U.S. 488). Christian prayer was practiced and passive observance by non-christian students was required at many school functions in many Texas schools until 2000. My own school district allowed prayer until the decision by the 5th Circuit Court of Appeals upheld the District Court decision. (I do not live in the Judicial District but I do live in the 5th Circuit) That decision was eventually upheld by the Supreme Court (Santa Fe Independent School District v. Doe, 99-62). And recently there was the case of Judge Roy Moore who erected a religious monument in the Alabama Supreme Court and the case of the Bible display outside the Harris County Court House in Houston, TX. What matters is that some christians are still trying to use the government and tax money to impose their religion on everyone. Arguments against each of the latter three cases were made that christians were being deprived of their 1st Amendment right to the free practice of their religion. Well, we agree on that. But, of course, that was pretty much the point of the ""Christian Nation quiz."" Whizzed right past you I guess. Actually, I doubt it. Most of the ""Christian"" laws weren't actually changed. They were found to be unconstitutional. So in order to go back to the days when it was acceptable for christians to use the government to impose their religion we would have to amend the Constitution. No it doesn't. Did you flunk your high school government course? Our Constitution establishes a representative republic, i.e., a representative (or liberal) democracy. No. It doesn't do that either. The christian majority doesn't get to decide that they can use the government to impose their religion. Clearly, if you consider the actions of Congress and our President you are aware that logic and reason have nothing to do with it. And the Supreme Court is establish by the Constitution to decide questions about whether the actions of the other two branches agree with the Constitution. So you are saying that our legislatures do not take oaths (or affirmations) to support and defend the Constitution? So you are saying that they shouldn't consider whether or not a proposed law is Constitutional? So you are unaware that laws by our legislatures can be challenged in our judicial system, and if found to violate provisions of the Constitution - looking to the past or not - they are set aside?","Steeeeve","256758","Perhaps the question here is why it was allowable for so long. Could it be because perhaps it is ok to have laws based soley on religious principals? The answer here is yes. Alright, it is very clear that you don't know what you are talking about. Once you resort to insulting when I was presenting an opinion that favored much of your opinion then we might as well not even talk to you. But I'll continue anyway assuming you were just having a bad day. This isn't really true. The ones that were found ""unconsitutional"" were done so using the living constitution doctrine which I reject. In reality most aren't unconstitutional. This idea that everything has to have a non-religious or moral reason is crazy. Find me a good non-moral reason for animal cruelty laws. Oh dear God.... I should have known from your above comment that you are one of those unreasonable people. Yes, I realize we are officially a representative republic but we often refer to ourselves as a democracy. I assumed you haven't been living under a rock and you knew this...my mistake. Our constitution doesn't set up a system to decide who makes what decisions/laws/etc? And I am the one that ""flunked high school government""? Should I refer to Article I section 8 of the constitution, Article II sections 1-2 and part of 3, Article III section 1, The 10th amendment, Article IV and V, even the decision on ratifying the constitution is laid out in the constitution. What on earth do you think this documentdoes? As for the first part. A christian majority in fact could decide to impose religion on government via a number of ways. They could amend the constitution and make a state religion, they could support or encourage laws that adhere to their views (such as abortion or marriage laws), they could vote for legislatures that think in way they do. I was unaware that christians were not allowed to think.... That's a pretty bad guess at what I was trying to say. No. Another bad guess Very aware. In fact, the federalist papers mentions this exactly. Perhaps I should rephrase so you can better understand. The constitution is not here to answer every question you might have. The answer to the question ""do you have a right to drive a car"" is no where in the constitution. To say a law prohibiting 12yr olds to drive is constitutional is kind of a bad way of putting it. It isn't that the constitution specifically allows it but that no higher law trumps it (such as the constitution). I realize that saying something is ""constitutional"" is really meant in the way I just spoke of but I find it to misled people into thinking the constitution has an answer for everything. So when people start saying ""you can't use religion as a justification for law"" I find it hard to believe this. The constitution says nothing of the sort. Even if you say an religious idea (such as no abortion) with only religious backing is ""establishing a religion"" I'd like one to find a history of where the first amendment was meant to mean this. Seems to me that all the history behind the creation of this amendment from its beginning would suggest that the purpose behind the 1st amendment was to keep Congress from hurting religion...not keeping religious thoughts out of government. I can get into the true meaning of the amendment later. In sort, you can't limit a reasoning behind a law.","christian-nation","11:32 PM","government-debates","21"
