"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"05-27-2009","1","6149","178","Chuz Life","355059","Again, you dodge the question and instead answer one that I didn't ask. So, I'll ask one more time with the follow up question of ""how do you think it makes you look when you have to avoid direct questions by giving evasive answers this way?"" CUNX, ""Do you believe a child's basic rights should begin when their life does?"" Yes or no. For reference; I can't imagine how you can conceive (per your comments in that earlier post) that killing a pregnant woman can be prosecuted as ""TWO MURDERS ;"" Yet, the ""murdered"" (your word) pre-birth child had no rights to be violated ?!? Do you care enough to explain how that works?","CUNxTime","355192","I think I've been pretty clear... but I'll try again. The mother's right to control her body supersede any rights the baby has. The mother has the right to bring her baby to term or she has the right to terminate in the early stages of pregnancy.","dag-nabbit-does-seperation-church-state-mean-anything-anymore","09:50 AM","government-debates",51
"05-27-2009","1","6149","179","CUNxTime","355192","I think I've been pretty clear... but I'll try again. The mother's right to control her body supersede any rights the baby has. The mother has the right to bring her baby to term or she has the right to terminate in the early stages of pregnancy.","Chuz Life","355194","CUNx, You said that it is a ""double murder"" when someone murders a pregnant woman. How can you ""murder"" a child that has no rights? You have not explained how this can be. Please be clear on the Constitutional basis for claiming that when a stranger kills the baby it's MURDER,... but when the mother kills the baby (for any reason she wants) it's not. Sorry, but I need something more than ""because I said so.""","dag-nabbit-does-seperation-church-state-mean-anything-anymore","10:00 AM","government-debates",93
"05-27-2009","1","6149","180","Chuz Life","355194","CUNx, You said that it is a ""double murder"" when someone murders a pregnant woman. How can you ""murder"" a child that has no rights? You have not explained how this can be. Please be clear on the Constitutional basis for claiming that when a stranger kills the baby it's MURDER,... but when the mother kills the baby (for any reason she wants) it's not. Sorry, but I need something more than ""because I said so.""","CUNxTime","355195","The baby does have rights...they are superseded by the mother's right not to be pregnant if she chooses. A third party doesn't have the right to terminate someone else's pregnancy forceably...hence double murder. And I'm pretty sure that's how the law works as well in many states, so while its my opinion (because I said so), there is also a basis for this legally.","dag-nabbit-does-seperation-church-state-mean-anything-anymore","10:05 AM","government-debates",75
"05-27-2009","1","6149","181","CUNxTime","355195","The baby does have rights...they are superseded by the mother's right not to be pregnant if she chooses. A third party doesn't have the right to terminate someone else's pregnancy forceably...hence double murder. And I'm pretty sure that's how the law works as well in many states, so while its my opinion (because I said so), there is also a basis for this legally.","Chuz Life","355198","""Pretty sure"" just isn't going to get it, CUNx. Some-one needs to explain how a woman can ""consent"" to have sex, risk pregnancy, create what you agree is a child WITH rights and then have the right themself to deny those rights to her child and to kill it for any reason she deems necessary; However, if and when someone else intentionally kills that same child? THEY are liable for ""murder."" What's that make an abortionist?","dag-nabbit-does-seperation-church-state-mean-anything-anymore","10:15 AM","government-debates",91
"05-27-2009","1","6149","184","Chuz Life","355198","""Pretty sure"" just isn't going to get it, CUNx. Some-one needs to explain how a woman can ""consent"" to have sex, risk pregnancy, create what you agree is a child WITH rights and then have the right themself to deny those rights to her child and to kill it for any reason she deems necessary; However, if and when someone else intentionally kills that same child? THEY are liable for ""murder."" What's that make an abortionist?","CUNxTime","355248"," You were asking my opinion, which I gave you. But if you want to check my legal opinion...research it. Consent of the woman..kinda like the difference between having sex and rape. A doctor","dag-nabbit-does-seperation-church-state-mean-anything-anymore","02:33 PM","government-debates",41
"05-19-2008","2","10781","56","chester","311342","I favor the elimination of the unmerited, unearned advantage of inherited wealth.","Steeeeve","311348","First off, for a school teacher to get banned from a debate forum at least 3 times is a little ridiculous don't you think? Secondly, do you oppose all gifts? And why do you not support inherited wealth? Shouldn't people get to choose what to do with their money or is this another instance where you don't support choice while claiming to support it?","fraud-freemarket","09:18 PM","government-debates",70
"05-20-2008","2","10781","58","Steeeeve","311348","Secondly, do you oppose all gifts? And why do you not support inherited wealth? Shouldn't people get to choose what to do with their money or is this another instance where you don't support choice while claiming to support it?","chester","311442","As far as I am concerned, people can do whatever they wish with their money during life. When they die, it's no longer theirs in a society dedicated to equality of opportunity. You DO support equality of opportunity as a basic American value, right?","fraud-freemarket","06:56 PM","government-debates",50
"05-26-2008","2","10781","60","chester","311442","As far as I am concerned, people can do whatever they wish with their money during life. When they die, it's no longer theirs in a society dedicated to equality of opportunity. You DO support equality of opportunity as a basic American value, right?","Steeeeve","311980","Can they give it all away to someone? no. I support that everyone can have an opportunity...not that we all start at the same place. This is impossible to achieve anyway and frankly a stupid policy which would hurt economic growth and probably stall our economy.","fraud-freemarket","10:26 PM","government-debates",52
"05-27-2008","2","10781","61","Steeeeve","311980","no. I support that everyone can have an opportunity...not that we all start at the same place. This is impossible to achieve anyway and frankly a stupid policy which would hurt economic growth and probably stall our economy.","chester","312004","Gee, and here I thought that an American value was equality of opportunity. Why not tell us just what Americans you would consign to be hewers of wood and drawers of water. While you are at it, please also tell us what groups you give a head start to and what they have done to deserve it.","fraud-freemarket","11:46 AM","government-debates",62
"05-27-2008","2","10781","62","chester","312004","Gee, and here I thought that an American value was equality of opportunity. Why not tell us just what Americans you would consign to be hewers of wood and drawers of water. While you are at it, please also tell us what groups you give a head start to and what they have done to deserve it.","Steeeeve","312020","Think again....we have never had the value we claim. Strawman. This was never an argument I presented.","fraud-freemarket","06:19 PM","government-debates",22
"04-08-2007","1","9706","39","JPSartre12","257547","I am and I'd love it if our courts were full of strict constructionlists.","Matthew S","257551","Good then I will sue the government to take your car, house, and money away since the ownership of such things are not in the constituion.","christian-nation","03:45 PM","government-debates",29
