"AuthorBassman","AuthorCUNxTime","AuthorChuz Life","AuthorJPSartre12","AuthorMatthew S","AuthorPeeling","AuthorSteeeeve","Authorchester","Authorjitobear","Length:100","Length:200","Length:200m","Length:50","Turn:7-8","Turn:9-10","subtopic"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"application-constitution"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tea-party-senator-uses-eye-shadow-eye-liner"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"call-prayer-not-actual-solution-nigeria-problems"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"government-run-healthcare-discussion"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"disabled-veterans-compensation"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"america-lost-society"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"environmental-enforcement-leaves-musicians-fear"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"happiest-countries-world"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"entitlement-mentality"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"good-message-iroquois"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"does-us-need-velvet-revolution-azerbaijan"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"government-taxes"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"citizen"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"entire-bush-tax-cuts-will-extended-obama-will-surrender"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"international-law"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2010-i-wont-vote"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"us-constitution"
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,"dag-nabbit-does-seperation-church-state-mean-anything-anymore"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"farmers-markets-facing-possible-extinction"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"three-duties-government-1-protect-property-2-preserve-contracts"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"privacy-what-privacy"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"responsibility-entitlement-free-society"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"constitution-not-effect"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"constitution-delicate-balance"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"big-brother-should-we-concerned"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"best-form-government-existing-theorized"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"return-constitutional-government"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"keith-ellison-using-quran-swearing-ceremony"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bush-i-will-leave-office-my-head-held-high"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conservatives-you-want-know-what-happened-us-view"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"country-democracy-communist-merely-because-they-say-so"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"who-sovereign"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fraud-socialized-medicine"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"scam-federal-reserve-bank"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fascist-america-10-easy-steps"
0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,"fraud-freemarket"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"has-congress-become-more-stronger-then-presidency"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"can-third-party-ever-make"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"outraged-about-us-soldiers-rape-murder"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"my-immigration-plan-what-do-you-think"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"what-patriotism"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"immigration"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"what-exactly-interstate-commerce"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"americans-enjoy-least-opportunities"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"osamas-message-democrats"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"scary-message-george-carlin"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"too-much-big-brother"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"tells-you-something-doesnt"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"michigan-gas-amendment"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"flag-burning-who-cares"
3,0,0,0,2,0,0,0,1,0,2,1,0,2,0,"my-magic-wand"
0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,"christian-nation"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"kofi-annans-five-lessons"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"holiday-trees"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"all-politics-loco-how-conservative-ideology-cripples-america"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"english-official-us-language"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"flag-burning"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"does-really-cost-much"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ringside-zachvac-vs-evan-flag-burning-debate"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fav-president"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"there-goes-constitution-poker-ban"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"there-goes-democracy"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"uk-local-elections"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hurricanes-nukes-one-blackeyed-president"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"do-you-like-bush-well-most-dont"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"civil-war"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"conservative-victory"
