"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"07-14-2007","10129",1,"None","None","None","chloe","273616","Do pro abortion people support euthanasia as a reason for abortion? Meaning for instance... if after amniocentesis it is discovered that the child has down syndrome or if it is discovered the child will be born with no legs the previously hoping and willing parents decide to abort for this reason. Do pro abortion people support this?","abortion-euthanization","10:05 PM","abortion-debates","1"
"07-14-2007","10129",1,"chloe","273616","Do pro abortion people support euthanasia as a reason for abortion? Meaning for instance... if after amniocentesis it is discovered that the child has down syndrome or if it is discovered the child will be born with no legs the previously hoping and willing parents decide to abort for this reason. Do pro abortion people support this?","Phyllis","273624","Of course they do, just as they also support abortion for the reason of gender selection .","abortion-euthanization","11:42 PM","abortion-debates","2"
"07-14-2007","10129",1,"Phyllis","273624","Of course they do.","Archangel","273626","Ditto squared. If they support killing a perfectly healthy unborn child, they will argue that the reason stated in the Op is the main reason Abortion is needed and justified. And I must say that if 98% of all abortions were performed for that reason, the public stance against them might not be so strong.","abortion-euthanization","11:59 PM","abortion-debates","3"
"07-15-2007","10129",1,"thelmoose","273661","The word is euthanasia, you twit.","Archangel","273664","Why would you attack anyones grammar when you use words like importanter ? Kind of hypocritical wouldn't you say ? http://www.4forums.com/political/sho...59&postcount=6","abortion-euthanization","10:55 AM","abortion-debates","4"
"07-15-2007","10129",1,"chloe","273616","Do pro abortion people support euthanasia as a reason for abortion? Meaning for instance... if after amniocentesis it is discovered that the child has down syndrome or if it is discovered the child will be born with no legs the previously hoping and willing parents decide to abort for this reason. Do pro abortion people support this?","Spruce","273673","I believe prochoice people support choice. I don't know what proabortion people support. I've never met one.","abortion-euthanization","01:34 PM","abortion-debates","5"
"07-15-2007","10129",1,"None","None","None","chloe","273705","I wonder if those who would use abortion to euthanize certain babies would also support euthanization of others who live outside of the womb.","abortion-euthanization","06:24 PM","abortion-debates","6"
"07-15-2007","10129",1,"Spruce","273673","I believe prochoice people support choice. I don't know what proabortion people support. I've never met one.","chloe","273706","Why, is there something wrong with being pro abortion?","abortion-euthanization","06:27 PM","abortion-debates","7"
"07-15-2007","10129",1,"Archangel","273664","Why would you attack anyones grammar when you use words like importanter ? Kind of hypocritical wouldn't you say ? http://www.4forums.com/political/sho...59&postcount=6","thelmoose","273709","Do you mean ""anyone's""?","abortion-euthanization","06:32 PM","abortion-debates","8"
"07-15-2007","10129",1,"chloe","273705","I wonder if those who would use abortion to euthanize certain babies would also support euthanization of others who live outside of the womb.","ShadowPikachu","273710","Wonder what ""euthanization"" is. Never heard of it before, and neither has the dictionary .","abortion-euthanization","06:35 PM","abortion-debates","9"
"07-15-2007","10129",1,"chloe","273616","Do pro abortion people support euthanasia as a reason for abortion? Meaning for instance... if after amniocentesis it is discovered that the child has down syndrome or if it is discovered the child will be born with no legs the previously hoping and willing parents decide to abort for this reason. Do pro abortion people support this?","thelmoose","273711","I think you need to look up euthanasia, and not only for the correct grammar. Those examples are not euthanasia. Abortion is not the same thing as euthanasia. Why don't you just say what is on your mind, rather than setting these ham-handed traps you hope someone will fall into? It is clear what your opinion is. If you have something to say, by all means express yourself.","abortion-euthanization","06:40 PM","abortion-debates","10"
