"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"08-29-2007",1,"10129","410","Another opinion","281431","Well, I would say it was a mixture. The southern states would never have separated in the first place if they did not feel that the institution of slavery was threatened with the election of Lincoln. However, Lincoln did not engage the Northern states in the Civil War to begin with for slavery but in order to keep the Union intact. The Emancipation Proclamation came later. Before the war, Lincoln had no plans to free all slaves, much as he probably personally would have liked that. However, the Southerners knew that it would have just been a matter of time before slavery was outlawed by force of upcoming anti-slave majority states. The issues are all interwoven. Either way, you cannot extract the issue of slavery as the main underlying cause of the conflict between the states which erupted into the Civil War. Without a conflict about slavery, the Civil War never would have happened.","Steeeeve","281436","http://www.civilwar.vt.edu/jr/jr.html The guy in that link would smack you if you said it was about anything other than slavery. The ""union intact"" was not a real reason. Dr. Robertson states many times that it was almost all about slavery. It's fairly hard to argue that he was wrong given his background.","abortion-euthanization","02:37 PM","abortion-debates","57"
"08-29-2007",1,"10129","411","Steeeeve","281436","http://www.civilwar.vt.edu/jr/jr.html The guy in that link would smack you if you said it was about anything other than slavery. The ""union intact"" was not a real reason. Dr. Robertson states many times that it was almost all about slavery. It's fairly hard to argue that he was wrong given his background.","Another opinion","281440","It depends on what his arguements are. The link you showed was only to his biography. Before the Civil War, Lincoln had no intention of freeing all slaves. His view was that he would use his power to prevent any new slave-permitting states to arise from the US territories so that, eventually, the government would be composed of mainly anti-slave states and, thus, slavery would eventually expire. However, this was enough for the Southern states to separate. Then, Lincoln went to war to keep them from seceding and to keep the Union together. It is interesting to note that, even with the Emancipation Proclamation, he did not have any slaves freed that were in Union states. Also, at the beginning of the war, Lincoln prohibited his generals from freeing slaves even in captured territories. Much of this was gleaned from : http://en.wikipedia.org/wiki/Abraham_Lincoln_on_slavery as well as various Discovery Channel and History Channel programs, which were also developed by experts. So, the bottom line is that slavery was the main underlying cause of the civil war since the states would never have seceeded if not for the political threat to the institution of slavery posed by Lincoln's election, but that the war itself was started because of that secession not directly because of slavery. One can say that the main in-direct cause of the civil war was slavery but the main direct cause was keeping the union together. Alternatively, there are various statements that can be made: 1. The southern states would never have seceded if not for the threat to slavery. 2. The civil war would never have happened if not for the secession. So, if the Southern states would have kept their slaves and just complained in the official political process, without secession, then slavery as an institution would have continued for at least some decades to come before an anti-slave political state majority would have voted it off.","abortion-euthanization","02:59 PM","abortion-debates","354"
"08-29-2007",1,"10129","412","Another opinion","281440","It depends on what his arguements are. The link you showed was only to his biography. So, the bottom line is that slavery was the main underlying cause of the civil war since the states would never have seceeded if not for the political threat to the institution of slavery posed by Lincoln's election, but that the war itself was started because of that secession not directly because of slavery. One can say that the main in-direct cause of the civil war was slavery but the main direct cause was keeping the union together.","Steeeeve","281444","Right and I am not allowed to post anything he wrote...however, I have heard him speak a number of times and he is merely a few doors down as I type this. All I can say is that there is no dispute among those that are experts in the area. People don't secede because they feel like it one day. The lengthy debates and speeches and talks prior to the actual war were all on slavery. Secession is not exactly a reason.","abortion-euthanization","04:07 PM","abortion-debates","90"
"08-29-2007",1,"10129","414","Steeeeve","281444","Right and I am not allowed to post anything he wrote...however, I have heard him speak a number of times and he is merely a few doors down as I type this. All I can say is that there is no dispute among those that are experts in the area. People don't secede because they feel like it one day. The lengthy debates and speeches and talks prior to the actual war were all on slavery. Secession is not exactly a reason.","Another opinion","281454","How about my last point? Namely, if the South had never seceded and had only handled the slavery issue through official political channels (congress, etc.), do you think that there would have been a war? I have so far seen no evidence that says that there would have been. If you have, then please post it. If you don't, then you would have to agree that secession was a major direct cause of the war.","abortion-euthanization","04:53 PM","abortion-debates","87"
"08-29-2007",1,"10129","417","Another opinion","281454","How about my last point? Namely, if the South had never seceded and had only handled the slavery issue through official political channels (congress, etc.), do you think that there would have been a war? I have so far seen no evidence that says that there would have been. If you have, then please post it. If you don't, then you would have to agree that secession was a major direct cause of the war.","Steeeeve","281486","Probably would have considering the tension at the time. I don't think succession alone has any real evidence for causing the civil war. There was no debate about what happens when you leave the union. Even the flawed wikipedia doesn't play up secession. Secession was just a result of the reasons. You wouldn't say ""firing a gun"" was the cause of the civil war.","abortion-euthanization","11:03 PM","abortion-debates","72"
"08-30-2007",1,"10129","418","Steeeeve","281486","Probably would have considering the tension at the time. I don't think succession alone has any real evidence for causing the civil war. There was no debate about what happens when you leave the union. Even the flawed wikipedia doesn't play up secession. Secession was just a result of the reasons. You wouldn't say ""firing a gun"" was the cause of the civil war.","Another opinion","281537","The issues are so interwoven that it is hard to separate them. It is not a question of either slavery causing the war or secession causing the war - both were causes. The conflict about slavery and the urgency to that conflict that arose with the election of Lincoln made the South feel like they had to secede if they wanted to keep the institution of slavery, where that secession in turn sparked the civil war. I do not agree with you that the north would have started a civil war if the south had never seceded. Certainly, if the south had not seceded at that point in time, then some years or decades later, there would have eventually been an anti-slave majority of states that could have tried to vote out slavery. It is feasable that the southern states would have precipitated a conflict then. I doubt that they would have taken the voting-out of slavery lying down. However, other alternatives might have happened. Namely, it is possible that, knowing that slavery would eventually be outlawed, the South might have rearranged their system more toward the sharecropper system that happened later (which wasn't all that much worse for the planters financially). It is hard to predict at this point what would have happened. Was a conflict over slavery always destined to lead to war? Unknown.","abortion-euthanization","11:19 AM","abortion-debates","248"
"08-30-2007",1,"10129","419","Another opinion","281537","Was a conflict over slavery always destined to lead to war? Unknown.","Steeeeve","281581","Yes, it only takes a spark..in this case it happened to be one state leaving the union. I don't count a spark as a reason just like you don't count a gun being fired as the reason a war starts.","abortion-euthanization","04:30 PM","abortion-debates","45"
"08-31-2007",1,"10129","423","Steeeeve","281581","Yes, it only takes a spark..in this case it happened to be one state leaving the union. I don't count a spark as a reason just like you don't count a gun being fired as the reason a war starts.","Another opinion","281697","It very much depends on what actions the North would have taken to try to stop slavery. The ideas of Lincoln and the Republican party were ideas that would have kept the elimination of slavery legal, from a constitutional sense, but their ideas still would have led to the elimination of slavery. It is certainly possible that the South would have precipitated a war or at least a secession (that would lead the north to war) to avoid giving up the lucrative enterprise of slavery. If they hadn't seceded after Lincoln's election then they might well have seceded years or decades later once his anti-new-slave-state policies produced anti-slave political majorities. On the other hand, perhaps those decades would have led to a re-assessment of their organization of slaves and a reorganization into something more akin to the sharecropper system. I admit that it would be unlikely that the South would have taken the elimination of slavery lying down and most likely would have seceded once the North made any strong attempt at getting rid of slavery. Also, I doubt that the North would have allowed slavery to continue indefinitely. There was just too much momentum against it and we were one of the only countries left that still supported it. So, I would say that you are probably right that the issue of slavery was destined to lead to war, but, still, that is far from absolutely certain since there could have been alternative paths.","abortion-euthanization","11:19 AM","abortion-debates","264"
"08-01-2007",2,"10129","206","Steeeeve","275937","No, no you can't. Not by any definition and not by any reasonable method of science and not by pretty much anything other than a bias on your own self.","Sigma","275985","It is not a human being in the sense of having existence in actuality . There is no one in there .","abortion-euthanization","03:55 PM","abortion-debates","22"
"08-01-2007",2,"10129","208","Sigma","275985","It is not a human being in the sense of having existence in actuality . There is no one in there .","Steeeeve","275990","Only if you define human being the way you feel you want to.","abortion-euthanization","04:14 PM","abortion-debates","14"
