"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"01-04-2009",1,"11293","899","Another opinion","338956","My comment about aborting on a whim was only meant to point out to Chester that his extreme view would allow late term abortions for bogus reasons as well as for real reasons. Do keep up please before you chime in...","chester","338960","Once again, just who gets to decide what reasons are ""bogus"" and which are ""real""? I know, let's put the woman on the witness stand and ask her. Fifth Amendment prohibition against self-incrimination? Who cares, right? Long on ideology and short on specifics once again.","every-woman-has-right-survive-pregnancy","05:56 PM","abortion-debates","57"
"01-05-2009",1,"11293","900","chester","338960","Once again, just who gets to decide what reasons are ""bogus"" and which are ""real""?","Another opinion","339000","As I have said over and over, the people who decide are the usual people who decide - the elected legislature, limited by the Constitution and judicial precedent. I don't understand why you are not getting this point. You do realize that in civilizations, people are not completely free to do anything they want but that their actions are limited in circumstances that are decided by their government. In a Democracy, the people have a say in the limitations imposed on them in how they vote for politicians. It is then these politicians, limited by the constraints of the Constitution, and advised by appropriate experts, that come up with the details of the constraints (i.e. laws). This is such a basic point that I am continuing to repeat that it surprises me that you do not understand it. Laws are made by politicians and their imposition in particular cases is controlled by the justice department. Where abortions are concerned, if there was a third trimester abortion done by a doctor (under this third trimester abortion restriction scenario) for reasons other than reasons that are accepted by popular vote through the political process (ex. risk to mother's life, health, etc.), then the doctor should get punished, as well as the woman (depending on her circumstances). It is the general way in which all laws work. What is it that you don't get?","every-woman-has-right-survive-pregnancy","10:28 AM","abortion-debates","262"
"01-05-2009",1,"11293","901","Another opinion","339000","As I have said over and over, the people who decide are the usual people who decide - the elected legislature, limited by the Constitution and judicial precedent. I don't understand why you are not getting this point.","chester","339024","So you are going to be like Pulate on the balcony and wash your hands of any specific details, we see. One more time, as a citizen of the country, what advice would you give your Legislators regarding the points you have raised. Specifically, what would you tell them about : 1. How to determine the difference between valid and ""Whimsical"" reasons why a woman chooses a late-term abortion? 2. What the penalties should be for violations of AO's prohibition on late-term abortions for ""whimsical"" abortions. C'mon, your legislators are soliciting your input at this very moment. Don't let it pass. BTW, I agree that an individual's freedom must necessarily be limited in certain circumstances; not falsely crying FIRE in a crowded theater is one. On the other hand, when it comes to abortion, this is not one of them.","every-woman-has-right-survive-pregnancy","02:28 PM","abortion-debates","163"
"01-05-2009",1,"11293","902","chester","339024","So you are going to be like Pulate on the balcony and wash your hands of any specific details, we see. One more time, as a citizen of the country, what advice would you give your Legislators regarding the points you have raised. Specifically, what would you tell them about : 1. How to determine the difference between valid and ""Whimsical"" reasons why a woman chooses a late-term abortion? 2. What the penalties should be for violations of AO's prohibition on late-term abortions for ""whimsical"" abortions. C'mon, your legislators are soliciting your input at this very moment. Don't let it pass. BTW, I agree that an individual's freedom must necessarily be limited in certain circumstances; not falsely crying FIRE in a crowded theater is one. On the other hand, when it comes to abortion, this is not one of them.","Another opinion","339029","I think we are mostly disagreeing on the level of detail that one must present in a forum such as this. I get the impression that you expect the level of detail that a politician would present in a complete packaged bill that would be presented to Congress. If that is the case, then it is very unrealistic since that is not the purpose of these forums. We are not presenting packaged bill proposals but debating general concepts. Heck, even many bills presented to Congress do not include specifics about the types of punishments imposed. Either way, if we cannot agree on the most general directions for abortion rights, it makes no sense to start ironing out all the details. Currently, the abortion debate ranges the gamut from no abortions ever to abortions allowed always. One has to address step one (when or if to ever limit abortion rights) before one goes to step two (how to enforce that limit). You are putting the cart before the horse. That includes specific penalties. As for the reasons that are considered valid or unvalid, that is why I brought up the idea of exceptions many posts ago. In my view, these would include the ones that are often sited in these forums - risk to mother's life, significant risk to her health, risk of significantly deformed fetus, rape, incest, etc. If someone comes up with another exception worth considering, then they are free to present it here for debate. The health exception would also have to be debated in more detail since those on the pro-life side do have a point that automatically assuming that ANYTHING can be claimed as a health exception is also unreasonable. I tried to start a thread here on that once but it didn't get very far. Either way, nothing we say here matters much anyway except in how it affects our decision-making when it comes to electing our politicians, or in how we respond to polls about abortion rights. Again, it is the politicians we elect who decide. We could only give them input through polls, letters to our Congressmen, etc. about what type of laws we would support. As a last point, I really don't see the reason why you are pushing so hard for us to iron out details of the punishments this early in the debate (again putting the cart before the horse). Do you think it will make a difference in our approach to the main concept of when abortion rights should be limited?","every-woman-has-right-survive-pregnancy","02:48 PM","abortion-debates","466"
"01-05-2009",1,"11293","903","Another opinion","339029","I think we are mostly disagreeing on the level of detail that one must present in a forum such as this. I get the impression that you expect the level of detail that a politician would present in a complete packaged bill that would be presented to Congress. If that is the case, then it is very unrealistic since that is not the purpose of these forums. We are not presenting packaged bill proposals but debating general concepts. Heck, even many bills presented to Congress do not include specifics about the types of punishments imposed. Either way, if we cannot agree on the most general directions for abortion rights, it makes no sense to start ironing out all the details. Currently, the abortion debate ranges the gamut from no abortions ever to abortions allowed always. One has to address step one (when or if to ever limit abortion rights) before one goes to step two (how to enforce that limit). You are putting the cart before the horse. That includes specific penalties. As for the reasons that are considered valid or unvalid, that is why I brought up the idea of exceptions many posts ago. In my view, these would include the ones that are often sited in these forums - risk to mother's life, significant risk to her health, risk of significantly deformed fetus, rape, incest, etc. If someone comes up with another exception worth considering, then they are free to present it here for debate. The health exception would also have to be debated in more detail since those on the pro-life side do have a point that automatically assuming that ANYTHING can be claimed as a health exception is also unreasonable. I tried to start a thread here on that once but it didn't get very far. Either way, nothing we say here matters much anyway except in how it affects our decision-making when it comes to electing our politicians, or in how we respond to polls about abortion rights. Again, it is the politicians we elect who decide. We could only give them input through polls, letters to our Congressmen, etc. about what type of laws we would support. As a last point, I really don't see the reason why you are pushing so hard for us to iron out details of the punishments this early in the debate (again putting the cart before the horse). Do you think it will make a difference in our approach to the main concept of when abortion rights should be limited?","chester","339075","I don't think it is unreasonable at all to require that someone who stakes out a position here or anywhere else have a fully thought out plan for the implementation of that position and the consequences that will arise when and if it is implemented. Once again, you fail to deal with the implications of this statement. Who gets to decide whether the reasons are valid or invalid in a particular case? What standards do they use? Who decides whether the standards used a re valid or not? What, if any, appeal from the decision would be permitted? Just so. That's exactly why I asked you what you would say to your Congresscritter were you to write to her or him. You still have not responded. Because you are proposing that the government interfere with the choices a woman makes. That necessarily involves the legal process. If there are going to be restrictions in place, then there must needs be some sanction in the law if it is to have any force whatsoever. It therefore becomes incumbent on the restrictionists to spell out in detail just what the law's sanctions will be and upon whom they will be applied. I hope this clarifies matters for you.","every-woman-has-right-survive-pregnancy","08:00 PM","abortion-debates","224"
"01-06-2009",1,"11293","905","chester","339075","I don't think it is unreasonable at all to require that someone who stakes out a position here or anywhere else have a fully thought out plan for the implementation of that position and the consequences that will arise when and if it is implemented. Once again, you fail to deal with the implications of this statement. Who gets to decide whether the reasons are valid or invalid in a particular case? What standards do they use? Who decides whether the standards used a re valid or not? What, if any, appeal from the decision would be permitted? Just so. That's exactly why I asked you what you would say to your Congresscritter were you to write to her or him. You still have not responded. Because you are proposing that the government interfere with the choices a woman makes. That necessarily involves the legal process. If there are going to be restrictions in place, then there must needs be some sanction in the law if it is to have any force whatsoever. It therefore becomes incumbent on the restrictionists to spell out in detail just what the law's sanctions will be and upon whom they will be applied. I hope this clarifies matters for you.","Another opinion","339141","Once again, you are putting the ""cart before the horse"". You are asking for detailed specifics before this forum has even come anywhere close to a consensus about whether or when abortion rights should be restricted. Again, we are not politicians here presenting bills but voters debating general topics. This is something that you just don't seam to get. Since you are the first person I have seen who expect this, on any forum over at least five years of my participation in forums, it seems that your expectations are not shared by anyone else but yourself. Yes, theoretically, I could sit down, start taking time to review the procedures that they have in UK and the rest of Europe, try to figure out what if any parts of that could be adapted to the US. Also, it would require me to sit down and look at the specifics in how laws are translated into legal punishments here, the flexibility or lack thereof of justices in determining particular sentences, etc. If a third trimester restriction would someday be implemented then that would eventually be necessary but not by me (where I am far from an expert) but by the politicians and legal experts who have the time and expertise and power to implement such policy. My going through such efforts would be a complete waste of time since I have no power to implement such changes and since it adds nothing to the general point that is being debated about whether or when to restrict abortion rights. As I said before, you are putting the cart before the horse and have unrealistic and waste-of-time expectations that nobody else I have ever encountered on forum participation over five years has ever expected. Therefore, I feel no responsibility to come up with details that are not more than initial guesses or gut reactions. If you think that such expectations are reasonable, then show me a quote of someone in this forum who outlined the type of details you suggest - on any topic, not just abortion. Then, I will see that it is not purely loopiness on your side but that at least one other person conceded to such unrealistic expectations.","every-woman-has-right-survive-pregnancy","10:28 AM","abortion-debates","401"
"01-06-2009",1,"11293","906","Another opinion","339141","If you think that such expectations are reasonable, then show me a quote of someone in this forum who outlined the type of details you suggest - on any topic, not just abortion. Then, I will see that it is not purely loopiness on your side but that at least one other person conceded to such unrealistic expectations.","chester","339145","There have been at least two restrictionists who have put forth such proposals. One who formerly posted here suggested a fine of $5K for the physician and one of $2.5K for the woman. Another poster suggested life in prison for both. Be that as it may, we are left with the conclusion that you have not fully thought out the implications of your proposal. Unless and until you do, I would suggest that it is difficult to take what you put forth seriously. Ideas have consequences, and you need to consider them prior to staking out a POV. I realize that sounds condescending, but that is not my intent. The implication of the thought that each woman needs to have the right to make the choice for herself with the law remaining silent is simple; it is the autonomy of women. If that pushes some folks' ICK! button, they are perfectly free to do whatever their values impel them to do.","every-woman-has-right-survive-pregnancy","11:40 AM","abortion-debates","180"
"01-06-2009",1,"11293","907","chester","339145","There have been at least two restrictionists who have put forth such proposals. One who formerly posted here suggested a fine of $5K for the physician and one of $2.5K for the woman. Another poster suggested life in prison for both. Be that as it may, we are left with the conclusion that you have not fully thought out the implications of your proposal. Unless and until you do, I would suggest that it is difficult to take what you put forth seriously. Ideas have consequences, and you need to consider them prior to staking out a POV. I realize that sounds condescending, but that is not my intent. The implication of the thought that each woman needs to have the right to make the choice for herself with the law remaining silent is simple; it is the autonomy of women.","Another opinion","339159","Again, as I mentioned in many of my posts, the requirement that you pose to outline details of punishment is putting the cart before the horse. The imposition of punishments is a second and independent step to the idea that something should be legal or illegal. The only reason not to debate the first step on its own (i.e. whether or when to impose limits) is if no execution of such a law would be possible. That is not the case. You still have not made the point of why one would need to go into the details of punishment before one makes a consensus of what it would be that one would be punishing for. As for the two examples you brought up of people's proposed punishments, those are the type of gut reactions that you would expect from people that I was hesitant in giving since gut reactions are rarely well thought out. For example, a $5k fine for a doctor is negligible compared to what he makes in a year and will hardly serve as a deterent, as will $2.5k for a woman of reasonable means, while $2.5k might be utterly unaffordable for someone who is barely surviving from paycheck to paycheck or living on welfare. The life sentences imposed on a woman with a family would cause much more harm than good. I already mentioned my gut reaction solution in an earlier post ""Either jail time (say, a year or two), a large fine (withdrawn from the first years of their working life, not paid by their parents), or large amount of community service, depending on their circumstances (ex. less penalty for first offenders, for those who are younger, etc.)"". At least I had the honesty to say that these are initial thoughts and that, since I am not an expert, full decisions on punishment would have to be taken up by those that are. The only general statement I will make is that any punishment should be harsh enough to serve as a deterent, but not so harsh as to stop the person from continuing some level of normal life (though not necessarily as good as if it were blemish-free), and which should take into account extenuating circumstances - ex. family to support, first time offender, age of offender, mental state, etc. So, you have not given examples of people who have given full thought to the type of details you asked for but of people who have given you gut reactions out of pressure. Fine, I already gave you the same gut reactions. If you want more detail than that, then show me an example of someone who gave you more detail.","every-woman-has-right-survive-pregnancy","01:04 PM","abortion-debates","502"
"01-15-2009",2,"11293","969","Another opinion","340328","One more thing to note: In a Democracy such as ours, if the majority is large enough, then the whole Constitution could be rewritten via a new Constitutional Convention. Given current politics, that is extremely unlikely, but the calling of a new Constitution is built into our political system as an option. The bottom line is that a large enough majority can decide on pretty much whatever law they want anyway so we should focus on current US and world politics, not on where a future majority might lead us.","chester","340331","Maybe YOU can choose to ignore the possibility you raise, but I would hope that, upon reflection, you are as frightened by the possibility you raise as I. We are currently only about 5 states away from calling a Constitutional Convention on the issue of the tax code. This has been flying under the radar for many years now. It is not beyond the realm of possibility that such a Convention could just as well pass a so-called Human Life Amendment as it could pass a Required Abortion Amendment. There simply are no rules in either the Constitution or the statutes to guide such a convention. If it fell into the control of the demagogues, we could end up with their scenario.","every-woman-has-right-survive-pregnancy","10:59 AM","abortion-debates","131"
"01-15-2009",2,"11293","970","chester","340331","Maybe YOU can choose to ignore the possibility you raise, but I would hope that, upon reflection, you are as frightened by the possibility you raise as I. We are currently only about 5 states away from calling a Constitutional Convention on the issue of the tax code. This has been flying under the radar for many years now. It is not beyond the realm of possibility that such a Convention could just as well pass a so-called Human Life Amendment as it could pass a Required Abortion Amendment. There simply are no rules in either the Constitution or the statutes to guide such a convention. If it fell into the control of the demagogues, we could end up with their scenario.","Another opinion","340333","Given current politics, the calling of a Constitutional convention is extremely unlikely. Perhaps it might be a point that is debated in the fringe press, but it has never made it to the mainstream press in any truly visible way (ex. more than a couple of stray articles that very few notice). If you think this is a real current risk, then prove it by citing numerous articles from the mainstream press. I do not bother being worried about events that have a negligible chance of coming true. I concentrate my efforts on the reality that we actually currently face.","every-woman-has-right-survive-pregnancy","11:03 AM","abortion-debates","111"
