"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"01-12-2009","12211",1,"simone","339960","No ownership society for women when they can't even claim autonomy over their own bodies.","chester","340003","Which is precisely why the law must needs be silent when it comes to women choosing whether or not to continue their pregnancies.","poverty-pregnancy","06:42 PM","abortion-debates","3"
"01-13-2009","12211",1,"None","None","None","Winston Smith","340041","funny that all proponents of abortion for unwanted pregnancies talk about abortion as if being a political statement: I control my body. Funny that they never think that the reason most women need an abortion was because they couldn't control their legs and kept them crossed. They can not control their lust, so much for body control.","poverty-pregnancy","04:16 AM","abortion-debates","4"
"01-13-2009","12211",1,"Winston Smith","340041","funny that all proponents of abortion for unwanted pregnancies talk about abortion as if being a political statement: I control my body. Funny that they never think that the reason most women need an abortion was because they couldn't control their legs and kept them crossed. They can not control their lust, so much for body control.","gansao","340043","Funny that you have got that completely wrong.","poverty-pregnancy","04:40 AM","abortion-debates","5"
"01-13-2009","12211",1,"None","None","None","Winston Smith","340048","did I ?","poverty-pregnancy","05:21 AM","abortion-debates","6"
"01-13-2009","12211",1,"Winston Smith","340048","did I ?","gansao","340049","Yes you did!","poverty-pregnancy","05:57 AM","abortion-debates","7"
"01-13-2009","12211",1,"Winston Smith","340041","funny that all proponents of abortion for unwanted pregnancies talk about abortion as if being a political statement: I control my body. Funny that they never think that the reason most women need an abortion was because they couldn't control their legs and kept them crossed. They can not control their lust, so much for body control.","chester","340054","Which, we suppose, in your mind releases the sperm donor of any responsibility whatsoever, right? Isn't it interesting that your solution for the abortion issue demands that women deny their sexuality while permitting men to run the gamut of theirs. Does this attitude, of which you are not the only proponent, stem from a hatred or a fear of women?","poverty-pregnancy","07:43 AM","abortion-debates","8"
"01-13-2009","12211",1,"None","None","None","simone","340097","The issue of self-control, Winston Smith? Pray, does that ever apply to men? Is there a ghost of a chance that maybe men should keep their trousers zipped and a certain offending member contained therein? Or are you a proponent of belief in virgin birth, believing that only women are involved in a pregnancy?","poverty-pregnancy","01:58 PM","abortion-debates","9"
"01-13-2009","12211",1,"None","None","None","Winston Smith","340127","Well, you sisters are always talking about the right of women to 'control' their bodies, namely to have the right to have abortions. what about this control? to control their sexuality and not engage in sex without taking anticonceptive precautions? that is what I mean by 'keeping their legs crossed' ( just a figure of speech) I think that instead of using the right to abort as a political statement, you ought to start teaching them how to prevent a pregnancy, by taking anticonceptive measures.","poverty-pregnancy","04:59 PM","abortion-debates","10"
"01-13-2009","12211",1,"Winston Smith","340127","Well, you sisters are always talking about the right of women to 'control' their bodies, namely to have the right to have abortions. what about this control? to control their sexuality and not engage in sex without taking anticonceptive precautions? that is what I mean by 'keeping their legs crossed' ( just a figure of speech) I think that instead of using the right to abort as a political statement, you ought to start teaching them how to prevent a pregnancy, by taking anticonceptive measures.","chester","340129","And the man's role in contraception is...? ""No glove, no love"" isn't a bad idea, is it?","poverty-pregnancy","05:51 PM","abortion-debates","12"
"01-13-2009","12211",1,"Winston Smith","340127","Well, you sisters are always talking about the right of women to 'control' their bodies, namely to have the right to have abortions. what about this control? to control their sexuality and not engage in sex without taking anticonceptive precautions? that is what I mean by 'keeping their legs crossed' ( just a figure of speech) I think that instead of using the right to abort as a political statement, you ought to start teaching them how to prevent a pregnancy, by taking anticonceptive measures.","Another opinion","340130","A couple of points need to be made: 1) First, though I agree with you that people should act more responsibly where their sexuality is concerned, it should be pointed out that, as Simone implied, when you only criticize one partner, it does seem that you are presenting an illogical double standard of morality. Such a double standard would then make readers lose respect for your moral stance. 2) Even anticonceptive precautions fail ~1% of the time so responsible sexuality does not guarantee protection from an unwanted pregnancy. 3) If, either through irresponsible sexuality or bad luck of failed contraceptives, a woman gets an unwanted pregnancy, then the decision of whether or not she should be allowed to get an abortion should not depend on how she got pregnant but on general factors of rights of woman over her own body vs potential rights of the fetus. Indeed, if a woman did get pregnant through irresponsibility, then that would only ADD to the arguement of her getting an abortion since there would be a bigger risk of her being an irresponsible parent than if she simply got pregnant through bad luck of failed contraceptives.","poverty-pregnancy","05:56 PM","abortion-debates","13"
"01-13-2009","12211",1,"Winston Smith","340127","Well, you sisters are always talking about the right of women to 'control' their bodies, namely to have the right to have abortions. what about this control? to control their sexuality and not engage in sex without taking anticonceptive precautions? that is what I mean by 'keeping their legs crossed' ( just a figure of speech) I think that instead of using the right to abort as a political statement, you ought to start teaching them how to prevent a pregnancy, by taking anticonceptive measures.","gansao","340132","I say again , this is a misogynistic statement, how the hell does women not using contraceptives equate to controlling thier sexuality?","poverty-pregnancy","06:11 PM","abortion-debates","14"
"01-13-2009","12211",1,"None","None","None","Penfold","340136","Conservatives can't keep their women barefoot and pregnant if those women control their own fertility.","poverty-pregnancy","06:49 PM","abortion-debates","15"
"01-13-2009","12211",2,"Another opinion","340130","2) Even anticonceptive precautions fail ~1% of the time so responsible sexuality does not guarantee protection from an unwanted pregnancy.","Steeeeve","340141","I read a study from Australia that said 70% of the women who got an abortion were using the birth control pill. I guess you could say these people are trying not to get pregnant but what I see is that people should know that you still can get pregnant and that you need to know that risk and accept it.","poverty-pregnancy","07:22 PM","abortion-debates","16"
"01-13-2009","12211",2,"Steeeeve","340141","I read a study from Australia that said 70% of the women who got an abortion were using the birth control pill. I guess you could say these people are trying not to get pregnant but what I see is that people should know that you still can get pregnant and that you need to know that risk and accept it.","chester","340144","Which is why abortion is a topic that must remain completely in the hands of each and every pregnant woman with the law remaining silent.","poverty-pregnancy","08:02 PM","abortion-debates","17"
"01-13-2009","12211",2,"Steeeeve","340141","I read a study from Australia that said 70% of the women who got an abortion were using the birth control pill. I guess you could say these people are trying not to get pregnant but what I see is that people should know that you still can get pregnant and that you need to know that risk and accept it.","Winston Smith","340154","I wonder what pill that was, aspirin? Abstinence is the best contraceptive, after all sex is intended for procreation so abortion is going against a natural biological imperative. One doesn't see any animal apart from us having abortions. In other words abortion is an aberration from a Nature point of view.","poverty-pregnancy","11:03 PM","abortion-debates","18"
