"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"08-02-2009",1,"13045","40","Chuz Life","363614","I'm curious. CUNx,... does the use of ridicule such as this help you to avoid confronting the reality of what those pictures showed? If it does, I can relate but only on a very childish sort of level. Centuries ago when I was in driver education, we had to watch old films (yes, prior to VCR's and DVD players),... old grainy films of police documented crash scenes. Dead bodies hanging out of cars, children spralled out in a median, etc. I was so freaked out at one point that in order to regain control, I started softly chanting,... ""Peanuts, popcorn, chewing gum."" I got in a lot of trouble, and it actually took me awhile to realize why I acted like such an #####. I wasn't ready to deal that directly with that reality. Since then, I wonder if I don't see the same behavior in others from time to time.","CUNxTime","363632","So you don't find the CBR's exploitation and callousness disgusting? If those are real and the CBR 'cares' that much, why the hell would they be playing around with them using pencils and such. Furthermore, if they're real, the CBR then was participating in abortions to help fight abortions. Furthermore, if they're so compassionate and 'geared up' how do they reconcile the whole..... These abortion pictures are available for download so long as you cite CBR as the image source , I mean ###!?!?! If they are real then they could speak for themselves but J/C ""Win a free book!"" and source citing instructions right next to the pics?","pro-choice-but-anti-abortion","09:02 PM","abortion-debates","128"
"08-03-2009",1,"13045","41","CUNxTime","363632","So you don't find the CBR's exploitation and callousness disgusting? If those are real and the CBR 'cares' that much, why the hell would they be playing around with them using pencils and such. Furthermore, if they're real, the CBR then was participating in abortions to help fight abortions. Furthermore, if they're so compassionate and 'geared up' how do they reconcile the whole..... These abortion pictures are available for download so long as you cite CBR as the image source , I mean ###!?!?! If they are real then they could speak for themselves but J/C ""Win a free book!"" and source citing instructions right next to the pics?","Chuz Life","363664","If those are real? I believe they are real, Cunx. But let's assume for a moment that those are somehow fake pictures. Is there any doubt as to what an aborted fetus would actually look like? Do you honestly think it would look any different? Come on, think for a minute. The coins and pencils and such are to give a sense of scale as to how tiny the remains are and to show that however small, they have HUMAN characteristics. That they are not without a human form. It's combining human attributes with objects that everyone of us are familiar with, as a means to show how small, yet human the aborted babies were. As for winning stuff, etc. You don't get how desperate we who oppose abortion are, CunX. The fact is, many of us will try just about anything. As with the killing of Dr. Tiller,... even things which are wrong, illegal and counterproductive to the cause. But that doesn't negate the validity of the cause itself.","pro-choice-but-anti-abortion","12:30 AM","abortion-debates","194"
"08-03-2009",1,"13045","42","Chuz Life","363664","If those are real? I believe they are real, Cunx. But let's assume for a moment that those are somehow fake pictures. Is there any doubt as to what an aborted fetus would actually look like? Do you honestly think it would look any different? Come on, think for a minute. The coins and pencils and such are to give a sense of scale as to how tiny the remains are and to show that however small, they have HUMAN characteristics. That they are not without a human form. It's combining human attributes with objects that everyone of us are familiar with, as a means to show how small, yet human the aborted babies were. As for winning stuff, etc. You don't get how desperate we who oppose abortion are, CunX. The fact is, many of us will try just about anything. As with the killing of Dr. Tiller,... even things which are wrong, illegal and counterproductive to the cause. But that doesn't negate the validity of the cause.","CUNxTime","363665"," The only thing that gives me pause as to the validity of the pics is the disrespectful treatment they're receiving (By people who claim to have the utmost respect for them, at that!) And I believe I gave them proper credit for having brought PROPS along to the abortions they'd scheduled to obtain their material. I can understand your point. However, you've basically hired Glenn Beck to run your ad campaign. Its hard for me to imagine that someone would was a fervent believer would be callous enough to provide citing instructions right with ground up fetus on display. Bad Business!","pro-choice-but-anti-abortion","12:46 AM","abortion-debates","111"
"08-03-2009",1,"13045","43","CUNxTime","363665","Its hard for me to imagine that someone would was a fervent believer would be callous enough to provide citing instructions right with ground up fetus on display. Bad Business!","Chuz Life","363666","Bad enough to cause you to turn a blind eye to the killings? I'm not being sarcastic here,... I really want to know if you would use the questionable tactics of a site like the one linked to,... to justify turning a blind eye to the reality of elective abortions.","pro-choice-but-anti-abortion","12:50 AM","abortion-debates","56"
"08-03-2009",1,"13045","44","Chuz Life","363666","Bad enough to cause you to turn a blind eye to the killings? I'm not being sarcastic here,... I really want to know if you would use the questionable tactics of a site like the one linked to,... to justify turning a blind eye to the reality of elective abortions.","CUNxTime","363667","No. My beliefs aren't informed by hyperbolic, cynical, hypocritical propaganda. The CBR seems to be a sick group but they'll not effect my beliefs. I wish we lived in a perfect world where no abortions were ever needed. Since that is not the case, we've got to let the person who'd have to carry the baby to term decide how her body. Otherwise, women will not be truly free to set their own destiny.","pro-choice-but-anti-abortion","01:25 AM","abortion-debates","84"
"08-03-2009",1,"13045","46","CUNxTime","363667","No. My beliefs aren't informed by hyperbolic, cynical, hypocritical propaganda. The CBR seems to be a sick group but they'll not effect my beliefs. I wish we lived in a perfect world where no abortions were ever needed. Since that is not the case, we've got to let the person who'd have to carry the baby to term decide how her body. Otherwise, women will not be truly free to set their own destiny .","Chuz Life","363679","Interesting take, Cunx. So,how do you reconcile that with the belief (if you have it) that one person's rights end where another person's rights begin? Or do you disagree with the idea that no-one has the right to violate the rights of another?","pro-choice-but-anti-abortion","08:18 AM","abortion-debates","51"
"08-03-2009",1,"13045","48","Chuz Life","363679","Interesting take, Cunx. So,how do you reconcile that with the belief (if you have it) that one person's rights end where another person's rights begin? Or do you disagree with the idea that no-one has the right to violate the rights of another?","CUNxTime","363684","I think we're retilling old ground here. I believe that the woman's rights superseedes that of the fetus. If she doesn't want to carry it, she can't be required to do so.","pro-choice-but-anti-abortion","08:51 AM","abortion-debates","36"
"08-03-2009",1,"13045","50","CUNxTime","363684","I think we're retilling old ground here. I believe that the woman's rights superseedes that of the fetus. If she doesn't want to carry it, she can't be required to do so.","Chuz Life","363686","I actually envy you Cunx. You seem to have it all worked out to where you don't see any injustice in an elective abortion. For the life of me, I can not see how you can defend your position using the Constitution but I guess that's something you don't want to explore any further than we already have. So, why? iI it's all so settled with you and you don't want to have to explain or defend your position (or provide a basis for your claims),.... why do you bother engage in these discussion at all? Honestly, If I had your position and was as convinced as you seem to be,... I would get the hell out of here and other threads like it and move on to something else. In fact, that's the most tempting and appealing aspect of your comments!","pro-choice-but-anti-abortion","09:04 AM","abortion-debates","159"
"08-03-2009",1,"13045","53","Chuz Life","363686","I actually envy you Cunx. You seem to have it all worked out to where you don't see any injustice in an elective abortion. For the life of me, I can not see how you can defend your position using the Constitution but I guess that's something you don't want to explore any further than we already have. So, why? iI it's all so settled with you and you don't want to have to explain or defend your position (or provide a basis for your claims),.... why do you bother engage in these discussion at all? Honestly, If I had your position and was as convinced as you seem to be,... I would get the hell out of here and other threads like it and move on to something else. In fact, that's the most tempting and appealing aspect of your comments!","CUNxTime","363691"," I'm glad to be your hero. I don't know how much impetus I'm feeling to defend my position since the Supreme Court and the law of the land seem to agree with me. Again, you keep asking me to explain and 'defend' my position and I have. My position is that a woman's right to walk into a Doctor and make decisions about her body does not require nor ALLOW us to interpose ourselves into the exam room. She should have the right embryo removed and control her own body. That's my explanation. My defense is US Law. I'm still hear waiting for your answer to my questions, namely... Should we then appoint lawyers to represent the fetuses in cases of rape or incest? If they're constitutionally protected they have the right to due process. What about when the mother's life is at stake? How would that mitigate the constitutional rights of the fetus?","pro-choice-but-anti-abortion","10:00 AM","abortion-debates","170"
"08-03-2009",1,"13045","61","CUNxTime","363691","My position is that a woman's right to walk into a Doctor and make decisions about her body does not require nor ALLOW us to interpose ourselves into the exam room. She should have the right embryo removed and control her own body. That's my explanation. My defense is US Law.","Chuz Life","363779","And when the laws run contrary to the sentiments expressed by (if not the letter of) the Constitution? What then?","pro-choice-but-anti-abortion","08:43 PM","abortion-debates","24"
