"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"03-09-2010","14010",1,"None","None","None","chloe","393936","I wonder if a large reason that most pro-choice people are pro-choice is because they have either had an abortion themselves...or because they are very close to someone who has had an abortion.","pro-choice-roots","10:31 PM","abortion-debates","1"
"03-09-2010","14010",1,"chloe","393936","I wonder if a large reason that most pro-choice people are pro-choice is because they have either had an abortion themselves...or because they are very close to someone who has had an abortion.","Shooterandproud","393947","I wonder why you keep posting these pointless threads. This statement is beyond idiotic. No, that is not why we're pro choice, at least not all of us.","pro-choice-roots","11:04 PM","abortion-debates","2"
"03-09-2010","14010",1,"Shooterandproud","393947","This statement is beyond idiotic.","chloe","393951","Why do you say that?","pro-choice-roots","11:10 PM","abortion-debates","3"
"03-09-2010","14010",1,"chloe","393951","Why do you say that?","Shooterandproud","393955","What in Gods name gave you the idea that we are only Pro-Choice because we know someone who had an abortion? What gave you the idea that that matters? What gave you the idea that that has anything to do with the validity of our arguments?","pro-choice-roots","11:25 PM","abortion-debates","4"
"03-09-2010","14010",1,"Shooterandproud","393955","What in Gods name gave you the idea that we are only Pro-Choice because we know someone who had an abortion? What gave you the idea that that matters? What gave you the idea that that has anything to do with the validity of our arguments?","chloe","393961","1. I think that you should go back and reread the original post because what you have suggested is not what I wrote. 2. Don't be an angry elf. 3. Of course it wouldn't have anything to do with the validity of the argument. But, in determining why someone may be predisposed toward a certain position...I think it might play a large role. It would certainly be an interesting cross sectional study to look at the incidence. I would think it would be very difficult for someone who has had an abortion, fathered an aborted child, or is very close to someone that has to step back from that experience and look at the arguments in an unbiased way. Furthermore, if they did for a split second see validity in the pro-life argument it would be such a difficult conclusion to come to because of the potential heavy emotional and psychological repercussions to deal with.","pro-choice-roots","11:54 PM","abortion-debates","5"
"03-10-2010","14010",1,"None","None","None","simone","394040","Because of an rH problem I've experienced a couple of spontaneous abortions. I am sorry to say, I experienced absolutely no regrets over the abortions because the pregnancies were not intended and an additional child would have had a negative effect upon my family.","pro-choice-roots","11:59 AM","abortion-debates","6"
"03-10-2010","14010",1,"None","None","None","simone","394041","Also, it is interesting to note that at the point in my life when one of the spontaneous abortions occurred, one of my friends told me all about the son she never wanted to have, how she had even thrown herself down a stairway in order to cause an abortion, the pregnancy survived -- frankly, it must have been enormously miserable for her son to have a mother like that. I rather think this woman should never have had kids, but it was back in a time when women had no choice about that, especially if rude religion butted into private affairs.","pro-choice-roots","12:03 PM","abortion-debates","7"
"03-10-2010","14010",1,"chloe","393961","1. I think that you should go back and reread the original post because what you have suggested is not what I wrote. 3. Of course it wouldn't have anything to do with the validity of the argument. But, in determining why someone may be predisposed toward a certain position...I think it might play a large role. It would certainly be an interesting cross sectional study to look at the incidence. I would think it would be very difficult for someone who has had an abortion, fathered an aborted child, or is very close to someone that has to step back from that experience and look at the arguments in an unbiased way. Furthermore, if they did for a split second see validity in the pro-life argument it would be such a difficult conclusion to come to because of the potential heavy emotional and psychological repercussions to deal with.","Shooterandproud","394119","What would be the purpose of determining this? Whether it is or isn't true, it is completely irrelevant. Again, this has absolutely nothing to do with the validity of anyone's arguments. I'm glad you understand that, but when we start to introduce all of this speculation it distracts us from the valid points being made. I don't go around asking pro-lifers ""have you ever been raped? Do you know what its like to carry a rapist's child inside of you?"" for the exact same reason. These types of arguments are fallacies that distract us from the debate. If you want to make a point to support your position then make it, but don't sit there and try use our own experiences or lack thereof against us, because that is a fallacy.","pro-choice-roots","07:02 PM","abortion-debates","8"
"03-11-2010","14010",1,"None","None","None","jitobear","394168","Actually I have encountered women who have had an abortion who then become pro-life because they regretted it. I personally know three women who have had abortions. In my opinion, one definately made the correct choice, one did not, and one abuses the procedure and disgusts me. However, I was well established in my opinion of being pro-choice before any of them had an abortion. As to why I am pro-choice - - - I was taught to be. My grandmother raised 11 kids in a one room shack with an abusive husband who wouldn't work during a time she could not get birth control without his permission (which he would not grant), spousal rape was legal (she could not say ""no""), and divorce was unheard of. Once my grandfather died she VOLUNTEERED in a woman's health clinic that, in addition to many types of services, offered abortion. My mother had a very difficult third pregnancy, was in her 30s and decided she wanted no more children. She could not get her tubes tied without my father's consent, something he only granted after her sympathetic doctor lied to him about the health risks of further pregnancies to her. This same man walked out on his children ten years later. My body and all choices regarding it are MINE and mine alone. Without exception. These stories are part of why Easy's canned and callous ""All pro-choicers have one thing in common, they're mothers chose life"" comment enfuriates. He neglects to realize that until very recently women had little to no choice in reproductive matters at all - especially those that were married. But rest assured, I have had no abortion and have taken all needed precautions. (Am single, celibate, ""fixed"", and would just as soon throw myself off a tall cliff as clutter my life up with some fella.)","pro-choice-roots","09:21 AM","abortion-debates","9"
"03-12-2010","14010",1,"jitobear","394168","My body and all choices regarding it are MINE and mine alone. Without exception. These stories are part of why Easy's canned and callous ""All pro-choicers have one thing in common, they're mothers chose life"" comment enfuriates. He neglects to realize that until very recently women had little to no choice in reproductive matters at all - especially those that were married.","Easyrider","394324","I'm sure Adolph Hitler had the same mindset. Where's the baby's choice? Why don't you self-absorbed egomaniacs ever think about the innocent baby that's being butchered? You don't kill an innocent baby for the sins or convenience of the parent(s). I think every time some woman aborts her baby she needs to not only view the remains of the dismembered baby she just had murdered, but then she needs to clean up the bloody abortionist's sink. Now, what does the Bible say? Psalm 139:13 - 'For you created my inmost being; you knit me together in my mother's womb.' Jeremiah 1:5 - 'Before I formed you in the womb I knew you, before you were born I set you apart; I appointed you as a prophet to the nations."" Of course, the question is, what divine insight does the pro-abortion crowd think they have to where they can destroy in a mother's womb that which God is somehow instrumental in creating? Choose life. Your mothers did.","pro-choice-roots","06:16 AM","abortion-debates","10"
"03-12-2010","14010",1,"Easyrider","394324","I'm sure Adolph Hitler had the same mindset. Where's the baby's choice? Why don't you self-absorbed egomaniacs ever think about the innocent baby that's being butchered? You don't kill an innocent baby for the sins or convenience of the parent(s). I think every time some woman aborts her baby she needs to not only view the remains of the dismembered baby she just had murdered, but then she needs to clean up the bloody abortionist's sink.","Shooterandproud","394439","Adolf Hitler was making choices about the bodies of others, kind of like what you are doing. Let this be a testament to your ignorance, that you would read the above post by Jito and still have the nerve to say something as stupid as this. Did you not hear a thing she said? It just doesn't matter to you does it... the suffering of others. As long as you're going to heaven who cares about anyone else? What a good Christian you are. Sleep well.","pro-choice-roots","11:03 PM","abortion-debates","11"
"03-13-2010","14010",1,"Shooterandproud","394439","Let this be a testament to your ignorance, that you would read the above post by Jito and still have the nerve to say something as stupid as this. Did you not hear a thing she said? It just doesn't matter to you does it... the suffering of others. As long as you're going to heaven who cares about anyone else? What a good Christian you are. Sleep well.","Easyrider","394460","Easyrider: Where's the baby's choice? Why don't you self-absorbed egomaniacs ever think about the innocent baby that's being butchered? You don't kill an innocent baby for the sins or convenience of the parent(s). I think every time some woman aborts her baby she needs to not only view the remains of the dismembered baby she just had murdered, but then she needs to clean up the bloody abortionist's sink. Go climb on a parking meter, meat face. STOP KILLING THE INNOCENT BABIES!!! What is it about the innocent unborn that you think they should have a bullseye on their heads? Butchers.","pro-choice-roots","03:37 PM","abortion-debates","12"
"03-13-2010","14010",1,"Easyrider","394460","Easyrider: Where's the baby's choice? Why don't you self-absorbed egomaniacs ever think about the innocent baby that's being butchered? You don't kill an innocent baby for the sins or convenience of the parent(s). I think every time some woman aborts her baby she needs to not only view the remains of the dismembered baby she just had murdered, but then she needs to clean up the bloody abortionist's sink. Go climb on a parking meter, meat face. STOP KILLING THE INNOCENT BABIES!!! What is it about the innocent unborn that you think they should have a bullseye on their heads? Butchers.","Shooterandproud","394469","Its not a baby, its an inanimate life form. The woman has feelings, the fetus does not! What makes you think a mentally inanimate thing with no thoughts, feelings, or emotions deserves the right to cause physical and psychological agony toward another human being? By your logic, I should have the right to take a sledgehammer to your privates. The rights of real humans come before the rights of humans that don't exist yet!","pro-choice-roots","05:33 PM","abortion-debates","13"
"03-13-2010","14010",1,"Easyrider","394460","Easyrider: Where's the baby's choice? Why don't you self-absorbed egomaniacs ever think about the innocent baby that's being butchered? You don't kill an innocent baby for the sins or convenience of the parent(s). I think every time some woman aborts her baby she needs to not only view the remains of the dismembered baby she just had murdered, but then she needs to clean up the bloody abortionist's sink. Go climb on a parking meter, meat face. STOP KILLING THE INNOCENT BABIES!!! What is it about the innocent unborn that you think they should have a bullseye on their heads? Butchers.","chester","394470","Even after months away from this forum, nothing has changed. At least one of the profetallifers here demonstrates his intellectual bankruptcy by resorting to name-calling and ad hominem attacks. Just what is it about you righties that makes you incapable of rational debate? Just what is it about you righties that makes you think that any man has the right to input on a woman's choice? Just what is it about you righties that makes you think that your peculiar answer to a metaphysical question should be made law in the universe?","pro-choice-roots","05:44 PM","abortion-debates","14"
