"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"02-16-2011","15035",1,"None","None","None","amirsdaddy","424165","This is one of the most fundamental questions in the abortion debate. When does life begin? And more importantly why do you believe that and what evidence do you have that supports that position?","when-life-begins","03:36 PM","abortion-debates","1"
"02-16-2011","15035",1,"None","None","None","Iuris","424166","Wasn't it about 3,5 billion years ago?","when-life-begins","03:54 PM","abortion-debates","2"
"02-16-2011","15035",1,"Iuris","424166","Wasn't it about 3,5 billion years ago?","amirsdaddy","424167","You're on the wrong board. You should go to the Creation/Intelligent Design vs. Evolution threads...","when-life-begins","04:01 PM","abortion-debates","3"
"02-16-2011","15035",1,"amirsdaddy","424165","...why do you believe that and what evidence do you have that supports that position?","sinjin","424168","You first. IMO being alive isn't enough in itself to claim a right to self-determination. A brain dead patient in a hospital bed is alive.","when-life-begins","04:04 PM","abortion-debates","4"
"02-16-2011","15035",1,"sinjin","424168","You first. IMO being alive isn't enough in itself to claim a right to self-determination. A brain dead patient in a hospital bed is alive.","amirsdaddy","424173","Ok... I KNOW life begins at conception. My reasoning? Medical and scientific fact. A sperm is a cell that contains human DNA and is specifically for reproducing. And an egg is the same. It's not until that sperm and egg meet (fertilization) in which 23 chromosomes from the mother and 23 chromosomes from the father create a unique individual with characteristics and traits all its own that previously had not existed. It is at this point when all the requirements to be considered life are met. The question wasn't when do RIGHTS begin, the question was when does LIFE begin.","when-life-begins","04:44 PM","abortion-debates","5"
"02-16-2011","15035",1,"None","None","None","sinjin","424175","Both sperm and ova are composed of living cells. Try again.","when-life-begins","04:58 PM","abortion-debates","6"
"02-16-2011","15035",1,"sinjin","424175","Both sperm and ova are composed of living cells. Try again.","amirsdaddy","424179","So is your skin, your brain, all your internal organs. There is a difference between a living cell and life. None of those living cells in your body alone could be construed as a human being. The sperm and the egg do not equate to life until the moment of conception/fertilization, which is their sole purpose. You try again.","when-life-begins","05:20 PM","abortion-debates","7"
"02-16-2011","15035",1,"amirsdaddy","424179","So is your skin, your brain, all your internal organs. There is a difference between a living cell and life. None of those living cells in your body alone could be construed as a human being. The sperm and the egg do not equate to life until the moment of conception/fertilization, which is their sole purpose.","sinjin","424181","The OP asks when life begins. Something living/alive has life. That wasn't the question and neither can a zygote be construed as a ""human being"" IMO. This is what is known as a ""just so"" statement. You can't defend your position by simply restating it. So far we appear in agreement that a thing can be composed of living cells with human DNA and not be a ""human being"" aka ""person"".","when-life-begins","05:29 PM","abortion-debates","8"
"02-16-2011","15035",1,"amirsdaddy","424179","You try again.","Sigma","424190","It's a fair response. What is human life is different than asking what makes a human being. We could probably keep a brainless body alive for some time, but it wouldn't be what people would generally think of as a human individual, a human being, a person.","when-life-begins","07:20 PM","abortion-debates","9"
"02-16-2011","15035",1,"None","None","None","Stonewall","424197","So an acorn becomes a tree the moment I stick it in the ground?","when-life-begins","09:00 PM","abortion-debates","10"
"02-16-2011","15035",1,"Stonewall","424197","So an acorn becomes a tree the moment I stick it in the ground?","Sigma","424198","The moment it begins to grow could it be called a young tree?","when-life-begins","09:12 PM","abortion-debates","11"
"02-16-2011","15035",1,"Sigma","424198","The moment it begins to grow could it be called a young tree?","smiley","424201","It is still 'life' even when only a bud on its parent tree!!! But is it an 'oaken life'?","when-life-begins","09:48 PM","abortion-debates","12"
"02-16-2011","15035",1,"smiley","424201","It is still 'life' even when only a bud on its parent tree!!! But is it an 'oaken life'?","Sigma","424203","It's leaves are alive as well, but why would either be considered 'a life' separate from the parent tree? Is it a 'young oak'?","when-life-begins","09:55 PM","abortion-debates","13"
"02-16-2011","15035",1,"Sigma","424203","It's leaves are alive as well, but why would either be considered 'a life' separate from the parent tree? Is it a 'young oak'?","smiley","424205","Both good questions. And now over to amirsdaddy to avoid them completely.","when-life-begins","10:06 PM","abortion-debates","14"
"02-16-2011","15035",1,"sinjin","424181","The OP asks when life begins. Something living/alive has life. That wasn't the question and neither can a zygote be construed as a ""human being"" IMO. This is what is known as a ""just so"" statement. You can't defend your position by simply restating it. So far we appear in agreement that a thing can be composed of living cells with human DNA and not be a ""human being"" aka ""person"".","amirsdaddy","424208","Let me explain it to you further. There are unicellular organisms and there are multicellular organisms. In a unicellular organism (a bacterial cell, e.g.) the living cell and the life of the bacteria are indistinguishable from one another. There is only one cell and is therefore both a 'living' cell and the life of a bacteria. Multicellular organisms are more complex, comprised of multiple cells (anywhere from a few to several trillion). Thus, the cell is considered living but is separate from the life of the organism. Because a multicellular organism is not dependant on one cell for it's life, rather the combination of all its cells, then the living cell and the life of the organism are distinguished from one another. A human sperm cell does not make a human life (even though it is a living cell) because a) it doesn't meet the scientific requirements of what is considered life and b) the sperm cell in and of itself, cannot reproduce into a living human being nor can it grow into a living human being. It's only when the sperm and the egg meet that allows this new cell to grow and develop into a human being that is capable of reproduction, hence at fertilization it has now met the requirements of the scientific/medical definition of ""life"". Because it is human (that being the only thing it possibly could be due to its unique DNA) makes it a human life. Well you're certainly entitled to your opinion... even at the blatant disregard for scientific fact. It was a reiteration of my statement/position which apparently went right by you. I presented the facts throughout the entire post. It's up to you whether you want to believe and accept it. Yes, we are in agreement at that. Just as I mentioned before, skin cells, brain cells... every cell in your body is living and contains your DNA. And only your DNA. It is only when the DNA from a male and a female combine that makes it a new separate and distinct life, person or human being... whichever you prefer. They're all the same to me. That combination of the DNA happens at fertilization (aka conception).","when-life-begins","10:54 PM","abortion-debates","15"
"02-16-2011","15035",2,"Stonewall","424197","So an acorn becomes a tree the moment I stick it in the ground?","amirsdaddy","424209","No. By definition a tree is ""a woody perennial plant having a single usually elongate main stem generally with few or no branches on its lower part."" -Merriam-Webster The botanical definition varies slightly and is a bit more complicated but in practice is basically the same as the dictionary definition. An acorn certainly doesn't fit into that definition, covered in dirt or not.","when-life-begins","11:01 PM","abortion-debates","16"
"02-16-2011","15035",2,"Sigma","424190","It's a fair response. What is human life is different than asking what makes a human being.","amirsdaddy","424210","Is it? Scientifically it's not. What you're talking about is a philosophical and religious debate. And although I won't discredit philosophy, it's not a science, nor can it be proven. I can give you proof that a fertilized egg is a human life by the standards of science (we can argue semantics all day but you can't refute that it is by definition ""life""). But you can't provide a single shred of proof that a fetus, unborn child or whatever you prefer to call it, isn't a person, a human being or a human life... not from a philosophical standpoint or any other.","when-life-begins","11:04 PM","abortion-debates","17"
"02-16-2011","15035",2,"smiley","424201","It is still 'life' even when only a bud on its parent tree!!! But is it an 'oaken life'?","amirsdaddy","424211","This is what we call the apples to oranges logical fallacy. You're comparing a human to an acorn. Not the same thing. But to answer, it is by nature oak. It is by definition an acorn and not a tree.","when-life-begins","11:08 PM","abortion-debates","18"
