"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"02-21-2012","16151",1,"simone","449583","Women protest anti-abortion bills in Virginia | 11alive.com A resounding NO! to state-sponsored rape.","gansao","449584","Why would this be state sponsored/mandated rape?","women-protest-anti-abortion-bills-virginia","03:32 PM","abortion-debates","2"
"02-21-2012","16151",1,"gansao","449584","Why would this be state sponsored/mandated rape?","sinjin","449585","""Modern statutes typically punish as rape the forcible penetrationby any objectof a woman's mouth, anus, or vagina, and most rape statutes apply to penetration of a male victim as well. In states that limit the offense of rape to sexual abuse of a woman, an offense carrying a different label (but usually identical penalties) applies to analogous sexual abuse of a man."" Rape: Legal Aspects - Forcible Rape: Elements Of The Offense - Consent, Force, Sexual, and Requirement - JRank Articles","women-protest-anti-abortion-bills-virginia","04:11 PM","abortion-debates","3"
"02-21-2012","16151",1,"sinjin","449585","""Modern statutes typically punish as rape the forcible penetrationby any objectof a woman's mouth, anus, or vagina, and most rape statutes apply to penetration of a male victim as well. In states that limit the offense of rape to sexual abuse of a woman, an offense carrying a different label (but usually identical penalties) applies to analogous sexual abuse of a man."" Rape: Legal Aspects - Forcible Rape: Elements Of The Offense - Consent, Force, Sexual, and Requirement - JRank Articles","gansao","449586","I know what rape is. Ill try again.Why is an anti abortion bill state mandated rape?","women-protest-anti-abortion-bills-virginia","04:14 PM","abortion-debates","4"
"02-21-2012","16151",1,"simone","449583","Women protest anti-abortion bills in Virginia | 11alive.com A resounding NO! to state-sponsored rape.","Xenamnes","449587","Unless a given state employs individuals for the specific purpose of going out and randomly raping women for whatever purpose, there is no ""state-sponsored rape"" that you refer to Simone. Anti-abortion legislation does not meet the definition as provided by the member Sinjin. Your statement is nothing more than pure hyperbole Simone. The most you can allege is an effort by states to limit post-rape treatment and options to victims. However even that is flimsy at best.","women-protest-anti-abortion-bills-virginia","04:20 PM","abortion-debates","5"
"02-21-2012","16151",1,"gansao","449586","I know what rape is. Ill try again.Why is an anti abortion bill state mandated rape?","sinjin","449588","The new law would require women to submit to a ""transvaginal"" ultrasound before being allowed to terminate their pregnancy. If they want to terminate, they are forced to submit to penetration by the wand.","women-protest-anti-abortion-bills-virginia","04:39 PM","abortion-debates","6"
"02-21-2012","16151",1,"sinjin","449588","The new law would require women to submit to a ""transvaginal"" ultrasound before being allowed to terminate their pregnancy. If they want to terminate, they are forced to submit to penetration by the wand.","gansao","449589","In the same way that a cervical smear test involves rape with a lolly stick?","women-protest-anti-abortion-bills-virginia","04:50 PM","abortion-debates","7"
"02-21-2012","16151",1,"None","None","None","simone","449590","A woman can refuse to have a cervical sample taken. She is not given that freedom under Virginia law.","women-protest-anti-abortion-bills-virginia","04:54 PM","abortion-debates","8"
"02-21-2012","16151",1,"simone","449590","A woman can refuse to have a cervical sample taken. She is not given that freedom under Virginia law.","gansao","449591","Not if she wants a smear test Simone. In fact a man cant have a prostate exam without a doctor raping them...according to you","women-protest-anti-abortion-bills-virginia","04:56 PM","abortion-debates","9"
"02-21-2012","16151",1,"None","None","None","sinjin","449593","What is the medical reason one would need a transvaginal ultrasound before an abortion procedure? None, that's what.","women-protest-anti-abortion-bills-virginia","05:11 PM","abortion-debates","10"
"02-21-2012","16151",1,"sinjin","449593","What is the medical reason one would need a transvaginal ultrasound before an abortion procedure? None, that's what.","gansao","449594","Then why are they obliged too? And its not really rape is it? Transvaginal ultrasound is a imaging technique used to create a picture of the genital tract in women. The hand-held device that produces the ultrasound waves is inserted directly into the vagina, close to the pelvic structures, thus often producing a clearer and less distorted image than obtained through transabdominal ultrasound technology, where the probe is located externally on the skin of the abdomen. Purpose Transvaginal ultrasound can used to evaluate problems or abnormalities of the female genital tract. It may provide more accurate information than transabdominal ultrasound for women who are obese, for women who are being evaluated or treated for infertility, or for women who have difficulty keeping a full bladder. However, it does provide a view of a smaller area than the transabdominal ultrasound.","women-protest-anti-abortion-bills-virginia","05:16 PM","abortion-debates","11"
"02-21-2012","16151",1,"gansao","449594","Then why are they obliged to?","sinjin","449601","In the hope that by forcing women to see an image of the fetus, women will change their mind about terminating their pregnancy. It doesn't work. Coercion is not rape IMO. Others would disagree with my view.","women-protest-anti-abortion-bills-virginia","05:45 PM","abortion-debates","12"
