"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"02-21-2012",1,"16151","11","sinjin","449593","What is the medical reason one would need a transvaginal ultrasound before an abortion procedure? None, that's what.","gansao","449594","Then why are they obliged too? And its not really rape is it? Transvaginal ultrasound is a imaging technique used to create a picture of the genital tract in women. The hand-held device that produces the ultrasound waves is inserted directly into the vagina, close to the pelvic structures, thus often producing a clearer and less distorted image than obtained through transabdominal ultrasound technology, where the probe is located externally on the skin of the abdomen. Purpose Transvaginal ultrasound can used to evaluate problems or abnormalities of the female genital tract. It may provide more accurate information than transabdominal ultrasound for women who are obese, for women who are being evaluated or treated for infertility, or for women who have difficulty keeping a full bladder. However, it does provide a view of a smaller area than the transabdominal ultrasound.","women-protest-anti-abortion-bills-virginia","05:16 PM","abortion-debates","152"
"02-21-2012",1,"16151","12","gansao","449594","Then why are they obliged to?","sinjin","449601","In the hope that by forcing women to see an image of the fetus, women will change their mind about terminating their pregnancy. It doesn't work. Coercion is not rape IMO. Others would disagree with my view.","women-protest-anti-abortion-bills-virginia","05:45 PM","abortion-debates","42"
"02-21-2012",1,"16151","13","sinjin","449601","In the hope that by forcing women to see an image of the fetus, women will change their mind about terminating their pregnancy. It doesn't work.","gansao","449603","Why shouldnt the woman see an image of the potential child before she terminates it? And since when did that constitute rape?","women-protest-anti-abortion-bills-virginia","05:54 PM","abortion-debates","24"
"02-21-2012",1,"16151","14","gansao","449603","Why shouldnt the woman see an image of the potential child before she terminates it?","sinjin","449606","Why shouldn't a women be forced to see the image before getting a legal elective procedure? How would like to be required to submit to a prostate exam and provide a semen sample before you could buy condoms?","women-protest-anti-abortion-bills-virginia","06:09 PM","abortion-debates","40"
"02-21-2012",1,"16151","16","sinjin","449606","Why shouldn't a women be forced to see the image before getting a legal elective procedure? ? How would like to be required to submit to a prostate exam and provide a semen sample before you could buy condoms?","gansao","449609","Why shouldnt she see what she legally elects to terminate ? Condoms are a contraceptive not a termination. If I was the one that was legally obliged to make the decision to terminate a fetus then yes I should ( or at least I see no reason to) encounter the thing that I have elected to destroy..even if that meant a finger up the arse.( not sure about your implication of a semen sample...the vaginal ultrasound test does not require a female orgasm )","women-protest-anti-abortion-bills-virginia","06:22 PM","abortion-debates","92"
"02-21-2012",1,"16151","18","gansao","449609","Why shouldnt she see what she legally elects to terminate?","sinjin","449612","Forced to see. Forced. Don't be evasive.","women-protest-anti-abortion-bills-virginia","06:26 PM","abortion-debates","10"
"02-21-2012",1,"16151","20","sinjin","449612","Forced to see. Forced. Don't be evasive.","gansao","449614","She isnt FORCED she is required to have the procedure before the termination, it seems.","women-protest-anti-abortion-bills-virginia","06:29 PM","abortion-debates","17"
"02-23-2012",2,"16151","52","sinjin","449606","Why shouldn't a women be forced to see the image before getting a legal elective procedure? How would like to be required to submit to a prostate exam and provide a semen sample before you could buy condoms?","gansao","449729","Contraception and terminations are two completely different procedures with two completely different outcomes. Are the use of prophylactics the same procedure or even directly related to medical procedures to treat sexually transmitted diseases? You need to try harder than than Even if it was a requirement to provide a sperm sample and submit to a prostate examination before I could but condoms I would still have a choice( unlike your child) I would not be forced to do anything and it cetainly would not be tantamount to rape If after buying condoms a finger was forcibly thrust into my rectum and after that I was locked in a room with a dirty mag and told not to come out without a sperm sample then I could say that I was forced to do these things. That is why I object to the word force as well as the word rape..both are incorrect and dishonest. They suggest coercion and helplessness when none exist( except in your case). I am not forced to provide money in order to purchase goods it is a requirement.","women-protest-anti-abortion-bills-virginia","05:13 PM","abortion-debates","194"
"02-23-2012",2,"16151","55","gansao","449729","Contaception and terminations are two completely different procedures with two completely different outcomes. Are the use of prophylactics the same procedure or even directly related to medical procedures to treat sexually transmitted diseases? You need to try harder than than","sinjin","449732","Contraception is morally repugnant to some religious folks just as abortion.","women-protest-anti-abortion-bills-virginia","05:22 PM","abortion-debates","12"
"02-23-2012",2,"16151","56","sinjin","449732","Contraception is morally repugnant to some religious folks just as abortion.","gansao","449734","So is eating pork apparently...beef to some.So what? What does religion have to do with the conversation between you and I? I never raised it and you dont believe in it.","women-protest-anti-abortion-bills-virginia","05:29 PM","abortion-debates","38"
