"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"05-19-2012",1,"16187","61","Easyrider","455434","MSNBC / Liberal hate speech exposed by FOX News Janeane Garofalo Spewing Marxist Propaganda & Hate Speech Towards Conservatives - YouTube","jet57","455458","Marxist hate speech? So, you're still looking for commies under your bed then. She soundds to me like someone who is p i ssed off at the radical right for all of the lies an unAmercain activity they create and sponsor.","killing-babies-no-different-abortion-experts-say","03:24 PM","abortion-debates","45"
"05-19-2012",1,"16187","65","jet57","455458","Marxist hate speech? So, you're still looking for commies under your bed then.","Easyrider","455467","You don't have to hunt for commies. The brain dead imbeciles are coming out of the wood work.","killing-babies-no-different-abortion-experts-say","07:04 PM","abortion-debates","20"
"05-19-2012",1,"16187","66","Easyrider","455467","You don't have to hunt for commies. The brain dead imbeciles are coming out of the wood work.","jet57","455474","You never have the slightest idea what the hell you're talking about and only say stupid things.","killing-babies-no-different-abortion-experts-say","09:28 PM","abortion-debates","18"
"05-20-2012",1,"16187","68","jet57","455474","You never have the slightest idea what the hell you're talking about and only say stupid things.","Easyrider","455479","<Flush> I fought against the Communists in Vietnam, and I know how evil they were, so save your horse manure for someone else.","killing-babies-no-different-abortion-experts-say","07:04 AM","abortion-debates","28"
"05-20-2012",1,"16187","69","Easyrider","455479","<Flush> I fought against the Communists in Vietnam, and I know how evil they were, so save your horse manure for someone else.","jet57","455494","I doubt that you were in the bush.","killing-babies-no-different-abortion-experts-say","01:31 PM","abortion-debates","9"
"05-20-2012",1,"16187","70","jet57","455494","I doubt that you were in the bush.","Easyrider","455495","I doubt you know enough to make that determination. You numbah ten-thou dinky dow.","killing-babies-no-different-abortion-experts-say","01:43 PM","abortion-debates","16"
"05-20-2012",1,"16187","75","Easyrider","455495","I doubt you know enough to make that determination. You numbah ten-thou dinky dow.","jet57","455520","I was right: you're lying about your service. figures","killing-babies-no-different-abortion-experts-say","11:27 PM","abortion-debates","11"
"05-21-2012",1,"16187","77","jet57","455520","I was right: you're lying about your service. figures","Easyrider","455524","You're full of cr*p too. Not only that but you didn't even notice the clue I left you, which anyone who served in Vietnam should have recognized: You numbah ten-thou dinky dow. You and bird brain and the other deniers probably didn't even have the cojones to join the Boy Scouts. And everybody should know by now all the atrocities the communists committed in South Vietnam and elsewhere. So dummy up.","killing-babies-no-different-abortion-experts-say","06:57 AM","abortion-debates","78"
"05-21-2012",1,"16187","78","Easyrider","455524","You're full of cr*p too. Not only that but you didn't even notice the clue I left you, which anyone who served in Vietnam should have recognized: You numbah ten-thou dinky dow. You and bird brain and the other deniers probably didn't even have the cojones to join the Boy Scouts. And everybody should know by now all the atrocities the communists committed in South Vietnam and elsewhere. So dummy up.","jet57","455553","You're lying about your service and bringing shame upon yourself and insulting those men who had their as s in the grass; one of which is my best friend. So you can stop any time now: you're making a profound fool of yourself.","killing-babies-no-different-abortion-experts-say","03:06 PM","abortion-debates","47"
"05-21-2012",1,"16187","80","jet57","455553","You're lying about your service and bringing shame upon yourself and insulting those men who had their as s in the grass; one of which is my best friend. So you can stop any time now: you're making a profound fool of yourself.","Easyrider","455555","You're full of horse dung. But then you're a communist sympathizer anyway, so we know you're a loser and a buffoon. And when did you serve your country? Or are you one of those parasites who live off other people's service?","killing-babies-no-different-abortion-experts-say","04:30 PM","abortion-debates","46"
