"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"04-06-2012","16277",1,"None","None","None","gansao","451971","You are right Simone. The fetus of a rapist has no dna of the mother. It is a guilty as the rapist and should not be allowed a chance of life. We should make sure the fetus becomes sentient and rip it to bits in the womb...it deserves no more. Bitterness and cruelty becomes you","gift-god","02:09 PM","abortion-debates","2"
"04-07-2012","16277",1,"simone","451967","Rick Santorum: Rick Santorum: Rape babies are gifts from God | The Mommy Files | an SFGate.com blog Rapists are psychopaths. Are rapists a gift from God? Maybe God is a psychopath then. There are indications that psychopathy may be genetic, so when a psychopath rapes he is passing along his psychopathic genes. Are these genes a gift of God? Should a woman be forced to bear a psychopathic child who will go out and rape and murder? Is that the will of God? Men who commit incest are psychopaths. Priests who take advantage of children and molest them are psychopaths. Pope Benedict XVI who claims to speak for God has protected psychopathic priests who rape. Maybe God is a psychopath.","Easyrider","452009","Make sure you liberal psychopaths kill as many innocent unborn babies as you can before you die. Blood-thirsty butchers.","gift-god","09:48 AM","abortion-debates","3"
"04-23-2012","16277",1,"Easyrider","452009","Make sure you liberal psychopaths kill as many innocent unborn babies as you can before you die. Blood-thirsty butchers.","Winston Smith","453190","Take it easy, Eazy. Those unborn ones are in Heaven a better place than Earth, right?? so you ought to be happy, the more abortions, the more foetuses in Heaven Foetuses and embryos also, are real cute","gift-god","04:40 AM","abortion-debates","4"
"05-18-2012","16277",1,"None","None","None","Jim Colyer","455383","55 million unborn babies have been aborted since 1973. This is murder on a massive scale, matched only by the death count of World War II. America is committing national/racial suicide. It must stop! The Supreme Court must overturn its Roe v. Wade ruling. Conservatives John Roberts and Sam Alito are members of the Court. An Abortion Amendment needs to be introduced in Congress to make abortion unconstitutional.","gift-god","01:27 PM","abortion-debates","5"
"06-17-2012","16277",1,"Winston Smith","453190","Take it easy, Eazy. Those unborn ones are in Heaven a better place than Earth, right?? so you ought to be happy, the more abortions, the more foetuses in Heaven","Easyrider","457181","I'll bet the liberals wish they had those 50 million or so individuals back to pay taxes to support Obama's drunken-sailor spending sprees. And I'll bet America could have used a few more teachers, scientists, and even preachers so as to save a bunch of knot-heads from going to Hell.","gift-god","09:28 AM","abortion-debates","6"
"06-17-2012","16277",1,"Easyrider","457181","I'll bet the liberals wish they had those 50 million or so individuals back to pay taxes to support Obama's drunken-sailor spending sprees. And I'll bet America could have used a few more teachers, scientists, and even preachers so as to save a bunch of knot-heads from going to Hell.","pappillion001","457189","Let me preface this with I don't think abortion is a type of birth control. Late term abortions need to have a really good reason to occur, not because the mother couldn't make up her mind or is having a bad day. I do believe that given the reality of what having a child means to both the young or unwed or both or even old and married or any combination that it isn't the place of some unknown idealists who feel their views are proper for everyone else in every set of circumstances. If you don't believe in abortion then don't have one. Be happy that we are far more compassionate that God when determining what a grounds for abortion and the methods used in its implementation. The fact of the matter is of those 50 million roughly half would be unable to pay taxes due to physical or economic reasons, examples causing this range from physical disabilities and incarceration to poverty and lack of education. 3 of the 4 mentioned are prevalent among young unwed mothers, followed closely by unwed or single mothers. Many conservatives yell that a women cannot have an abortion, while at the same time yelling that social programs that are in place to help mothers deal with the problems having a child creates are unfair and the recipients undeserving. It seems only fair that if you are going to make her have the baby that you should help pay for it. Otherwise make it your business when it involves you. You can also think in terms of self survival, how many of those 50 million do you think would have become Christian and how many atheist or something non-christian? Just a reminder the Bible has rules about when an abortion can occur and God has no problem with it being done up until the day the child is born.","gift-god","11:15 AM","abortion-debates","7"
"06-17-2012","16277",1,"pappillion001","457189","Just a reminder the Bible has rules about when an abortion can occur and God has no problem with it being done up until the day the child is born.","Easyrider","457190","Please supply your scriptural basis for that.","gift-god","11:39 AM","abortion-debates","8"
"06-17-2012","16277",1,"Easyrider","457190","Please supply your scriptural basis for that.","pappillion001","457215","Numbers 5 A husband can demand his wife to be subject to the Jealousy law at any time and he has only to say he suspects. No evidence or proof is required","gift-god","05:39 PM","abortion-debates","9"
"06-17-2012","16277",1,"pappillion001","457215","Numbers 5 A husband can demand his wife to be subject to the Jealousy law at any time and he has only to say he suspects. No evidence or proof is required","Easyrider","457222","This is a Judgment of God against an issue of possible adultery. Outside of God's Judgment in cases of evildoing, I don't see God approving of self-serving abortion.","gift-god","07:53 PM","abortion-debates","10"
"06-18-2012","16277",1,"Easyrider","457222","This is a Judgment of God against an issue of possible adultery. Outside of God's Judgment in cases of evildoing, I don't see God approving of self-serving abortion.","pappillion001","457234","Yes that is why it is called the Jealosy Law, because because it is only acted upon in cases of adultry or if the husband thinks there might have been or if he wonders if she would or if he just feels like checking to see if she did The point is there exists circumstances where God says what you claim as a human being with a right to life in all cases, including rape and incest does not. Christians pick and choose what rules to follow and to what degree they should be enforced.","gift-god","04:18 AM","abortion-debates","11"
