"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"05-03-2005","5036",1,"None","None","None","Steeeeve","115917","http://www.foxnews.com/story/0,2933,155326,00.html She is the guardian of the state.....this is going over the line now.","13yr-old-girl-wants-abortion","01:08 PM","abortion-debates","1"
"05-03-2005","5036",1,"None","None","None","tiggeroo2005","115928","A thirteen year old having a kid?!! Well, if she wasn't raped I'd say she'd deserve the labor pains! What an idiot!","13yr-old-girl-wants-abortion","01:18 PM","abortion-debates","2"
"05-03-2005","5036",1,"None","None","None","gamehuis","115939","Apparently the Department of Children & Families thinks she'd not old enough to make a decision about an abortion, but she is old enough to have sex, give birth and take care of the kid. And I just love this little line right here: ...the teen, who has been in state custody for four years... What a great job the state did in raising her...","13yr-old-girl-wants-abortion","01:39 PM","abortion-debates","3"
"05-03-2005","5036",1,"None","None","None","jitobear","115954","Most 13 year olds aren't physically, mentally or emotionally mature enough to handle pregnancy.","13yr-old-girl-wants-abortion","02:25 PM","abortion-debates","4"
"05-03-2005","5036",1,"None","None","None","Diogenes99","115968","There was a study in Britain back in 1999 that concluded the risk of breast cancer following an abortion was trivial, almost as insignificant as getting lung cancer from a lifetime exposure to second-hand smoke - UNLESS it was the first pregnancy that was interrupted. If the first pregnancy was interrupted, the likelihood of subsequent breast cancer was right up there with the likelihood of lung cancer after a lifetime of smoking. (The study is obviously not politically correct, so I've seen no mention of it on this side of the Atlantic.) The study didn't address causes, and only noted the correlation, but the lead doctor did speculate that it may have something to do with hormonal changes that need to run to completion. Once again, the state of Florida takes the lead in losing and abusing its children.","13yr-old-girl-wants-abortion","03:15 PM","abortion-debates","5"
"05-03-2005","5036",1,"None","None","None","tiggeroo2005","116058","Like I said before if she had the stupidity to get pregnant she should at least have to go through the labor pains! She can give it up for adoption. Well, she should be required to give it to adoption because she is certainly not mature enuf to take care of it!","13yr-old-girl-wants-abortion","04:45 PM","abortion-debates","6"
"05-03-2005","5036",1,"None","None","None","gamehuis","116072","Aah yes, stupid people who make a mistake should be in pain. Good argument there, real good... In that case I want the people who voted for Bush to be tortured.","13yr-old-girl-wants-abortion","04:53 PM","abortion-debates","7"
"05-03-2005","5036",1,"tiggeroo2005","None","Like I said before if she had the stupidity to get pregnant she should at least have to go through the labor pains! She can give it up for adoption. Well, she should be required to give it to adoption because she is certainly not mature enuf to take care of it!","jitobear","116073","It's not about the pain. Most 13 year olds bodies can not physically endure a pregnancy without sustaining damage. The lobor is the least of it. They are barely more than little girls. Not to mention I am far more forgiving of a young girls stupidy than somebody older. Almost everything 13 year olds do is dumb. I speak from experience. As far as 13 year old girls having sex - I think they barely know what they are getting into. I suspect most are ""talked into"" at that age. Just curious oh furious Tigeroo - since you are all about how these girls deserve such pain for their stupidy - what shall we do with the fathers? Balls in a vice for the duration of labor? Or maybe we just should not use something as serious as pregnancy as punishment.","13yr-old-girl-wants-abortion","04:54 PM","abortion-debates","8"
"05-03-2005","5036",1,"None","None","None","tiggeroo2005","116078","She should have thought about the damage it would do before she had sex","13yr-old-girl-wants-abortion","04:58 PM","abortion-debates","9"
"05-03-2005","5036",1,"tiggeroo2005","None","She should have thought about the damage it would do before she had sex","jitobear","116083","And you could ask a kindergardener to explain quantum physics. Chances are - she does not know, she simply does not get it. Not at that age. No real idea about pregnancy or parenting. She is a child. Not to mention - a body ill-prepared for pregnancy will not just be harmful to mother, but also baby. I note that you did not responde to my part about the fathers. So it's not that you think people who make stupid mistakes deserve pain - but that stupid females do - exclusively.","13yr-old-girl-wants-abortion","05:04 PM","abortion-debates","10"
