"Dialog_Turn","Date","Discussion_Id","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Topic","Post_Counter","Time"
"","01-11-2007","9391","Steeeeve","246731","I get the idea that our English classes are failing on every level. For one, it is hard to be a member of something when you are dead. Secondly, the definition is what it is. My cat mentally lives...she must be a human","Sigma","246755","The definition makes no distinction between those alive and those dead. Were a dictionary definition used, it would be difficult to deny the dead equal protection based on your reasoning. The dictionary definition also does not make a distinction based on the number of chromosomes. A sperm is human in the same way the fetus is human: they both contain human DNA. However, this is all moot. The dictionary definition has no authority over how we use words. It simply records how words are generally used. In a philosophical debate such as this, shadings of meaning are used constantly that you will not find in any dictionary. It is up to the participants to agree to use a word in a certain way to avoid confusion between them. A philosophical argument is to argue concepts , not semantics. Non-human animals are usually not considered to posess consciousness as we know it. However, we can make the distinction that your cat does not have a unique human consciousness.","why-pro-life","abortion-debates","61","11:45 AM"
"","01-11-2007","9391","Sigma","246755","The definition makes no distinction between those alive and those dead. Were a dictionary definition used, it would be difficult to deny the dead equal protection based on your reasoning. The dictionary definition also does not make a distinction based on the number of chromosomes. A sperm is human in the same way the fetus is human: they both contain human DNA. However, this is all moot. The dictionary definition has no authority over how we use words. It simply records how words are generally used. In a philosophical debate such as this, shadings of meaning are used constantly that you will not find in any dictionary. It is up to the participants to agree to use a word in a certain way to avoid confusion between them. A philosophical argument is to argue concepts , not semantics. Non-human animals are usually not considered to posess consciousness as we know it. However, we can make the distinction that your cat does not have a unique human consciousness.","Steeeeve","246758","you can't join in so late This is simple biology...member of the species homo sapien doesn't mean a sperm cell, never has never will. It is moot but at the same time aggravating that people claim the fetus is a ""human"" and thus this justifies abortion. I believe to you this doesn't even matter. yet there is the word ""human"" agian...what makes human so important? (note: I agree that human is important).","why-pro-life","abortion-debates","63","11:53 AM"
"","01-11-2007","9391","Steeeeve","246758","This is simple biology...member of the species homo sapien doesn't mean a sperm cell, never has never will. yet there is the word ""human"" agian...what makes human so important? (note: I agree that human is important).","Sigma","246778","You cannot deny, however, that sperm is human for the same reason the fetus is human: both contain human DNA. The dictionary definition would then cover both. As opposed to non-human animals, such as your cat. Consciousness is generally considered unique to humans, but since you insist that your cat posesses this feature, human consciousness can still be distinguished.","why-pro-life","abortion-debates","67","01:15 PM"
"","01-11-2007","9391","Sigma","246778","You cannot deny, however, that sperm is human for the same reason the fetus is human: both contain human DNA. The dictionary definition would then cover both. As opposed to non-human animals, such as your cat. Consciousness is generally considered unique to humans, but since you insist that your cat posesses this feature, human consciousness can still be distinguished.","Steeeeve","246804","no one doubts the adjective sense of the word and what is special about the human aspect? That was my question.","why-pro-life","abortion-debates","68","03:15 PM"
"","01-11-2007","9391","Steeeeve","246804","no one doubts the adjective sense of the word and what is special about the human aspect? That was my question.","Sigma","246829","I see. And what makes something human in the noun sense of the word different from the adjective sense? Could it be that, ultimately, we're ""characterized by a brain capacity averaging 1400 cc (85 cubic in.) and by dependence upon language and the creation and utilization of complex tools"" like the dictionary tells us? Wouldn't that imply a mental existence to be a member? Special? In what way did I say it was ""special""? Do you mean, what is different from a human consciousness than the animal consciousness? I have not asserted animal consciousness exists; you have.","why-pro-life","abortion-debates","70","05:32 PM"
"","01-12-2007","9391","Sigma","246829","I see. And what makes something human in the noun sense of the word different from the adjective sense? Could it be that, ultimately, we're ""characterized by a brain capacity averaging 1400 cc (85 cubic in.) and by dependence upon language and the creation and utilization of complex tools"" like the dictionary tells us? Wouldn't that imply a mental existence to be a member? Special? In what way did I say it was ""special""? Do you mean, what is different from a human consciousness than the animal consciousness? I have not asserted animal consciousness exists; you have.","Steeeeve","246897","no. But the noun sense of the word says ""member of species homo sapien"" ...not having a brain capacity of 1400cc. ok, well if it does exist then does this change the way we deal with animals? If not then what is so special about a human as opposed to other animals that makes our consciousness worthy of value.","why-pro-life","abortion-debates","71","12:32 PM"
"","01-12-2007","9391","Steeeeve","246897","no. But the noun sense of the word says ""member of species homo sapien"" ...not having a brain capacity of 1400cc. ok, well if it does exist then does this change the way we deal with animals? If not then what is so special about a human as opposed to other animals that makes our consciousness worthy of value.","Sigma","246905","By definition a member of the species homo sapien is characterized by a brain capacity averaging 1400 cc (85 cubic in.) and by dependence upon language and the creation and utilization of complex tools. Wouldn't you agree, then, that the definition implies a mental existence to be a member of our species? We're determining when to place moral value on a human , not an animal. It is generally accepted that the nexus of self requires greater brain capacity than other animals are capable of. Please make your point instead of asking questions. Your questions make no sense.","why-pro-life","abortion-debates","72","01:08 PM"
"","01-12-2007","9391","Sigma","246905","By definition a member of the species homo sapien is characterized by a brain capacity averaging 1400 cc (85 cubic in.) and by dependence upon language and the creation and utilization of complex tools. Wouldn't you agree, then, that the definition implies a mental existence to be a member of our species? We're determining when to place moral value on a human , not an animal. It is generally accepted that the nexus of self requires greater brain capacity than other animals are capable of. Please make your point instead of asking questions. Your questions make no sense.","Steeeeve","246954","An interesting definition I admit but every other definition there does not have the definition as so. Besides, a new-born is classified as in the species homo sapien and yet its brain is only 386cc or so. Any biology book also states that every living organism is classified in a species. Where would the fetus go if not human? So no, I do not agree that mental existence is required. they certainly make sense. I ask why does being human matter? You seem to think that you have to be 1) human and 2) conscious in order to have moral value. I am asking why the human criteria exists.","why-pro-life","abortion-debates","73","03:57 PM"
"","01-12-2007","9391","Steeeeve","246954","Any biology book also states that every living organism is classified in a species. Where would the fetus go if not human? So no, I do not agree that mental existence is required. they certainly make sense. I ask why does being human matter? You seem to think that you have to be 1) human and 2) conscious in order to have moral value. I am asking why the human criteria exists.","Sigma","246993","Well, what is the dictionary criteria for being a human? It appears to be that humans are characterized by a brain capacity averaging 1400 cc (85 cubic in.) and by dependence upon language and the creation and utilization of complex tools. Therefore any who do not fall under this definition cannot be human. Would you agree? How else could the fetus be human if not by this dictionary definition? So, you're pulling definitions out of your XXX now? I don't care what you agree with the definition or not. I asked if you agreed that this definition seems to imply a mental existence. If we want to assess the moral weight of something that is human, then being human would be part of the criteria, yes? If we are asessing the moral weight of cats, the fact that it is a cat would be part of the criteria. If we are just asessing what has moral weight in general, then consciousness with no reference to species would be the criteria. What is your point?","why-pro-life","abortion-debates","74","07:15 PM"
"","01-13-2007","9391","Sigma","246993","Well, what is the dictionary criteria for being a human? It appears to be that humans are characterized by a brain capacity averaging 1400 cc (85 cubic in.) and by dependence upon language and the creation and utilization of complex tools. Therefore any who do not fall under this definition cannot be human. Would you agree? How else could the fetus be human if not by this dictionary definition? So, you're pulling definitions out of your XXX now? I don't care what you agree with the definition or not. I asked if you agreed that this definition seems to imply a mental existence. If we want to assess the moral weight of something that is human, then being human would be part of the criteria, yes? If we are asessing the moral weight of cats, the fact that it is a cat would be part of the criteria. If we are just asessing what has moral weight in general, then consciousness with no reference to species would be the criteria. What is your point?","Steeeeve","247029","by the other 5 or so definitions. Either way, Sapien should be the word you look up as Homo Sapien is two words...but since we have 5 other definitions (this includes my at home websters) then I'll take the 5 over the 1. So I guess I disagree. Did you look at your own link? 5 other definitions (sources) saying the exact same thing...not one of them says anything about brain mass. I feel like you aren't answering my question. I am weighing the moral value of a human verus a cast or other animal. Why would the charateristic ""human"" be more valuable than say a cat...assuming they both have consciousness?","why-pro-life","abortion-debates","75","09:47 AM"
