"Dialog_Turn","Date","Discussion_Id","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Topic","Post_Counter","Time"
"","04-30-2007","9550","Sigma","260902","You must also establish why the ""language and history"" is the only correct rubric to use.","Steeeeve","260939","I think she is taking it one step at a time. This step appears to just show if basing a decision on morals is acceptable. Do you believe it is?","discussion-roe-v-wade-410-u-s-113-a","abortion-debates","46","09:05 AM"
"","04-30-2007","9550","Steeeeve","260939","I think she is taking it one step at a time. This step appears to just show if basing a decision on morals is acceptable. Do you believe it is?","Sigma","260952","I know that Phyllis is taking one step at a time. The quote presumed that the ""language and history"" are the only correct way to answer the question of Roe . Whether it is acceptable or not will be revealed in the course of this thread, I assume :P","discussion-roe-v-wade-410-u-s-113-a","abortion-debates","47","10:06 AM"
"","04-30-2007","9550","Sigma","260952","I know that Phyllis is taking one step at a time. The quote presumed that the ""language and history"" are the only correct way to answer the question of Roe . Whether it is acceptable or not will be revealed in the course of this thread, I assume :P","Steeeeve","260955","Again, Phyllis can answer this but there is no reason to move forward if you feel morals are acceptable. I think finding that moral views are an unacceptable means of judging a judicial decision is an important first step. Do you agree with this or not...specifically using Phyllis's post. It also poses the question about whether judicial decisions can be wrong. Another question that I (and Phyllis probably) wants you and others to answer.","discussion-roe-v-wade-410-u-s-113-a","abortion-debates","48","10:25 AM"
"","04-30-2007","9550","Steeeeve","260955","It also poses the question about whether judicial decisions can be wrong. Another question that I (and Phyllis probably) wants you and others to answer.","Sigma","260961","It depends on the rubric used, of course.","discussion-roe-v-wade-410-u-s-113-a","abortion-debates","49","10:37 AM"
"","04-30-2007","9550","Steeeeve","260989","Not in the sense you mean though. You may apply it to situations now but you certainly don't change the message. For example if the message in this letter from your parent was ""do not do drugs"" and your parent happened to be a strong believer than marijuana was no good then the message is obviously at that moment in time that she/he did not want you to do drugs including marijuana. I think we agree here. Now, say, in the future, marijuana becomes legal and socially acceptable. Does this change the meaning of what your parent said? Certainly not. If you were to start doing marijuana it would clearly be going against what your parent said. This doesn't answer the question. In your opinion can judicial decision be wrong. They either can or cannot be. If you say ""maybe"" or ""sometimes"" then that would obviously have to be a yes. If you disagree then please explain.","Sigma","260992","A more correct analogy would be having the letter contain the message ""Don't do drugs"" and then advancments find clear medical benefit to marijuana use. You would have to decide, based on your situation and knowledge today, whether the message you were given was a prohibition against recreational use of drugs or if the prohibition was literally ""Don't do any drugs even for medical reasons"". Both interpretations are valid even if the intended meaning was to prohibit marijuana. To view it literally would be extremely limited and narrow-minded imo. I could not say it was wrong , however, by anything except my own opinion. It depends on the rubric. A certain decision could be wrong by one measure and not be wrong by another. Is that clear enough?","discussion-roe-v-wade-410-u-s-113-a","abortion-debates","53","02:13 PM"
"","04-30-2007","9550","Sigma","260992","A more correct analogy would be having the letter contain the message ""Don't do drugs"" and then advancments find clear medical benefit to marijuana use. You would have to decide, based on your situation and knowledge today, whether the message you were given was a prohibition against recreational use of drugs or if the prohibition was literally ""Don't do any drugs even for medical reasons"". Both interpretations are valid even if the intended meaning was to prohibit marijuana. To view it literally would be extremely limited and narrow-minded imo. I could not say it was wrong , however, by anything except my own opinion. It depends on the rubric. A certain decision could be wrong by one measure and not be wrong by another. Is that clear enough?","Steeeeve","261026","It is supposed to be extremely limited and narrow-minded which is the point. The reason I added in my example that the parent said ""Don't do drugs"" and at the same time was very much anti-marijuana was because this shows a text and a history (context) behind the meaning. At that very moment at the time being written it was very clear what was meant is it not? There was no exception and there was no other meaning behind the statement. All you can logically say from that statement at the time written was marijuana was a drug that should not be done as spoken by the parent. In the future things might change but those words don't take new meaning. You have no way of knowing what the parent would think today and to imply their message means something different now is just absurd and is untrue. The way to change the statement is not to try to think for the person that wrote it but to rewrite a statement. Likewise in the law you just have the legislatures change the laws to suit the times. Your method is nothing more then merging the duties of the legislature with the duties of the judges. Would you disagree? Finally you say the approach I approve of could really not be wrong. This confuses me because it leads me to believe that you could never say a decision is wrong which is what I discuss below. This would imply that you find that a decision can never really be wrong. In fact, if Roe v. Wade were overturned you would not call that a wrong decision if they were using a ""rubric"" that found abortion not to be in the constitution...such as orginalism wouldn't find this. From what I understand it seems that you find anyway of viewing the constitution is ok. Is this a fair statement? Furthermore, could it be said that no one really could ever know what the constitution means if it is the case that it means whatever 9 people want it to mean at that given point in time? Seems like an awful lot of power for a branch that was supposed to have the least amount of it.","discussion-roe-v-wade-410-u-s-113-a","abortion-debates","56","04:19 PM"
"","04-30-2007","9550","Steeeeve","261026","It is supposed to be extremely limited and narrow-minded which is the point. The reason I added in my example that the parent said ""Don't do drugs"" and at the same time was very much anti-marijuana was because this shows a text and a history (context) behind the meaning. You have no way of knowing what the parent would think today and to imply their message means something different now is just absurd and is untrue. Your method is nothing more then merging the duties of the legislature with the duties of the judges. Would you disagree? This would imply that you find that a decision can never really be wrong. In fact, if Roe v. Wade were overturned you would not call that a wrong decision if they were using a ""rubric"" that found abortion not to be in the constitution...such as orginalism wouldn't find this.","Sigma","261032","No, it really is not. The powers of the Federal gov't was to be extremely limited. Not individual rights :-\ It could, or it could not. The meaning behind the prohibition likely was a prohibition against recreational use of drugs. Whether pot was intended to be included when that advice was written is really irrelevent. It doesn't matter what the parent would think today. Not one iota, imo. The parent was bound by their viewpoint and prejudices. Neither of those things have any relevance to the decendant. The message itself is important, and the meaning behind it. It is up to us to interpret that meaning and how it is relevant today, not to try to think ""what would they do if they were faced with this"". Yes, I would disagree. I would call it the wrong decision to overturn Roe . You would call it the right decision. It depends on the rubric.","discussion-roe-v-wade-410-u-s-113-a","abortion-debates","57","04:42 PM"
"","04-30-2007","9550","Sigma","261032","No, it really is not. The powers of the Federal gov't was to be extremely limited. Not individual rights :-\ It could, or it could not. The meaning behind the prohibition likely was a prohibition against recreational use of drugs. Whether pot was intended to be included when that advice was written is really irrelevent. It doesn't matter what the parent would think today. Not one iota, imo. The parent was bound by their viewpoint and prejudices. Neither of those things have any relevance to the decendant. The message itself is important, and the meaning behind it. It is up to us to interpret that meaning and how it is relevant today, not to try to think ""what would they do if they were faced with this"". Yes, I would disagree.","Steeeeve","261044","and the constitution spells out exactly what the powers are. The amendments then go in an exactly spell out specific things they can't do. It is a very limited document because the federal power, like you said, is limited. given those to facts I don't see how you could reasonable suggest otherwise. What you are saying is that words have no meaning. If what the parent thought then what does it matter what he/she wrote? You might as well just make up your own writing if that's the standard. All your view does is save paper. How is it not the merging of the two? You take a law, find it to not apply to todays world, and then create one that does. Seems that is a legislative function. Please explain differently. [/quote]I would call it the wrong decision to overturn Roe . You would call it the right decision. It depends on the rubric.[/QUOTE]And this still avoids the question. Do you call it wrong because your ""rubric"" is correct? Or are you suggesting there is no one correct way to view the constitution? If this is the case then you would never have an instance where the court could be wrong. A relativist view of this is inconsistent in and of itself.","discussion-roe-v-wade-410-u-s-113-a","abortion-debates","58","06:13 PM"
"","04-30-2007","9550","Steeeeve","261044","and the constitution spells out exactly what the powers are. The amendments then go in an exactly spell out specific things they can't do. It is a very limited document because the federal power, like you said, is limited. What you are saying is that words have no meaning. If what the parent thought then what does it matter what he/she wrote? You might as well just make up your own writing if that's the standard. All your view does is save paper. How is it not the merging of the two? You take a law, find it to not apply to todays world, and then create one that does. Seems that is a legislative function. Please explain differently. And this still avoids the question. Do you call it wrong because your ""rubric"" is correct? Or are you suggesting there is no one correct way to view the constitution? If this is the case then you would never have an instance where the court could be wrong. A relativist view of this is inconsistent in and of itself.","Sigma","261047","We are talking about individual rights, however, not Federal power. To view the Amendments as you suggest is very limited and narrow-minded. Individual rights were not meant to be limited and narrow-minded. I'm sorry, this section does not make sense. Please clarify. I'm sorry, this section does not make sense. Please clarify. Looking at the meaning of the passage does not change the passage, let alone create a new one. SCOTUS has not made any legislation, they merely interpret the law (or the Constitution, in this case). This is a legitimate power and in no way merges the Judicial with the Legislature. My only conclusion is that you see it as inconsistent because you do not understand it. What do you continue to misunderstand?","discussion-roe-v-wade-410-u-s-113-a","abortion-debates","59","06:22 PM"
"","04-30-2007","9550","Sigma","261047","We are talking about individual rights, however, not Federal power. To view the Amendments as you suggest is very limited and narrow-minded. Individual rights were not meant to be limited and narrow-minded. I'm sorry, this section does not make sense. Please clarify. I'm sorry, this section does not make sense. Please clarify. Looking at the meaning of the passage does not change the passage, let alone create a new one. SCOTUS has not made any legislation, they merely interpret the law (or the Constitution, in this case). This is a legitimate power and in no way merges the Judicial with the Legislature. My only conclusion is that you see it as inconsistent because you do not understand it. What do you continue to misunderstand?","Steeeeve","261073","Oh really? Aside from the fact that we are indeed talking about federal power might I ask how you can tell me, as one who doesn't believe I can be wrong, that individual rights are not meant to be limited and narrow-minded. You implied that the words of the parent have no meaning to today. You go on to say that we should still honor those words but change the meaning behind them. This, to me, means that all you are doing is saving a piece of paper with those words on it but you certainly aren't honoring what the parent said. The parent had one meaning and one meaning only so who are you to say it means something different now? Even if this did apply to the law how could one ever understand the law? In theory, you believe that, say, the first amendment could mean that you could limit all speech, limit no speech, limit some speech, limit only words that end in ""y"", etc etc and none of these would be wrong toe them so long as that is what you believed. What a crazy notion where words have no meaning. I agree that looking at the meaning of a passage does not change the passage but you already stated that the meaning of a passage is of no significance. SCOTUS does get to interpret the law but you are not saying this. You are saying SCOTUS gets to decide what the law should say....ie the meaning behind the words. SCOTUS may not be changing the ink on the paper but that ink is merely a way to communicate with the meaning being the important aspect. Simply put, you have words and meaning behind those words which allow us to understand things. Changing the meaning behind those words is just as much changing the law as is changing the actual words. I do not understand how there is no right and wrong in your worldview yet you still continue to talk to me as if there is one.","discussion-roe-v-wade-410-u-s-113-a","abortion-debates","60","10:57 PM"
