"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"03-29-2010","1","14010","111","Easyrider","394550","I'd like to introduce you to the bigger picture: Psalm 139:13 - 'For you created my inmost being; you knit me together in my mother's womb.' Jeremiah 1:5 - 'Before I formed you in the womb I knew you, before you were born I set you apart; I appointed you as a prophet to the nations."" Of course, the question is, what divine insight does the pro-abortion crowd think they have to where they can destroy in a mother's womb that which God is somehow instrumental in creating?","chester","396290","If so you believe, then so you must act, within your own family. What you need to remember is that not all Americans share your answer to what is at best a metaphysical question. Please let us know why you think your particular answer should be law in the universe? In the interim, keep your poison away from the women in my family who are of child bearing age. They are perfectly capable of making their own choices without your ""advice.""","pro-choice-roots","01:52 AM","abortion-debates",91
"03-29-2010","1","14010","114","chester","396290","If so you believe, then so you must act, within your own family. What you need to remember is that not all Americans share your answer to what is at best a metaphysical question. Please let us know why you think your particular answer should be law in the universe? In the interim, keep your poison away from the women in my family who are of child bearing age. They are perfectly capable of making their own choices without your ""advice.""","Easyrider","396298","Originally Posted by Easyrider: I'd like to introduce you to the bigger picture: Psalm 139:13 - 'For you created my inmost being; you knit me together in my mother's womb.' Jeremiah 1:5 - 'Before I formed you in the womb I knew you, before you were born I set you apart; I appointed you as a prophet to the nations."" Of course, the question is, what divine insight does the pro-abortion crowd think they have to where they can destroy in a mother's womb that which God is somehow instrumental in creating? We do. We don't butcher the unborn. Nor do most of Americans share yours. See my Biblical references above. Go climb on a parking meter, dweeb. And tell your stiff-necked, spiritually constipated family members to quit imitating the devil and stop killing the innocent unborn.","pro-choice-roots","07:58 AM","abortion-debates",162
"03-29-2010","1","14010","116","Easyrider","396298","Originally Posted by Easyrider: I'd like to introduce you to the bigger picture: Psalm 139:13 - 'For you created my inmost being; you knit me together in my mother's womb.' Jeremiah 1:5 - 'Before I formed you in the womb I knew you, before you were born I set you apart; I appointed you as a prophet to the nations."" Of course, the question is, what divine insight does the pro-abortion crowd think they have to where they can destroy in a mother's womb that which God is somehow instrumental in creating? We do. We don't butcher the unborn. Nor do most of Americans share yours. See my Biblical references above. Go climb on a parking meter, dweeb. And tell your stiff-necked, spiritually constipated family members to quit imitating the devil and stop killing the innocent unborn.","chester","396303","OOOHH!! Such ANGER!!! What is it about you righties that impels you to resort to ad hominem attacks on those whose opinion differs from yours? Must be that your quiver quivers for the lack of the arrows of substance.","pro-choice-roots","08:52 AM","abortion-debates",43
"03-29-2010","1","14010","119","chester","396303","OOOHH!! What is it about you righties that impels you to resort to ad hominem attacks on those whose opinion differs from yours?","Easyrider","396311","People like you who defend the infanticide of the innocent unborn. I think you people need to clean the abortionist's sinks when you're done, and bury the dead, so you can see the end product of your demented and ungodly immoral relativism.","pro-choice-roots","12:30 PM","abortion-debates",46
"03-29-2010","1","14010","120","Easyrider","396311","People like you who defend the infanticide of the innocent unborn. I think you people need to clean the abortionist's sinks when you're done, and bury the dead, so you can see the end product of your demented and ungodly immoral relativism.","chester","396314","""Demented and ungodly"", eh? Your rant is totally off base and irrelevant to those of us who do not equate abortion with infanticide. Spare us your phony rage.","pro-choice-roots","01:15 PM","abortion-debates",34
"03-29-2010","1","14010","122","chester","396314","Your rant is totally off base and irrelevant to those of us who do not equate abortion with infanticide. Spare us your phony rage.","Easyrider","396351","And your belief is contrary to God's will, as I previously documented. One day you will be held to account for it. There's nothing phony about it. Just wish I could legally deport you.","pro-choice-roots","04:53 PM","abortion-debates",39
"03-29-2010","1","14010","123","Easyrider","396351","And your belief is contrary to God's will, as I previously documented. One day you will be held to account for it. There's nothing phony about it. Just wish I could legally deport you.","chester","396354","1. How DARE you to speak as one who claims to know the will of God. Besides which, we are not living in a theocracy. If you want one of those, Iran might just be to your liking. 2. This Springsteen-American is staying right where he is, thank you very much. This Springsteen-American has just as much right to fly the flag of the USA outside his house as you do - more in fact. 3. This Springsteen-American has enough confidence in the women of his family to make choices that are in their best interest without any help from the likes of you. Keep your poison away from them!","pro-choice-roots","04:59 PM","abortion-debates",123
"03-29-2010","1","14010","124","chester","396354","1. How DARE you to speak as one who claims to know the will of God. Besides which, we are not living in a theocracy. If you want one of those, Iran might just be to your liking. 2. This Springsteen-American is staying right where he is, thank you very much. This Springsteen-American has just as much right to fly the flag of the USA outside his house as you do - more in fact. 3. This Springsteen-American has enough confidence in the women of his family to make choices that are in their best interest without any help from the likes of you. Keep your poison away from them!","Easyrider","396360","Murder is murder, whether it's the old or the unborn. It's not rocket science. And I dare greatly, thank you! Strawman. You don't have to live in a theocracy to know murding the innocent unborn is wrong. Actually, Iran might be more to your liking since they don't value life very much either. Fly your flag, but don't think for a moment that the God who brought this nation forth approves of the mass infanticide of the innocent unborn. Godly women don't kill their unborn. They nurture them. As for poision, you're the ones who advocate death and infanticide, not me.","pro-choice-roots","06:07 PM","abortion-debates",117
"03-12-2010","2","14010","11","Easyrider","394324","I'm sure Adolph Hitler had the same mindset. Where's the baby's choice? Why don't you self-absorbed egomaniacs ever think about the innocent baby that's being butchered? You don't kill an innocent baby for the sins or convenience of the parent(s). I think every time some woman aborts her baby she needs to not only view the remains of the dismembered baby she just had murdered, but then she needs to clean up the bloody abortionist's sink.","Shooterandproud","394439","Adolf Hitler was making choices about the bodies of others, kind of like what you are doing. Let this be a testament to your ignorance, that you would read the above post by Jito and still have the nerve to say something as stupid as this. Did you not hear a thing she said? It just doesn't matter to you does it... the suffering of others. As long as you're going to heaven who cares about anyone else? What a good Christian you are. Sleep well.","pro-choice-roots","11:03 PM","abortion-debates",96
"03-13-2010","2","14010","12","Shooterandproud","394439","Let this be a testament to your ignorance, that you would read the above post by Jito and still have the nerve to say something as stupid as this. Did you not hear a thing she said? It just doesn't matter to you does it... the suffering of others. As long as you're going to heaven who cares about anyone else? What a good Christian you are. Sleep well.","Easyrider","394460","Easyrider: Where's the baby's choice? Why don't you self-absorbed egomaniacs ever think about the innocent baby that's being butchered? You don't kill an innocent baby for the sins or convenience of the parent(s). I think every time some woman aborts her baby she needs to not only view the remains of the dismembered baby she just had murdered, but then she needs to clean up the bloody abortionist's sink. Go climb on a parking meter, meat face. STOP KILLING THE INNOCENT BABIES!!! What is it about the innocent unborn that you think they should have a bullseye on their heads? Butchers.","pro-choice-roots","03:37 PM","abortion-debates",115
"03-13-2010","2","14010","13","Easyrider","394460","Easyrider: Where's the baby's choice? Why don't you self-absorbed egomaniacs ever think about the innocent baby that's being butchered? You don't kill an innocent baby for the sins or convenience of the parent(s). I think every time some woman aborts her baby she needs to not only view the remains of the dismembered baby she just had murdered, but then she needs to clean up the bloody abortionist's sink. Go climb on a parking meter, meat face. STOP KILLING THE INNOCENT BABIES!!! What is it about the innocent unborn that you think they should have a bullseye on their heads? Butchers.","Shooterandproud","394469","Its not a baby, its an inanimate life form. The woman has feelings, the fetus does not! What makes you think a mentally inanimate thing with no thoughts, feelings, or emotions deserves the right to cause physical and psychological agony toward another human being? By your logic, I should have the right to take a sledgehammer to your privates. The rights of real humans come before the rights of humans that don't exist yet!","pro-choice-roots","05:33 PM","abortion-debates",84
"03-13-2010","2","14010","16","Shooterandproud","394469","Its not a baby, its an inanimate life form.","Easyrider","394475","Nuts. Funny how when a woman wants to give birth she always announces that SHE'S GOING TO HAVE A BABY!","pro-choice-roots","06:09 PM","abortion-debates",22
"03-14-2010","2","14010","18","Easyrider","394475","Nuts. Funny how when a woman wants to give birth she always announces that SHE'S GOING TO HAVE A BABY!","Shooterandproud","394500","Exactly, shes going to have a baby , not ""I already have a baby"".","pro-choice-roots","04:42 AM","abortion-debates",18
"03-14-2010","2","14010","19","Shooterandproud","394500","Exactly, shes going to have a baby , not ""I already have a baby"".","Easyrider","394510","That's stupid. That same day she looks over at her husband and says, ""Honey, come quick and feel THE BABY kicking.""","pro-choice-roots","08:06 AM","abortion-debates",27
"03-15-2010","2","14010","38","Easyrider","394510","That's stupid. That same day she looks over at her husband and says, ""Honey, come quick and feel THE BABY kicking.""","Shooterandproud","394639","And I sometimes call the graphite on a pencil ""lead"", even though its not. A slang term for a fetus is hardly scientific evidence.","pro-choice-roots","12:20 AM","abortion-debates",29
"02-16-2011","1","15035","9","amirsdaddy","424179","You try again.","Sigma","424190","It's a fair response. What is human life is different than asking what makes a human being. We could probably keep a brainless body alive for some time, but it wouldn't be what people would generally think of as a human individual, a human being, a person.","when-life-begins","07:20 PM","abortion-debates",53
