"AuthorAnother opinion","AuthorArchangel","AuthorCUNxTime","AuthorChuz Life","AuthorColonel Ingus","AuthorDane","AuthorEasyrider","AuthorFreedom","AuthorPhyllis","AuthorShadowPikachu","AuthorShooterandproud","AuthorSigma","AuthorSteeeeve","AuthorVTCruiser","AuthorWinston Smith","Authoramirsdaddy","Authorantonia","Authorcaptainrolfe","Authorchester","Authorelectrolyte","Authorgansao","Authorgman","Authorjet57","Authorjitobear","Authorlesz","Authornononsense","Authorobvious_child","Authorpappillion001","Authorrichbrmly","Authorsimone","Authorsinjin","Authorsmiley","Authorsnakespit","Authortheolddog","Length:100","Length:200","Length:300","Length:50","Turn:11-12","Turn:13-14","Turn:15-16","Turn:17-18","Turn:19-20","Turn:21-22","Turn:7-8","Turn:9-10","subtopic"
0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,"pro-choice-roots"
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,"when-life-begins"
0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,"killing-babies-no-different-abortion-experts-say"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,1,0,0,0,0,1,1,"women-protest-anti-abortion-bills-virginia"
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,"why-would-anyone-choose-have-child-over-there-own-education"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"gift-god"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"christian-cant-support-abortion"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"they-endowed-their-creator-certain-inailienable-rights"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,"crime-abortion-relation"
0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,0,1,"pro-choice-but-anti-abortion"
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"abortion-allows-men-abuse-womens-sexuality"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"so-lets-assume-moment-fetus-person"
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,"when-does-human-individuals-life-begin"
