"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"09-14-2007","10376",1,"None","None","None","feindslayer","283860","Ok, I've seen great evidence for both sides of this argument. However, you probably know by now that it only takes one valid fact to disprove a theory, no matter how much evidence has been given in support. What I want to know is: What evidence is there that disproves evolution (any of the six types)? What evidence is there that disproves creation?","challenge-both-sides","07:03 PM","creation-intelligent-design-vs-evolution","1"
"09-14-2007","10376",1,"feindslayer","283860","Ok, I've seen great evidence for both sides of this argument. However, you probably know by now that it only takes one valid fact to disprove a theory, no matter how much evidence has been given in support. What I want to know is: What evidence is there that disproves evolution (any of the six types)? What evidence is there that disproves creation?","chemist99a","283894","Its not quite that simple it takes one well developed counterexample. In other words if the theory PREDICTS the X should be the case given all the Y circumstances and one sets up the Ys and does not observe outcomes consistent with the predicted X, AND the experiment withstands the tests of method and logic THEN one has to question (perhaps falsiify) the theory. Especially if the experimental work is repeatable and consistent. [/QUOTE] Evolution has not been falsified as of yet. Creationism has been - If nothing else the claim made of 6000 years to get from an empty earth to our current state is as faslified as its possible to get considering the multitude of counterexamples. And there are an extremely large number of lines of evidence which falsify the concept of ""kinds"", the idea that what we call complexity has not increased, the idea that an intelligent designer must be invoked to cause what we observe, the idea that intelligence is required to evolve species, and the concept that random mutation (and other effectively random but heritable variation mechanisms) combined with the crucible of natural selection CANNOT suffice to produce species from existing organisms and linages. And then you always have to consider the relevance of data. As one example the question of how life arose is not applicable to the theory of evolution, nor is the big bang, nor is an argument to ultimate causes. Nor are counterexamples relying on the gaps argument and so forth.","challenge-both-sides","08:43 PM","creation-intelligent-design-vs-evolution","2"
"09-14-2007","10376",1,"chemist99a","283894","Evolution has not been falsified as of yet. Creationism has been - If nothing else the claim made of 6000 years to get from an empty earth to our current state is as faslified as its possible to get considering the multitude of counterexamples. And there are an extremely large number of lines of evidence which falsify the concept of ""kinds"", the idea that what we call complexity has not increased, the idea that an intelligent designer must be invoked to cause what we observe, the idea that intelligence is required to evolve species, and the concept that random mutation (and other effectively random but heritable variation mechanisms) combined with the crucible of natural selection CANNOT suffice to produce species from existing organisms and linages. And then you always have to consider the relevance of data. As one example the question of how life arose is not applicable to the theory of evolution, nor is the big bang, nor is an argument to ultimate causes. Nor are counterexamples relying on the gaps argument and so forth.","feindslayer","283911","Please do not discourage creationists from submitting evedence against evolution. Please elaborate on your counterexamples .","challenge-both-sides","09:55 PM","creation-intelligent-design-vs-evolution","3"
"09-14-2007","10376",1,"feindslayer","283911","Please do not discourage creationists from submitting evedence against evolution. Please elaborate on your counterexamples .","chemist99a","283921","If they understand what they espouse and the counter evidence facing them they may be discouraged, but thats not my fault its theirs. I have little fear that the hard-shell creationists will be discouraged in any case. The counterexamples are in the open literature from elementary school texts through graduate texts and on into the professional literature. I watched KHs video fell free to examine the literature.","challenge-both-sides","10:25 PM","creation-intelligent-design-vs-evolution","4"
"09-14-2007","10376",1,"chemist99a","283921","If they understand what they espouse and the counter evidence facing them they may be discouraged, but thats not my fault its theirs. I have little fear that the hard-shell creationists will be discouraged in any case.","feindslayer","283925","Good point, but I still haven't heard any of your counterexamples.","challenge-both-sides","10:41 PM","creation-intelligent-design-vs-evolution","6"
"09-14-2007","10376",1,"chemist99a","283922","Or considering that you follow KH precisely in your beliefs: Namely: All of which following is based on distortion and a con job, I am rather dubious that you have studied the problems involved independent of a fogma guru.","feindslayer","283928","If I didn't know what I was debating, then I wouldn't have even visited this portion of 4forums. P.S. Would you be interested in starting a head-on debate in the tournament section with me?","challenge-both-sides","10:47 PM","creation-intelligent-design-vs-evolution","7"
"09-14-2007","10376",1,"feindslayer","283860","Ok, I've seen great evidence for both sides of this argument. However, you probably know by now that it only takes one valid fact to disprove a theory, no matter how much evidence has been given in support. What I want to know is: What evidence is there that disproves evolution (any of the six types)? What evidence is there that disproves creation?","trebor","283940","Define 'creation'. Do you mean the bible literalists belief in a 6 day creation 6 to 12K? Or do you mean 'creation' as 'god did it' ~13.4 billion years ago with the big bang?","challenge-both-sides","11:50 PM","creation-intelligent-design-vs-evolution","8"
"09-15-2007","10376",1,"None","None","None","chemist99a","283944","I am by nature and training and experience argumentative. Its a way of life.","challenge-both-sides","12:03 AM","creation-intelligent-design-vs-evolution","9"
"09-15-2007","10376",1,"chemist99a","283944","I am by nature and training and experience argumentative. Its a way of life.","supersport","283946","just curious...what do you do for a living?","challenge-both-sides","12:21 AM","creation-intelligent-design-vs-evolution","10"
"09-15-2007","10376",1,"trebor","283940","Define 'creation'. Do you mean the bible literalists belief in a 6 day creation 6 to 12K? Or do you mean 'creation' as 'god did it' ~13.4 billion years ago with the big bang?","feindslayer","284007","Either one, I just want to see some disproofs.","challenge-both-sides","01:23 PM","creation-intelligent-design-vs-evolution","11"
