"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"10-02-2007","10445",1,"None","None","None","Benjamin","286093","The universe burst into something from absolutely nothing- zero, nada. And as it got bigger, it became filled with even more stuff that came from absolutely nowhere. How is that possible? Ask Alan Guth. His theory of inflation helps explain everything. ~Discover Magazine April 2002 HAHAHA. What great faith you evilutionists have in nothingness! LOL Rofl","big-bang-lol-you-cant-serious","12:38 PM","creation-intelligent-design-vs-evolution","1"
"10-02-2007","10445",1,"Benjamin","286093","The universe burst into something from absolutely nothing- zero, nada. And as it got bigger, it became filled with even more stuff that came from absolutely nowhere. How is that possible? Ask Alan Guth. His theory of inflation helps explain everything. ~Discover Magazine April 2002 HAHAHA. What great faith you evilutionists have in nothingness! LOL Rofl","jim's trucking","286094","Evolution is not a faith-based science.","big-bang-lol-you-cant-serious","12:40 PM","creation-intelligent-design-vs-evolution","2"
"10-02-2007","10445",1,"None","None","None","Benjamin","286096","Evolution theory is not science at all, it is faith. Period. How can I conclude that? Because an examination of the evidence shows that a bias/ ideology/ Godless belief system is the only real evidence for evolution theory: evolutionist Stephen Jay Gould: Our ways of learning about the world are strongly influenced by the social pre-conceptions and biased modes of thinking that each scientist must apply to any problem. Evolutionary biologist Richard Lewontin said: we have a prior commitment to materialism. It is not that the methods and institutions of science somehow compel us to accept a material explanation of the phenomenal world, but, on the contrary, that we are forced by our priori adherence to material causes to create an apparatus of investigation and a set of concepts that produce material explanations, no matter how counter-intuitiveMoreover, that materialism is an absolute, for we cannot allow a divine foot in the door.","big-bang-lol-you-cant-serious","12:44 PM","creation-intelligent-design-vs-evolution","3"
"10-02-2007","10445",1,"Benjamin","286096","Evolution theory is not science at all , it is faith. Period. How can I conclude that? Because an examination of the evidence shows that a bias/ ideology/ Godless belief system is the only real evidence for evolution theory: evolutionist Stephen Jay Gould: Our ways of learning about the world are strongly influenced by the social pre-conceptions and biased modes of thinking that each scientist must apply to any problem. Evolutionary biologist Richard Lewontin said: we have a prior commitment to materialism. It is not that the methods and institutions of science somehow compel us to accept a material explanation of the phenomenal world, but, on the contrary, that we are forced by our priori adherence to material causes to create an apparatus of investigation and a set of concepts that produce material explanations, no matter how counter-intuitiveMoreover, that materialism is an absolute, for we cannot allow a divine foot in the door.","jim's trucking","286100","Not that I agree with anything you've said here. You do seem to have quoted two others who see it as a science. Fossil studies and research involving species both past and present constitute a science more so that faith-based acceptance of parables and 'divinely inspired' writings of man. Who said there's no room for something divine in evolutionary thought. I firmly believe in evolution. I firmly believe God caused it all.","big-bang-lol-you-cant-serious","01:12 PM","creation-intelligent-design-vs-evolution","4"
"10-02-2007","10445",1,"Benjamin","286096","Evolution theory is not science at all, it is faith. Period. How can I conclude that? Because an examination of the evidence shows that a bias/ ideology/ Godless belief system is the only real evidence for evolution theory: evolutionist Stephen Jay Gould: Our ways of learning about the world are strongly influenced by the social pre-conceptions and biased modes of thinking that each scientist must apply to any problem. Evolutionary biologist Richard Lewontin said: we have a prior commitment to materialism. It is not that the methods and institutions of science somehow compel us to accept a material explanation of the phenomenal world, but, on the contrary, that we are forced by our priori adherence to material causes to create an apparatus of investigation and a set of concepts that produce material explanations, no matter how counter-intuitiveMoreover, that materialism is an absolute, for we cannot allow a divine foot in the door.","chemist99a","286102","Nope its mainstream science just as Newtonian Physics is. Granted that evolution theory does not invoke GOD but on the other hand it does not deny GOD either. Its agnostic just like every science you might choose to name is. Physics, Chemistry, even Math are ""GODLESS"". Which is true but that can be said for ALL fields which involve human beings. But biases can be compensated for, results confirmed, conclusions tested against logic, and knowledge is possible even in the presense of some bias. Actually what scientists have is a provisional theory that material causes are sufficient to explain material outcomes. Its provisional and subject to falsification should anyone ever find a valid counter example. So far none such has turned up oddly enough. And yes under that assumption science must be agnostic. Just because GOD cannot get a foot in the door does not imply that he cannot stand outside the door does it?","big-bang-lol-you-cant-serious","01:17 PM","creation-intelligent-design-vs-evolution","5"
"10-02-2007","10445",1,"jim's trucking","286100","Not that I agree with anything you've said here. You do seem to have quoted two others who see it as a science. Fossil studies and research involving species both past and present constitute a science more so that faith-based acceptance of parables and 'divinely inspired' writings of man. Who said there's no room for something divine in evolutionary thought. I firmly believe in evolution. I firmly believe God caused it all. Evolutionary biologist Richard Lewontin said: we have a prior commitment to materialism. It is not that the methods and institutions of science somehow compel us to accept a material explanation of the phenomenal world, but, on the contrary, that we are forced by our priori adherence to material causes to create an apparatus of investigation and a set of concepts that produce material explanations, no matter how counter-intuitiveMoreover, that materialism is an absolute, for we cannot allow a divine foot in the door.","Benjamin","286103","You realized you just bolded a statement saying that science had nothing to do with ""them"" accepting evolution (a ""material explaination"") right? ROFL, that my friend was terrible science on your part.","big-bang-lol-you-cant-serious","01:18 PM","creation-intelligent-design-vs-evolution","6"
"10-02-2007","10445",1,"Benjamin","286093","The universe burst into something from absolutely nothing- zero, nada. And as it got bigger, it became filled with even more stuff that came from absolutely nowhere. How is that possible? Ask Alan Guth. His theory of inflation helps explain everything. ~Discover Magazine April 2002 HAHAHA. What great faith you evilutionists have in nothingness! LOL Rofl","chemist99a","286104","Sorry wrong field of investigation. Take up your concerns with the cosmologists. Us evolutionists don't own cosmology - whole different set of folks. Alan Guth is a cosmologist and deals almost entirely with theoretical physics and abstruse math. He most likely could not draw even an elementary set of relationships between the various species.","big-bang-lol-you-cant-serious","01:22 PM","creation-intelligent-design-vs-evolution","7"
"10-02-2007","10445",1,"Benjamin","286103","You realized you just bolded a statement saying that science had nothing to do with ""them"" accepting evolution (a ""material explaination"") right? ROFL, that my friend was terrible science on your part.","chemist99a","286105","So did you read his mind to determine exactly why he bolded that particular set of words? You are the first mind reader I have encountered here. And considering your disdain and rejection of science from cosmology to biology what does it matter if something is terrible science. According to you all science should be terrible. Why do you attempt to use a tool which you reject as being useful?","big-bang-lol-you-cant-serious","01:26 PM","creation-intelligent-design-vs-evolution","8"
"10-02-2007","10445",1,"Benjamin","286096","Evolution theory is not science at all, it is faith. Period.","sinjin","286112","While I disagree with your opinion I understand your suspicion towards faith based beliefs. If something relies on faith alone, how likely is it really? As it happens there is evidence for the Big Bang: Cosmic Microwave Background Radiation Perhaps the most conclusive (and certainly among the most carefully examined) piece of evidence for the Big Bang is the existence of an isotropic radiation bath that permeates the entire Universe known as the ""cosmic microwave background"" (CMB). The word ""isotropic"" means the same in all directions; the degree of anisotropy of the CMB is about one part in a thousand. In 1965, two young radio astronomers, Arno Penzias and Robert Wilson, almost accidentally discovered the CMB using a small, well-calibrated horn antenna. It was soon determined that the radiation was diffuse, emanated unifromly from all directions in the sky, and had a temperature of approximately 2.7 Kelvin (ie 2.7 degrees above absolute zero). Initially, they could find no satisfactory explanation for their observations, and considered the possibility that their signal may have been due to some undetermined systematic noise. They even considered the possibility that it was due to ""a white dielectric substance"" (ie pigeon droppings) in their horn! However, it soon came to their attention through Robert Dicke and Jim Peebles of Princeton that this background radiation had in fact been predicted years earlier by George Gamow as a relic of the evolution of the early Universe. This background of microwaves was in fact the cooled remnant of the primeval fireball - an echo of the Big Bang. If the universe was once very hot and dense, the photons and baryons would have formed a plasma, ie a gas of ionized matter coupled to the radiation through the constant scattering of photons off ions and electrons. As the universe expanded and cooled there came a point when the radiation (photons) decoupled from the matter - this happened about a few hundred thousand years after the Big Bang. That radiation cooled and is now at 2.7 Kelvin. The fact that the spectrum (see figure) of the radiation is almost exactly that of a ""black body"" (a physicists way of describing a perfect radiator) implies that it could not have had its origin through any prosaic means. This has led to the death of the steady state theory for example. In fact the CMB spectrum is a black body to better than 1% accuracy over more than a factor of 1000 in wavelength. This is a much more accurate black body than any we can make in the laboratory! By the early 1970's it became clear that the CMB sky is hotter in one direction and cooler in the opposite direction, with the temperature difference being a few mK (or about 0.1% of the overall temperature). The pattern of this temperature variation on the sky is known as a ""dipole"", and is exactly what is expected if we are moving through the background radiation at high speed in the direction of the hot part. The inference is that our entire local group of galaxies is moving in a particular direction at about 600 km/s. In the direction we are moving the wavelengths of the radiation are squashed together (a blue-shift), making the sky appear hotter there, while in the opposite direction the wavelengths are stretched out (redshift), making the sky appear colder there. When this dipole pattern, due to our motion, is removed, the CMB sky appears incredibly isotropic. Further investigations, including more recent ones by the COBE satellite (eg Smoot et. al.), confirmed the virtual isotropy of the CMB to better than one part in ten-thousand. Given this level of isotropy, together with the accurate black-body spectrum, any attempt to interpret the origin of the CMB as due to present astrophysical phenomena (i.e. stars, dust, radio galaxies, etc.) is no longer credible. Therefore, the only satisfactory explanation for the existence of the CMB lies in the physics of the early Universe. http://www.astro.ubc.ca/people/scott/cmb_intro.html","big-bang-lol-you-cant-serious","01:50 PM","creation-intelligent-design-vs-evolution","9"
"10-02-2007","10445",1,"sinjin","286124","But what great faith you cretinists have in nonsense!","Benjamin","286136","Nonsense? Hardly: http://godsreal.org/?p=78 http://godsreal.org/?p=31 http://godsreal.org/?p=75","big-bang-lol-you-cant-serious","03:03 PM","creation-intelligent-design-vs-evolution","10"
