"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"01-10-2010",1,"10445","389","Archangel","385282","I must ask another question here, what if the so called ancient light is not really so ancient? What if they never assumed the light to be ancient? How then would the predicted fingerprint match by these various cosmic theories then be interpreted? And what would that conclusion be?","birdan","385327","Light from distant stars is not an assumption, it is evidentially supported. The speed of light has been directly measured both in the laboratory, from the moon, from the other side of the sun, from the fringes of the heliosphere. Not only that, the mathematical theory behind basic physics rules out light traveling significantly faster than has been measured, and it certainly rules out light being faster in the past by a factor of a million, which is necessary for a thousands year old universe. That is a far cry from ""assumption"". If the light from distant stars is not ancient (i.e., traveling at the speed of light), then obviously either all of physics and chemistry is wrong, or the light was created on its way to earth 6,000 years ago. The problem is that this light contains a history of events in it, and consequently light created en route contains a history of events that never happened. The same is true for the earth's geology. It is not a question of a 6,000 year old earth created to ""look mature"". Rather, the earth's geology contains a history of events (meteor impacts, volcanoes, tectonic movement, sedimentary rock formation, etc.). Basic 19th century physics shows that if all these events happened in the past several thousand years, our current earth would be a molten ball because of all the heat produced by these events. Once again, either all of physics and chemistry is wrong, or the history of events in the earth's geology never happened. If the creator of this 'light en route to earth' and earth's geology could place fictitious events in the light and in the earth's rocks, then it would seem this same creator could create a holy book full of fictitious events. If you don't subscribe to the idea of a deceptive creator, then you are saying that all of physics, chemistry, biology, astronomy, cosmology, geology, paleontology, genetics, etc. are wrong. In effect, you are indeed rejecting all the physical sciences.","big-bang-lol-you-cant-serious","12:25 PM","creation-intelligent-design-vs-evolution","388"
"01-10-2010",1,"10445","391","birdan","385327","Light from distant stars is not an assumption, it is evidentially supported. The speed of light has been directly measured both in the laboratory, from the moon, from the other side of the sun, from the fringes of the heliosphere. Not only that, the mathematical theory behind basic physics rules out light traveling significantly faster than has been measured, and it certainly rules out light being faster in the past by a factor of a million, which is necessary for a thousands year old universe. That is a far cry from ""assumption"". If the light from distant stars is not ancient (i.e., traveling at the speed of light), then obviously either all of physics and chemistry is wrong, or the light was created on its way to earth 6,000 years ago. The problem is that this light contains a history of events in it, and consequently light created en route contains a history of events that never happened. The same is true for the earth's geology. It is not a question of a 6,000 year old earth created to ""look mature"". Rather, the earth's geology contains a history of events (meteor impacts, volcanoes, tectonic movement, sedimentary rock formation, etc.). Basic 19th century physics shows that if all these events happened in the past several thousand years, our current earth would be a molten ball because of all the heat produced by these events. Once again, either all of physics and chemistry is wrong, or the history of events in the earth's geology never happened. If the creator of this 'light en route to earth' and earth's geology could place fictitious events in the light and in the earth's rocks, then it would seem this same creator could create a holy book full of fictitious events. If you don't subscribe to the idea of a deceptive creator, then you are saying that all of physics, chemistry, biology, astronomy, cosmology, geology, paleontology, genetics, etc. are wrong. In effect, you are indeed rejecting all the physical sciences.","Archangel","385353","An excellant post in describing what appears to be the observable facts regarding measuring the distance that light has traveled through time. And I totally agree with you that from our perspective what you say appears to be true and even reasonable. The problem here is that our perspective is that of an ant with its miniscule life span attempting to discern eternity. It simply can't be done. Not that the attempt is wrong, it's just that we don't have the tools to verify that our interpretations of the available observations are the correct ones. Here's an example of what I mean. Gen 1:1 In the beginning God created the heavens and the earth. When was the beginning? Gen 1:2 The earth was formless and void, and darkness was over the surface of the deep, and the Spirit of God was moving over the surface of the waters. Gen 1:3 Then God said, ""Let there be light""; and there was light. If God placed all of the stars in space at the same time, wouldn't that give a deceptive appearance to the age of the stars and the universe based on our assumption that measuring the alleged time it took for the light to travel here was necessary at all? Again, it's our perspective based on assumptions that the universe must be old which is questionable, if not faulty. According to verse 1, if the beginning was mere thousands of years ago, and God called light into being as verse 3 says, and the stars are the source of all light throughout time and space, then what appears to have taken billions of years to occur to us, actually took place instantaneously. This exchange is an excellent example of why we will never agree on the observations of science though, you are willing to accept any outcome which agrees with your preconceived notions, where as I require absolute and undeniable evidence for any claims which contradict or oppose the word of God which I consider preeminent according to my world view.","big-bang-lol-you-cant-serious","02:20 PM","creation-intelligent-design-vs-evolution","377"
"01-10-2010",1,"10445","397","Archangel","385353","An excellant post in describing what appears to be the observable facts regarding measuring the distance that light has traveled through time. And I totally agree with you that from our perspective what you say appears to be true and even reasonable. The problem here is that our perspective is that of an ant with its miniscule life span attempting to discern eternity. It simply can't be done. Not that the attempt is wrong, it's just that we don't have the tools to verify that our interpretations of the available observations are the correct ones. Here's an example of what I mean. Gen 1:1 In the beginning God created the heavens and the earth. When was the beginning? Gen 1:2 The earth was formless and void, and darkness was over the surface of the deep, and the Spirit of God was moving over the surface of the waters. Gen 1:3 Then God said, ""Let there be light""; and there was light. If God placed all of the stars in space at the same time, wouldn't that give a deceptive appearance to the age of the stars and the universe based on our assumption that measuring the alleged time it took for the light to travel here was necessary at all? Again, it's our perspective based on assumptions that the universe must be old which is questionable, if not faulty. According to verse 1, if the beginning was mere thousands of years ago, and God called light into being as verse 3 says, and the stars are the source of all light throughout time and space, then what appears to have taken billions of years to occur to us, actually took place instantaneously. This exchange is an excellent example of why we will never agree on the observations of science though, you are willing to accept any outcome which agrees with your preconceived notions, where as I require absolute and undeniable evidence for any claims which contradict or oppose the word of God which I consider preeminent according to my world view.","birdan","385406","It's not a question of an ""apparent age"" of the universe and the earth, it is the embedded history of events contained in that age. That part of my post was the salient point, and not addressed in your reply. Here it is again: If the light from distant stars is not ancient (i.e., traveling at the speed of light), then obviously either all of physics and chemistry is wrong, or the light was created on its way to earth 6,000 years ago. The problem is that this light contains a history of events in it, and consequently light created en route contains a history of events that never happened. The same is true for the earth's geology. It is not a question of a 6,000 year old earth created to ""look mature"". Rather, the earth's geology contains a history of events (meteor impacts, volcanoes, tectonic movement, sedimentary rock formation, etc.). Basic 19th century physics shows that if all these events happened in the past several thousand years, our current earth would be a molten ball because of all the heat produced by these events. Once again, either all of physics and chemistry is wrong, or the history of events in the earth's geology never happened. If the creator of this 'light en route to earth' and earth's geology could place fictitious events in the light and in the earth's rocks, then it would seem this same creator could create a holy book full of fictitious events. If you don't subscribe to the idea of a deceptive creator, then you are saying that all of physics, chemistry, biology, astronomy, cosmology, geology, paleontology, genetics, etc. are wrong. In effect, you are indeed rejecting all the physical sciences.","big-bang-lol-you-cant-serious","07:10 PM","creation-intelligent-design-vs-evolution","334"
"01-10-2010",1,"10445","399","birdan","385406","It's not a question of an ""apparent age"" of the universe and the earth, it is the embedded history of events contained in that age. That part of my post was the salient point, and not addressed in your reply. Here it is again: If the light from distant stars is not ancient (i.e., traveling at the speed of light), then obviously either all of physics and chemistry is wrong, or the light was created on its way to earth 6,000 years ago. The problem is that this light contains a history of events in it, and consequently light created en route contains a history of events that never happened. The same is true for the earth's geology. It is not a question of a 6,000 year old earth created to ""look mature"". Rather, the earth's geology contains a history of events (meteor impacts, volcanoes, tectonic movement, sedimentary rock formation, etc.). Basic 19th century physics shows that if all these events happened in the past several thousand years, our current earth would be a molten ball because of all the heat produced by these events. Once again, either all of physics and chemistry is wrong, or the history of events in the earth's geology never happened. If the creator of this 'light en route to earth' and earth's geology could place fictitious events in the light and in the earth's rocks, then it would seem this same creator could create a holy book full of fictitious events. If you don't subscribe to the idea of a deceptive creator, then you are saying that all of physics, chemistry, biology, astronomy, cosmology, geology, paleontology, genetics, etc. are wrong. In effect, you are indeed rejecting all the physical sciences.","Archangel","385412","No birdan, as I said, it appears to be an imbedded history of events contained in that age, but since nobody has actually observed past reality in real time, there is no way to confirm what actually occurred so we make assumptions that the universe is old when it may not be that old at all. Just as with your assumptions regarding the geology of the earth, I believe that the fossil record which evolutionists believe was created over hundreds of millions of years was actually deposited by the great flood quickly. Again, it is all a matter of interpretation and we will never agree on that aspect of how to interpret this evidence.","big-bang-lol-you-cant-serious","07:41 PM","creation-intelligent-design-vs-evolution","123"
"01-10-2010",1,"10445","412","Archangel","385412","No birdan, as I said, it appears to be an imbedded history of events contained in that age , but since nobody has actually observed past reality in real time, there is no way to confirm what actually occurred so we make assumptions that the universe is old when it may not be that old at all. Just as with your assumptions regarding the geology of the earth, I believe that the fossil record which evolutionists believe was created over hundreds of millions of years was actually deposited by the great flood quickly. Again, it is all a matter of interpretation and we will never agree on that aspect of how to interpret this evidence.","birdan","385476","That is my point: it either appears to be an embedded history of events, or it really is a history of events. If I look at an meteor crater, I say the crater was produced by a meteor impact. Either it was or it wasn't. There is no necessity for craters in a 'mature earth', a crater is evidence of an event. Do you think a meteor crater was produced by a meteor impact, or is it simply a fake stage prop? What you seem to be saying is that God not only produced a 'mature earth' but also produced an earth with an appearance of a history of events that didn't happen, and science only 'assumes' these events actually happened. Even though the evidence of these past events directly correlates to evidence we witness in the present, and even though the evidence of these past events follow and are explainable by physics and chemistry, they really didn't happen - they are really an embedded history that never occurred. Have I got that right?","big-bang-lol-you-cant-serious","11:50 PM","creation-intelligent-design-vs-evolution","196"
"01-11-2010",1,"10445","413","birdan","385476","That is my point: it either appears to be an embedded history of events, or it really is a history of events. If I look at an meteor crater, I say the crater was produced by a meteor impact. Either it was or it wasn't. There is no necessity for craters in a 'mature earth', a crater is evidence of an event. Do you think a meteor crater was produced by a meteor impact, or is it simply a fake stage prop? What you seem to be saying is that God not only produced a 'mature earth' but also produced an earth with an appearance of a history of events that didn't happen, and science only 'assumes' these events actually happened. Even though the evidence of these past events directly correlates to evidence we witness in the present, and even though the evidence of these past events follow and are explainable by physics and chemistry, they really didn't happen - they are really an embedded history that never occurred. Have I got that right?","Archangel","385482","I don't deny that the earth has been hit by meteors or has experienced tectonic plate shifts and earthquakes as well as volcanoes throughout its history. But we haven't experienced meteor events on the scale of neighboring planets by any means. Why is that when we share the same spacial real estate, so to speak? Geographic Distribution of Known Impact Structures This image shows the geographic distribution of about 160 structures that have been positively identified to date as impact structures based on the presence of shock-metamorphic effects and/or the presence of a meteoritic component or fragments at the structure. http://www.lpi.usra.edu/publications...BUTION_MAP.JPG Compare this image to the number of craters on the moon which is our closest neighbor/satellite and the other planets in our neighborhood. Although I believe a big one is coming our way, we have dodged many bullets compared to the other planets around us. And remember, it isn't that these events occurred which I argue, it is when. Just look at Mt St Helens today and see how the destructive evidence of that event has been completely erased and grown over in a short 30 years, not 3,000, or 3 million years, but just 30 years.","big-bang-lol-you-cant-serious","05:17 AM","creation-intelligent-design-vs-evolution","217"
"01-11-2010",1,"10445","415","Archangel","385482","I don't deny that the earth has been hit by meteors or has experienced tectonic plate shifts and earthquakes as well as volcanoes throughout its history. But we haven't experienced meteor events on the scale of neighboring planets by any means. Why is that when we share the same spacial real estate, so to speak? ... Compare this image to the number of craters on the moon which is our closest neighbor/satellite and the other planets in our neighborhood. Although I believe a big one is coming our way, we have dodged many bullets compared to the other planets around us. And remember, it isn't that these events occurred which I argue, it is when. Just look at Mt St Helens today and see how the destructive evidence of that event has been completely erased and grown over in a short 30 years, not 3,000, or 3 million years, but just 30 years.","birdan","385498","Thanks for the reply. Accipiter has already given the reason we don't see as many craters on earth as other bodies in the solar system. But I'll just talk about the confirmed craters as pointed out on your map, and we can compare those to Mt. St. Helens. The Mt. St. Helens eruption was the equivalent of a 24 megaton bomb going off. For reference purposes, the largest atomic bomb ever tested was a 25 megaton hydrogen bomb, and the Hiroshima bomb was a 0.01 megaton bomb. Now, if we take Isaac Newton's formula for kinetic energy (E = 1/2mv^2), we can calculate the amount of energy needed to create all those craters on your map. The result: over one billion megatons of energy. That would be the same as 40 million Mt. Saint Helens eruptions! Over a 5,000 year YEC period, that would be the equivalent of twenty 25 megaton bombs exploding every single day ! It would be the equivalent of 23 Mount St. Helens eruptions every single day ! Of course, even young earth creationists don't believe that such catastrophic events have been happening for the past 3,000 years at least, and most young earth creationist literature I've read attributes the above meteor impacts to a single ""flood year"". That would mean that during the ""flood year"" there was the equivalent of 40 million Mount St. Helens eruptions on the earth . If the earth is only thousands of years old, then those meteor impacts should have obliterated the surface of the earth and generated sufficient heat to boil away the oceans. Or the basic physics of Isaac Newton are another aspect of science that young earth creationism rejects. Or those meteor impacts never really happened. If the earth is at least several hundreds of millions of years old, then the above meteor impacts present no problem as evidence of a history of events.","big-bang-lol-you-cant-serious","08:05 AM","creation-intelligent-design-vs-evolution","353"
"10-07-2007",2,"10445","106","Archangel","286993","Stop whining child, you're embarrassing yourself. and while you're at it, get a clue.","obvious_child","286995","It's funny how you pretend to be the winner here when you can't even address a single point made to you or refute any reasonings made against you. Explain to me how ""I'm right because I said so"" is a viable argument.","big-bang-lol-you-cant-serious","07:48 PM","creation-intelligent-design-vs-evolution","46"
"10-07-2007",2,"10445","107","obvious_child","286995","It's funny how you pretend to be the winner here when you can't even address a single point made to you or refute any reasonings made against you. Explain to me how ""I'm right because I said so"" is a viable argument.","Archangel","287002","I am the winner, simply because I'm not you. But of course you'd have to be me to fully appreciate that in this lifetime.","big-bang-lol-you-cant-serious","08:04 PM","creation-intelligent-design-vs-evolution","27"
"10-07-2007",2,"10445","110","Archangel","287002","I am the winner, simply because I'm not you. But of course you'd have to be me to fully appreciate that in this lifetime.","obvious_child","287008","Life is sure nice when you don't have to make sense isn't it? Not that anyone with a education actually thinks you're nothing more then a troll though... And I'm the one embarrassing myself.... Remind me next time I seriously use your kind of logic.","big-bang-lol-you-cant-serious","09:07 PM","creation-intelligent-design-vs-evolution","49"
