"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"01-29-2008","10863",1,"None","None","None","obvious_child","299122","If science is ""unprovable"" , ""a fraud"" and ""lies"" explain how the world developed into what we see now without it.","creationists-science-modern-world","08:13 PM","creation-intelligent-design-vs-evolution","1"
"01-30-2008","10863",1,"None","None","None","obvious_child","299289","And once again, creationists show the following: 1) Their arguments have absolutely no substance 2) They do not understand science at all period","creationists-science-modern-world","04:21 PM","creation-intelligent-design-vs-evolution","2"
"04-20-2008","10863",1,"obvious_child","299289","And once again, creationists show the following: 1) Their arguments have absolutely no substance 2) They do not understand science at all period","lpdm","309218","Smart one! Evolution cannot be proved either!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","creationists-science-modern-world","12:59 PM","creation-intelligent-design-vs-evolution","3"
"04-20-2008","10863",1,"obvious_child","299122","If science is ""unprovable"" , ""a fraud"" and ""lies"" explain how the world developed into what we see now without it.","Archangel","309221","Who said science is unprovable? It's evolution that is unprovable because it isn't a science at all, but nothing more than secular humanist pseudo religious voo-doo.","creationists-science-modern-world","01:07 PM","creation-intelligent-design-vs-evolution","4"
"04-20-2008","10863",1,"lpdm","309218","Smart one! Evolution cannot be proved either!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","electrolyte","309225","To any reasonable degree, it has.","creationists-science-modern-world","01:15 PM","creation-intelligent-design-vs-evolution","5"
"04-20-2008","10863",1,"lpdm","309218","Smart one! Evolution cannot be proved either!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","pandion","309241","You left off one ! so your statement is incorrect. Actually, as an evolutionary biologist I would agree that evolution can't be proved - Proof is a matter of law, math, or alcoholic beverages. In fact, evolution has been observed. We can see evolution in progress, and that makes evolution a fact. The observations of evolution are some of the facts upon which the theories of evolution are based. Why is it that only creationists who are scientifically illiterate talk about science and proof in the same sentence? I guess it is much better to believe the mythology of ancient, bronze age, nomadic herdsmen and postulate a magical being for which there is no evidence. An education would help.","creationists-science-modern-world","04:30 PM","creation-intelligent-design-vs-evolution","6"
"04-20-2008","10863",1,"pandion","309241","An education would help.","electrolyte","309243","But only if they're willing to receive one. Most aren't.","creationists-science-modern-world","04:56 PM","creation-intelligent-design-vs-evolution","7"
"04-20-2008","10863",1,"None","None","None","marc9000","309254","""Evolution is a slippery word."" (from the movie, ""Expelled"")","creationists-science-modern-world","07:45 PM","creation-intelligent-design-vs-evolution","8"
"04-20-2008","10863",1,"marc9000","309254","""Evolution is a slippery word."" (from the movie, ""Expelled"")","electrolyte","309282","Says the movie that doesn't even try to define ""ID,"" even though the entire movie is (allegedly) devoted to showing that it's valid but oppressed.","creationists-science-modern-world","11:59 PM","creation-intelligent-design-vs-evolution","9"
"04-21-2008","10863",1,"marc9000","309254","""Evolution is a slippery word."" (from the movie, ""Expelled"")","Peeling","309294","By the same token, so is the word 'mine'. Or 'keep'. Or 'faith', for that matter. I do have to wonder: are you genuinely, heart-attack serious in your belief that the multiple meanings of the word 'evolution' are sinister in nature and purpose? Because it strikes me as odd that members of a conspiracy dedicated to the misleading use of a term would endlessly, repeatedly, patiently (and as time goes by, less patiently) explain in excruciating detail the important differences between the uses of that term. Take me, for instance: are you prepared to tell me to my face that I'm being deceptive when I talk about evolution? Can you point to anything I've ever written on the subject that seems intentionally misleading? Have I equivocated - or have I rather expended considerable effort in the service of clarity? The feeling I get is that it doesn't matter a wet slap what anyone says or does, you'll interpret it according to the requirements of your pet conspiracy theory. So when people say evolution isn't atheistic, you see it as proof that it is atheistic and evolutionists are liars. When umpteen independent scientific disciplines all corroborate the tentative predictions of evolutionary theory, it's proof that evolution has pervaded all of science and that all scientists are liars. When scientists say that I.D. is religiously motivated pseudoscience and produce documentary evidence to that effect, it's proof that I.D. is really good science and scientists want to suppress it because they're scared. Just for a moment, pretend your conspiracy theory is nonsense. Doesn't all the wealth of evidence admit another explanation? That common descent is a fact, evolutionary theory is robustly supported by multiple scientific disciplines because it's right , that I.D. has no demonstrable scientific merit, isn't widely supported, is religiously motivated, and hasn't earned its place in the science classroom alongside E=MC2? Compare the two scenarios, and ask yourself: which demands the existence of the fewest conspiratorial liars to prop it up? And in which scenario do the conspirators have the clearest, most obvious, and self-declared motivation to behave as they are? Seriously, now: you're prepared to take the utter lack of atheist trappings within evolutionary biology as evidence of a vast, silent conspiracy, so why ignore the public statements of sites like AIG and I.D organisations to the effect that they have an agenda of bringing religion to the forefront of scientific endeavour? They come right out and announce their unscientific bias and conspiratorial intent! It's the foundation of their recruiting drive! Doesn't that ring any alarm bells?","creationists-science-modern-world","07:14 AM","creation-intelligent-design-vs-evolution","10"
"04-21-2008","10863",1,"None","None","None","Penfold","309295","Despite your sterling efforts, it is more likely to be the Pavlovian dinner bell they hear.....","creationists-science-modern-world","07:23 AM","creation-intelligent-design-vs-evolution","11"
