"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"11-01-2008","11889",1,"None","None","None","obvious_child","330795","Incapable of arguing without relying on the fallacy of changing the subject, false dichotomies (if not A, therefore B), and generally unable of actually discussing their beliefs on those beliefs' merits?","why-creationists","09:57 PM","creation-intelligent-design-vs-evolution","1"
"11-01-2008","11889",1,"None","None","None","Symbiote","330799","Generally creationists follow an ideology which forbids questioning of beliefs, sometimes explicitly, sometimes implicitly. That said, creationists are not the enemy. Many people hold beliefs of dubious merit with great passion. Many martial arts students believe in some variation of eastern mysticism which is scientifically baseless. Many people believe in astrology or crystal healing or some other placebo. Even in businesss, the psychometric tests employed to predict who will make the best employee are often groundless. Even on this board, many people hold a similar faith in global warming. The only reason creationism is even an issue is because the public school system makes it impossible for these kinds of beliefs to be resolved in a voluntary manner. It is public schooling, not creationism per se that needs to be dealt with.","why-creationists","10:30 PM","creation-intelligent-design-vs-evolution","2"
"11-01-2008","11889",1,"None","None","None","Collin","330805","5 bucks says AA will come in pretty soon and start ranting about the odds against Abiogenesis.","why-creationists","10:46 PM","creation-intelligent-design-vs-evolution","3"
"11-02-2008","11889",1,"Collin","330805","5 bucks says AA will come in pretty soon and start ranting about the odds against Abiogenesis.","obvious_child","330817","Which essentially proves my point. I wrote in a similar thread that creationists who attempt to change the subject and that would show they had nothing. Then marc posted trying to change the subject. Seriously.","why-creationists","03:46 AM","creation-intelligent-design-vs-evolution","4"
"11-02-2008","11889",1,"None","None","None","iangb","330821","Creationism attempts to deny observable reality with the power of faith, while maintaining a logical faade. The only way to do this is to never follow any point through to it's ultimate conclusion, as it will be shown as false. Instead, the best tactic is to attempt to bury opponents under an ever-shifting, ever-repeating argument in an attempt to persuade them that because you have so many arguments, you must be right - and because you never stay on-topic, none of your points are ever completely wiped of the map, so you can revisit them and force them to be debated from the start again. This is why the Index to Creationist Claims is so handy, because it allows most arguments to be wiped out from stage one. Hence my personal Creationist Challenge - if someone can come up with an argument for creationism that I cannot answer with a single link to the Index, I will take that person seriously. But yes, the above could apply to anyone who is 'blatantly wrong' (to put it tactlessly).","why-creationists","07:58 AM","creation-intelligent-design-vs-evolution","5"
"11-02-2008","11889",1,"None","None","None","Archangel","330822","Another anti-creationist bitch session huh boys? Have your fun deluding yourselves and patting each other on the back over the massive lie which is your preferred religion. I need not defend myself against any of it.","why-creationists","08:01 AM","creation-intelligent-design-vs-evolution","6"
"11-02-2008","11889",1,"None","None","None","Penfold","330823","Thanks for the link, Ian. Although I have obviously encountered many of these fallacious ""arguments"" in the past, it's impressive to imagine the self-sacrificing commitment involved in sifting the dross in order to index it for the convenience of others.","why-creationists","08:19 AM","creation-intelligent-design-vs-evolution","7"
"11-02-2008","11889",1,"iangb","330821","Creationism attempts to deny observable reality with the power of faith, while maintaining a logical faade. The only way to do this is to never follow any point through to it's ultimate conclusion, as it will be shown as false. Instead, the best tactic is to attempt to bury opponents under an ever-shifting, ever-repeating argument in an attempt to persuade them that because you have so many arguments, you must be right - and because you never stay on-topic, none of your points are ever completely wiped of the map, so you can revisit them and force them to be debated from the start again. This is why the Index to Creationist Claims is so handy, because it allows most arguments to be wiped out from stage one. Hence my personal Creationist Challenge - if someone can come up with an argument for creationism that I cannot answer with a single link to the Index, I will take that person seriously. But yes, the above could apply to anyone who is 'blatantly wrong' (to put it tactlessly).","Archangel","330824","You mean that you rely on the talking points as laid out by Talk Origins as your bible, as I rely on Gods word to guide my beliefs? That fact goes without saying. But remember this ian, just because your side is capable of creating lies in order to refute reality, it doesn't make anything you say true in any way, shape or form. But thanks for revealing that you don't mind letting that site do your thinking for you.","why-creationists","08:26 AM","creation-intelligent-design-vs-evolution","8"
"11-02-2008","11889",1,"Archangel","330822","Another anti-creationist bitch session huh boys? Have your fun deluding yourselves and patting each other on the back over the massive lie which is your preferred religion. I need not defend myself against any of it. Incapable of arguing without relying on the fallacy of changing the subject, false dichotomies (if not A, therefore B), and generally unable of actually discussing their beliefs on those beliefs' merits?","obvious_child","330865","Seriously. Some people would think that I'm in cahoots with Arch. I predict it and then he goes and proves it.","why-creationists","05:57 PM","creation-intelligent-design-vs-evolution","10"
"11-03-2008","11889",1,"Symbiote","330799","Generally creationists follow an ideology which forbids questioning of beliefs, sometimes explicitly, sometimes implicitly. .","trebor","330920","Oh.. that makes sense. Because, it sounds exactly like modern day republicans.","why-creationists","09:01 AM","creation-intelligent-design-vs-evolution","11"
