"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"11-25-2008","12023",1,"None","None","None","CashBurnRate","334263","If all life evolved from a common ancestor, then there should be countless instances of new body parts evolving. Body parts such as eyes, muscle, bone, etc. We have not seen one instance of a new body part evolving in a population in which it has not existed previously. Evolutionists will wave the magic ""time wand"" and simply claim that such a change could never be observed in a few decades. What about fruit flies? One generation of fruit flies = around a day. Fruit flies were exposed to x rays to speed up mutation rates, we have observed the equivalent of millions of years (in terms of human generations) of super-accelerated mutation and.... no new body parts. Evolutionists will also list in steps how a new body part can arise. This is only plausible if each of those steps could be directly observed. If not, then it is nothing more than science fiction. Evolutionists have been searching for any direct evidence of the theory of evolution since the 1800's. They are still looking.","there-absolutely-no-convincing-evidence-theory-evolution","05:46 PM","creation-intelligent-design-vs-evolution","1"
"11-25-2008","12023",1,"None","None","None","Collin","334267","Uh oh. Cash isn't asking for just any kind of evidence, but convincing evidence. We automatically lose because ""convincing"" evidence is already defined by Cash as something we are unable to present.","there-absolutely-no-convincing-evidence-theory-evolution","06:16 PM","creation-intelligent-design-vs-evolution","2"
"11-25-2008","12023",1,"Collin","334267","Uh oh. Cash isn't asking for just any kind of evidence, but convincing evidence. We automatically lose because ""convincing"" evidence is already defined by Cash as something we are unable to present.","CashBurnRate","334268","No, convincing evidence is any of the following: 1) any new body part evolving in a population in which it hasn't previously existed 2) if evolutionists present how a new body part COULD evolve using a number of steps, then direct observation of each of those steps","there-absolutely-no-convincing-evidence-theory-evolution","06:20 PM","creation-intelligent-design-vs-evolution","3"
"11-25-2008","12023",1,"None","None","None","Symbiote","334277","Fruit flies don't evolve much because they are already well adapted for their environment, spawning additional limbs at this point would probably hinder rather than help them. Were we to place fruit flies in a novel environment we would expect them to adapt. This adaptation won't necessarily be in new body parts, but could reflect changes in size or shape or brain structure. Then again the actual body parts could change, eg if they were placed in an environment where flight was useless their wings might mutate into something else.","there-absolutely-no-convincing-evidence-theory-evolution","07:29 PM","creation-intelligent-design-vs-evolution","4"
"11-25-2008","12023",1,"Symbiote","334277","Fruit flies don't evolve much because they are already well adapted for their environment, spawning additional limbs at this point would probably hinder rather than help them. Were we to place fruit flies in a novel environment we would expect them to adapt. This adaptation won't necessarily be in new body parts, but could reflect changes in size or shape or brain structure. Then again the actual body parts could change, eg if they were placed in an environment where flight was useless their wings might mutate into something else.","CashBurnRate","334285","you don't think scientists will alter surrounding conditions to accelerate mutation? regardless, we have yet to see any evolution of new body parts or its so called ""steps"" if evolutionists want to suggest that a few decades is too little time it is nothing but science fiction","there-absolutely-no-convincing-evidence-theory-evolution","08:32 PM","creation-intelligent-design-vs-evolution","5"
"11-25-2008","12023",1,"CashBurnRate","334263","If all life evolved from a common ancestor, then there should be countless instances of new body parts evolving. Body parts such as eyes, muscle, bone, etc. We have not seen one instance of a new body part evolving in a population in which it has not existed previously. Evolutionists will wave the magic ""time wand"" and simply claim that such a change could never be observed in a few decades. What about fruit flies? One generation of fruit flies = around a day. Fruit flies were exposed to x rays to speed up mutation rates, we have observed the equivalent of millions of years (in terms of human generations) of super-accelerated mutation and.... no new body parts. Evolutionists will also list in steps how a new body part can arise. This is only plausible if each of those steps could be directly observed. If not, then it is nothing more than science fiction. Evolutionists have been searching for any direct evidence of the theory of evolution since the 1800's. They are still looking.","Archangel","334287","You've asked a good question cash, the way you know that is by all of the excuses you're getting rather than any attempts to actually answer you directly with solid evidence. Of course we know that evidence doesn't exist, but they'll never admit that either.","there-absolutely-no-convincing-evidence-theory-evolution","08:40 PM","creation-intelligent-design-vs-evolution","6"
"11-25-2008","12023",1,"None","None","None","obvious_child","334292","Ah this argument. Care to define "" new "" yankeefan? I know full well without your definition of new, any example showing a change in body parts will be rejected even though the body part in the ancestor compared to the decedent species over time is quite different. http://www.geology.wisc.edu/homepage...assic_Life.jpg http://www.blog.speculist.com/archives/cambrian.jpg I'm no biologist, but those look like new body parts.","there-absolutely-no-convincing-evidence-theory-evolution","09:13 PM","creation-intelligent-design-vs-evolution","7"
"11-25-2008","12023",1,"Collin","334267","Uh oh. Cash isn't asking for just any kind of evidence, but convincing evidence. We automatically lose because ""convincing"" evidence is already defined by Cash as something we are unable to present.","obvious_child","334296","Got that right. Yankeefanwill refuse to define what he means as it allows him to reject everything that proves we are right. Notice he doesn't define what a new body part means. Notice his reply to Symbiote. He's not interested in the real definition of evolution and how it works. He's attempting to 'refute' evolution based on his own strawman. It's a classic creationist tactic. Never discuss honestly the issue but attempt through dishonest methods to refute evolution. Our failure to meet yankeefan's strawman criteria will only prove to rational people that his strawman is poorly designed. But to an avid creationist who has been annihilated on another board over and over again, it will feed his ideology that his evidence free belief is valid. Of course it's still a false dichotomy, but logic, reason and facts are not found in YEC creationism.","there-absolutely-no-convincing-evidence-theory-evolution","09:24 PM","creation-intelligent-design-vs-evolution","8"
"11-26-2008","12023",1,"None","None","None","unkerpaulie","334333","First of all, is evolution defined as the development of new body parts on organisms? Define evolution before you start arguing about what constitutes as evidence for or against it.","there-absolutely-no-convincing-evidence-theory-evolution","03:55 AM","creation-intelligent-design-vs-evolution","9"
"11-26-2008","12023",1,"unkerpaulie","334333","First of all, is evolution defined as the development of new body parts on organisms? Define evolution before you start arguing about what constitutes as evidence for or against it.","Archangel","334339","I think his point is paulie, that if evolution is actually as evo defines it, as changes made by way of random mutations, then why doesn't life reflect those random mutations? For example, why haven't a large number of lower animals who live their lives being hunted by carnivores adapted eyes in the back of their heads as a needed early warning system to see their stalkers coming from behind them? Especially in times of drought and famine when food is scarce? The environmental pressure exists at those times to justify such a change, yet from fish to birds to reptiles to mammals to even insects, most every creature in creation has 2 eyes, 1 mouth, 2 ears, (if they even have ears since some animals use vibration sensors to locate the movement of prey and predator.) It makes sense that Eagles, Hawks and Falcons have only 2 eyes since they are apex predators which rule their skies. But they regularly swoop down on smaller birds and pluck them out of the sky for food for their young. So why haven't smaller birds found the need to evolve eyes in the back of their heads? One reptile has a type of third eye, but it isn't for sight nor is it permanent. It is used to absorb vitamin D from the Sun for the first 6 months of life in order to help it grow into a healthy adult. Then it is covered by scales. Tuatara Fact Sheet But the question persists as to why it seemingly devolved the need for that third eye if it originally had 3 working eyes? I mean, it didn't simultaneously evolve a poison gland or some other form of defense to replace the need for it. Now let's look at some insects which you will invariably mention as flaws in my argument. They too have extra eyes called ocelli, not working eyes mind you; and neither do they aid in sight but the ocelli are simple structures and are believed they only detect light levels and movement. Now why would evolution not give vulnerable flying insects perfect vision when they have allegedly had literally hundreds of millions of years and many reasons to evolve it? Are you aware that the visual acuity of insects is approximately 1% of that of humans? And we all know that humans don't have the best eye sight in the animal kingdom. MICROSCOPY-UK / MICSCAPE - Insect insights. Insect eyes. Honeybee legs. What really distinguishes evolutionists from creationists is that creationists will ask the questions fear to ask since this fraudulent gospel has so many inconsistencies which can't be reasonably or rationally answered, they refuse to even consider them. Keep in mind that I have pointed out scientifically documented realities about what exists within the animal kingdom, but what I will get back from you are what ifs and maybes regarding these inconsistencies. Why is it that you never look at what is evolutionary dogma and ask why if random mutation happens based on environmental, social and predatory pressures, hasn't it made more diverse selections where needed, as in a working third eye in the back of animals heads, rather than in all cases follow a proscribed formula which exists today, just as it existed in the oldest fossils ever collected?","there-absolutely-no-convincing-evidence-theory-evolution","08:42 AM","creation-intelligent-design-vs-evolution","10"
"11-26-2008","12023",1,"Archangel","334339","I think his point is paulie, that if evolution is actually as evo defines it, as changes made by way of random mutations, then why doesn't life reflect those random mutations? For example, why haven't a large number of lower animals who live their lives being hunted by carnivores adapted eyes in the back of their heads as a needed early warning system to see their stalkers coming from behind them?","smiley","334349","I'm in a bit of a rush, so I'll just cover this point. Er . . . they have, sort of. Prey animals, such as antelope, have eyes on the sides of their heads so as to spot approaching carnivores. This gives them a very wide field of vision. For example the pronghorn antelope has a field of vision of around 320 degrees. Smiley","there-absolutely-no-convincing-evidence-theory-evolution","09:49 AM","creation-intelligent-design-vs-evolution","11"
"11-26-2008","12023",1,"None","None","None","CashBurnRate","334376","A third or fourth eye is simply a copy of an existing body part. If it's a FIRST eye that evolved, then that'd count. You can't create anything new by creating copies.","there-absolutely-no-convincing-evidence-theory-evolution","02:01 PM","creation-intelligent-design-vs-evolution","13"
"11-26-2008","12023",1,"obvious_child","334377","Really. Some people would think I'm in cahoots with the creationists. I predict their behavior and then they go and do it.","CashBurnRate","334379","Explain to me how copying something is creating something new.","there-absolutely-no-convincing-evidence-theory-evolution","02:06 PM","creation-intelligent-design-vs-evolution","15"
"11-26-2008","12023",2,"None","None","None","Archangel","334380","I knew you guys would rationalize away the point I made rather than consider the question I was actually asking. And that is, why have most every form of life on Earth never evolved a third working eye? Or just 2 sets; one in front and one in the rear? Why do all creatures no matter what species or type follow the same formula of basic construction regarding structure and tools? Fish don't have noses as mammals do, yet they can smell in their underwater environment. By it's very nature of the term random mutation, the implication is made that there are no biological limitations on the possible varieties of life that can occur. Yet from land to sea to air, all animals share these common features and design. In other words, the very mechanism of life is consistent in spite of all of the various types of life. They all compliment each other in some fashion.","there-absolutely-no-convincing-evidence-theory-evolution","02:07 PM","creation-intelligent-design-vs-evolution","16"
"11-26-2008","12023",2,"Archangel","334380","I knew you guys would rationalize away the point I made rather than consider the question I was actually asking. And that is, why have most every form of life on Earth never evolved a third working eye? Or just 2 sets; one in front and one in the rear? Why do all creatures no matter what species or type follow the same formula of basic construction regarding structure and tools? Fish don't have noses as mammals do, yet they can smell in their underwater environment. By it's very nature of the term random mutation, the implication is made that there are no biological limitations on the possible varieties of life that can occur. Yet from land to sea to air, all animals share these common features and design. In other words, the very mechanism of life is consistent in spite of all of the various types of life. They all compliment each other in some fashion.","Collin","334384","Why is any of that a problem for evolution? Fish evolved the sense of smell because it helped them survive. Because they evolved from fish, land animals inherited the sense of smell. The same holds true with parts like legs and eyes. The first land animals had four legs, so shouldn't it make sense for most of their descendants to have four legs as well provided they're an effective trait? Only in very specific cases where environmental pressures require radically different conditions for life are those four legs done away with (snakes, whales, dolphins). Your use of the word ""formula"" is a creative and clever bit of rhetoric, but it's misleading and not relevant. Common decent predicts exactly what you describe. Tetrapods all come from the same common ancestor, so they all have similar traits. Of course, the farther down the evolutionary tree you go, the fewer resemblances you find. I humbly submit to you that an eyeless, however-manly-legged shrimp is actually not the same as an air-breathing, milk-producing, hair-growing, spine-having, four-legged, two-eyed dog.","there-absolutely-no-convincing-evidence-theory-evolution","02:20 PM","creation-intelligent-design-vs-evolution","17"
"11-26-2008","12023",2,"CashBurnRate","334379","Explain to me how copying something is creating something new.","obvious_child","334399","Read what i actually wrote for a change Yank.","there-absolutely-no-convincing-evidence-theory-evolution","03:50 PM","creation-intelligent-design-vs-evolution","18"
"11-26-2008","12023",2,"CashBurnRate","334417","This is what evolutionists do when they have no argument, they change the subject.","T.Q","334429","This is what you do when they have no argument-insult. Let me fix up the thread title for you: ""There is absolutely no evidence of the theory of evolution that would convince me"" There, all fixed up for you.","there-absolutely-no-convincing-evidence-theory-evolution","05:39 PM","creation-intelligent-design-vs-evolution","19"
"11-26-2008","12023",2,"T.Q","334429","This is what XXXXXX do when they have no argument-insult. Let me fix up the thread title for you: ""There is absolutely no evidence of the theory of evolution that would convince me"" There, all fixed up for you.","CashBurnRate","334430","This is what you do when you have no argument? Pathetic. I've stated y the evolution of body parts is an essential part of the theory of evolution and how there's no evidence that it can happen.","there-absolutely-no-convincing-evidence-theory-evolution","05:42 PM","creation-intelligent-design-vs-evolution","20"
"11-26-2008","12023",2,"None","None","None","T.Q","334433","Well, my point was already made, but thanks for proving it again anyways. As for the ""proof"" you want, if you were genuinely interested, it's readily available. But, as I already stated, what you meant to title this thread was ""There is absolutely no evidence of the theory of evolution that would convince me"", so why should anyone waste their time teaching you high school biology, when we all know that no matter what anyone says, you'll just dismiss it and insult them?","there-absolutely-no-convincing-evidence-theory-evolution","06:01 PM","creation-intelligent-design-vs-evolution","21"
"11-27-2008","12023",2,"Archangel","334380","And that is, why have most every form of life on Earth never evolved a third working eye? Or just 2 sets; one in front and one in the rear? Why do all creatures no matter what species or type follow the same formula of basic construction regarding structure and tools?","Larni","334484","You do know some spiders have rear facing eyes, don't you? Sounds like an arguement from incredulity, to me.","there-absolutely-no-convincing-evidence-theory-evolution","07:36 AM","creation-intelligent-design-vs-evolution","22"
"11-27-2008","12023",2,"CashBurnRate","334430","I've stated y the evolution of body parts is an essential part of the theory of evolution and how there's no evidence that it can happen.","Larni","334485","Making an asserion is not evidence. You can say what ever you like but untill you can substantiate your claims you are jsut making noise. You do realise that a novel organ with no incremental development would be evidence against evolution, don't you?","there-absolutely-no-convincing-evidence-theory-evolution","07:43 AM","creation-intelligent-design-vs-evolution","23"
"11-27-2008","12023",2,"obvious_child","334399","Read what i actually wrote for a change Yank.","CashBurnRate","334488","This is what socially inept losers do when they know their argument is ####, deny they ever made one. I've asked repeatedly for an example of the evolution of a new body part in a population and all you've done is confirm the fact that you're an absolute #####.","there-absolutely-no-convincing-evidence-theory-evolution","08:15 AM","creation-intelligent-design-vs-evolution","25"
"11-27-2008","12023",2,"Larni","334497","Thanks for the welcome. Unfortunately I can't link with less than 10 post but: www bumblebee.org/invertebrates/Araneae1.htm","Archangel","334498","If I'm seeing the right photo, these eyes are in no way in the rear of the head. Although they do serve lateral vision because the insect has no neck and therefore is unable to turn its head. It must turn its whole body in order to advance its line of vision. So by what evidence do you claim this is the result of evolution and not original creation? Had the spider been at such a defensive loss prior to allegedly evolving the median eyes, how did it originally survive the millions of years needed to adapt? Especially in the radically environmentally unfriendly period in evolutionary history when this evolution process would have occurred? And why hasn't it continued to evolve more sophisticated vision in the hundreds of millions of years since then? All of these questions demand a rational answer before Creationism can be discounted out of hand.","there-absolutely-no-convincing-evidence-theory-evolution","09:14 AM","creation-intelligent-design-vs-evolution","27"
"11-27-2008","12023",2,"Archangel","334498","If I'm seeing the right photo, these eyes are in no way in the rear of the head. Although they do serve lateral vision because the insect has no neck and therefore is unable to turn its head. It must turn its whole body in order to advance its line of vision. So by what evidence do you claim this is the result of evolution and not original creation? Had the spider been at such a defensive loss prior to allegedly evolving the median eyes, how did it originally survive the millions of years needed to adapt? Especially in the radically environmentally unfriendly period in evolutionary history when this evolution process would have occurred? And why hasn't it continued to evolve more sophisticated vision in the hundreds of millions of years since then? All of these questions demand a rational answer before Creationism can be discounted out of hand.","smiley","334500","Why do you keep referring to this spider as an insect?","there-absolutely-no-convincing-evidence-theory-evolution","09:21 AM","creation-intelligent-design-vs-evolution","28"
"11-27-2008","12023",2,"smiley","334500","Why do you keep referring to this spider as an insect?","Archangel","334503","To reveal how you ask irrelevant questions and show how anal you are, rather than focussing on the debate being discussed.","there-absolutely-no-convincing-evidence-theory-evolution","09:30 AM","creation-intelligent-design-vs-evolution","29"
"11-27-2008","12023",2,"Archangel","334503","To reveal how you ask irrelevant questions and show how anal you are, rather than focussing on the debate being discussed.","T.Q","334511","When discussing biology and evolution, determining whether or not you know a spider isn't an insect is a relevant question.","there-absolutely-no-convincing-evidence-theory-evolution","10:57 AM","creation-intelligent-design-vs-evolution","30"
"11-27-2008","12023",3,"Archangel","334498","If I'm seeing the right photo, these eyes are in no way in the rear of the head. Although they do serve lateral vision because the insect has no neck and therefore is unable to turn its head. It must turn its whole body in order to advance its line of vision. So by what evidence do you claim this is the result of evolution and not original creation? Had the spider been at such a defensive loss prior to allegedly evolving the median eyes, how did it originally survive the millions of years needed to adapt? Especially in the radically environmentally unfriendly period in evolutionary history when this evolution process would have occurred? And why hasn't it continued to evolve more sophisticated vision in the hundreds of millions of years since then? All of these questions demand a rational answer before Creationism can be discounted out of hand.","Peeling","334513","That photo is looking at the four eyes on the front of its head. The diagram immediately above that photo on the website shows the location of the other four eyes, to the side and rear of the head: I have to ask: why did you present the supposed lack of animals with eyes in the backs of their heads as evidence against evolution, if the existence of animals with eyes in the backs of their heads isn't allowed to count as evidence for evolution? Well, assuming for the sake of argument that they even were spiders at the time they evolved their arrangement of eyes, the answer would be ""Slightly less well"" Seriously. Animals of the same species are competing against each other as well as the rest of the environment. Spiders hose out far, far more offspring than could possibly ever survive, so even a slight statistical advantage, over hundreds of generations, can transform the genetic profile of the species. Which makes the next useful mutation more likely to occur to a creature already possessed of the first mutation, so they stack. And so on. It doesn't have to be an all or nothing, survive or perish situation. Those are very rare. You probably drive a car to work, right? It's quite likely that a horse and cart would not meet your commuting needs. If we apply your logic from above, the advantage - even necessity - of cars in your modern way of life means horses and carts could never have existed! The mistake is obvious: we're holding too much constant. Horses and carts were once perfectly adequate - and still are in some societies. What makes you think it was any more hostile than now? What makes you think it hasn't ? It's never possible to discount special creation of all life, only to show that it's a loose and inelegant theory that doesn't make useful predictions. Special Creation is an explanation, Evolution is an explanation. The difference is that when we ask Creation 'what should we expect?' we get little more than a shrug. Creation means anything's possible. Evolution, on the other hand, is tightly bound by its own rules. We should never see a fossil of one of these creatures earlier than those creatures. We should never see this feature in that class of creature, because it evolved after evolution seperated them. If you have two sports anchors, and before the match one of them gives a detailed run-down of the teams' history and form, and expounds at length about what he expects the result of the game to be and how each player should perform, while the other says ""Well, I definitely think one team will win; I expect the ball to be kicked quite a few times and there will certainly be some passing and some running."" - whom do you respect more if all the predictions of both anchors prove to be accurate?","there-absolutely-no-convincing-evidence-theory-evolution","11:41 AM","creation-intelligent-design-vs-evolution","31"
"11-27-2008","12023",3,"Collin","334267","Uh oh. Cash isn't asking for just any kind of evidence, but convincing evidence. We automatically lose because ""convincing"" evidence is already defined by Cash as something we are unable to present.","Darn Republican","334514","Yeah, I guess you loose to empirical evidence as well, since it's something you have to present. Evolution, Darwinian Naturalism... whatever you want to call it. With all it's fascistic leverage to create an environment of global acceptance is loosing the intellectual argument because as microbiology develops it is discovering more and more information at the sub-cellular level. These cells cannot be anything or produce anything other than what they are... in other words includes only the information to reproduce itself, ergo... human skin DNA cannot morph into liver DNA, so no fish forming legs, no apes flying planes or creating ""higher order"" intelligence. The whole of evolution is based on chance, chance as causality. That's it... a cosmological roll of the dice with impossibility preempting the whole argument - but is suppressed. Fully knowing that chance in itself is not agency - there is no causality in chance, chance is a byproduct of an event therefore cannot effect anything, so the equation would look something like: chance + any amount of time = nothing, therefore evolution or any of its pseudo-intellectual ilk are simply impossible.","there-absolutely-no-convincing-evidence-theory-evolution","11:46 AM","creation-intelligent-design-vs-evolution","32"
"11-27-2008","12023",3,"Darn Republican","334514","These cells cannot be anything or produce anything other than what they are... in other words includes only the information to reproduce itself, ergo... human skin DNA cannot morph into liver DNA, so no fish forming legs, no apes flying planes or creating ""higher order"" intelligence. The whole of evolution is based on chance, chance as causality. Fully knowing that chance in itself is not agency - there is no causality in chance, chance is a byproduct of an event therefore cannot effect anything, so the equation would look something like: chance + any amount of time = nothing, therefore evolution or any of its pseudo-intellectual ilk are simply impossible.","Peeling","334523","So how do you explain the nylon bug? It can do something its ancestors could not - for the very simple reason that it's not the same as its ancestors. I smell an arcane semantics-based proof brewing... ...and I wasn't disappointed I don't know what 'chance as causality' is supposed to mean, but to speak of evolution being 'based on chance' is highly misleading. If I have an accident on the way to work tomorrow morning, there will be a definite cause; a specific series of events leading up to it. We cannot guess what they might be. Nevertheless, we can still makes statements about the statistical likelihood of such an accident occurring, yes? Does that accurate statement of probability mean that my fate on the road is literally determined by a dice roll, that if my number comes up, I crash, with 'chance as causality'? Of course not. We are merely describing the likelihood of an event in a system of which we have imperfect knowledge. As our knowledge of the system increases, our assessment of that likelihood changes: if you know my age and gender, my driving habits, my route and how busy or quiet it is - all these things permit a more accurate assessment of the odds. If we had perfect knowledge of a deterministic system, the odds would be 1 or 0. Similarly, every mutation that has ever occurred has had a definite proximate cause, and if we knew what they all were and what they would all be in the future, evolution would lie mapped out before us in all its detail. Nevertheless, in the absence of perfect knowledge of these individual causes we can still describe the occurrence of such events statistically, saying how long we might have to wait, or how many trials we might conduct in order to expect a given outcome. So to say that the evolution of the nylon bug, for instance, was based on chance is misleading: the evolution of the nylon bug was based on whatever proximate cause shuffled its DNA. Correctly viewed, evolution is not a series of unlikely events, but a series of highly likely ones. It is highly likely , for instance, that some bacteria in a large colony would experience a mutation enabling the digestion of nylon. Sure - breaking that event down on a per-bacterium basis yields tiny probabilities, but why stop there? Why not break it down on a per-bacterium, per-microsecond basis? The chances just got even smaller! See? It's a silly way to think about it, because in the end it's the chance of the event occurring that matters, not some arbitrary deadline by which it must occur or cell to which it must occur.","there-absolutely-no-convincing-evidence-theory-evolution","12:40 PM","creation-intelligent-design-vs-evolution","34"
"11-27-2008","12023",3,"None","None","None","Huntard","334526","Say for a minute I am now convinced evolution has some problems and am doubting whether or not it is true. What evidence could you offer me that creationism is, in fact, the one true theory?","there-absolutely-no-convincing-evidence-theory-evolution","01:19 PM","creation-intelligent-design-vs-evolution","35"
"11-27-2008","12023",3,"Archangel","334487","Hi Larni, welcome to the forum. With that said, and speaking of incredulity, care to take your own advice to CBR and provide evidence that spiders have rear facing eyes. My search showed no such insects exist with rear facing working eyes.","Larni","334530","Dude. Seriously, can you read? Misumenops is a crab spider, not a jumping spider. All the information was there, too. You only had to read the words. Yay! I'm debating with a guy who thinks a spider is an insect. Check, please.","there-absolutely-no-convincing-evidence-theory-evolution","01:35 PM","creation-intelligent-design-vs-evolution","36"
