"Dialog_Turn","Date","Discussion_Id","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Topic","Post_Counter","Time"
"","12-02-2008","12023","supersport","335141","you're on the right track; the problem with evolution is that it has no verifiable creator -- the fact is, mutations (which supposedly add new raw material for selection) have never shown to add any new structure or even a new part to any existing structure. It's a sad fact for evos.","obvious_child","335144","How many times have you spammed that argument super? 10? 15? 20 times? CB102: Mutations adding information CB101.2: Mutations and new features.","there-absolutely-no-convincing-evidence-theory-evolution","creation-intelligent-design-vs-evolution","81","07:34 PM"
"","12-02-2008","12023","obvious_child","335144","How many times have you spammed that argument super? 10? 15? 20 times? CB102: Mutations adding information CB101.2: Mutations and new features.","supersport","335160","of those add new body parts except for this one.... evolution of multicellularity in a unicellular green alga (Boraas 1983; Boraas et al. 1998); ...which isn't even a result of mutation. http://www.the-scientist.com/news/print/53261/ MicroRNAs found in unicellular alga Got anything else?","there-absolutely-no-convincing-evidence-theory-evolution","creation-intelligent-design-vs-evolution","93","07:57 PM"
"","12-02-2008","12023","supersport","335160","of those add new body parts except for this one.... evolution of multicellularity in a unicellular green alga (Boraas 1983; Boraas et al. 1998); ...which isn't even a result of mutation. Got anything else?","obvious_child","335163","Nice raising the bar. Fallacies are a creationist's best friend. You claimed:""have never shown to add any new structure or even a new part to any existing structure."" Now you are changing your argument away from structure as new proteins and especially enzymes (which are proteins) don't count.","there-absolutely-no-convincing-evidence-theory-evolution","creation-intelligent-design-vs-evolution","95","08:00 PM"
"","12-02-2008","12023","obvious_child","335163","Nice raising the bar. Fallacies are a creationist's best friend. You claimed:""have never shown to add any new structure or even a new part to any existing structure."" Now you are changing your argument away from structure as new proteins and especially enzymes (which are proteins) don't count.","supersport","335165","first of all, the claim is that random changes in molecules do not produce bodiliy structures. Proteins are molecules and are thus not what I was referring to. Second, there are no new enzymes or new proteins produced by any mutations...and not only that but none of those mutations have been shown to be random. So for all the billions of bodily structures in the world, ToE cannot account for even ONE of them.","there-absolutely-no-convincing-evidence-theory-evolution","creation-intelligent-design-vs-evolution","96","08:05 PM"
"","12-02-2008","12023","supersport","335165","first of all, the claim is that random changes in molecules do not produce bodiliy structures. Proteins are molecules and are thus not what I was referring to. Second, there are no new enzymes or new proteins produced by any mutations and not only that but none of those mutations have been shown to be random. So for all the billions of bodily structures in the world, ToE cannot account for even ONE of them.","obvious_child","335167","Since when was evolution defined by the presence of new body parts? Except that proteins are in fact structures and play a huge role in organisms. To deny them as relevant is to essentially say that your body isn't important. Without proteins and their functions, life cannot exist. Incorrect. I provided two links showing that claim you regularly spammed as false. How many times have you been refuted on that? 10? 15? 20? 100?","there-absolutely-no-convincing-evidence-theory-evolution","creation-intelligent-design-vs-evolution","98","08:08 PM"
"","12-02-2008","12023","obvious_child","335167","Incorrect. I provided two links showing that claim you regularly spammed as false.","supersport","335169","so of all the animal kingdom, the evidence that mutations can create new sturcutures has been narrowed down to two proteins. I deny that these were caused by mutations...show me the reference.","there-absolutely-no-convincing-evidence-theory-evolution","creation-intelligent-design-vs-evolution","99","08:13 PM"
"","12-02-2008","12023","supersport","335169","so of all the animal kingdom, the evidence that mutations can create new sturcutures has been narrowed down to two proteins. I deny that these were caused by mutations...show me the reference.","obvious_child","335172","Read the link. Seriously, are you STILL against reading links?","there-absolutely-no-convincing-evidence-theory-evolution","creation-intelligent-design-vs-evolution","101","08:16 PM"
"","12-02-2008","12023","obvious_child","335172","Read the link. Seriously, are you STILL against reading links?","supersport","335173","There are no links! Documentation of mutations producing new features includes the following: the ability of a bacterium to digest nylon (Negoro et al. 1994; Thomas n.d.; Thwaites 1985); adaptation in yeast to a low-phosphate environment (Francis and Hansche 1972; 1973; Hansche 1975); the ability of E. coli to hydrolyze galactosylarabinose (Hall 1981; Hall and Zuzel 1980); evolution of multicellularity in a unicellular green alga (Boraas 1983; Boraas et al. 1998); modification of E. coli's fucose pathway to metabolize propanediol (Lin and Wu 1984); evolution in Klebsiella bacteria of a new metabolic pathway for metabolizing 5-carbon sugars (Hartley 1984); The nylon bug is actually 140 mutations (how could those arise randomly?) and uses a pre-existing enzyme....nothing new.","there-absolutely-no-convincing-evidence-theory-evolution","creation-intelligent-design-vs-evolution","102","08:18 PM"
"","12-02-2008","12023","supersport","335173","most of these are examples of genetic engineering and NOT MUTATIONS -- now show me your evidence that these were caused by MUTATIONS.","obvious_child","335176","Uh, genetic engineering would be deliberate changes of genetics towards a specific goal. None of those had any goal. All they were was experiments to see what would happen if something got added. Please look up engineering. And look at the links at the bottom of the page. They are the blue things.","there-absolutely-no-convincing-evidence-theory-evolution","creation-intelligent-design-vs-evolution","104","08:20 PM"
"","12-02-2008","12023","obvious_child","335176","Uh, genetic engineering would be deliberate changes of genetics towards a specific goal. None of those had any goal. All they were was experiments to see what would happen if something got added. Please look up engineering. And look at the links at the bottom of the page. They are the blue things.","supersport","335177","here's an example -- show me the mutation -- where is it? evolution of multicellularity in a unicellular green alga (Boraas 1983; Boraas et al. 1998);","there-absolutely-no-convincing-evidence-theory-evolution","creation-intelligent-design-vs-evolution","105","08:23 PM"
