"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"02-12-2009","12338",1,"None","None","None","hollygirl","343767","i belive in creation beacuse in my eyes it is the only 'sientific' exclamation. if evoution is true how come fossiles of amimals ect have not been found ? how would we see if one part of our had not been formed so well and compleately?","evolution-what-facts-there-prove-all-they-all-theorys","01:52 AM","creation-intelligent-design-vs-evolution","1"
"02-12-2009","12338",1,"None","None","None","Penfold","343780","A theory is not something dreamed up by scientists after chomping on a few magic mushrooms.","evolution-what-facts-there-prove-all-they-all-theorys","08:09 AM","creation-intelligent-design-vs-evolution","2"
"02-12-2009","12338",1,"hollygirl","343767","if evoution is true how come fossiles of amimals ect have not been found ? how would we see if one part of our had not been formed so well and compleately?","T.Q","343818","Wait, are you claiming that fossils have not been found? ""One part of our..."" what? Body? fingernail? little toe? If you're asking how our bodies could be so perfectly formed without being created, you obviously have never actually studied the human body. Pointless.","evolution-what-facts-there-prove-all-they-all-theorys","12:10 PM","creation-intelligent-design-vs-evolution","3"
"02-12-2009","12338",1,"hollygirl","343767","i belive in creation beacuse in my eyes it is the only 'sientific' exclamation. if evoution is true how come fossiles of amimals ect have not been found ? how would we see if one part of our had not been formed so well and compleately?","sinjin","343822","I suspect you believe because people you trust told you it was so.","evolution-what-facts-there-prove-all-they-all-theorys","12:19 PM","creation-intelligent-design-vs-evolution","4"
"02-12-2009","12338",1,"hollygirl","343767","i belive in creation beacuse in my eyes it is the only 'sientific' exclamation. if evoution is true how come fossiles of amimals ect have not been found ? how would we see if one part of our had not been formed so well and compleately?","gansao","343862","Hollygirl, Please excuse me for saying this but the phrase 'scientific exclamation' seems a rather advanced concept for someone who has such difficulty in spelling, So I would assume that it is something that has been told to you rather than your own conclusion. All of this stuff about creation versus evolution is a smoke screen. It doesnt matter a fig unless you want it to! If you really want to express a view that God created the world recently please grow a very thick skin.","evolution-what-facts-there-prove-all-they-all-theorys","04:36 PM","creation-intelligent-design-vs-evolution","5"
"04-07-2009","12338",1,"hollygirl","343767","i belive in creation beacuse in my eyes it is the only 'sientific' exclamation. if evoution is true how come fossiles of amimals ect have not been found ? how would we see if one part of our had not been formed so well and compleately?","Larni","348923","Another well reasoned, correctly parsed and spelled creo argument. Full marks.","evolution-what-facts-there-prove-all-they-all-theorys","02:20 PM","creation-intelligent-design-vs-evolution","6"
"04-08-2009","12338",1,"None","None","None","rEVOLUTION","348998","Although it is obvious that the OP's thread was meant to be a troll job (I hope), I'll answer anyway. Have you considered endogenous retroviruses (ERVs) or inactive genes to metabolize vitamin C, or perhaps you've overlooked the field of biogeography? What do you make of continental islands compared to oceanic islands and their subsequent distribution of species? This should give you somewhere to start. BTW, when you see the word ""theory"" being used when referencing things scientific, you should replace it with the word ""fact"" in your mind. Because, you see, the theory of evolution is supported by mountains of evidence from literally every field of science. Unfortunately, creationists and ID'ers have been brainwashed to think otherwise.","evolution-what-facts-there-prove-all-they-all-theorys","01:57 PM","creation-intelligent-design-vs-evolution","7"
"06-04-2009","12338",1,"None","None","None","MarielB","356275","Have you actually studied any science? Genesis does not conflict with science. see www.songofgenesis.org Reach behind you. You have a tail bone. Human beings retain the genetic code for vestigial tails. We have additional genes that ""turn off"" the coding so that most people do not actually have tails. However, the coccyx, or tailbone, is the remnant of a lost tail. All mammals have a tail at one point in their development. In humans, it is present for a period of 4 weeks, during stages 14 to 22 of human embryonic development. This tail is most visible in human embryos 31-35 days old. The tailbone, (at the end of the spine), has lost its original function in assisting balance and mobility, though it still serves some secondary functions, such as being an attachment point for muscles, which explains why it has not degraded further. (Natural selection - evolution) Since tails are part of our genetic code, and part of our embryonic development, why would God have made that little detail if He actually fashioned us out of ""dirt"". Doesn't it make more sense that He guided the process of evolution, and when we were ""ready"" gave us our immortal souls ""in His image?"" p.s. use the FIRST definition in the dictionary when discussing evolution. The others are incorrect for this context. There are a great many aspects of science that ""prove"" Genesis can not be read literally (although it contains truth). This is just ONE.","evolution-what-facts-there-prove-all-they-all-theorys","12:17 PM","creation-intelligent-design-vs-evolution","8"
"06-04-2009","12338",1,"MarielB","356275","Have you actually studied any science? Genesis does not conflict with science. see www.songofgenesis.org Reach behind you. You have a tail bone. Human beings retain the genetic code for vestigial tails. We have additional genes that ""turn off"" the coding so that most people do not actually have tails. However, the coccyx, or tailbone, is the remnant of a lost tail. All mammals have a tail at one point in their development. In humans, it is present for a period of 4 weeks, during stages 14 to 22 of human embryonic development. This tail is most visible in human embryos 31-35 days old. The tailbone, (at the end of the spine), has lost its original function in assisting balance and mobility, though it still serves some secondary functions, such as being an attachment point for muscles, which explains why it has not degraded further. (Natural selection - evolution) Since tails are part of our genetic code, and part of our embryonic development, why would God have made that little detail if He actually fashioned us out of ""dirt"". Doesn't it make more sense that He guided the process of evolution, and when we were ""ready"" gave us our immortal souls ""in His image?"" p.s. use the FIRST definition in the dictionary when discussing evolution. The others are incorrect for this context. There are a great many aspects of science that ""prove"" Genesis can not be read literally (although it contains truth). This is just ONE.","Larni","356279","Good luck getting fundies to swallow that. As far as they are concerned Genesis is literal. I have no problem with Genesis as poetic literature but your site does seem to be pure apologetics.","evolution-what-facts-there-prove-all-they-all-theorys","12:33 PM","creation-intelligent-design-vs-evolution","9"
"06-04-2009","12338",1,"hollygirl","343767","i belive in creation beacuse in my eyes it is the only 'sientific' exclamation. if evoution is true how come fossiles of amimals ect have not been found ? how would we see if one part of our had not been formed so well and compleately?","shaunjosef","356322","If you want evidence of evolution, look at bacteria. There are many of them and the environment is always changing, therefore, changes are adapted quickly. If you say they aren't evolving, why could we cure all TB with antibiotics before, but now there are antibiotic resistant strains.","evolution-what-facts-there-prove-all-they-all-theorys","05:43 PM","creation-intelligent-design-vs-evolution","10"
