"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"04-29-2009","12630",1,"None","None","None","obvious_child","351649","Last I checked, no credible fossil fuel firm hired YEC geologists. But I could be wrong. Anyone know of oil or gas firms around the world that actually use YEC and YEC geologists in their exploration for new fields?","yec-oil-fields","04:06 AM","creation-intelligent-design-vs-evolution","1"
"04-29-2009","12630",1,"obvious_child","351649","Last I checked, no credible fossil fuel firm hired YEC geologists. But I could be wrong. Anyone know of oil or gas firms around the world that actually use YEC and YEC geologists in their exploration for new fields?","Archangel","351652","Let's see here, how would you propose to verify this inane question either way? Have you ever seen an employment application or a work resume which stipulates ones beliefs as a creationist or an evolutionist? Since they can't even legally ask about a persons religion, how would they determine the answer to this question? But more importantly, are you actually suggesting that YEC Geologists deny that fossil fuels exist underground and therefore would be useless in such a position? Let me simplify this for you, does ones personal beliefs about how oil got there effect ones ability to locate it according to the known applications of the science of Geology? Of course not, but you will never cease to ask the dumbest questions if you think it will insult creationists.","yec-oil-fields","06:21 AM","creation-intelligent-design-vs-evolution","2"
"04-29-2009","12630",1,"None","None","None","Ripskar","351653","How's about your infamous list of scientists who may be interpreted as rejecting evolution? (I'm amazed I have to point that out... )","yec-oil-fields","06:49 AM","creation-intelligent-design-vs-evolution","3"
"04-29-2009","12630",1,"Ripskar","351653","How's about your infamous list of scientists who may be interpreted as rejecting evolution? (I'm amazed I have to point that out... )","Archangel","351660","Feel free to show that post in context of the debate I was participating in at the time Ripskar, and while you're at it, clarify what that has to do with the incredibly stupid and illogical premise of this thread which is unprovable and irrelevant by any standard of measure.... ))))","yec-oil-fields","08:17 AM","creation-intelligent-design-vs-evolution","4"
"04-29-2009","12630",1,"obvious_child","351649","Last I checked, no credible fossil fuel firm hired YEC geologists. But I could be wrong. Anyone know of oil or gas firms around the world that actually use YEC and YEC geologists in their exploration for new fields?","trebor","351681","There is of course, the famous example of Glenn Morton, who went into geolgraphy to PROVE Young earch creationism, and because of his experience in geology, and in the oil industry rejected it. His religious beliefs are still on the unusual side, but he managed to keep faith, while other YEC that followed the same path he did lost their faith.","yec-oil-fields","12:01 PM","creation-intelligent-design-vs-evolution","5"
"04-29-2009","12630",1,"None","None","None","Ripskar","351684","The list includes a number of geologists, it shouldn't be that hard to google their names and see if any actually work for oil exploration firms?","yec-oil-fields","12:58 PM","creation-intelligent-design-vs-evolution","6"
"04-29-2009","12630",1,"Archangel","None","Let me simplify this for you, does ones personal beliefs about how oil got there effect ones ability to locate it according to the known applications of the science of Geology?","iangb","351701","It depends upon the extent to which those two things (YEC and 'the science of geology') clash. If, for example, you think that oil is in the ground because God put it there 6000 years ago, for us to find and fill up the atmosphere with, there's not much reason to be concerned with things like 'which rock type oil is normally found in'.","yec-oil-fields","04:25 PM","creation-intelligent-design-vs-evolution","7"
"04-29-2009","12630",1,"iangb","351701","It depends upon the extent to which those two things (YEC and 'the science of geology') clash. If, for example, you think that oil is in the ground because God put it there 6000 years ago, for us to find and fill up the atmosphere with, there's not much reason to be concerned with things like 'which rock type oil is normally found in'.","Archangel","351709","The point I was making is that geologists can be creationists and would still both understand and accept the principles of Geology as it was taught to them in College. For example, I don't believe for a minute that the oil deposits were formed from the liquified remains of mass dinosaur graves from 65 million years ago, but I do trust and respect the scientifically proven techniques for locating and assessing the quality of that oil. From a geologists perspective who is looking for oil deposits, the back story of how it got their is irrelevant as long as he understands the physical signs which have proven reliable in locating those deposits. This is why I say this the premise of this thread is as reasonable as child is. And that isn't reasonable at all, or rational for that matter. But hey it's child and he needs to post any fallacious attack on christians he can dream up.","yec-oil-fields","05:59 PM","creation-intelligent-design-vs-evolution","8"
"04-29-2009","12630",1,"Archangel","351709","The point I was making is that geologists can be creationists and would still both understand and accept the principles of Geology as it was taught to them in College. For example, I don't believe for a minute that the oil deposits were formed from the liquified remains of mass dinosaur graves from 65 million years ago, but I do trust and respect the scientifically proven techniques for locating and assessing the quality of that oil. From a geologists perspective who is looking for oil deposits, the back story of how it got their is irrelevant as long as he understands the physical signs which have proven reliable in locating those deposits. This is why I say this the premise of this thread is as reasonable as child is. And that isn't reasonable at all, or rational for that matter. But hey it's child and he needs to post any fallacious attack on christians he can dream up.","T.Q","351715","You pretty much just proved his point there Archie...","yec-oil-fields","06:20 PM","creation-intelligent-design-vs-evolution","9"
"04-29-2009","12630",1,"Archangel","351652","But more importantly, are you actually suggesting that YEC Geologists deny that fossil fuels exist underground and therefore would be useless in such a position? Let me simplify this for you, does ones personal beliefs about how oil got there effect ones ability to locate it according to the known applications of the science of Geology? Of course not, but you will never cease to ask the dumbest questions if you think it will insult creationists.","obvious_child","351725","They should if they were consistent. Compressed Diatoms are found in certain areas under certain types of geological conditions. This is inherently contradictory to YEC which believes that the flood created the hydrocarbon reserves. The problem with such reasoning is that a flood would do this evenly and uniformly since it is the weight of the water that is doing the compression. A YEC model would expect oil and gas to be found everywhere as that is how they are formed under the global flood model. Hence why it is relevant. You are just too stupid to understand how your belief cannot be molded with reality. See above. And I did answer, therefore you are wrong.","yec-oil-fields","07:32 PM","creation-intelligent-design-vs-evolution","10"
