"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"05-28-2011",1,"15012","38","gansao","430923","Buddhism is not creationist but can easily accommodate ID within its doctrine.","Xcaliber","430925","Care to prove it? Buddhists don't believe in Creation so I seriously doubt they would include anything such as ID into their Doctrine. ID is creationism after-all.","most-id-supporters-not-creationists","05:34 PM","creation-intelligent-design-vs-evolution","30"
"05-28-2011",1,"15012","40","Xcaliber","430925","Care to prove it? Buddhists don't believe in Creation so I seriously doubt they would include anything such as ID into their Doctrine. ID is creationism after-all.","gansao","430928","No its not. Samsara and karma plus a little imagination would be enough . You are stuck with the idea of a god with a long white beard commanding the natural universe and cannot get beyond that. I pity you","most-id-supporters-not-creationists","05:41 PM","creation-intelligent-design-vs-evolution","42"
"05-28-2011",1,"15012","42","gansao","430928","No its not. Samsara and karma plus a little imagination would be enough . You are stuck with the idea of a god with a long white beard commanding the natural universe and cannot get beyond that. I pity you","Xcaliber","430930","I'm not stuck with God You are. I know God doesn't exist . You didn't prove anything... I've never heard a Buddhist claim there is a Intelligent designer.. Or a God.. I pity you...","most-id-supporters-not-creationists","06:03 PM","creation-intelligent-design-vs-evolution","39"
"05-28-2011",1,"15012","43","Xcaliber","430930","I'm not stuck with God You are. I know God doesn't exist . You didn't prove anything... I've never heard a Buddhist claim there is a Intelligent designer.. Or a God.. I pity you...","gansao","430933","If intelligent design as YOU see it needs a creator god ( a designer) then you are correct. However a Buddhist model of the universe requires a self awareness of the universe itself and a regulating system within it( karma). Karma is just as applicable to all forms of flora and fauna as it is to humans. Just that only humans can recognise it. You wouldnt know Buddhist doctrine from scribblings on a toilet door so I am not surprised you cannot imagine Buddhism accommodating ID or at least a form of it. Your problem is that your imagined god that you think others imagine makes you angry and frustrated....good","most-id-supporters-not-creationists","06:14 PM","creation-intelligent-design-vs-evolution","120"
"05-28-2011",1,"15012","44","gansao","430933","If intelligent design as YOU see it needs a creator god ( a designer) then you are correct. However a Buddhist model of the universe requires a self awareness of the universe itself and a regulating system within it( karma). Karma is just as applicable to all forms of flora and fauna as it is to humans. Just that only humans can recognise it. You wouldnt know Buddhist doctrine from scribblings on a toilet door so I am not surprised you cannot imagine Buddhism accommodating ID or at least a form of it. Your problem is that your imagined god that you think others imagine makes you angry and frustrated....good","Xcaliber","430958","I never claimed to Know what Buddhism is all about, but I know that The Buddhist Religion Does not believe in a Creator or any kind. They believe that questions pertaining to the origin of life are a waste of time. Taking that into consideration you would be wrong in your assertion that Buddhism could be involved in Intelligent Design. Creationism, Although not specific to the Biblical God still maintains that a higher being Created Life. Intelligent Design was created to by a group of creationists.. You are wrong, get over it. Are YOU frustrated yet?.. I hope so...","most-id-supporters-not-creationists","08:27 PM","creation-intelligent-design-vs-evolution","111"
"05-29-2011",1,"15012","49","Xcaliber","430958","I never claimed to Know what Buddhism is all about, but I know that The Buddhist Religion Does not believe in a Creator or any kind. They believe that questions pertaining to the origin of life are a waste of time. Taking that into consideration you would be wrong in your assertion that Buddhism could be involved in Intelligent Design. Creationism, Although not specific to the Biblical God still maintains that a higher being Created Life. Intelligent Design was created to by a group of creationists.. You are wrong, get over it. Are YOU frustrated yet?.. I hope so...","gansao","430985","My assertion is not that they could be involved with intelligent design.creationism you imbecile. My assertion is that intelligent design could be accommodated withinn Buddism by karma and samsara...way way way over your head lol Yes I am frusterated..I dont suffer fools like you gladly . The trouble is that there are more XXXXXX like you than cockroaches","most-id-supporters-not-creationists","05:14 AM","creation-intelligent-design-vs-evolution","65"
"05-29-2011",1,"15012","53","gansao","430985","My assertion is not that they could be involved with intelligent design.creationism you imbecile. My assertion is that intelligent design could be accommodated withinn Buddism by karma and samsara...way way way over your head lol Yes I am frusterated..I dont suffer fools like you gladly . The trouble is that there are more XXXXXX like you than cockroaches","Xcaliber","430999","And as I have kindly pointed out to you your assertion is wrong. Glad you are frustrated, most religious freaks get this way in the face of reality, don't feel bad it will go away as you slowly come into reality.","most-id-supporters-not-creationists","10:06 AM","creation-intelligent-design-vs-evolution","45"
"05-29-2011",1,"15012","55","Xcaliber","430999","And as I have kindly pointed out to you your assertion is wrong. Glad you are frustrated, most religious freaks get this way in the face of reality, don't feel bad it will go away as you slowly come into reality.","gansao","431002","I am frustrated by your idiocy. I get frustrated by imbeciles and your are an imbecile...sorry for the bad news.","most-id-supporters-not-creationists","10:17 AM","creation-intelligent-design-vs-evolution","24"
"05-29-2011",1,"15012","57","gansao","431002","I am frustrated by your idiocy. I get frustrated by imbeciles and your are an imbecile...sorry for the bad news.","Xcaliber","431005","Funny, your ignorance doesn't frustrate me at all..","most-id-supporters-not-creationists","10:36 AM","creation-intelligent-design-vs-evolution","10"
"05-29-2011",2,"15012","50","Xcaliber","430976","Yeah I have too, but they aren't true Buddhists. True Buddhism does not recognize a God. They're merely Christians using various teachings of Buddhism to further understand their own Religion.. Doesn't make them any less Christian. A true Buddhist would never be involved in Creation or ID.","gansao","430986","Another idiotic post. Christian Buddhists accept Christ as an enlightened one without recognising his divinity( or any divinity). Not Christian as you see it but Christian all the same..there are some CHRISTIANS who doubt that Christ was devine. Can you chew gum and fart at the same time? I doubt it. You wouldnt know a true Buddhist if you fell over one","most-id-supporters-not-creationists","05:20 AM","creation-intelligent-design-vs-evolution","71"
