"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"10-27-2008",1,"11312","223","Charliegone","329878","IMHO, both sides are correct. There are times when it is necessary, others when it is not. The problem resides on when, how, who and what. Like I said, certain factors are what determine the usage of the death penalty. Our justice system might be flawed to some degree, but for the most part it works well. Self-preservation is another story as are wars that are fought, because those are more complicated than killing someone because ""they looked at you funny.""","chester","329989","What group of fallible human beings do you see fit to make the ultimate judgment on the life of another fallible human being? What standards shall they use? Who gets to determine whether the standards they use are the correct standards? What happens when one disagrees with the standards used? If we were all Platonic guardians equipped with perfect judgment and perfect rationality, then I might agree. Since we are not, then I cannot support the Death Penalty.","death-penalty","11:06 AM","crime-debates","86"
"10-27-2008",1,"11312","224","chester","329989","What group of fallible human beings do you see fit to make the ultimate judgment on the life of another fallible human being? What standards shall they use? Who gets to determine whether the standards they use are the correct standards? What happens when one disagrees with the standards used? If we were all Platonic guardians equipped with perfect judgment and perfect rationality, then I might agree. Since we are not, then I cannot support the Death Penalty.","Charliegone","330031","Jury of Peers has worked quite well for a very long time I don't see why we need to change it. That is why there is always another decision to decide whether the death penalty applies or not. No one said we are perfect, but neither should be lenient towards people who commit horrible crimes.","death-penalty","06:42 PM","crime-debates","59"
"10-27-2008",1,"11312","225","Charliegone","330031","Jury of Peers has worked quite well for a very long time I don't see why we need to change it. That is why there is always another decision to decide whether the death penalty applies or not. No one said we are perfect, but neither should be lenient towards people who commit horrible crimes.","chester","330040","Once again, the false dichotomy fallacy raises its ugly head. Why do you assume that, because I oppose the Death Penalty, that I favor ""lenient"" treatment of those convicted of heinous crimes? BTW, if there are 12 fallible human beings on a jury, has fallibility been multiplied by 12 or divided by 12?","death-penalty","07:55 PM","crime-debates","63"
"10-28-2008",1,"11312","226","chester","330040","Once again, the false dichotomy fallacy raises its ugly head. Why do you assume that, because I oppose the Death Penalty, that I favor ""lenient"" treatment of those convicted of heinous crimes? BTW, if there are 12 fallible human beings on a jury, has fallibility been multiplied by 12 or divided by 12?","Charliegone","330105","Did I ever say I thought you wanted to be lenient on criminals? I said we shouldn't be lenient on them. I never said, ""Chester wants to be lenient on criminals"" did I? I don't know whether you understand how the justice system works, but anyways there would be far more fallibility if there were less people to decide. That is why 12 people are chosen to decided whether a person who commits a crime such as murder will face the death penalty or not. It is not just one person who is deciding this persons fate you know.","death-penalty","01:30 AM","crime-debates","109"
"10-04-2008",2,"11312","73","grizzly6626","326345","Well I have wished for years that upon the conviction of a violent criminal, and after all appeals have failed, that the convicted violent criminal be handed over to the victims next of kin, and the punisnment and type of punishment be decided and carried out by the victims next of kin. In other words, if a man raped and killed my wife, once the man was tried and convicted, and after all of his appeals have failed, the state should hand him over to me to do with him as I see fit. Dont ask me what I would do if this happened, because you might not like my answer. I just think the family of victoms would get more closure, and more of a sense of justice if this were allowed. If the victim lives through the ordeal, then the victim decides the criminals fate.","chester","326352","And if the family of the victim, such as in ther Amish school shootings a few years ago, had decided that forgiveness was a higher value than revenge, then where would you be? You want to return to the days of the Germanic Weregeld .(You kill one of mine, then I'll kill one of yours.) Fortunately, the law has evolved since such primitive ideas ruled.","death-penalty","09:35 PM","crime-debates","76"
"10-04-2008",2,"11312","76","chester","326352","And if the family of the victim, such as in ther Amish school shootings a few years ago, had decided that forgiveness was a higher value than revenge, then where would you be? You want to return to the days of the Germanic Weregeld .(You kill one of mine, then I'll kill one of yours.) Fortunately, the law has evolved since such primitive ideas ruled.","grizzly6626","326363","As I said, it should be up to the family to decide, and if they so choose to forgive him and do nothing, then I would live by that decision. And I am not talking about revenge, im talking about justice. I know some of you dont believe in God, but I do. In my bible God has a lot to say about killing another human being, and God addresses both accidental killings and murder. It says in my bible that if a man murders another human being, that he is to be delivered up to God immediately, this means the murderer forfits his life. There is more but this is the only one I remember. I know some of you think you know more about how to do things than God does, so I fully expect a lot of ridicule over this post, and thats ok, we will see who is right in the end.","death-penalty","10:23 PM","crime-debates","174"
"10-05-2008",2,"11312","82","grizzly6626","326363","As I said, it should be up to the family to decide, and if they so choose to forgive him and do nothing, then I would live by that decision. And I am not talking about revenge, im talking about justice. I know some of you dont believe in God, but I do. In my bible God has a lot to say about killing another human being, and God addresses both accidental killings and murder. It says in my bible that if a man murders another human being, that he is to be delivered up to God immediately, this means the murderer forfits his life. There is more but this is the only one I remember. I know some of you think you know more about how to do things than God does, so I fully expect a lot of ridicule over this post, and thats ok, we will see who is right in the end.","chester","326391","Absolutely no ridicule should be generated over your serious post. Even for believers such as yourself, I think that it is important to realize that we on earth are not qualified to render what you might call ""God's justice."" Christian Redemptionists notwithstanding, the USA is not, never has been, and, I hope never will be a theocracy. We live under the civil law, and the civil law tells us that crimes are prosecuted in the name of the state - The People of the State of ""X"" v. John Doe. This was done precisely to make the rendering of justice a concern of all the inhabitants of a state, municipality, or nation. In Biblical terms, this means that we must ""Render unto Caesar (earthly trials, convictions, and punishments) that which is Caesar's and render unto God that which is Gods' (eternal punishment if one is a believer). That being said, I oppose capital punishment for, among other reasons, it allows fallible humans to make the choice of who shall live and who shall die.","death-penalty","08:41 AM","crime-debates","206"
"10-06-2008",2,"11312","90","chester","326391","Absolutely no ridicule should be generated over your serious post. Even for believers such as yourself, I think that it is important to realize that we on earth are not qualified to render what you might call ""God's justice."" Christian Redemptionists notwithstanding, the USA is not, never has been, and, I hope never will be a theocracy. We live under the civil law, and the civil law tells us that crimes are prosecuted in the name of the state - The People of the State of ""X"" v. John Doe. This was done precisely to make the rendering of justice a concern of all the inhabitants of a state, municipality, or nation. In Biblical terms, this means that we must ""Render unto Caesar (earthly trials, convictions, and punishments) that which is Caesar's and render unto God that which is Gods' (eternal punishment if one is a believer). That being said, I oppose capital punishment for, among other reasons, it allows fallible humans to make the choice of who shall live and who shall die.","grizzly6626","326499","You are absolutely right to a point, but we are not talking about the prosecution, but rather the punishment. If victims or families of the victim were allowed to prosecute, the prosecution would almost always be biased and unfair towards the accused. This is why I said the punishment should be decided by the victim or the victims family, and to my knowledge there is nothing in the bible that says that only the state can administer punishment. As far as rendering to ceaser what is ceasers, the bible is refering to possesions and taxes. But I have been known to be wrong before.","death-penalty","02:53 PM","crime-debates","114"
"10-20-2008",3,"11312","196","chester","328930","Crime stats: http://www.disastercenter.com/crime/uscrime.htm","grizzly6626","329022","A list of crime deterrents compilated just for you, they are- .357 magnum, .44 magnum, .500 magnum(My personal favorite), 9mm, .40 caliber, 12 guage, 20 guage, and 10 and 16 guages. These stop criminals ""dead"" in their tracks. If I use any of these, the criminal cant ever repeat his crime. But with your prefered "" non lethal"" means of self defense, a repeat is highly likely, as our judicial system believes in just giving a criminal a slap on the wrist.","death-penalty","01:58 PM","crime-debates","109"
"10-20-2008",3,"11312","197","grizzly6626","329022","A list of crime deterrents compilated just for you, they are- .357 magnum, .44 magnum, .500 magnum(My personal favorite), 9mm, .40 caliber, 12 guage, 20 guage, and 10 and 16 guages. These stop criminals ""dead"" in their tracks. If I use any of these, the criminal cant ever repeat his crime. But with your prefered "" non lethal"" means of self defense, a repeat is highly likely, as our judicial system believes in just giving a criminal a slap on the wrist.","chester","329067","Neither our Consitution nor the laws made under it give to any individual a right to private justice. I suspect you are writing what you do simply to see if others will descend to your level.","death-penalty","04:01 PM","crime-debates","38"
