"Date","Dialog_Turn","Discussion_Id","Post_Counter","Quote_Author","Quote_Id","Quote_Text","Response_Author","Response_Id","Response_Text","Subtopic","Time","Topic","Word_Count"
"05-03-2010",1,"13537","340","Addison48","400282","And due to the fact that all people must be treated equally under the law because heterosexuals can get married then so must homosexuals be allowed to get married.","Easyrider","400299","Not so. Various state constitutions forbid gay marriage, and the people of California and other states have voted no on it several times also. It's not a right unless granted under our laws and customs. And it's certainly not an ordained right from God, who condemns gay sex. It's my view, based on the Word of God, that gay marriage would just be institutionalized sin and little more.","gay-marriage-opponents-keep-streak-alive","06:27 PM","gay-rights-debates","77"
"05-03-2010",1,"13537","342","Easyrider","400299","Not so. Various state constitutions forbid gay marriage, and the people of California and other states have voted no on it several times also. It's not a right unless granted under our laws and customs. And it's certainly not an ordained right from God, who condemns gay sex. It's my view, based on the Word of God, that gay marriage would just be institutionalized sin and little more.","Addison48","400305","Right and there was a time when slavery was in certain state constitutions but did that make it ok? And as I have said before I dont really care if it has been voted on before. Civil rights or liberties should not be up for a vote. And you are right. Marriage is technically not a right. Both gay and straight marriage is not a right. Would you be ok not allowing straight couples to get married because marriage is not a right? We dont make laws in America based of off religion. We are not a Christian nation and in fact have several things that are legal that the church condemns such as pornography, divorce, and swearing just to name a few.","gay-marriage-opponents-keep-streak-alive","06:36 PM","gay-rights-debates","134"
"05-03-2010",1,"13537","345","Addison48","400305","Right and there was a time when slavery was in certain state constitutions but did that make it ok? And as I have said before I dont really care if it has been voted on before. Civil rights or liberties should not be up for a vote. And you are right. Marriage is technically not a right. Both gay and straight marriage is not a right. Would you be ok not allowing straight couples to get married because marriage is not a right? We dont make laws in America based of off religion. We are not a Christian nation and in fact have several things that are legal that the church condemns such as pornography, divorce, and swearing just to name a few.","Easyrider","400313","That has absolutely no bearing on gay sex being a sin, which it is. This country has a heritage based in Judeo-Christian principles. Traditional marriage was always ok with God and our founding fathers, and gay marriage never was with either. Sure we do, on occasion. America is 70-80% Christian, and when we vote on issues like gay marriage, we often take our religious beliefs to the ballot box. Which is why gay marriage loses. And if someday there's enough of us to make America into a Christian nation via a Constitutional Amendment, we can do that too (though no one I know is really thinking seriously about doing that). We certainly aren't a secular nation. And unless we want to lose America we need to keep God as our Lord and Protector. Otherwise we'll go down the tubes like so many godless nations before us.","gay-marriage-opponents-keep-streak-alive","07:03 PM","gay-rights-debates","166"
"05-03-2010",1,"13537","348","Easyrider","400313","That has absolutely no bearing on gay sex being a sin, which it is. This country has a heritage based in Judeo-Christian principles. Traditional marriage was always ok with God and our founding fathers, and gay marriage never was with either. Sure we do, on occasion. America is 70-80% Christian, and when we vote on issues like gay marriage, we often take our religious beliefs to the ballot box. Which is why gay marriage loses. And if someday there's enough of us to make America into a Christian nation via a Constitutional Amendment, we can do that too (though no one I know is really thinking seriously about doing that). We certainly aren't a secular nation. And unless we want to lose America we need to keep God as our Lord and Protector. Otherwise we'll go down the tubes like so many godless nations before us.","Addison48","400317","And homosexuality being a sin has no bearing on the laws of this country. See above. We certainly dont nor should we base any laws on religion. Separation of church and state after all. And no matter how many people want this country to be a Christian country doesnt matter. The constitution forbids it. We most certainly are a secular nation. Nor does our country need god. Please show why you believe America is a non secular nation. 1st Amendment - Congress shall make no law respecting an establishment of religion , or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances.","gay-marriage-opponents-keep-streak-alive","07:24 PM","gay-rights-debates","141"
"05-03-2010",1,"13537","351","Addison48","400317","And homosexuality being a sin has no bearing on the laws of this country. We certainly dont nor should we base any laws on religion. Separation of church and state after all. And no matter how many people want this country to be a Christian country doesnt matter. The constitution forbids it. We most certainly are a secular nation. Nor does our country need god. Please show why you believe America is a non secular nation. 1st Amendment - Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof ; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances.","Easyrider","400328","Sure it does. It influences my vote and the votes of many others. To say it doesn't is totally naive. 'Separation of church and state' isn't in the Constitution. And a good number of our founding fathers believed that religious principles were a solid foundation for our laws. For instance, James Wilson, one of the original Supreme Court Justices, and a signer of the Constitution, explained, ""Human law must rest its authority ultimately upon the authority of that law which is divine.....Far from being rivals or enemies, religion and law are twin sisters, friends, and mutual assistants...."" Concerning the outcome of the American Revolution, John Quincy Adams noted, ""The highest glory won from the American Revolution was this: it connected, in one indissoluble bond, the principles of civil government with the principles of Christianity."" In a letter to Thomas Jefferson dated June 28, 1813, John Adams wrote: ""The general principles on which the (founding) fathers achieved independence were....the general principles of Christianity."" Founding father Noah Webster proclaimed much the same message when he said, ""The religion which has introduced civil liberty is the religion of Christ and His Apostles....This is genuine Christianity and to this we owe our free constitutions of government"" (History of the United States, 1832). Did you know many of the founding fathers (including Thomas Jefferson) attended church services in government buildings, and church services continued in government buildings up to and shortly after the Civil War? They didn't teach you that in SECULAR GOVERNMENT CLASSES, did they? Did anyone on the liberal left tell you about that? If not, why not? So, the founding fathers had a completely different view of religious freedom in the public square than many people do today. It works both ways, Addison. In the US Supreme Court decision Abington School District v. Schempp, 374, US 203, 83 S.Ct. 1560, 10 L.Ed.2d 844 (1963) Justice Clark stated: "" The State may not establish a 'religion of secularism' in the sense of affirmatively opposing or showing hostility to religion, thus 'preferring those who believe in no religion over those who do believe.' We voted gay marriage down and many of us did it based on our personal religious beliefs. You need to acknowledge something, Addison: There's more of us Christians than there are of you secularists, and a great many of us vote based on our religious beliefs. And no amount of denial on the part of the liberal left is going to make that go away. Not ever. America has a Godly heritage that goes back to day one, and it cannot be denied with a straight face. Bolded my addition.","gay-marriage-opponents-keep-streak-alive","08:30 PM","gay-rights-debates","528"
"05-03-2010",1,"13537","352","Easyrider","400328","Sure it does. It influences my vote and the votes of many others. To say it doesn't is totally naive. 'Separation of church and state' isn't in the Constitution. And a good number of our founding fathers believed that religious principles were a solid foundation for our laws. For instance, James Wilson, one of the original Supreme Court Justices, and a signer of the Constitution, explained, ""Human law must rest its authority ultimately upon the authority of that law which is divine.....Far from being rivals or enemies, religion and law are twin sisters, friends, and mutual assistants...."" Concerning the outcome of the American Revolution, John Quincy Adams noted, ""The highest glory won from the American Revolution was this: it connected, in one indissoluble bond, the principles of civil government with the principles of Christianity."" In a letter to Thomas Jefferson dated June 28, 1813, John Adams wrote: ""The general principles on which the (founding) fathers achieved independence were....the general principles of Christianity."" Founding father Noah Webster proclaimed much the same message when he said, ""The religion which has introduced civil liberty is the religion of Christ and His Apostles....This is genuine Christianity and to this we owe our free constitutions of government"" (History of the United States, 1832). We're you ever introduced to those quotations? Did you know many of the founding fathers (including Thomas Jefferson) attended church services in government buildings, and church services continued in government buildings up to and shortly after the Civil War? They didn't teach you that in SECULAR GOVERNMENT CLASSES, did they? Did anyone on the liberal left tell you about that? If not, why not? It works both ways, Addison. In the US Supreme Court decision Abington School District v. Schempp, 374, US 203, 83 S.Ct. 1560, 10 L.Ed.2d 844 (1963) Justice Clark stated: "" The State may not establish a 'religion of secularism' in the sense of affirmatively opposing or showing hostility to religion, thus 'preferring those who believe in no religion over those who do believe.' We voted gay marriage down and did it based on our personal religious beliefs. You need to acknowledge something, Addison: There's more of us Christians than there are of you secularists, and a great many of us vote based on our religious beliefs. And no amount of denial on the part of the liberal left is going to make that go away. Not ever. America has a Godly heritage that goes back to day one, and it cannot be denied with a straight face. Bolded my addition.","Addison48","400332","You normally dont vote on laws. The only reason gay marriage was put up for a vote was because politicians didnt want to deal with the issue. So no religion doesnt have a thing to do with laws in this country. You are correct separation of church and state isnt in the constitution. The phrase originated in Thomas Jefferson's 1802 letter to the Baptist Association of Danbury. Where did the phrase ""separation of church and state"" originate? But the 1st amendment does say this. Congress shall make no law respecting an establishment of religion , or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances. So Thomas Jefferson coined the term and even though the exact words separation of church and state doesnt appear however the same basic idea does exist in the constitution. I knew about them holding religious services in government buildings. However that doesnt mean its ok. Your right they cant prefer no religion over religion and I never claimed that. If you voted gay marriage down because of your religion then you are in the wrong. You are keeping us from gaining equality because of your religious beliefs and that is wrong. You do not have the right to deny me equality. Now having said all that I dont want to debate separation of church and state. I want to debate on if gay marriage should be legal or not.","gay-marriage-opponents-keep-streak-alive","08:48 PM","gay-rights-debates","282"
"05-03-2010",1,"13537","353","Addison48","400332","You normally dont vote on laws. The only reason gay marriage was put up for a vote was because politicians didnt want to deal with the issue. So no religion doesnt have a thing to do with laws in this country. You are correct separation of church and state isnt in the constitution. The phrase originated in Thomas Jefferson's 1802 letter to the Baptist Association of Danbury. I knew about them holding religious services in government buildings. However that doesnt mean its ok. If you voted gay marriage down because of your religion then you are in the wrong. You are keeping us from gaining equality because of your religious beliefs and that is wrong. You do not have the right to deny me equality.","Easyrider","400336","Like I said, religion influences my vote and the votes of many others. To say it doesn't is totally naive. I believe the phrase was a ""wall of separation,"" not the 'separation of church and state."" And several days later, after writing that, Jefferson attended church services in the Capitol building. So even he didn't believe it meant what you think. The fact is they wrote the Constitution, and they thought it was just fine. Nope. You are. I have the right to vote according to my beliefs all day long, and I've done it. We just did vote to outlaw gay marriage. So you can't say we can't do it. They did it in California too - the bastion of liberalism. And in many other states. Gay sex is a sin and should not be legitimized. Gotta run. Cheers...","gay-marriage-opponents-keep-streak-alive","08:59 PM","gay-rights-debates","166"
"05-03-2010",1,"13537","354","Easyrider","400336","We just did vote to outlaw gay marriage. So you can't say we can't do it. They did it in California too - the bastion of liberalism. And in many other states. Gay sex is a sin and should not be legitimized. Gotta run. Cheers...","Addison48","400341","According to the constitution you cannot deny me equality under the law. What you did by voting against gay marriage is ignore the constitution. That is wrong no matter how you slice it. Do you deny that you denied us equality under the law by voting against gay marriage? Again with religion. I dont care what your religion says about my orientation. You cannot deny me equal treatment under the law.","gay-marriage-opponents-keep-streak-alive","09:12 PM","gay-rights-debates","78"
"05-04-2010",1,"13537","366","Addison48","400341","According to the constitution you cannot deny me equality under the law. What you did by voting against gay marriage is ignore the constitution. That is wrong no matter how you slice it. Do you deny that you denied us equality under the law by voting against gay marriage? Again with religion. I dont care what your religion says about my orientation. You cannot deny me equal treatment under the law.","Easyrider","400417","Gay marriage is not a right under the Constitution. Nor is pedophilia or polygamy. I'm sure they think they have their rights too. See above. People vote against gay marriage in election after election, and so far no one has said they can't do that. So you're contention that gay marriage is a right doesn't fly with the majority of Americans, or the Constitution. Here's what God says about gay sex: Leviticus 18:22 - ""Do not lie with a man as one lies with a woman; that is detestable."" Leviticus 20:13 - ""If a man lies with a man as one lies with a woman, both of them have done what is detestable. They must be put to death; their blood will be on their own heads."" Romans 1:26-27 - ""Because of this, God gave them over to shameful lusts. Even their women exchanged natural relations for unnatural ones. In the same way the men also abandoned natural relations with women and were inflamed with lust for one another. Men committed indecent acts with other men, and received in themselves the due penalty for their perversion."" 1 Corinthians 6:9-10 - ""Do you not know that the wicked will not inherit the kingdom of God? Do not be deceived: Neither the sexually immoral nor idolaters nor adulterers nor male prostitutes nor homosexual offenders nor thieves nor the greedy nor drunkards nor slanderers nor swindlers will inherit the kingdom of God."" 1 Timothy 1:8-10 - But we know that the law is good if one uses it lawfully, knowing this: that the law is not made for a righteous person, but for the lawless and insubordinate, for the ungodly and for sinners, for the unholy and profane, for murderers of fathers and murderers of mothers, for manslayers, for fornicators, for sodomites, for kidnappers, for liars, for perjurers, and if there is any other thing that is contrary to sound doctrine Jude 7 In a similar way, Sodom and Gomorrah and the surrounding towns gave themselves up to sexual immorality and perversion. They serve as an example of those who suffer the punishment of eternal fire. There's no gay marriages in the Old Testament; No gay marriages in the New Testament; no gay sex approved anywhere in the Bible. Just the opposite - gay sex is condemned in both testaments. God is consistent on that. And to close: Whosoever shall be guilty of Rape, Polygamy, or Sodomy with man or woman shall be punished, if a man, by castration, if a woman, by cutting thro' the cartilage of her nose a hole of one half inch diameter at the least. - Thomas Jefferson, Amendment VIII: A Bill for Proportioning Crimes and Punishments","gay-marriage-opponents-keep-streak-alive","05:10 PM","gay-rights-debates","523"
"05-17-2010",2,"13537","419","Easyrider","402168","According to the Bible, gay sex is an abomination and should not be legitimized. And gay marriage is then just institutionalized sin.","Addison48","402173","Thankfully we dont use the bible to write our laws...as I have said to you multiple times.","gay-marriage-opponents-keep-streak-alive","05:22 PM","gay-rights-debates","20"
