"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"08-02-2011","15552",1,"None","None","None","Ripskar","436089","Assuming that it is caused by a genetic factor, the study claiming this was debated here previously and I seem to recall the usual suspects denouncing it as being entirely choice, which would render the hypothesis(? not really a scientific paper as such) unsustainable. Normalisation didn't seem to make the Greek homosexual population decline either.","end-gays-gay-marriage-decline-homosexual-population","02:29 PM","gay-rights-debates","2"
"08-02-2011","15552",1,"jyoshu","436083","\The End of Gays: Gay Marriage and the Decline of the Homosexual Population[/url]","Easyrider","436093","Good one. Very fitting. The end of days will bring the end of gays. Gotta love it.","end-gays-gay-marriage-decline-homosexual-population","05:52 PM","gay-rights-debates","3"
"08-02-2011","15552",1,"jyoshu","436083","From Scientific American .... More at Bering in Mind: The End of Gays: Gay Marriage and the Decline of the Homosexual Population","thelmoose","436100","You must be googling gay topics 'cause I know you don't read Scientific American.","end-gays-gay-marriage-decline-homosexual-population","08:56 PM","gay-rights-debates","4"
"08-02-2011","15552",1,"thelmoose","436100","You must be googling gay topics 'cause I know you don't read Scientific American.","MrWriteLA","436109","Almost. He's googling anti -gay topics.","end-gays-gay-marriage-decline-homosexual-population","10:53 PM","gay-rights-debates","5"
"08-03-2011","15552",1,"Easyrider","436093","Good one. Very fitting. The end of days will bring the end of gays. Gotta love it.","Matthew S","436121","And below would be my hope &#x202a;Gay Scientists Isolate Christian Gene&#x202c;&rlm; - YouTube","end-gays-gay-marriage-decline-homosexual-population","06:23 AM","gay-rights-debates","6"
"08-03-2011","15552",1,"Matthew S","436121","And below would be my hope &#x202a;Gay Scientists Isolate Christian Gene&#x202c;&rlm; - YouTube","Easyrider","436127","They need to read the Gospels. Christ is Risen, and nothing is going to make that go away. Come out of Sodom. Come out of Gomorrah. Flee from the coming wrath.","end-gays-gay-marriage-decline-homosexual-population","07:12 AM","gay-rights-debates","7"
"08-03-2011","15552",1,"jyoshu","436083","From Scientific American .... More at Bering in Mind: The End of Gays: Gay Marriage and the Decline of the Homosexual Population","poet","436129","LOL. You can't believe everything you read. LOL","end-gays-gay-marriage-decline-homosexual-population","08:47 AM","gay-rights-debates","8"
"08-03-2011","15552",1,"Easyrider","436093","Good one. Very fitting. The end of days will bring the end of gays. Gotta love it.","poet","436130","It will be the end of you.","end-gays-gay-marriage-decline-homosexual-population","08:48 AM","gay-rights-debates","9"
"08-03-2011","15552",1,"Easyrider","436127","They need to read the Gospels. Christ is Risen, and nothing is going to make that go away. Come out of Sodom. Come out of Gomorrah. Flee from the coming wrath.","poet","436132","Sodom and Gommorah was a meteorite strike. You read the Gospels, and look what it's done to and for you. Made you a raving lunatic zealot, who has nothing in common with Christianity.","end-gays-gay-marriage-decline-homosexual-population","08:51 AM","gay-rights-debates","10"
"08-03-2011","15552",1,"thelmoose","436100","You must be googling gay topics 'cause I know you don't read Scientific American.","poet","436133","And how do you know what people read? Are you clairvoyant?","end-gays-gay-marriage-decline-homosexual-population","08:52 AM","gay-rights-debates","11"
"08-03-2011","15552",1,"thelmoose","436100","You must be googling gay topics 'cause I know you don't read Scientific American.","jyoshu","436137","I read their articles from time to time, as I do many sources. And no, I wasn't googling anything. What's more noteworthy is that you chose to ignore the topic in favor of veiled ad hominem.","end-gays-gay-marriage-decline-homosexual-population","09:06 AM","gay-rights-debates","12"
