"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"02-07-2012","16111",1,"None","None","None","jazyjason","448812","http://www.msnbc.msn.com/id/46294255.../#.TzGJ1uTwuIA SAN FRANCISCO A federal appeals court has declared California's Proposition 8 unconstitutional, paving the way for a likely U.S. Supreme Court showdown on the voter-approved law. A three-judge panel of the 9th U.S. Circuit Court of Appeals ruled 2-1 that a lower court judge correctly interpreted the U.S. Constitution when he declared in 2010 that Proposition 8 was a violation of the civil rights of gays and lesbians. ""Proposition 8 serves no purpose, and has no effect, other than to lessen the status and human dignity of gays and lesbians in California, and to officially reclassify their relationships and families as inferior to those of opposite-sex couples,"" said Judge Stephen Reinhardt in the majority opinion. ""The Constitution simply does not allow for 'laws of this sort'."" The passage of the ban followed the most expensive campaign on a social issue in U.S. history. It was unclear when gay marriages might resume in California. Lawyers for Proposition 8 sponsors and for the two couples who successfully sued to overturn the ban have said they would consider appealing to a larger panel of the court and then the U.S. Supreme Court if they did not receive a favorable ruling. ""Although the Constitution permits communities to enact most laws they believe to be desirable, it requires that there be at least a legitimate reason for the passage of a law that treats different classes of people differently. There was no such reason that Proposition 8 could have been enacted,"" the ruling states. The panel also said there was no evidence that former Chief U.S. Judge Vaughn Walker was biased and should have disclosed before he issued his lower-court decision that he was gay and in a long-term relationship with another man. Walker publicly revealed he was gay after he retired. Proposition 8 backers had asked the 9th Circuit to set aside Walker's ruling on constitutional grounds and because of the judge's personal life. It was the first instance of an American jurist's sexual orientation being cited as grounds for overturning a court decision. Walker's successor as the chief federal judge in Northern California, James Ware, rejected the claims about Walker's personal life. California voters passed Proposition 8 with 52 percent of the vote in November 2008, five months after the state Supreme Court legalized same-sex marriage by striking down a pair of laws that had limited marriage to a man and a woman. The ballot measure inserted the one man-one woman provision into the California Constitution, thereby overruling the court's decision. It was the first such ban to take away marriage rights from same-sex couples after they had already secured them. The Williams Institute on Sexual Orientation and the Law, a think tank based at the University of California, Los Angeles, has estimated that 18,000 couples married during the four-month window before Proposition 8 took effect. The California Supreme Court upheld those marriages but ruled that voters had properly enacted the law. With same-sex marriages unlikely to resume in California any time soon, Love Honor Cherish, a gay rights group based in Los Angeles, plans to start gathering signatures for a November ballot initiative asking voters to repeal Proposition 8.","court-calif-ban-gay-marriage-unconstitutional","03:29 PM","gay-rights-debates","1"
"02-07-2012","16111",1,"None","None","None","gansao","448819","Good luck JJ. If you want an advocate for gay men marrying castrated catamites or pedophilic gay short term marriages just contact Xcaliber and Daewoo. Yeah I know..sick arent they?","court-calif-ban-gay-marriage-unconstitutional","03:52 PM","gay-rights-debates","2"
"02-07-2012","16111",1,"gansao","448819","Good luck JJ. If you want an advocate for gay men marrying castrated catamites or pedophilic gay short term marriages just contact Xcaliber and Daewoo. Yeah I know..sick arent they?","Xcaliber","448824","You get bitch slapped in one thread so you decide to spread the news?... Was there ever any doubt they would find Prop8 unconstitutional? The same fate awaits DOMA ... as soon as the Court will hear the case.","court-calif-ban-gay-marriage-unconstitutional","04:08 PM","gay-rights-debates","3"
"02-07-2012","16111",1,"Xcaliber","448824","You get bitch slapped in one thread so you decide to spread the news?... Was there ever any doubt they would find Prop8 unconstitutional? The same fate awaits DOMA ... as soon as the Court will hear the case.","gansao","448827","I dont know how you can show your face around here seeing as you insulted the notion of gay marriage. Oh its because you are a XXXXX..of course","court-calif-ban-gay-marriage-unconstitutional","04:14 PM","gay-rights-debates","4"
"02-07-2012","16111",1,"jazyjason","448812","Court: Calif. ban on gay marriage is unconstitutional - US news - Life - msnbc.com SAN FRANCISCO A federal appeals court has declared California's Proposition 8 unconstitutional, paving the way for a likely U.S. Supreme Court showdown on the voter-approved law. A three-judge panel of the 9th U.S. Circuit Court of Appeals ruled 2-1 that a lower court judge correctly interpreted the U.S. Constitution when he declared in 2010 that Proposition 8 was a violation of the civil rights of gays and lesbians.","Easyrider","448830","What a surprise. The pro Sodom and Gomorrah 9th Circus Court of most overturned decisions makes Jazy's day. Well, there's a higher court, both on earth and in heaven, and your little butt-headed, constitutionally-challenged liberal jurists are themselves going to take this ruling right in their shorts.","court-calif-ban-gay-marriage-unconstitutional","05:14 PM","gay-rights-debates","5"
"02-07-2012","16111",1,"Easyrider","448830","What a surprise. The pro Sodom and Gomorrah 9th Circus Court of most overturned decisions makes Jazy's day. Well, there's a higher court, both on earth and in heaven, and your little butt-headed, constitutionally-challenged liberal jurists are themselves going to take this ruling right in their shorts.","smiley","448831","No, there isn't . . . and no, they're not.","court-calif-ban-gay-marriage-unconstitutional","05:25 PM","gay-rights-debates","6"
"02-07-2012","16111",1,"jazyjason","448812","Court: Calif. ban on gay marriage is unconstitutional - US news - Life - msnbc.com SAN FRANCISCO A federal appeals court has declared California's Proposition 8 unconstitutional, paving the way for a likely U.S. Supreme Court showdown on the voter-approved law. A three-judge panel of the 9th U.S. Circuit Court of Appeals ruled 2-1 that a lower court judge correctly interpreted the U.S. Constitution when he declared in 2010 that Proposition 8 was a violation of the civil rights of gays and lesbians. ""Proposition 8 serves no purpose, and has no effect, other than to lessen the status and human dignity of gays and lesbians in California, and to officially reclassify their relationships and families as inferior to those of opposite-sex couples,"" said Judge Stephen Reinhardt in the majority opinion. ""The Constitution simply does not allow for 'laws of this sort'."" The passage of the ban followed the most expensive campaign on a social issue in U.S. history. It was unclear when gay marriages might resume in California. Lawyers for Proposition 8 sponsors and for the two couples who successfully sued to overturn the ban have said they would consider appealing to a larger panel of the court and then the U.S. Supreme Court if they did not receive a favorable ruling. ""Although the Constitution permits communities to enact most laws they believe to be desirable, it requires that there be at least a legitimate reason for the passage of a law that treats different classes of people differently. There was no such reason that Proposition 8 could have been enacted,"" the ruling states. The panel also said there was no evidence that former Chief U.S. Judge Vaughn Walker was biased and should have disclosed before he issued his lower-court decision that he was gay and in a long-term relationship with another man. Walker publicly revealed he was gay after he retired. Proposition 8 backers had asked the 9th Circuit to set aside Walker's ruling on constitutional grounds and because of the judge's personal life. It was the first instance of an American jurist's sexual orientation being cited as grounds for overturning a court decision. Walker's successor as the chief federal judge in Northern California, James Ware, rejected the claims about Walker's personal life. California voters passed Proposition 8 with 52 percent of the vote in November 2008, five months after the state Supreme Court legalized same-sex marriage by striking down a pair of laws that had limited marriage to a man and a woman. The ballot measure inserted the one man-one woman provision into the California Constitution, thereby overruling the court's decision. It was the first such ban to take away marriage rights from same-sex couples after they had already secured them. The Williams Institute on Sexual Orientation and the Law, a think tank based at the University of California, Los Angeles, has estimated that 18,000 couples married during the four-month window before Proposition 8 took effect. The California Supreme Court upheld those marriages but ruled that voters had properly enacted the law. With same-sex marriages unlikely to resume in California any time soon, Love Honor Cherish, a gay rights group based in Los Angeles, plans to start gathering signatures for a November ballot initiative asking voters to repeal Proposition 8.","jyoshu","448832","Welcome back. It's well-known that this is pretty much just a step to SCOTUS (where legal folks expect Prop 8 to be upheld). No one is surprised 9th circuit here--they typically rule this way.","court-calif-ban-gay-marriage-unconstitutional","05:28 PM","gay-rights-debates","7"
"02-07-2012","16111",1,"jyoshu","448832","Welcome back. It's well-known that this is pretty much just a step to SCOTUS (where legal folks expect Prop 8 to be upheld). No one is surprised 9th circuit here--they typically rule this way.","jazyjason","448833","I'm hardly back. Just decided to drop the good news bomb on all of you. My life is far too hectic to really follow the forum anymore. Besides it's the same back and forth nonsense that goes nowhere quickly. Which by the way I doubt it will reach SCOTUS or that they have the time to listen to it. They already have the health care law, and immigration to handle. My guess is the 9th's ruling will be upheld. And if that's the case my partner and I (which we are already engaged) will be legally wed when this whole debacle is through. Funny. The sky isn't falling nor is it raining toads is it?","court-calif-ban-gay-marriage-unconstitutional","05:38 PM","gay-rights-debates","8"
"02-07-2012","16111",1,"None","None","None","Easyrider","448835","It's a move of Satan in the 9th Circus Court.","court-calif-ban-gay-marriage-unconstitutional","07:35 PM","gay-rights-debates","9"
"02-07-2012","16111",1,"None","None","None","Freedom","448839","I feel sick. Judges are the worst of the common law outlook. One panel, one committee can countermand the acts of both the executive and legislative branch, and further their decisions are permanent.","court-calif-ban-gay-marriage-unconstitutional","08:04 PM","gay-rights-debates","10"
"02-07-2012","16111",1,"jyoshu","448832","Welcome back. It's well-known that this is pretty much just a step to SCOTUS (where legal folks expect Prop 8 to be upheld). No one is surprised 9th circuit here--they typically rule this way.","Xcaliber","448846","What Legal folks are you referring to?.. When and if this reaches the Supreme Court it is most likely they will rule in favor of the opposition to Prop 8. Only a Lawyer who support Prop 8 would claim that it will be upheld... Lest we forget this is the second ruling , both of which have found Prop 8 unconstitutional.","court-calif-ban-gay-marriage-unconstitutional","10:07 PM","gay-rights-debates","11"
"02-08-2012","16111",1,"Xcaliber","448846","When and if this reaches the Supreme Court it is most likely they will rule in favor of the opposition to Prop 8.","Easyrider","448852","In your dreams. SCOTUS is going to reinstate Prop 8 five to four. And the Sodomites won't have to like it.","court-calif-ban-gay-marriage-unconstitutional","03:57 AM","gay-rights-debates","12"
"02-08-2012","16111",1,"None","None","None","Matthew S","448853","A very good day, and joyous news. Justice does exist. I find it very interesting that those here who oppose this decision have not read judge Walkers ruling. Ted Olson and David Boise are not stupid. They know exactly what the Justices of the SCOTUS are looking for and what kind of facts will win the case. Our side has shown over and over again the injustice of the majority. The other side has shown over and over again that PRop8's only reason for being is Animus towards gay people. I have no doubt that the justices will rule PROP 8 unconstitutional 9-0 or 7-2 the facts in the case are over whelming and even the anti gay nut case Scalia may strike down prop8.","court-calif-ban-gay-marriage-unconstitutional","05:27 AM","gay-rights-debates","13"
"02-08-2012","16111",1,"jazyjason","448833","I'm hardly back. Just decided to drop the good news bomb on all of you. My life is far too hectic to really follow the forum anymore. Besides it's the same back and forth nonsense that goes nowhere quickly. Which by the way I doubt it will reach SCOTUS or that they have the time to listen to it. They already have the health care law, and immigration to handle. My guess is the 9th's ruling will be upheld.","jyoshu","448859","Do you not realize that the two lawyers pushing this for the gay pride movement are trying to get it to SCOTUS? Pretty much every commentator I've read believes the Supreme Court certainly will take it up.","court-calif-ban-gay-marriage-unconstitutional","11:05 AM","gay-rights-debates","14"
"02-08-2012","16111",1,"Easyrider","448852","In your dreams. SCOTUS is going to reinstate Prop 8 five to four. And the Sodomites won't have to like it.","Xcaliber","448870","Look doofus, the Supreme Court has already ruled 14 times that Marriage is a Fundamental Right.. they are never going to uphold a Law which tramples on the rights of American Citizens... no matter how much you pray for it.","court-calif-ban-gay-marriage-unconstitutional","02:12 PM","gay-rights-debates","15"
"02-08-2012","16111",2,"jyoshu","448859","Do you not realize that the two lawyers pushing this for the gay pride movement are trying to get it to SCOTUS? Pretty much every commentator I've read believes the Supreme Court certainly will take it up.","Xcaliber","448871","Chances are they will take up the DOMA case before they take this one and when DOMA is ruled unconstitutional and repealed this case becomes a non issue and the Supreme Court will most likely refuse to hear it leaving the 9th District ruling as the final word.","court-calif-ban-gay-marriage-unconstitutional","02:15 PM","gay-rights-debates","16"
"02-08-2012","16111",2,"Xcaliber","448870","Look doofus, the Supreme Court has already ruled 14 times that Marriage is a Fundamental Right.. they are never going to uphold a Law which tramples on the rights of American Citizens... no matter how much you pray for it.","Freedom","448884","Support this. Derive the right to marriage, define it objectively, prove DOMA contradicts it.","court-calif-ban-gay-marriage-unconstitutional","08:22 PM","gay-rights-debates","17"
"02-08-2012","16111",2,"Freedom","448884","Support this. Derive the right to marriage, define it objectively, prove DOMA contradicts it.","Xcaliber","448885","You can look it up yourself Freedumb.. I don't have time to school you again.","court-calif-ban-gay-marriage-unconstitutional","08:43 PM","gay-rights-debates","18"
"02-08-2012","16111",2,"Xcaliber","448885","You can look it up yourself Freedumb.. I don't have time to school you again.","Freedom","448886","If I can look it up, so can you. If you don't have time to support your assertions don't make them.","court-calif-ban-gay-marriage-unconstitutional","09:19 PM","gay-rights-debates","19"
"02-08-2012","16111",2,"Xcaliber","448870","Look doofus, the Supreme Court has already ruled 14 times that Marriage is a Fundamental Right.. they are never going to uphold a Law which tramples on the rights of American Citizens... no matter how much you pray for it.","Easyrider","448887","You can take your Sodom and Gomorrah gay sin debauchery to Hades with you. I can't wait until San Francisco goes scatting down the San Andreas fault.","court-calif-ban-gay-marriage-unconstitutional","09:53 PM","gay-rights-debates","20"
"02-08-2012","16111",2,"Freedom","448886","If I can look it up, so can you. If you don't have time to support your assertions don't make them.","Xcaliber","448891","yada, yada, yada.... Like I care what you think. You'll find out when the Supreme Court strikes down DOMA ... then you can go whine to someone else.","court-calif-ban-gay-marriage-unconstitutional","10:15 PM","gay-rights-debates","21"
"02-08-2012","16111",2,"Easyrider","448887","You can take your Sodom and Gomorrah gay sin debauchery to Hades with you. I can't wait until San Francisco goes scatting down the San Andreas fault.","Xcaliber","448892","There would have to be such a place first and so far you haven't proven there is. Who would take the word of a raving lunatic such as you?.......","court-calif-ban-gay-marriage-unconstitutional","10:17 PM","gay-rights-debates","22"
"02-09-2012","16111",2,"Xcaliber","448892","There would have to be such a place first and so far you haven't proven there is. Who would take the word of a raving lunatic such as you?.......","Easyrider","448896","You're the one who votes for lunatics like Obama, so it's real clear who the nut bag is, and it's not me.","court-calif-ban-gay-marriage-unconstitutional","05:04 AM","gay-rights-debates","23"
"02-09-2012","16111",2,"Easyrider","448887","You can take your Sodom and Gomorrah gay sin debauchery to Hades with you. I can't wait until San Francisco goes scatting down the San Andreas fault.","Matthew S","448899","Wow aren't we violating the 1st commandment? To go to Hades requires a belief in the Greek God of the underworld. The western half of San Francisco would slide north west and up not fall into the ground. You would know this if you got your head out of that ancient Jewish fairy tale book and studied geology.","court-calif-ban-gay-marriage-unconstitutional","06:00 AM","gay-rights-debates","24"
