"Date","DiscussionId","PageId","QuoteAuthor","QuoteId","QuoteText","ResponseAuthor","ResponseId","ResponseText","Subtopic","Time","Topic","postCounter"
"02-02-2008","10837",2,"None","None","None","Ghost Rider","299822","I tried to avoid this discussion, but this is just my opinion and stance on abortion. As a woman, I don't want any MAN to be deciding for me what I can and can't do with my own body. HOWEVER, that doesn't mean that I think abortion is right, but I want to make that decision on my own. My belief is that abortion shouldn't be a right, but it shouldn't be something that's criminal if the reasons are justifiable. I think it should be treated akin to homicide, you don't get punished if your actions were truly justified.","whether-you-agree-not-its-dark-truth","01:19 PM","abortion-debates","16"
"02-02-2008","10837",2,"CUNxTime","299795","HEHE, that was kinda goofy, though I assure you I made the #### up myself. It seemed appropriate to fight romantic religiousity with claptrap...lol","Steeeeve","299827","So no, you don't wish to make a good argument. Just making sure since you have joined and posted 25 times (as of writing this) without actually doing anything more than trolling.","whether-you-agree-not-its-dark-truth","02:01 PM","abortion-debates","17"
"02-02-2008","10837",2,"Ghost Rider","299822","As a woman, I don't want any MAN to be deciding for me what I can and can't do with my own body.","Steeeeve","299828","But you are ok with a woman deciding what is right for someone else's own body...specifically the babies? Seems to me a woman isn't more qualified to deal with the issue of abortion than a man. In fact, it could be said that the man has the only independent perspective.","whether-you-agree-not-its-dark-truth","02:03 PM","abortion-debates","18"
"02-02-2008","10837",2,"None","None","None","Penfold","299831","It isn't ""someone else"" until it is born.","whether-you-agree-not-its-dark-truth","02:20 PM","abortion-debates","19"
"02-02-2008","10837",2,"Steeeeve","299828","But you are ok with a woman deciding what is right for someone else's own body...specifically the babies? Seems to me a woman isn't more qualified to deal with the issue of abortion than a man. In fact, it could be said that the man has the only independent perspective.","Ghost Rider","299835","How would you like to have a parasite in your body and not be given treatment to remove it based solely on the fact that even parasitic organisms are living things and deserve life? Not pretty is it? Imagine being one of those guys in the Alien movies and you've got a chestburster in you that's gonna kill you once its fully gestated, but you're not allowed to have an operation to have it removed from your body because of an intergalatic treaty declaring that all life is precious and must be observed. Men shouldn't be deciding because they can't get pregnant after being raped. When was the last time a man's life was ever at risk because his wife was pregnant? An independant perspective doesn't make it a good thing. Politicians that propose anti-gun legislation don't have to live in the real world with those of us that the bill will affect, they shouldn't be allowed to propose it.","whether-you-agree-not-its-dark-truth","03:18 PM","abortion-debates","20"
"02-02-2008","10837",2,"Ghost Rider","299835","How would you like to have a parasite in your body and not be given treatment to remove it based solely on the fact that even parasitic organisms are living things and deserve life? Not pretty is it? Imagine being one of those guys in the Alien movies and you've got a chestburster in you that's gonna kill you once its fully gestated, but you're not allowed to have an operation to have it removed from your body because of an intergalatic treaty declaring that all life is precious and must be observed. Men shouldn't be deciding because they can't get pregnant after being raped. When was the last time a man's life was ever at risk because his wife was pregnant? An independant perspective doesn't make it a good thing. Politicians that propose anti-gun legislation don't have to live in the real world with those of us that the bill will affect, they shouldn't be allowed to propose it.","Steeeeve","299839","If humans are parasites can I kill you because parasites have no worth. Aside from the obvious logical fallacy, if alien life were precious (which it isn't) and assuming we ignore the chestburster since that doesn't happen in a pregnancy then I'd say you can't remove it. Since when does the fate get decided by the victim? A woman could be said to have a biased opinion on it because she is an involved party. Even so, I take the stand that no one has any authority over the other to make that decision. Ha, that is just an idiotic perspective. We'd have no laws (and many important ones) if you can't make a bill that doesn't affect you. Sorry Civil Rights legislation!","whether-you-agree-not-its-dark-truth","04:38 PM","abortion-debates","21"
"02-02-2008","10837",2,"Penfold","299831","It isn't ""someone else"" until it is born.","Steeeeve","299840","According to what? Are you saying you should be able to kill a baby 2 inches from being born if you wanted? It isn't born yet.","whether-you-agree-not-its-dark-truth","04:39 PM","abortion-debates","22"
"02-02-2008","10837",2,"None","None","None","Penfold","299853","You are saying that. There's no mention of it in my post. Are you suggesting that ""two inches from being born"" is the benchmark for independent existence?","whether-you-agree-not-its-dark-truth","05:46 PM","abortion-debates","23"
"02-02-2008","10837",2,"Ghost Rider","299822","My belief is that abortion shouldn't be a right, but it shouldn't be something that's criminal if the reasons are justifiable. I think it should be treated akin to homicide, you don't get punished if your actions were truly justified.","Dane","299859","And who gets to decide if it is ""justified""? Rest assured that the right-wing fundies won't allow YOU to do so for yourself.","whether-you-agree-not-its-dark-truth","06:45 PM","abortion-debates","24"
"02-02-2008","10837",2,"Steeeeve","299828","But you are ok with a woman deciding what is right for someone else's own body...specifically the babies?","Dane","299860","""Babies"" are a stage reached after birth. If you are talking about abortions, then no babies are involved, anti-choice, histrionic revisionist linguistics none withstanding","whether-you-agree-not-its-dark-truth","06:48 PM","abortion-debates","25"
